# c0 + a0 * (((at_mass_wtd_range-5.473900e+00) / (L_avg-2.895354e+00)) + 2.440010e-03*((density-3.853254e+04) / (at_mass_mean-7.619483e+01))) + a1 * (((IP_std-2.276321e+00) / (density-2.632852e+00)) + 6.639292e+01*((EA_wtd_std-7.751505e-01) * (lambda4w_low-1.661720e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.93529445671501; Max AE: 6.16867539395662
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.032101847409028e-02, -9.506941047005323e-01,  3.214969331061046e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * g * mol^-1;                               10|4|div|5|7|div|add:2.4400095811400e-03,0.0000000000000e+00,-3.8532538128119e+04,-7.6194833874050e+01,-5.4738995174471e+00,-2.8953539987918e+00; (((at_mass_wtd_range-5.473900e+00) / (L_avg-2.895354e+00)) + 2.440010e-03*((density-3.853254e+04) / (at_mass_mean-7.619483e+01))); $\left(\left(\frac{ at_{mass, wtd, range} -5.474e+00 }{ L_{avg}-2.895e+00 } \right) + 0.00244\left(\frac{ density -3.853e+04 }{ at_{mass, mean}-7.619e+01 } \right)\right)$; (((at_mass_wtd_range-5.473900e+00) ./ (L_avg-2.895354e+00)) + (2.440010e-03.*((density-3.853254e+04) ./ (at_mass_mean-7.619483e+01)))); (((newdata$at_mass_wtd_range-5.473900e+00) / (newdata$L_avg-2.895354e+00)) + (2.440010e-03*((newdata$density-3.853254e+04) / (newdata$at_mass_mean-7.619483e+01)))); at_mass_wtd_range,L_avg,density,at_mass_mean
# 1;  2; cm^3 * eV * g^-1;                                 23|5|div|36|2|mult|add:6.6392916127429e+01,0.0000000000000e+00,-7.7515046164194e-01,-1.6617202321206e-02,-2.2763213281397e+00,-2.6328518211914e+00; (((IP_std-2.276321e+00) / (density-2.632852e+00)) + 6.639292e+01*((EA_wtd_std-7.751505e-01) * (lambda4w_low-1.661720e-02))); $\left(\left(\frac{ IP_{std} -2.276e+00 }{ density-2.633e+00 } \right) + 66.4\left(\left(EA_{wtd, std}-7.752e-01\right) * \left(lambda4w_{low}-1.662e-02\right)\right)\right)$; (((IP_std-2.276321e+00) ./ (density-2.632852e+00)) + (6.639292e+01.*((EA_wtd_std-7.751505e-01) .* (lambda4w_low-1.661720e-02)))); (((newdata$IP_std-2.276321e+00) / (newdata$density-2.632852e+00)) + (6.639292e+01*((newdata$EA_wtd_std-7.751505e-01) * (newdata$lambda4w_low-1.661720e-02)))); IP_std,density,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02, -3.891836592651222e-02,  3.289849871301182e+01,  4.125847291690175e+00
Se2Ta1      ,  1.250000000000000e-01,  2.590695333164962e-01,  8.825263633533105e+00,  3.297841153719881e+00
Ti1         ,  1.620000000000000e-01,  3.407441993651466e+00, -1.912870373935581e+00, -2.433423491887319e-01
B1Mo1       ,  2.500000000000000e-01,  3.770655774291523e+00,  3.681369489095083e+01,  2.023840579180467e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.640559617161283e+00,  2.390452050437674e+01,  6.329471949594895e-02
Pt1Te1      ,  5.900000000000000e-01,  3.151718739225664e+00,  1.479277254936419e+01,  3.827254153518087e-01
Sb1V3       ,  6.500000000000000e-01,  2.967665857635629e+00,  1.413052353272992e+00,  2.903332786396942e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.534564209912884e+00,  1.316790883523831e+01, -5.470693453201381e-02
Rh1Te2      ,  7.550000000000000e-01,  3.028983986285847e+00, -8.588796239076955e-01,  1.772726213799743e-01
Zr1         ,  9.966666670000000e-01,  2.822663944579825e+00, -1.212855055632029e+01,  1.534046396640244e-01
Be2Ta3      ,  1.000000000000000e+00,  3.238493916282448e+00,  2.575797985604220e+01,  5.258303347173334e-01
C1Si1       ,  1.075000000000000e+00,  1.947303196465365e+00, -6.092027131319507e+01,  3.124472492969554e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.815231320336539e+00, -7.337431047051890e-01,  4.047859365445171e-01
Nb1O1       ,  1.380000000000000e+00,  3.126528883729615e+00,  2.976003112215262e+01,  7.291457747837312e-01
Sb1         ,  1.416666667000000e+00,  2.853572653003464e+00, -3.491050595598075e+01, -3.660697554481717e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.907722580702538e+00, -4.941986320344110e+00,  2.175468997036037e-01
S2Ta1       ,  1.488116666500000e+00,  3.114477243013877e+00,  1.534941340833698e+01,  4.337965276584329e-01
B2C2Y1      ,  1.800000000000000e+00,  3.303523324945485e+00,  1.299961214737620e+01,  1.847191055988703e-01
Re2Y1       ,  1.830000000000000e+00,  2.830390751232819e+00,  8.987639436571996e+00,  5.966341476745999e-01
Ga2Pt1      ,  1.900000000000000e+00,  4.142408077375395e+00,  3.734028077049075e+01, -1.773927177160858e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.799549954029983e+00, -5.922617722244625e+00,  3.103687625950942e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.816590993105878e+00,  3.144745349931632e-01,  4.257613240569071e-01
Be2Nb1      ,  2.150000000000000e+00,  3.672673086380138e+00,  2.260441272079225e+01,  1.726036974432410e-03
In1Te1      ,  2.206000000000000e+00,  3.381456876249366e+00, -1.457485512265662e+00, -2.062757455202294e-01
C2Cl2Y2     ,  2.300000000000000e+00,  2.482884109504087e+00,  1.114683222237959e+01,  1.008316134849156e+00
Be2Nb3      ,  2.300000000000000e+00,  3.445482888538891e+00,  1.755435975239971e+01,  1.327544903533950e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.897310078020024e+00,  1.518094110269278e+01,  6.586255605741405e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.658284953039007e+00,  1.339528491351963e+01, -1.799840652620070e-01
Bi1Nb3      ,  2.516666667000000e+00,  3.088916984152743e+00,  1.453289448973227e+01,  4.432293860167469e-01
Re1         ,  2.581333333000000e+00,  2.476193692127199e+00, -1.393252913400477e+01,  4.792839828900213e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.044512430286534e+00,  1.039383409243104e+01,  4.014647755743249e-01
Nb3Rh1      ,  2.742333333000000e+00,  2.770019448044752e+00, -5.109910997930790e+00,  3.588023587606395e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.180929954010790e+00,  3.547506676970160e+01, -2.577812721687693e-01
N1Ni3Zn1    ,  3.000000000000000e+00,  4.351243102391948e+00,  1.461354607833996e+01, -8.828408920925922e-01
B1Hf1       ,  3.100000000000000e+00,  5.893624588016187e+00,  1.544266817765181e+02,  4.832807882643505e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.868742527021104e+00,  2.423955154550711e+01, -1.695611873505014e-01
C2Y1        ,  3.150000000000000e+00,  3.412302246221083e+00,  2.959551153120432e+01,  4.250347397946709e-01
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.042078346382122e+00,  1.658553050897497e+01,  5.363721664341423e-01
In1Sb1      ,  3.320000000000000e+00,  3.368081593195746e+00, -3.693891893517240e+00, -2.400098059049510e-01
Bi2K1       ,  3.575000000000000e+00,  3.250254600757874e+00,  1.664648426725753e+01,  3.187021389200746e-01
Al1Hf1Pd2   ,  3.621666666500000e+00,  3.731337519968311e+00,  1.751100205842558e+01, -1.688522015488172e-01
Hg0.5In0.5  ,  3.810000000000000e+00,  4.222767471374012e+00,  1.832324049941286e+01, -6.684076702246567e-01
C1W2        ,  3.835000000000000e+00,  4.881522163363432e+00,  1.013706064984488e+02,  4.138041175781226e-01
C1Ga1Mo2    ,  3.900000000000000e+00,  3.241136994665464e+00,  1.206905658800684e+01,  2.304504226986049e-01
Ba1Ge3      ,  4.000000000000000e+00,  3.538605321672887e+00,  2.474326623261529e+00, -2.875321854191125e-01
Bi2Rb1      ,  4.250000000000000e+00,  3.017782169193180e+00,  1.159888134411853e+01,  4.553391483129463e-01
Ba1Sn3      ,  4.300000000000000e+00,  3.208293673707608e+00, -1.409531882157558e+00, -2.310676584096982e-02
Rh1Se2      ,  4.350000000000000e+00,  3.069361610554548e+00, -4.704795616811018e+00,  5.259471118337566e-02
Al1Au2Sc1   ,  4.400000000000000e+00,  3.933069645152978e+00,  2.901778478138608e+01, -1.350901124107266e-01
B2Nb1       ,  4.597500000000000e+00,  5.759280304838037e+00,  1.209163478775583e+02, -9.168841408252953e-02
Pb3Y1       ,  4.720000000000000e+00,  3.331696932451172e+00,  1.911498933048550e+01,  2.858000786828226e-01
Bi2Cs1      ,  4.750000000000000e+00,  2.877372557255196e+00,  6.280662280917794e+00,  4.893542788849500e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  5.191425545981907e+00,  1.765262085170621e+01, -1.701637753383160e+00
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.084000634447959e+00, -1.865687542438815e+00,  9.788219484712152e-02
Br2C2Y2     ,  5.050000000000000e+00,  3.754050281109132e+00,  1.448729820295985e+01, -2.573743693331937e-01
Ir1Mo1      ,  5.325000000000000e+00,  3.729037033020352e+00,  3.785567402331083e+01,  2.684335034326527e-01
N1Ti1       ,  5.387500000000000e+00,  5.391306240292081e+00,  1.531226654902903e+02,  9.837776424349562e-01
Ga1         ,  5.527454545000000e+00,  4.065130260518781e+00,  9.010080525627282e+00, -7.016630410825437e-01
B6Y1        ,  5.692857143000000e+00,  5.588862218187420e+00,  1.514990918972444e+01, -2.173181986073209e+00
Bi3Sr1      ,  5.700000000000000e+00,  3.455513463068293e+00,  1.786494537960135e+01,  1.288424452035806e-01
Ba1Bi3      ,  5.745000000000000e+00,  3.477418089574174e+00,  8.888486606542006e+00, -8.606938611516828e-02
Nb1S2       ,  5.821818182000000e+00,  5.041689266199414e+00,  1.359696283156897e+01, -1.630825093561421e+00
C1Mo2       ,  6.021666667000000e+00,  3.783677612044842e+00,  5.206770019844019e+01,  5.147401401066318e-01
Rh2Sr1      ,  6.200000000000000e+00,  3.215512626794681e+00, -4.399672204462631e+00, -9.461415131925760e-02
Pb1         ,  6.470100000000000e+00,  2.766475255161812e+00, -2.289868115323516e+00,  4.228085791603087e-01
Sn1Ta3      ,  6.692500000000000e+00,  5.388001548469965e+00,  6.282334481037579e+00, -2.151447844523691e+00
Ag1B2       ,  6.700000000000000e+00,  5.323666298017804e+00,  9.441526927545335e+01, -1.999407957136095e-01
Nb1Se2      ,  6.814619048000000e+00,  7.163918821538627e+00, -9.440791280651540e+00, -4.355550291127638e+00
Li1Pb1      ,  7.200000000000000e+00,  5.918560792336902e+00,  1.516604851771744e+02,  3.979240619338482e-01
Tc1         ,  7.794166667000000e+00,  3.574230291290139e+00, -1.926871959461543e+01, -7.897608319763874e-01
P1Ru1Zr1    ,  8.496153846000000e+00,  5.138329893158297e+00,  6.194403967998659e+01, -6.990624893059683e-01
C1Ta1       ,  8.637499999999999e+00,  9.611753641808768e+00,  3.224046181145741e+02,  1.628345956129860e-01
Hf1N1       ,  8.830000000000000e+00,  8.086170945981104e+00,  2.658565396650004e+02,  5.588275307939156e-01
N1Zr1       ,  9.850000000000000e+00,  4.747396453159203e+00,  1.071276331060952e+02,  6.779420279874246e-01
C2I2Y2      ,  9.917500000000000e+00,  1.027317010729271e+01,  3.805159835089145e+02,  7.092413332593569e-01
C1Mo1       ,  1.015200000000000e+01,  4.855339865183452e+00,  1.805533849110892e+01, -1.339513583593505e+00
Mo3Os1      ,  1.102250000000000e+01,  4.853824606043381e+00,  1.319432092937708e+01, -1.441823641112372e+00
C6Ca        ,  1.130300000000000e+01,  1.144666298218674e+01,  2.516796985654744e+00, -8.604818029939857e+00
Nb3Sn1      ,  1.670900000000000e+01,  1.689297229562381e+01, -1.395209267373510e+00, -1.441720840603905e+01
B2Mg0.98    ,  3.840000000000000e+01,  3.892571742094771e+01,  3.280631588413713e+00, -3.749269311604670e+01
