# c0 + a0 * (((at_rad_wtd_std+2.682906e+00) / (lambda4w_low+2.261376e-03)) + 9.459682e-01*((ThermalCond_std-7.571083e+01) / (PE_mean-2.136501e+00))) + a1 * (((w_log+2.653581e-02) / (density-2.728763e+00)) + 1.691663e+00*((EA_range-1.647808e+00) * (lambda4w_low-1.898866e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.90968271095118; Max AE: 5.2251459383062
# Coefficients
# Task   a0                      a1                      c0
# all , -2.246620710341435e-03, -1.730013470675162e+01,  5.249329228626896e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * eV^-1;                                       18|2|div|41|25|div|add:9.4596816444599e-01,0.0000000000000e+00,-7.5710834338033e+01,-2.1365008327175e+00,2.6829058789601e+00,2.2613757899926e-03; (((at_rad_wtd_std+2.682906e+00) / (lambda4w_low+2.261376e-03)) + 9.459682e-01*((ThermalCond_std-7.571083e+01) / (PE_mean-2.136501e+00))); $\left(\left(\frac{ at_{rad, wtd, std} +2.683e+00 }{ lambda4w_{low}+2.261e-03 } \right) + 0.946\left(\frac{ ThermalCond_{std} -7.571e+01 }{ PE_{mean}-2.137e+00 } \right)\right)$; (((at_rad_wtd_std+2.682906e+00) ./ (lambda4w_low+2.261376e-03)) + (9.459682e-01.*((ThermalCond_std-7.571083e+01) ./ (PE_mean-2.136501e+00)))); (((newdata$at_rad_wtd_std+2.682906e+00) / (newdata$lambda4w_low+2.261376e-03)) + (9.459682e-01*((newdata$ThermalCond_std-7.571083e+01) / (newdata$PE_mean-2.136501e+00)))); at_rad_wtd_std,lambda4w_low,ThermalCond_std,PE_mean
# 1;  2; cm^3 * eV * g^-1;                                 1|5|div|33|2|mult|add:1.6916628282780e+00,0.0000000000000e+00,-1.6478077007354e+00,-1.8988663717353e-02,2.6535806563034e-02,-2.7287634568547e+00; (((w_log+2.653581e-02) / (density-2.728763e+00)) + 1.691663e+00*((EA_range-1.647808e+00) * (lambda4w_low-1.898866e-02))); $\left(\left(\frac{ w_{log} +2.654e-02 }{ density-2.729e+00 } \right) + 1.69\left(\left(EA_{range}-1.648e+00\right) * \left(lambda4w_{low}-1.899e-02\right)\right)\right)$; (((w_log+2.653581e-02) ./ (density-2.728763e+00)) + (1.691663e+00.*((EA_range-1.647808e+00) .* (lambda4w_low-1.898866e-02)))); (((newdata$w_log+2.653581e-02) / (newdata$density-2.728763e+00)) + (1.691663e+00*((newdata$EA_range-1.647808e+00) * (newdata$lambda4w_low-1.898866e-02)))); w_log,density,EA_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02, -5.657078277068518e-01,  1.020578579704334e+03,  2.035928703644465e-01
Se2Ta1      ,  1.250000000000000e-01,  1.173380775502344e+00,  4.041462153952090e+02,  1.831191056781317e-01
Ti1         ,  1.620000000000000e-01,  2.006666993394582e+00,  8.907122523861036e+02,  7.176647252245302e-02
B1Mo1       ,  2.500000000000000e-01,  2.182392048897546e+00,  1.053258469491464e+03,  4.050054526765392e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.135048814582725e+00,  7.872042015408683e+02,  1.998430402161763e-02
Pt1Te1      ,  5.900000000000000e-01,  5.069592476478213e+00, -2.504900062934493e+02,  4.291832408283699e-02
Sb1V3       ,  6.500000000000000e-01,  2.340880110164988e+00,  9.720753785076791e+02,  4.188201152045339e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.951408139689683e+00,  3.534153754385463e+02,  2.912872042130489e-02
Rh1Te2      ,  7.550000000000000e-01,  2.240838082084733e+00,  1.090720537912181e+03,  3.225730934084095e-02
Zr1         ,  9.966666670000000e-01,  2.931409771263437e+00,  6.106298789005097e+02,  5.468545425273921e-02
Be2Ta3      ,  1.000000000000000e+00,  1.752709495814370e+00,  1.203458388598732e+03,  4.583231323875424e-02
C1Si1       ,  1.075000000000000e+00,  4.593515992748443e+00, -3.707915426876705e+02,  8.605951457239129e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.973157728295797e+00,  6.646674955483461e+02,  4.525489267062567e-02
Nb1O1       ,  1.380000000000000e+00,  2.995630587402624e+00,  6.747537536874764e+02,  4.264607740432416e-02
Sb1         ,  1.416666667000000e+00,  2.613048467132570e+00,  9.960567412285031e+02,  2.303560433085206e-02
Sb1Sn1      ,  1.430000000000000e+00,  2.655234641264203e+00,  8.028131610826835e+02,  4.569200913974192e-02
S2Ta1       ,  1.488116666500000e+00,  3.446014610623511e+00,  4.780831876763218e+02,  4.215244792395237e-02
B2C2Y1      ,  1.800000000000000e+00,  2.259842525151855e+00,  9.077499148929583e+02,  5.491962698388989e-02
Re2Y1       ,  1.830000000000000e+00,  2.263102417701352e+00,  9.543445941797255e+02,  4.868034238544452e-02
S1Y1        ,  1.900000000000000e+00,  3.163295558634741e+00,  8.111050953825969e+02,  1.524775205011557e-02
Ga2Pt1      ,  1.900000000000000e+00,  2.794900557954462e+00,  1.097202343040897e+03, -6.109106557573990e-04
Mo0.5Rh0.5  ,  1.940000000000000e+00,  5.046196286383172e+00, -2.181370060677368e+02,  4.006928671467767e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.612423540662510e+00,  9.235582927968098e+02,  3.248648115671360e-02
Be2Nb1      ,  2.150000000000000e+00,  2.645635315190359e+00,  8.380533200427047e+02,  4.167054074884481e-02
In1Te1      ,  2.206000000000000e+00,  3.735549865427453e+00,  6.195097487385101e+02,  7.050576974841969e-03
C2Cl2Y2     ,  2.300000000000000e+00,  4.155936245624371e+00,  3.033617515644333e+01,  5.926191448806464e-02
Be2Nb3      ,  2.300000000000000e+00,  2.415745810253386e+00,  1.001634634057049e+03,  3.371594008907011e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.196000626623381e+00,  9.981234786043423e+02,  4.687383868615130e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  3.572325246742393e+00,  8.036838776857225e+02, -7.431668277217409e-03
Bi1Nb3      ,  2.516666667000000e+00,  2.853495573607049e+00,  6.922213385672255e+02,  4.859354414889972e-02
Re1         ,  2.581333333000000e+00,  3.014929311842935e+00,  6.759047651273693e+02,  4.138108086239126e-02
Nb3Rh1      ,  2.742333333000000e+00,  2.770421266929020e+00,  7.478621017106444e+02,  4.616989919757949e-02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.510048516577053e+00,  2.540209885251683e+02,  9.745120556893673e-03
N1Ni3Zn1    ,  3.000000000000000e+00,  6.929496345822757e+00, -3.536240138613100e+02, -5.119660043082298e-02
B1Hf1       ,  3.100000000000000e+00,  1.960881554417038e+00,  1.097084424413883e+03,  4.761321800616670e-02
Pt0.25V0.75 ,  3.102500000000000e+00,  4.244752237564009e+00,  4.028343267234205e+02,  5.754929166577296e-03
C2Y1        ,  3.150000000000000e+00,  2.838647491986181e+00,  7.274687091105876e+02,  4.487453316329055e-02
Pb1Pd2Y1    ,  3.215000000000000e+00,  1.573477767988135e+00,  1.268676693882011e+03,  4.772310386194430e-02
In1Sb1      ,  3.320000000000000e+00,  4.373977943745707e+00,  3.286286155526692e+02,  7.921755147735580e-03
Bi2K1       ,  3.575000000000000e+00,  3.353032813425714e+00,  5.481370832408098e+02,  3.842977544138820e-02
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.852974607023958e+00,  1.176906842061754e+02,  7.627009574647763e-03
Hg0.5In0.5  ,  3.810000000000000e+00,  5.224171483405781e+00,  2.269228261015385e+02, -2.801433536576268e-02
C1W2        ,  3.835000000000000e+00,  4.025650053704511e+00,  2.920698325613245e+02,  3.280373533754503e-02
C1Ga1Mo2    ,  3.900000000000000e+00,  5.651786550099478e+00, -3.288626194992290e+02,  1.944333128344065e-02
Ba1Ge3      ,  4.000000000000000e+00,  4.532526959915808e+00,  2.298620986058706e+02,  1.158310734900745e-02
Bi2Rb1      ,  4.250000000000000e+00,  1.718148771991434e+00,  1.237763590400158e+03,  4.337510387378901e-02
Ba1Sn3      ,  4.300000000000000e+00,  2.085284951685292e+00,  1.230671930441141e+03,  2.307445792435781e-02
Rh1Se2      ,  4.350000000000000e+00,  4.040465361107414e+00,  3.471582162242358e+02,  2.479350805387240e-02
Al1Au2Sc1   ,  4.400000000000000e+00,  4.388775233539986e+00,  3.973701878959079e+02, -1.860453647204489e-03
B2Nb1       ,  4.597500000000000e+00,  3.656969217924627e+00,  4.661228193480006e+02,  3.151182579980462e-02
Pb3Y1       ,  4.720000000000000e+00,  3.494030450343013e+00,  4.947586257815765e+02,  3.721149077132262e-02
Bi2Cs1      ,  4.750000000000000e+00,  1.733556857564444e+00,  1.236192989094584e+03,  4.268843059906691e-02
Al1Si1Sr1   ,  4.750000000000000e+00,  3.274398361405699e+00,  3.077042434932257e+02,  7.419804313017370e-02
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.794097179093617e+00,  4.851078888428514e+02,  2.111998697711436e-02
Br2C2Y2     ,  5.050000000000000e+00,  4.768069218266570e+00,  3.002090124745407e+02, -1.116729885465750e-02
Ir1Mo1      ,  5.325000000000000e+00,  6.677586284844540e+00, -8.469185630089737e+02,  2.742451058636928e-02
N1Ti1       ,  5.387500000000000e+00,  4.538003420457513e+00, -8.134843006354095e+01,  5.168080428616352e-02
Ga1         ,  5.527454545000000e+00,  4.306268916387877e+00,  3.471054281375827e+02,  9.436115468481632e-03
B6Y1        ,  5.692857143000000e+00,  5.164593458152406e+00,  2.078742349649556e+02, -2.209686788132187e-02
Bi3Sr1      ,  5.700000000000000e+00,  3.277049608690584e+00,  6.914913280606642e+02,  2.420564281099455e-02
Ba1Bi3      ,  5.745000000000000e+00,  4.393623840109671e+00,  2.928296343365438e+02,  1.143507092680794e-02
Nb1S2       ,  5.821818182000000e+00,  3.906921491090290e+00,  1.018458109290475e+03, -5.466323583257948e-02
C1Mo2       ,  6.021666667000000e+00,  3.263748697322580e+00,  5.597840318139665e+02,  4.207817710393517e-02
Rh2Sr1      ,  6.200000000000000e+00,  4.303495458278284e+00,  3.083691296725755e+02,  1.462678189999790e-02
Pb1         ,  6.470100000000000e+00,  4.158469625105091e+00,  1.184361675732605e+02,  4.767468407493768e-02
Sn1Ta3      ,  6.692500000000000e+00,  6.420969660291187e+00,  1.947324914422521e+02, -9.301259829421185e-02
Ag1B2       ,  6.700000000000000e+00,  5.510406859157317e+00, -3.191982723759367e+02,  2.636047791677530e-02
Nb1Se2      ,  6.814619048000000e+00,  7.259608042356249e+00,  7.636932888968519e+02, -2.153745063880722e-01
Li1Pb1      ,  7.200000000000000e+00,  2.803956226430842e+00,  7.368758124593601e+02,  4.565817286190947e-02
Tc1         ,  7.794166667000000e+00,  4.675278730596031e+00,  3.942697100891135e+02, -1.801858791272859e-02
P1Ru1Zr1    ,  8.496153846000000e+00,  5.164317203152351e+00,  1.799111401393767e+02, -1.844957125444546e-02
C1Ta1       ,  8.637499999999999e+00,  3.412354061693795e+00,  6.673131090427717e+02,  1.952445582654658e-02
Hf1N1       ,  8.830000000000000e+00,  8.064904587241331e+00, -1.514287105921215e+03,  3.389877737323561e-02
N1Zr1       ,  9.850000000000000e+00,  6.747110626704294e+00, -9.375782556656052e+02,  3.517899363114396e-02
C2I2Y2      ,  9.917500000000000e+00,  8.194974059743277e+00, -1.813487095885910e+03,  6.523491611874022e-02
C1Mo1       ,  1.015200000000000e+01,  6.920601169121997e+00, -2.714540751109085e+02, -6.135314039087345e-02
Mo3Os1      ,  1.102250000000000e+01,  8.617439400198386e+00, -1.037846338340804e+03, -5.991069499005239e-02
C6Ca        ,  1.130300000000000e+01,  1.188607208290565e+01,  3.694478888176052e+02, -4.316008088523324e-01
Nb3Sn1      ,  1.670900000000000e+01,  1.760830955008008e+01,  1.921604125225259e+02, -7.393405947840566e-01
B2Mg0.98    ,  3.840000000000000e+01,  3.825492649726206e+01,  2.901330488122311e+02, -1.945500237736065e+00
