# c0 + a0 * (((IP_range+4.554871e+01) / (at_rad_wtd_mean-1.230341e+00)) + 8.104368e+00*((at_mass_mean-1.726387e+01) / (lambda4w_low-5.646656e-02))) + a1 * (((IP_wtd_std-1.423571e+00) / (density-2.650982e+00)) + 2.844304e+01*((EA_range-1.635851e+00) * (lambda4w_low-3.209792e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.92346354763436; Max AE: 5.02697420442246
# Coefficients
# Task   a0                      a1                      c0
# all , -4.308852274263111e-05, -1.076309465181406e+00,  3.610034293739551e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * eV;                                       21|14|div|7|2|div|add:8.1043684525117e+00,0.0000000000000e+00,-1.7263866230774e+01,-5.6466557923406e-02,4.5548713765674e+01,-1.2303407393092e+00; (((IP_range+4.554871e+01) / (at_rad_wtd_mean-1.230341e+00)) + 8.104368e+00*((at_mass_mean-1.726387e+01) / (lambda4w_low-5.646656e-02))); $\left(\left(\frac{ IP_{range} +4.555e+01 }{ at_{rad, wtd, mean}-1.230e+00 } \right) + 8.10\left(\frac{ at_{mass, mean} -1.726e+01 }{ lambda4w_{low}-5.647e-02 } \right)\right)$; (((IP_range+4.554871e+01) ./ (at_rad_wtd_mean-1.230341e+00)) + (8.104368e+00.*((at_mass_mean-1.726387e+01) ./ (lambda4w_low-5.646656e-02)))); (((newdata$IP_range+4.554871e+01) / (newdata$at_rad_wtd_mean-1.230341e+00)) + (8.104368e+00*((newdata$at_mass_mean-1.726387e+01) / (newdata$lambda4w_low-5.646656e-02)))); IP_range,at_rad_wtd_mean,at_mass_mean,lambda4w_low
# 1;  2; cm^3 * eV * g^-1;                                 24|5|div|33|2|mult|add:2.8443044511720e+01,0.0000000000000e+00,-1.6358512420871e+00,-3.2097919767448e-02,-1.4235712475993e+00,-2.6509820566659e+00; (((IP_wtd_std-1.423571e+00) / (density-2.650982e+00)) + 2.844304e+01*((EA_range-1.635851e+00) * (lambda4w_low-3.209792e-02))); $\left(\left(\frac{ IP_{wtd, std} -1.424e+00 }{ density-2.651e+00 } \right) + 28.4\left(\left(EA_{range}-1.636e+00\right) * \left(lambda4w_{low}-3.210e-02\right)\right)\right)$; (((IP_wtd_std-1.423571e+00) ./ (density-2.650982e+00)) + (2.844304e+01.*((EA_range-1.635851e+00) .* (lambda4w_low-3.209792e-02)))); (((newdata$IP_wtd_std-1.423571e+00) / (newdata$density-2.650982e+00)) + (2.844304e+01*((newdata$EA_range-1.635851e+00) * (newdata$lambda4w_low-3.209792e-02)))); IP_wtd_std,density,EA_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  6.013021732696361e-01, -8.242359973837934e+03,  3.125386651773634e+00
Se2Ta1      ,  1.250000000000000e-01, -2.757020466024198e-01,  8.003976062096309e+02,  3.578198013184391e+00
Ti1         ,  1.620000000000000e-01,  2.954791235113743e+00, -4.366094553828611e+03,  7.835772613620796e-01
B1Mo1       ,  2.500000000000000e-01,  3.015044940267326e+00, -6.667490787800305e+03,  8.197286286708805e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.701734288478467e+00, -1.004113298934880e+04,  3.167839766018946e-01
Pt1Te1      ,  5.900000000000000e-01,  3.396983588044699e+00, -2.166479067323317e+04,  1.065264748126652e+00
Sb1V3       ,  6.500000000000000e-01,  3.140949861500292e+00, -9.995935570001961e+03,  8.359998295002539e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.317346260287411e+00, -6.261884528567763e+03,  5.226223549732094e-01
Rh1Te2      ,  7.550000000000000e-01,  3.540180811516625e+00, -1.380729735044574e+04,  6.176564915833300e-01
Zr1         ,  9.966666670000000e-01,  2.999271761070330e+00, -1.109769068223998e+04,  1.011740271036330e+00
Be2Ta3      ,  1.000000000000000e+00,  2.873958831845529e+00, -1.094325387149002e+04,  1.121985956901876e+00
C1Si1       ,  1.075000000000000e+00,  2.288767313607028e+00, -5.969246833238531e+02,  1.251487259473774e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.022599538464161e+00, -1.365783246381035e+04,  1.092558058856363e+00
Nb1O1       ,  1.380000000000000e+00,  2.424654476067458e+00, -6.158576445843701e+03,  1.347887225609920e+00
Sb1         ,  1.416666667000000e+00,  3.878532755534264e+00, -1.951698866688577e+04,  5.318728179627996e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.190768054593829e+00, -1.569148421182023e+04,  1.017726916754145e+00
S2Ta1       ,  1.488116666500000e+00,  2.768749196198867e+00,  6.125309762300129e+03,  5.364205809012790e-01
B2C2Y1      ,  1.800000000000000e+00,  2.834849063355666e+00, -3.178058215684661e+03,  8.474542811291600e-01
Re2Y1       ,  1.830000000000000e+00,  3.020040253906785e+00, -1.748958600358220e+04,  1.248334710018429e+00
S1Y1        ,  1.900000000000000e+00,  3.699322356175748e+00, -6.406517558524188e+03,  1.735182316303996e-01
Ga2Pt1      ,  1.900000000000000e+00,  4.478346970913951e+00, -1.607294229535051e+04, -1.632925689365471e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.154435476363788e+00, -1.215267885120728e+04,  9.098124917770329e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.338025967231242e+00, -1.494359776470861e+04,  8.509688972170441e-01
Be2Nb1      ,  2.150000000000000e+00,  3.256047135950936e+00, -6.059765516835754e+03,  5.714838733413293e-01
In1Te1      ,  2.206000000000000e+00,  4.269916445195864e+00, -1.571071632973623e+04,  1.585919939640730e-02
C2Cl2Y2     ,  2.300000000000000e+00,  2.916390402957181e+00, -1.201563746999214e+04,  1.125494105890043e+00
Be2Nb3      ,  2.300000000000000e+00,  3.134748584531871e+00, -4.555255182168910e+03,  6.239515190083964e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.032008270905201e+00, -1.924060792633200e+04,  1.307314894618157e+00
As1Pt1Sr1   ,  2.425000000000000e+00,  4.643693989662128e+00, -1.512523255136062e+04, -3.548568339323465e-01
Bi1Nb3      ,  2.516666667000000e+00,  3.214223255495464e+00, -2.007780450251422e+04,  1.171534781551187e+00
Re1         ,  2.581333333000000e+00,  3.469535445397244e+00, -2.640423782303371e+04,  1.187593802370305e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  3.390093053486388e+00, -1.706985587390388e+04,  8.877150524066690e-01
Nb3Rh1      ,  2.742333333000000e+00,  3.027878352038569e+00, -1.192630686869458e+04,  1.018334337758141e+00
N1Ni3Zn1    ,  3.000000000000000e+00,  3.911231436063881e+00,  6.747459099344680e+03, -5.499674641267323e-01
B1Hf1       ,  3.100000000000000e+00,  2.858853977117826e+00, -1.058985618443674e+04,  1.121872114599035e+00
