# c0 + a0 * (((IP_range-2.032282e+01) * (at_mass_wtd_range-2.296763e+02)) + 2.960733e+03*((PE_wtd_mean-2.283101e+00) / (IP_mean-9.218829e+00))) + a1 * (((IP_std+1.762212e+01) / (density-2.708012e+00)) + 3.525567e+01*((EA_wtd_range-7.405627e-01) * (lambda3-4.209554e-01)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.91479133202407; Max AE: 6.37918515807033
# Coefficients
# Task   a0                      a1                      c0
# all , -1.183047806096291e-03, -4.683667607429051e-02,  8.418740137202537e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g * mol^-1;                                  21|10|mult|26|19|div|add:2.9607334127440e+03,0.0000000000000e+00,-2.2831005148639e+00,-9.2188285288819e+00,-2.0322821756301e+01,-2.2967628844650e+02; (((IP_range-2.032282e+01) * (at_mass_wtd_range-2.296763e+02)) + 2.960733e+03*((PE_wtd_mean-2.283101e+00) / (IP_mean-9.218829e+00))); $\left(\left(\left(IP_{range}-2.032e+01\right) * \left(at_{mass, wtd, range}-2.297e+02\right)\right) + 2.96e+03\left(\frac{ PE_{wtd, mean} -2.283e+00 }{ IP_{mean}-9.219e+00 } \right)\right)$; (((IP_range-2.032282e+01) .* (at_mass_wtd_range-2.296763e+02)) + (2.960733e+03.*((PE_wtd_mean-2.283101e+00) ./ (IP_mean-9.218829e+00)))); (((newdata$IP_range-2.032282e+01) * (newdata$at_mass_wtd_range-2.296763e+02)) + (2.960733e+03*((newdata$PE_wtd_mean-2.283101e+00) / (newdata$IP_mean-9.218829e+00)))); IP_range,at_mass_wtd_range,PE_wtd_mean,IP_mean
# 1;  2; cm^3 * eV * g^-1;                                 23|5|div|34|3|mult|add:3.5255666061851e+01,0.0000000000000e+00,-7.4056274033670e-01,-4.2095536464814e-01,1.7622118955044e+01,-2.7080118701098e+00; (((IP_std+1.762212e+01) / (density-2.708012e+00)) + 3.525567e+01*((EA_wtd_range-7.405627e-01) * (lambda3-4.209554e-01))); $\left(\left(\frac{ IP_{std} +1.762e+01 }{ density-2.708e+00 } \right) + 35.3\left(\left(EA_{wtd, range}-7.406e-01\right) * \left(lambda3-4.210e-01\right)\right)\right)$; (((IP_std+1.762212e+01) ./ (density-2.708012e+00)) + (3.525567e+01.*((EA_wtd_range-7.405627e-01) .* (lambda3-4.209554e-01)))); (((newdata$IP_std+1.762212e+01) / (newdata$density-2.708012e+00)) + (3.525567e+01*((newdata$EA_wtd_range-7.405627e-01) * (newdata$lambda3-4.209554e-01)))); IP_std,density,EA_wtd_range,lambda3
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  1.954577226943414e+00,  2.537885239834295e+03,  7.391052558166490e+01
Se2Ta1      ,  1.250000000000000e-01,  1.186375117819775e+00,  4.021764914673660e+03,  5.283092370855304e+01
Ti1         ,  1.620000000000000e-01,  1.053762337021581e+00,  5.587904615953060e+03,  1.610318166912696e+01
B1Mo1       ,  2.500000000000000e-01,  3.437218731335990e+00,  3.932643563891201e+03,  7.024752672979846e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.332147736265835e+00,  4.115498037447440e+03,  4.649379396512098e+00
Pt1Te1      ,  5.900000000000000e-01,  2.374788885219233e+00,  5.147726007451129e+03, -9.833043541245730e-01
Sb1V3       ,  6.500000000000000e-01,  2.311927292196447e+00,  4.806790896327895e+03,  8.970521735473403e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.846120022138448e+00,  4.698282049800011e+03,  3.059107696685297e-01
Rh1Te2      ,  7.550000000000000e-01,  2.746944159873402e+00,  4.475686463830346e+03,  8.045936584441689e+00
Zr1         ,  9.966666670000000e-01,  1.286224261624950e+00,  5.759377713277615e+03,  6.808696392092607e+00
Be2Ta3      ,  1.000000000000000e+00,  3.742595427452935e-01,  6.430649266272595e+03,  9.324211810548364e+00
C1Si1       ,  1.075000000000000e+00,  3.422908072576132e+00,  3.462374186299453e+03,  1.920883280046117e+01
Nb3Sb1      ,  1.100000000000000e+00,  2.053453634185014e+00,  5.148042766647372e+03,  5.869455847153304e+00
Nb1O1       ,  1.380000000000000e+00,  4.089600550955803e+00,  3.297923412760590e+03,  9.128285009563477e+00
Sb1         ,  1.416666667000000e+00,  2.424568479175365e+00,  5.859989669373414e+03, -2.003720892967296e+01
Sb1Sn1      ,  1.430000000000000e+00,  2.530478962150229e+00,  5.012140246479168e+03, -8.826490446551452e-01
S2Ta1       ,  1.488116666500000e+00,  1.807516202862265e+00,  4.910173364476255e+03,  1.712875838310326e+01
B2C2Y1      ,  1.800000000000000e+00,  2.917936854360667e+00,  4.089354458905197e+03,  1.415346940573930e+01
Re2Y1       ,  1.830000000000000e+00,  2.943567680823806e+00,  4.310656392059470e+03,  8.016364532834960e+00
S1Y1        ,  1.900000000000000e+00,  2.729182490924206e+00,  4.475494590977783e+03,  8.430008752115109e+00
Ga2Pt1      ,  1.900000000000000e+00,  4.091544144849262e+00,  3.558876305338894e+03,  2.495377489398257e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.698232269071264e+00,  4.610112702197243e+03,  5.690500955222161e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.400235328774710e+00,  4.037985796916578e+03,  5.153537581420758e+00
