# c0 + a0 * ((sin(-9.471196e+01*lambda3-7.563455e-01)) + 1.150331e+16*((PE_wtd_range-9.761721e-01) / (ThermalCond_wtd_mean+7.351623e+15))) + a1 * (((at_mass_range+9.910269e+01) / (lambda4w_low-6.266308e-02)) + 1.255077e+01*((ThermalCond_std+5.821306e+01) / (L_avg-3.651677e+00))) + a2 * (((IP_range-3.858630e+00) / (IP_wtd_mean-1.050600e+01)) + 2.551067e+01*((PE_wtd_std-1.784151e+00) / (lambda+6.377097e-01))) + a3 * (((EA_range+4.422647e+00) / (at_mass_mean-1.769493e+01)) + 6.377297e+01*((EA_wtd_range-7.339855e-01) * (lambda4w_low-8.713197e-03)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.35089034712175; Max AE: 3.12528216152392
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.086218786013506e+00, -2.966123206111001e-04,  8.041241941565148e-02, -9.819697354578310e-01,  6.083063347530500e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|sin|28|38|div|add:1.1503312870140e+16,0.0000000000000e+00,-9.7617209498603e-01,7.3516226782398e+15,-9.4711956827382e+01,-7.5634551222526e-01; ((sin(-9.471196e+01*lambda3-7.563455e-01)) + 1.150331e+16*((PE_wtd_range-9.761721e-01) / (ThermalCond_wtd_mean+7.351623e+15))); $\left(\left(\sin{ \left(-9.471e+01lambda3-7.563e-01 \right)}\right) + 1.15e+16\left(\frac{ PE_{wtd, range} -9.762e-01 }{ ThermalCond_{wtd, mean}+7.352e+15 } \right)\right)$; (sin(-9.471196e+01.*lambda3-7.563455e-01) + (1.150331e+16.*((PE_wtd_range-9.761721e-01) ./ (ThermalCond_wtd_mean+7.351623e+15)))); (sin(-9.471196e+01*newdata$lambda3-7.563455e-01) + (1.150331e+16*((newdata$PE_wtd_range-9.761721e-01) / (newdata$ThermalCond_wtd_mean+7.351623e+15)))); lambda3,PE_wtd_range,ThermalCond_wtd_mean
# 1;  2; eV^-1 * g * mol^-1;                               9|2|div|41|4|div|add:1.2550768092356e+01,0.0000000000000e+00,5.8213062369310e+01,-3.6516773976954e+00,9.9102686102946e+01,-6.2663078562001e-02; (((at_mass_range+9.910269e+01) / (lambda4w_low-6.266308e-02)) + 1.255077e+01*((ThermalCond_std+5.821306e+01) / (L_avg-3.651677e+00))); $\left(\left(\frac{ at_{mass, range} +9.910e+01 }{ lambda4w_{low}-6.266e-02 } \right) + 12.6\left(\frac{ ThermalCond_{std} +5.821e+01 }{ L_{avg}-3.652e+00 } \right)\right)$; (((at_mass_range+9.910269e+01) ./ (lambda4w_low-6.266308e-02)) + (1.255077e+01.*((ThermalCond_std+5.821306e+01) ./ (L_avg-3.651677e+00)))); (((newdata$at_mass_range+9.910269e+01) / (newdata$lambda4w_low-6.266308e-02)) + (1.255077e+01*((newdata$ThermalCond_std+5.821306e+01) / (newdata$L_avg-3.651677e+00)))); at_mass_range,lambda4w_low,ThermalCond_std,L_avg
# 2;  2; Unitless;                                         21|20|div|30|0|div|add:2.5510669306100e+01,0.0000000000000e+00,-1.7841511154232e+00,6.3770971281517e-01,-3.8586299650423e+00,-1.0505996647700e+01; (((IP_range-3.858630e+00) / (IP_wtd_mean-1.050600e+01)) + 2.551067e+01*((PE_wtd_std-1.784151e+00) / (lambda+6.377097e-01))); $\left(\left(\frac{ IP_{range} -3.859e+00 }{ IP_{wtd, mean}-1.051e+01 } \right) + 25.5\left(\frac{ PE_{wtd, std} -1.784e+00 }{ lambda+6.377e-01 } \right)\right)$; (((IP_range-3.858630e+00) ./ (IP_wtd_mean-1.050600e+01)) + (2.551067e+01.*((PE_wtd_std-1.784151e+00) ./ (lambda+6.377097e-01)))); (((newdata$IP_range-3.858630e+00) / (newdata$IP_wtd_mean-1.050600e+01)) + (2.551067e+01*((newdata$PE_wtd_std-1.784151e+00) / (newdata$lambda+6.377097e-01)))); IP_range,IP_wtd_mean,PE_wtd_std,lambda
# 3;  2; eV * g^-1 * mol;                                  33|7|div|34|2|mult|add:6.3772967010956e+01,0.0000000000000e+00,-7.3398553833547e-01,-8.7131970726578e-03,4.4226470738346e+00,-1.7694926766881e+01; (((EA_range+4.422647e+00) / (at_mass_mean-1.769493e+01)) + 6.377297e+01*((EA_wtd_range-7.339855e-01) * (lambda4w_low-8.713197e-03))); $\left(\left(\frac{ EA_{range} +4.423e+00 }{ at_{mass, mean}-1.769e+01 } \right) + 63.8\left(\left(EA_{wtd, range}-7.340e-01\right) * \left(lambda4w_{low}-8.713e-03\right)\right)\right)$; (((EA_range+4.422647e+00) ./ (at_mass_mean-1.769493e+01)) + (6.377297e+01.*((EA_wtd_range-7.339855e-01) .* (lambda4w_low-8.713197e-03)))); (((newdata$EA_range+4.422647e+00) / (newdata$at_mass_mean-1.769493e+01)) + (6.377297e+01*((newdata$EA_wtd_range-7.339855e-01) * (newdata$lambda4w_low-8.713197e-03)))); EA_range,at_mass_mean,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -1.452326680368420e+00, -1.163692366381634e+00, -2.717778497137129e+03, -8.340415255227813e+01,  3.775700980477129e-01
Se2Ta1      ,  1.250000000000000e-01,  8.371574774966528e-01, -1.783520955732915e+00,  4.601686842473115e+02, -4.822900719996800e+00,  2.835422503694847e+00
Ti1         ,  1.620000000000000e-01,  7.805907544445670e-01, -1.290652217909512e+00,  9.062596682091689e+02, -3.909067049171387e+01,  4.973256466732526e-01
B1Mo1       ,  2.500000000000000e-01,  6.202037364920019e-01, -1.963405841470434e+00,  6.837826226310335e+02, -3.512349581268583e+01,  3.085509292174724e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.355333003269726e+00, -2.146823032515743e+00, -1.057485627711492e+03, -3.119594937108069e+01,  2.046217210081611e-01
Pt1Te1      ,  5.900000000000000e-01,  1.556989378091528e+00, -2.374855001942177e+00, -1.670889114741437e+03, -2.725239769380851e+01,  2.552389422928620e-01
Sb1V3       ,  6.500000000000000e-01,  1.254931928673754e+00, -2.159945192196829e+00, -2.142020325577934e+03, -3.488324770468310e+01,  3.179951862204635e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.340271971786082e+00, -4.667145180634162e-01,  6.882648530764482e+01, -2.508192177433037e+01,  2.021696742328964e-01
Rh1Te2      ,  7.550000000000000e-01,  1.918614906586008e+00, -7.222230971957622e-01, -1.388918187171175e+03, -4.406965001253873e+01,  2.527361103328256e-01
Zr1         ,  9.966666670000000e-01,  3.083976373900942e-01, -1.866840583938806e+00,  2.500090874017141e+03, -3.330487345064761e+01,  3.331927422809781e-01
Be2Ta3      ,  1.000000000000000e+00,  2.328983188020816e+00, -8.779148501971429e-01, -3.451005344041253e+03, -4.301006269270902e+01,  3.722518594044923e-01
C1Si1       ,  1.075000000000000e+00,  7.252156807247541e-01, -1.712601065328148e+00, -2.999475939357811e+03, -2.913411892489900e+01,  2.082064926819730e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.711302234315578e+00, -1.030954585167469e+00, -1.584289316078317e+03, -3.053752477284111e+01,  2.711309180694241e-01
Nb1O1       ,  1.380000000000000e+00,  2.744713718553451e+00, -8.994023247327396e-01, -9.091628552848474e+02, -2.861455183991833e+01,  3.361666618892867e-01
Sb1         ,  1.416666667000000e+00,  2.906744755532773e+00, -2.205907355863074e+00, -3.263043061517718e+03, -2.407044228071602e+01, -1.909255823705826e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.953641136457641e+00, -6.080718573886448e-01, -2.143155342389866e+02, -2.863154115535291e+01,  2.343863156605178e-01
S2Ta1       ,  1.488116666500000e+00,  2.131094715577516e+00, -1.701201402656172e+00,  2.147187543329800e+03, -1.029104349130929e+01,  6.514271275732412e-01
B2C2Y1      ,  1.800000000000000e+00,  3.143739830176063e+00, -4.783506065583840e-01, -1.563876517716623e+03, -3.100846294554552e+01,  3.972929138036129e-01
Re2Y1       ,  1.830000000000000e+00,  2.229094881280770e+00, -1.691768702239723e+00, -2.863800112094204e+03, -3.122878929712368e+01,  3.611042190961223e-01
S1Y1        ,  1.900000000000000e+00,  2.420932615683333e+00, -1.337726791341567e+00,  1.400119245998666e+03, -2.115655554851997e+01,  9.422319278424898e-02
Ga2Pt1      ,  1.900000000000000e+00,  2.190879420224614e+00, -2.002020921669840e+00, -1.871126842040924e+03, -2.795319310944676e+01,  2.522132582470000e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.741627051268031e+00, -9.947879376103014e-01,  8.411242938502273e+02, -3.412037231243944e+01,  2.726045650259972e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  4.063665759555420e+00, -1.213850716708451e-01, -9.365202151706453e+02, -2.361540682524586e+01,  2.712489694791750e-01
Be2Nb1      ,  2.150000000000000e+00,  2.282294349865174e+00, -6.286762917178164e-01, -1.280446801120114e+03, -3.962034136514027e+01,  3.174413404799525e-01
In1Te1      ,  2.206000000000000e+00,  2.844991506644765e+00, -1.030890112492591e+00, -1.428993818949439e+02, -2.653880245236003e+01,  2.712511099717668e-02
C2Cl2Y2     ,  2.300000000000000e+00,  3.423040775276345e+00, -1.320267035503830e+00, -4.453401818182727e+03, -2.016910911107567e+01,  9.419951238408338e-01
Be2Nb3      ,  2.300000000000000e+00,  1.383901028076746e+00, -1.565886708920792e+00, -2.057435126192195e+03, -4.103947927524727e+01,  3.141069785789858e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.984934699475972e+00,  1.815861048483041e-01, -2.243147558152202e+03, -2.015882361441346e+01,  3.459335837368623e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.464822619759088e+00, -1.618643165823222e+00, -3.213768643019382e+03, -2.191571783513630e+01,  5.192379369736046e-02
Bi1Nb3      ,  2.516666667000000e+00,  3.526336917803721e+00, -6.458696441821025e-01, -2.980488228104857e+03, -3.038831470854376e+01,  3.010503281717793e-01
Re1         ,  2.581333333000000e+00,  3.023479429261346e+00, -1.406153301067298e+00, -3.879584964597760e+03, -3.088157019922255e+01,  2.033308193814786e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.904225911280310e+00, -3.005456224615941e-01, -1.707523826733877e+03, -2.603472729258390e+01,  2.702082557335538e-01
Nb3Rh1      ,  2.742333333000000e+00,  1.766316274009311e+00, -1.720053547981862e+00, -8.886664163651196e+02, -2.978657419823981e+01,  3.225878516809281e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.120619478569448e+00, -1.611272417273123e+00, -9.920172952118862e+02, -1.945449434811667e+01, -5.895182407068032e-02
B1Hf1       ,  3.100000000000000e+00,  4.103954345560440e+00, -1.066060818051274e+00, -7.180828901616114e+03, -3.239942841307835e+01,  3.520878494777880e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.494102200619745e+00, -2.103218091567526e+00, -5.009300992608149e+03, -2.289076624334020e+01, -5.140215350725930e-02
C2Y1        ,  3.150000000000000e+00,  2.368629897070677e+00, -8.988174593493973e-01,  1.361676534449403e+03, -2.553755657281435e+01,  2.858482130285954e-01
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.646931908444002e+00, -1.432288066574881e+00, -2.605377397259896e+03, -2.853433671669904e+01,  3.652100521010779e-01
In1Sb1      ,  3.320000000000000e+00,  4.231571423682650e+00, -4.592595528255139e-01, -6.279598048038281e+02, -2.120237786511906e+01, -1.690869999732691e-01
Bi2K1       ,  3.575000000000000e+00,  5.220086060986989e+00, -2.473624056499268e-01, -4.112981644040043e+03, -1.983432799407045e+01,  2.233493714076590e-01
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.717276300748777e+00, -1.831512282602765e-01, -3.248173643548293e+03, -1.679152284249333e+01, -2.239925583968037e-01
Hg0.5In0.5  ,  3.810000000000000e+00,  5.012350978606871e+00, -1.927176939302842e+00, -5.180892469223230e+03, -1.696763924989780e+01, -8.659287364350973e-01
C1W2        ,  3.835000000000000e+00,  5.619078916846737e+00, -2.145504969924886e+00, -1.568008708306717e+04, -3.208433929530177e+01,  2.081777966156088e-01
C1Ga1Mo2    ,  3.900000000000000e+00,  4.185964758708701e+00, -4.171027646177954e-01, -2.875666808145095e+03, -2.692761469887575e+01,  1.340950578009004e-01
Ba1Ge3      ,  4.000000000000000e+00,  4.899678677684369e+00, -6.971307219638943e-01, -3.253615137771836e+03, -1.809921441669047e+01, -6.536973464573587e-02
Bi2Rb1      ,  4.250000000000000e+00,  4.828035582192315e+00,  2.975978966950711e-01, -3.230410317684818e+03, -2.767186853417527e+01,  3.170177067941933e-01
Ba1Sn3      ,  4.300000000000000e+00,  2.268474702199499e+00, -1.468778668681906e+00, -1.540061581112621e+03, -3.080172796728604e+01,  2.027897878599793e-01
Rh1Se2      ,  4.350000000000000e+00,  3.695978549477229e+00, -3.607014088915034e-01, -1.444636983609600e+03, -2.845406679586176e+01,  1.382129423670753e-01
Al1Au2Sc1   ,  4.400000000000000e+00,  3.706468243673612e+00, -1.478650371967249e+00, -2.115661547109861e+03, -1.731598880876554e+01,  5.670254497559458e-03
B2Nb1       ,  4.597500000000000e+00,  4.039045113206623e+00, -1.048567015902473e+00, -5.187024826675850e+03, -2.856799474462593e+01,  1.490462828031805e-01
Pb3Y1       ,  4.720000000000000e+00,  3.314059333601115e+00, -1.872642663923250e+00, -3.152131250415858e+03, -1.923855245947223e+01,  1.251024183182371e-01
Bi2Cs1      ,  4.750000000000000e+00,  2.663585207974931e+00, -1.612175183918639e+00, -2.527129985860257e+03, -2.631088124944209e+01,  3.077074872005642e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  3.757496199466262e+00, -3.890662241986872e-01, -4.508159666355391e+02, -2.273033780164471e+01,  2.127073901171802e-01
Pd2Sn1Y1    ,  4.814444444333330e+00,  2.754574735359079e+00, -1.808137517566083e+00, -1.316451677828082e+03, -2.016366358401472e+01,  1.359741366083293e-01
Br2C2Y2     ,  5.050000000000000e+00,  3.637170861419251e+00, -1.271512651025688e+00, -2.425232322494582e+03, -2.114171943756766e+01,  8.559177690804134e-02
Ir1Mo1      ,  5.325000000000000e+00,  2.524553470348995e+00, -5.859665386733667e-01, -7.917823925818084e+02, -3.700006917817686e+01,  1.849439346860658e-01
N1Ti1       ,  5.387500000000000e+00,  6.238186019291063e+00, -6.673312923491505e-01, -3.689272613368936e+03,  2.099351142892498e+00,  3.901415124956331e-01
Ga1         ,  5.527454545000000e+00,  3.257877502808872e+00, -1.059805692263359e+00,  8.366461464741633e+02, -2.242501534386297e+01, -3.843339447035877e-01
B6Y1        ,  5.692857143000000e+00,  7.109845236338847e+00, -4.377832041409417e-01, -5.345121905164765e+03, -1.598511275145473e+01, -1.224358312349806e+00
Bi3Sr1      ,  5.700000000000000e+00,  4.221368615255042e+00, -6.976394370305432e-01, -2.991310285440250e+03, -2.243699447744465e+01,  1.903848339146426e-01
Ba1Bi3      ,  5.745000000000000e+00,  5.742391628794117e+00,  3.564704640189909e-02, -2.877947709706262e+03, -1.618091286395564e+01, -6.937015501333650e-02
Nb1S2       ,  5.821818182000000e+00,  4.519839536380553e+00, -5.673049935716039e-01,  3.546620779033248e+03, -1.421958437956284e+01, -1.271318338876304e+00
C1Mo2       ,  6.021666667000000e+00,  5.479641609103364e+00, -4.901153225450274e-01, -1.108674155582111e+04, -3.716609701515639e+01,  3.777077989626628e-01
Rh2Sr1      ,  6.200000000000000e+00,  5.405559829828837e+00,  3.472008377847419e-01, -1.270019461739025e+03, -1.686719807370958e+01,  7.638810180414958e-02
Pb1         ,  6.470100000000000e+00,  3.344817838476079e+00, -5.360825803445334e-01, -1.399342263395446e+03, -2.855349194846590e+01,  2.799977588258832e-01
Sn1Ta3      ,  6.692500000000000e+00,  4.399872654052379e+00, -7.501770855464522e-01,  5.892242095436960e+03, -1.499302548939183e+01, -2.123286217369711e+00
Ag1B2       ,  6.700000000000000e+00,  5.865331209875723e+00, -1.222444274302841e+00, -1.315704039591245e+04, -3.213094774975806e+01,  2.125353073989875e-01
Nb1Se2      ,  6.814619048000000e+00,  8.480382816069275e+00, -2.123980477218962e-01,  9.254728189373100e+02, -1.102348586567162e+01, -3.858532387111422e+00
Li1Pb1      ,  7.200000000000000e+00,  8.209117456956932e+00,  3.735527259697296e-01, -1.217088562392316e+04, -1.974057281570387e+01,  3.079048938203897e-01
Tc1         ,  7.794166667000000e+00,  5.690874923482125e+00, -5.917741998404711e-01, -4.656677188271855e+03, -2.388636270700176e+01, -8.046482386626496e-01
P1Ru1Zr1    ,  8.496153846000000e+00,  6.748449191704895e+00, -9.544125642308365e-02, -5.116742614301429e+03, -1.844818220219305e+01, -7.483224454170436e-01
C1Ta1       ,  8.637499999999999e+00,  6.463428057755400e+00,  2.081119629395519e-01, -7.173232130601407e+03, -2.318110035952435e+01,  1.113181735449622e-01
Hf1N1       ,  8.830000000000000e+00,  8.833580685055294e+00,  3.481937345934132e-01, -6.712171817103691e+03,  5.586632629247418e+00,  6.909046259648456e-02
N1Zr1       ,  9.850000000000000e+00,  1.061676350507791e+01,  3.641337317164298e-01, -5.220696088504175e+03,  3.426665516634465e+01,  1.688607761531333e-01
C2I2Y2      ,  9.917500000000000e+00,  8.061777110941806e+00,  1.480994454534956e-02, -1.295205160888583e+04, -1.364362649526912e+01,  7.963525927887798e-01
C1Mo1       ,  1.015200000000000e+01,  1.000525846254792e+01, -2.220020243601255e+00, -2.274038669437187e+04, -2.050165203977805e+01, -1.259846752706228e+00
Mo3Os1      ,  1.102250000000000e+01,  8.712848029746258e+00, -7.086944719587897e-01, -1.251051758840625e+04, -2.186860087193452e+01, -1.473890009380835e+00
C6Ca        ,  1.130300000000000e+01,  9.493428996365818e+00, -1.377305972329731e-01, -1.633264624139510e+03,  4.616339926245048e+01,  6.482743811110903e-01
Nb3Sn1      ,  1.670900000000000e+01,  1.631752092363800e+01, -1.417267835681297e+00,  9.426607884312159e+02, -1.273881955629525e+01, -1.331801190692157e+01
B2Mg0.98    ,  3.840000000000000e+01,  3.873723914365295e+01, -4.182076763581084e-01, -5.606586546202307e+03, -2.803641329527829e+01, -3.431870941883962e+01
