# c0 + a0 * ((PE_mean + 2.797092e+01*IP_mean) + 6.818939e-01*((EA_wtd_range-3.773671e-01) / (w_log-2.347237e-02))) + a1 * (((PE_range-6.434915e-01) / (at_rad_mean-1.433055e+00)) + 4.528991e-05*((EA_wtd_mean-1.062007e+05) * (IP_std-2.105286e+00))) + a2 * (((ThermalCond_range-7.649480e+03) * (at_rad_mean+2.448491e+01)) + 1.867241e+01*((ThermalCond_range+9.636607e+01) / (L_avg-3.708786e+00))) + a3 * ((1.0 / (IP_mean-1.055574e+01)) + 6.005498e+00*((ThermalCond_mean-2.951545e+01) * (lambda4w_low+5.240688e-03))) + a4 * (((w_log+9.140830e-03) / (density-2.746221e+00)) + 8.050968e-02*(cos(5.721383e-01*lambda3+7.762149e-01)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.17919672218348; Max AE: 3.6774031177812
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.655029003308613e-02, -8.921584751616959e-02, -1.479223466562203e-04,  1.496289165755873e-01, -2.971616629834985e+01, -2.062773399883429e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         25|19|add|34|1|div|add:6.8189388398133e-01,0.0000000000000e+00,-3.7736707898299e-01,-2.3472365468990e-02,2.7970924614839e+01,0.0000000000000e+00; ((PE_mean + 2.797092e+01*IP_mean) + 6.818939e-01*((EA_wtd_range-3.773671e-01) / (w_log-2.347237e-02))); $\left(\left(PE_{mean} + 28.0IP_{mean}\right) + 0.682\left(\frac{ EA_{wtd, range} -3.774e-01 }{ w_{log}-2.347e-02 } \right)\right)$; ((PE_mean + (2.797092e+01.*IP_mean)) + (6.818939e-01.*((EA_wtd_range-3.773671e-01) ./ (w_log-2.347237e-02)))); ((newdata$PE_mean + (2.797092e+01*newdata$IP_mean)) + (6.818939e-01*((newdata$EA_wtd_range-3.773671e-01) / (newdata$w_log-2.347237e-02)))); PE_mean,IP_mean,EA_wtd_range,w_log
# 1;  2; AA^-1;                                            27|13|div|32|23|mult|add:4.5289906130562e-05,0.0000000000000e+00,-1.0620072632395e+05,-2.1052862921907e+00,-6.4349148164519e-01,-1.4330545088321e+00; (((PE_range-6.434915e-01) / (at_rad_mean-1.433055e+00)) + 4.528991e-05*((EA_wtd_mean-1.062007e+05) * (IP_std-2.105286e+00))); $\left(\left(\frac{ PE_{range} -6.435e-01 }{ at_{rad, mean}-1.433e+00 } \right) + 4.53e-05\left(\left(EA_{wtd, mean}-1.062e+05\right) * \left(IP_{std}-2.105e+00\right)\right)\right)$; (((PE_range-6.434915e-01) ./ (at_rad_mean-1.433055e+00)) + (4.528991e-05.*((EA_wtd_mean-1.062007e+05) .* (IP_std-2.105286e+00)))); (((newdata$PE_range-6.434915e-01) / (newdata$at_rad_mean-1.433055e+00)) + (4.528991e-05*((newdata$EA_wtd_mean-1.062007e+05) * (newdata$IP_std-2.105286e+00)))); PE_range,at_rad_mean,EA_wtd_mean,IP_std
# 2;  2; AA * W * mK^-1;                                   39|13|mult|39|4|div|add:1.8672408320019e+01,0.0000000000000e+00,9.6366074233194e+01,-3.7087860448040e+00,-7.6494798938223e+03,2.4484914010412e+01; (((ThermalCond_range-7.649480e+03) * (at_rad_mean+2.448491e+01)) + 1.867241e+01*((ThermalCond_range+9.636607e+01) / (L_avg-3.708786e+00))); $\left(\left(\left(ThermalCond_{range}-7.649e+03\right) * \left(at_{rad, mean}+2.448e+01\right)\right) + 18.7\left(\frac{ ThermalCond_{range} +9.637e+01 }{ L_{avg}-3.709e+00 } \right)\right)$; (((ThermalCond_range-7.649480e+03) .* (at_rad_mean+2.448491e+01)) + (1.867241e+01.*((ThermalCond_range+9.636607e+01) ./ (L_avg-3.708786e+00)))); (((newdata$ThermalCond_range-7.649480e+03) * (newdata$at_rad_mean+2.448491e+01)) + (1.867241e+01*((newdata$ThermalCond_range+9.636607e+01) / (newdata$L_avg-3.708786e+00)))); ThermalCond_range,at_rad_mean,ThermalCond_range,L_avg
# 3;  2; eV^-1;                                            19|inv|37|2|mult|add:6.0054981415586e+00,0.0000000000000e+00,-2.9515446747928e+01,5.2406881821018e-03,1.0000000000000e+00,-1.0555738605645e+01; ((1.0 / (IP_mean-1.055574e+01)) + 6.005498e+00*((ThermalCond_mean-2.951545e+01) * (lambda4w_low+5.240688e-03))); $\left(\left(\frac{1}{ IP_{mean}-1.056e+01 }\right) + 6.01\left(\left(ThermalCond_{mean}-2.952e+01\right) * \left(lambda4w_{low}+5.241e-03\right)\right)\right)$; ((IP_mean-1.055574e+01).^(-1) + (6.005498e+00.*((ThermalCond_mean-2.951545e+01) .* (lambda4w_low+5.240688e-03)))); ((newdata$IP_mean-1.055574e+01)^(-1) + (6.005498e+00*((newdata$ThermalCond_mean-2.951545e+01) * (newdata$lambda4w_low+5.240688e-03)))); IP_mean,ThermalCond_mean,lambda4w_low
# 4;  2; cm^3 * eV * g^-1;                                 1|5|div|3|cos|add:8.0509681381087e-02,0.0000000000000e+00,5.7213832897486e-01,7.7621493568332e-01,9.1408301347335e-03,-2.7462211703920e+00; (((w_log+9.140830e-03) / (density-2.746221e+00)) + 8.050968e-02*(cos(5.721383e-01*lambda3+7.762149e-01))); $\left(\left(\frac{ w_{log} +9.141e-03 }{ density-2.746e+00 } \right) + 0.0805\left(\cos{ \left(5.721e-01lambda3+7.762e-01 \right)}\right)\right)$; (((w_log+9.140830e-03) ./ (density-2.746221e+00)) + (8.050968e-02.*cos(5.721383e-01.*lambda3+7.762149e-01))); (((newdata$w_log+9.140830e-03) / (newdata$density-2.746221e+00)) + (8.050968e-02*cos(5.721383e-01*newdata$lambda3+7.762149e-01))); w_log,density,lambda3
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  4.288740718486027e-01,  1.579067169491555e+02, -2.403505600514002e-01, -1.943191097842290e+05,  1.873758766153820e+00,  1.809096168096593e-01
Se2Ta1      ,  1.250000000000000e-01, -2.133362860207167e+00,  2.350938496358428e+02,  2.963721416864068e+01, -1.959580798297061e+05, -1.000935344761684e+01,  8.276769495788126e-02
Ti1         ,  1.620000000000000e-01,  6.094122923734884e-01,  2.711610369358896e+02,  6.271542016561057e+00, -1.918104826406577e+05, -5.637358277883699e-01,  6.744626711901533e-02
B1Mo1       ,  2.500000000000000e-01,  7.215485866533661e-01,  2.000252283035357e+02,  9.379496043568381e+00, -1.814116718335178e+05,  2.403356841383362e+00,  5.713704974824281e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.386855586784553e+00,  1.873561159747503e+02,  7.891153179565353e+00, -1.820574241929403e+05,  3.158384796692873e+00,  5.328895823564681e-02
Pt1Te1      ,  5.900000000000000e-01,  7.330607478385037e-01,  2.663803461557192e+02,  1.735337332918546e+01, -1.927922638158933e+05, -2.235070699439667e-01,  3.927755366823899e-02
Sb1V3       ,  6.500000000000000e-01,  2.612081451838862e+00,  2.586622631928982e+02, -2.723092050956941e+00, -1.966360949398522e+05, -4.361954475148300e-01,  5.868176833930455e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.182262361833603e+00,  1.912479333777064e+02,  8.773727165203123e+00, -1.824436904426278e+05,  5.309757069661962e+00,  3.446041387068095e-02
Rh1Te2      ,  7.550000000000000e-01,  5.613046467207680e-01,  2.329159896010401e+02,  2.041796703041042e+01, -1.925431820592707e+05,  1.084619222902911e+00,  5.984142248561632e-02
Zr1         ,  9.966666670000000e-01,  9.855293973109960e-01,  2.108879510841350e+02,  8.095718750168551e+00, -1.855133377579615e+05, -5.873699556075337e-01,  5.141626114012113e-02
Be2Ta3      ,  1.000000000000000e+00,  9.364711516944412e-01,  2.620397752318419e+02,  1.224473465155073e+01, -1.915053390759240e+05,  2.614276892093035e+00,  5.807030236013424e-02
C1Si1       ,  1.075000000000000e+00,  2.171301085506844e+00,  2.607288758653510e+02,  2.638869464920663e+00, -1.964049356035535e+05,  6.064226090465460e+00,  8.784645863156110e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.390386480014610e+00,  2.575587629180356e+02,  3.241142219139157e+00, -1.965599022621002e+05,  1.506021069129412e-01,  5.142596323393245e-02
Nb1O1       ,  1.380000000000000e+00,  1.966718162022627e+00,  2.463638618518716e+02, -1.059629131756702e+01, -1.888995183664069e+05, -2.827771266482261e+00,  6.033265705641717e-02
Sb1         ,  1.416666667000000e+00,  2.132081007511524e+00,  2.617990089795807e+02,  2.507191999866826e+01, -2.007116776282926e+05, -1.149364394949607e+00,  6.336183414623097e-03
Sb1Sn1      ,  1.430000000000000e+00,  1.067485983984459e+00,  2.391655726329769e+02,  1.986480975096545e+01, -1.924524344136233e+05,  5.105538692625800e-01,  3.764529770569180e-02
S2Ta1       ,  1.488116666500000e+00,  1.830199194974345e+00,  2.370010556713657e+02, -3.333080166383089e+00, -1.951912354047487e+05, -1.862591712422863e+00,  8.451433981071717e-02
B2C2Y1      ,  1.800000000000000e+00,  1.176790117218123e+00,  2.472428382177025e+02, -2.310591424346322e+00, -1.889524439411546e+05,  7.988031445396141e-01,  8.007390705839948e-02
Re2Y1       ,  1.830000000000000e+00,  2.918146908561226e+00,  2.201087253410282e+02,  6.260921690625405e+00, -1.986775788784991e+05, -1.678531656799346e-01,  5.439532161270913e-02
S1Y1        ,  1.900000000000000e+00, -7.212864774950924e-02,  1.959159901233636e+02,  1.724440020447816e+01, -1.840659927596726e+05, -1.529832500063241e+00,  5.592985324917663e-02
Ga2Pt1      ,  1.900000000000000e+00,  2.840706105077084e+00,  1.921627179318102e+02,  4.220735182295902e+00, -1.905710707170698e+05,  6.958616380495810e-01,  4.268705827834169e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.119384813582838e+00,  2.274322159943290e+02, -1.907683220108876e+00, -1.903137885114498e+05,  5.033489841361910e+00,  5.262541065322272e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.523880436019346e+00,  1.896062462753669e+02,  3.464877498334295e+00, -1.959032010067501e+05,  6.485045476495276e-01,  4.969421166469676e-02
Be2Nb1      ,  2.150000000000000e+00,  1.162450845448622e+00,  2.345343773153462e+02,  8.570676737621696e+00, -1.887565018776843e+05,  3.279579263039493e+00,  6.648191344632481e-02
In1Te1      ,  2.206000000000000e+00,  2.457689800302139e+00,  1.914770908848662e+02,  1.215920018504528e+01, -1.908481111548575e+05,  3.890786689624143e-01,  3.195901279788608e-02
C2Cl2Y2     ,  2.300000000000000e+00,  5.977403117781201e+00,  2.495946612882985e+02, -9.651356204172430e+00, -1.908953519723444e+05,  2.188837220237079e+00, -4.407518263703709e-02
Be2Nb3      ,  2.300000000000000e+00,  1.910724303840845e+00,  2.179624757002965e+02,  8.570667859692023e+00, -1.911860959347352e+05,  2.951883933559354e+00,  6.097500083369559e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.774699550802179e+00,  1.951100652530845e+02,  3.630873757579447e+00, -1.963120132572685e+05,  2.063439922187178e-01,  3.749862943880470e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  2.616714725098401e+00,  2.125424950193025e+02,  1.184286098248788e+01, -1.966134354753464e+05,  6.439622824172078e-01,  4.580727487505915e-02
Bi1Nb3      ,  2.516666667000000e+00,  2.551052316967640e+00,  2.247660307701014e+02,  7.090840909607310e+00, -1.963669037648700e+05, -2.111034343904329e-01,  4.994323027595023e-02
Re1         ,  2.581333333000000e+00,  4.027412603111840e+00,  2.497372641021806e+02,  1.763083340638824e+00, -2.034042959849135e+05,  7.553088340262025e-01,  4.224606507355772e-02
