# c0 + a0 * (((at_rad_mean+1.086236e+00) / (at_mass_mean-1.770927e+01)) + 5.474231e+01*((PE_wtd_std-4.810425e-01) * (lambda4w_low-4.331354e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.43617521169766; Max AE: 7.02903205003538
# Coefficients
# Task   a0                      c0
# all , -2.327615630968551e+00,  4.663899856494421e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * g^-1 * mol;                                  13|7|div|30|2|mult|add:5.4742310173457e+01,0.0000000000000e+00,-4.8104246652095e-01,-4.3313537717690e-02,1.0862360814343e+00,-1.7709274245485e+01; (((at_rad_mean+1.086236e+00) / (at_mass_mean-1.770927e+01)) + 5.474231e+01*((PE_wtd_std-4.810425e-01) * (lambda4w_low-4.331354e-02))); $\left(\left(\frac{ at_{rad, mean} +1.086e+00 }{ at_{mass, mean}-1.771e+01 } \right) + 54.7\left(\left(PE_{wtd, std}-4.810e-01\right) * \left(lambda4w_{low}-4.331e-02\right)\right)\right)$; (((at_rad_mean+1.086236e+00) ./ (at_mass_mean-1.770927e+01)) + (5.474231e+01.*((PE_wtd_std-4.810425e-01) .* (lambda4w_low-4.331354e-02)))); (((newdata$at_rad_mean+1.086236e+00) / (newdata$at_mass_mean-1.770927e+01)) + (5.474231e+01*((newdata$PE_wtd_std-4.810425e-01) * (newdata$lambda4w_low-4.331354e-02)))); at_rad_mean,at_mass_mean,PE_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  4.938376548563627e+00, -1.179218288523837e-01
Se2Ta1      ,  1.250000000000000e-01,  9.999292210795026e-01,  1.574130447770834e+00
Ti1         ,  1.620000000000000e-01,  1.876492034063179e+00,  1.197537851759212e+00
B1Mo1       ,  2.500000000000000e-01,  2.370300926778963e+00,  9.853856019866397e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.359044505523337e+00,  5.605974343917411e-01
Pt1Te1      ,  5.900000000000000e-01,  2.633858555577671e+00,  8.721548669408201e-01
Sb1V3       ,  6.500000000000000e-01,  2.981487031254454e+00,  7.228052616831301e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.366807337833094e+00,  5.572623337821416e-01
Rh1Te2      ,  7.550000000000000e-01,  2.424835930275053e+00,  9.619560448164136e-01
Zr1         ,  9.966666670000000e-01,  2.095764454046446e+00,  1.103333114058587e+00
Be2Ta3      ,  1.000000000000000e+00,  2.142634628687680e+00,  1.083196552842193e+00
C1Si1       ,  1.075000000000000e+00,  1.909476543075607e+00,  1.183366908510003e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.146564654786726e+00,  6.518839199736395e-01
Nb1O1       ,  1.380000000000000e+00,  6.848071887516066e+00, -9.383731583349020e-01
Sb1         ,  1.416666667000000e+00,  2.793374922972616e+00,  8.036227754422903e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.437863259635196e+00,  9.563591888807442e-01
S2Ta1       ,  1.488116666500000e+00,  4.014194834942555e+00,  2.791289991816715e-01
B2C2Y1      ,  1.800000000000000e+00,  4.426704970485451e+00,  1.019046628030547e-01
Re2Y1       ,  1.830000000000000e+00,  3.746495912865645e+00,  3.941389340331213e-01
S1Y1        ,  1.900000000000000e+00,  5.534607431616055e+00, -3.740770441377906e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.278366706754650e+00,  5.952585690289562e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.400669713482910e+00,  9.723384363378551e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  5.148256020100831e+00, -2.080911286047960e-01
Be2Nb1      ,  2.150000000000000e+00,  2.001920008092089e+00,  1.143650958940608e+00
In1Te1      ,  2.206000000000000e+00,  2.992018261328580e+00,  7.182807904027306e-01
C2Cl2Y2     ,  2.300000000000000e+00,  5.089953689897714e+00, -1.830430367173670e-01
Be2Nb3      ,  2.300000000000000e+00,  1.970067546012256e+00,  1.157335547433674e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  5.417426449188006e+00, -3.237332584761999e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  5.248182848460572e+00, -2.510221121530375e-01
Bi1Nb3      ,  2.516666667000000e+00,  3.074962190287870e+00,  6.826460713985556e-01
Re1         ,  2.581333333000000e+00,  2.275355942734627e+00,  1.026176264663547e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  4.032640543376401e+00,  2.712042764789926e-01
Nb3Rh1      ,  2.742333333000000e+00,  3.611639274281183e+00,  4.520766093048527e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.717312696331100e+00,  4.066767500480453e-01
N1Ni3Zn1    ,  3.000000000000000e+00,  4.444790195850225e+00,  9.413481235001919e-02
B1Hf1       ,  3.100000000000000e+00,  3.993877467138497e+00,  2.878578320412461e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  4.054092119841837e+00,  2.619881601322789e-01
Pb1Pd2Y1    ,  3.215000000000000e+00,  4.421107541217693e+00,  1.043094538661863e-01
In1Sb1      ,  3.320000000000000e+00,  3.517891145872755e+00,  4.923530738383970e-01
Bi2K1       ,  3.575000000000000e+00,  5.030956102237750e+00, -1.576962454022499e-01
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.283324460571899e+00,  1.635043994631364e-01
Hg0.5In0.5  ,  3.810000000000000e+00,  4.129313321352392e+00,  2.296713117189284e-01
C1W2        ,  3.835000000000000e+00,  2.656887772561177e+00,  8.622609580509222e-01
C1Ga1Mo2    ,  3.900000000000000e+00,  3.567202504219872e+00,  4.711677210288364e-01
Ba1Ge3      ,  4.000000000000000e+00,  4.603133807042583e+00,  2.610656529512700e-02
Bi2Rb1      ,  4.250000000000000e+00,  5.075080665836205e+00, -1.766532256748446e-01
Ba1Sn3      ,  4.300000000000000e+00,  4.506456817451152e+00,  6.764133946709852e-02
Rh1Se2      ,  4.350000000000000e+00,  2.891908766248058e+00,  7.612902519944904e-01
Al1Au2Sc1   ,  4.400000000000000e+00,  5.844144293498153e+00, -5.070615703472557e-01
B2Nb1       ,  4.597500000000000e+00,  3.297070151233882e+00,  5.872231166843398e-01
Pb3Y1       ,  4.720000000000000e+00,  4.612438608820747e+00,  2.210899728846590e-02
Bi2Cs1      ,  4.750000000000000e+00,  5.157004853435301e+00, -2.118498391144128e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  4.085830862997025e+00,  2.483524280410737e-01
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.218038636369048e+00,  1.915527693633182e-01
Br2C2Y2     ,  5.050000000000000e+00,  5.802393883644489e+00, -4.891245839745135e-01
Ir1Mo1      ,  5.325000000000000e+00,  2.176813455408871e+00,  1.068512501804536e+00
N1Ti1       ,  5.387500000000000e+00,  5.494117562037745e+00, -3.566816163705946e-01
Ga1         ,  5.527454545000000e+00,  3.054485864565738e+00,  6.914431964262867e-01
B6Y1        ,  5.692857143000000e+00,  4.357592038712397e+00,  1.315972507258707e-01
