# c0 + a0 * (((EA_wtd_std-2.269070e+00) * (V_molar-6.143699e+01)) + 4.064387e+00*((PE_wtd_range-3.177933e-01) / (at_rad_mean-1.427862e+00))) + a1 * ((ThermalCond_wtd_mean + 1.892759e+00*at_mass_range) / (PE_range + 1.265638e+00*w_log)) + a2 * (((ThermalCond_range+1.003796e+02) / (L_avg-3.643593e+00)) + 8.098465e-05*((EA_wtd_range+3.157877e+04) / (lambda4w_low+1.873173e-03))) + a3 * (((lambda-4.306145e-01) / (lambda4w_low-9.666839e-04)) + 1.656579e+03*((PE_wtd_mean-2.297197e+00) / (IP_mean-9.211852e+00))) + a4 * (((PE_wtd_std-4.832019e-01) * (lambda4w_low-3.133218e-02)) + 3.928422e-02*((EA_mean-6.062628e-01) / (density-2.616346e+00)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.07871375674174; Max AE: 2.91978134155611
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -1.698895205462345e-02,  6.756521849044019e-04, -1.706843526891245e-03, -2.221051226963801e-03, -1.269741299743870e+02,  6.564323947878258e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * eV * mol^-1;                               36|6|mult|28|13|div|add:4.0643866574013e+00,0.0000000000000e+00,-3.1779327468246e-01,-1.4278619424604e+00,-2.2690701205015e+00,-6.1436994144434e+01; (((EA_wtd_std-2.269070e+00) * (V_molar-6.143699e+01)) + 4.064387e+00*((PE_wtd_range-3.177933e-01) / (at_rad_mean-1.427862e+00))); $\left(\left(\left(EA_{wtd, std}-2.269e+00\right) * \left(V_{molar}-6.144e+01\right)\right) + 4.06\left(\frac{ PE_{wtd, range} -3.178e-01 }{ at_{rad, mean}-1.428e+00 } \right)\right)$; (((EA_wtd_std-2.269070e+00) .* (V_molar-6.143699e+01)) + (4.064387e+00.*((PE_wtd_range-3.177933e-01) ./ (at_rad_mean-1.427862e+00)))); (((newdata$EA_wtd_std-2.269070e+00) * (newdata$V_molar-6.143699e+01)) + (4.064387e+00*((newdata$PE_wtd_range-3.177933e-01) / (newdata$at_rad_mean-1.427862e+00)))); EA_wtd_std,V_molar,PE_wtd_range,at_rad_mean
# 1;  2; W * mK^-1;                                        38|9|add:1.8927588672065e+00,0.0000000000000e+00|27|1|add:1.2656382017515e+00,0.0000000000000e+00|div; ((ThermalCond_wtd_mean + 1.892759e+00*at_mass_range) / (PE_range + 1.265638e+00*w_log)); $\left(\frac{ \left(ThermalCond_{wtd, mean} + 1.89at_{mass, range}\right) }{ \left(PE_{range} + 1.27w_{log}\right) } \right)$; ((ThermalCond_wtd_mean + (1.892759e+00.*at_mass_range)) ./ (PE_range + (1.265638e+00.*w_log))); ((newdata$ThermalCond_wtd_mean + (1.892759e+00*newdata$at_mass_range)) / (newdata$PE_range + (1.265638e+00*newdata$w_log))); ThermalCond_wtd_mean,at_mass_range,PE_range,w_log
# 2;  2; AA^-1 * W * mK^-1;                                39|4|div|34|2|div|add:8.0984654260043e-05,0.0000000000000e+00,3.1578771247605e+04,1.8731733467778e-03,1.0037962057601e+02,-3.6435927537167e+00; (((ThermalCond_range+1.003796e+02) / (L_avg-3.643593e+00)) + 8.098465e-05*((EA_wtd_range+3.157877e+04) / (lambda4w_low+1.873173e-03))); $\left(\left(\frac{ ThermalCond_{range} +1.004e+02 }{ L_{avg}-3.644e+00 } \right) + 8.10e-05\left(\frac{ EA_{wtd, range} +3.158e+04 }{ lambda4w_{low}+1.873e-03 } \right)\right)$; (((ThermalCond_range+1.003796e+02) ./ (L_avg-3.643593e+00)) + (8.098465e-05.*((EA_wtd_range+3.157877e+04) ./ (lambda4w_low+1.873173e-03)))); (((newdata$ThermalCond_range+1.003796e+02) / (newdata$L_avg-3.643593e+00)) + (8.098465e-05*((newdata$EA_wtd_range+3.157877e+04) / (newdata$lambda4w_low+1.873173e-03)))); ThermalCond_range,L_avg,EA_wtd_range,lambda4w_low
# 3;  2; eV^-1;                                            0|2|div|26|19|div|add:1.6565793286830e+03,0.0000000000000e+00,-2.2971974067942e+00,-9.2118517702142e+00,-4.3061452345999e-01,-9.6668386133465e-04; (((lambda-4.306145e-01) / (lambda4w_low-9.666839e-04)) + 1.656579e+03*((PE_wtd_mean-2.297197e+00) / (IP_mean-9.211852e+00))); $\left(\left(\frac{ lambda -4.306e-01 }{ lambda4w_{low}-9.667e-04 } \right) + 1.66e+03\left(\frac{ PE_{wtd, mean} -2.297e+00 }{ IP_{mean}-9.212e+00 } \right)\right)$; (((lambda-4.306145e-01) ./ (lambda4w_low-9.666839e-04)) + (1.656579e+03.*((PE_wtd_mean-2.297197e+00) ./ (IP_mean-9.211852e+00)))); (((newdata$lambda-4.306145e-01) / (newdata$lambda4w_low-9.666839e-04)) + (1.656579e+03*((newdata$PE_wtd_mean-2.297197e+00) / (newdata$IP_mean-9.211852e+00)))); lambda,lambda4w_low,PE_wtd_mean,IP_mean
# 4;  2; eV;                                               30|2|mult|31|5|div|add:3.9284224875229e-02,0.0000000000000e+00,-6.0626277963931e-01,-2.6163459175164e+00,-4.8320189464752e-01,-3.1332176845598e-02; (((PE_wtd_std-4.832019e-01) * (lambda4w_low-3.133218e-02)) + 3.928422e-02*((EA_mean-6.062628e-01) / (density-2.616346e+00))); $\left(\left(\left(PE_{wtd, std}-4.832e-01\right) * \left(lambda4w_{low}-3.133e-02\right)\right) + 0.0393\left(\frac{ EA_{mean} -6.063e-01 }{ density-2.616e+00 } \right)\right)$; (((PE_wtd_std-4.832019e-01) .* (lambda4w_low-3.133218e-02)) + (3.928422e-02.*((EA_mean-6.062628e-01) ./ (density-2.616346e+00)))); (((newdata$PE_wtd_std-4.832019e-01) * (newdata$lambda4w_low-3.133218e-02)) + (3.928422e-02*((newdata$EA_mean-6.062628e-01) / (newdata$density-2.616346e+00)))); PE_wtd_std,lambda4w_low,EA_mean,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  2.230985770588136e+00, -2.801716130743791e+01,  1.992427913272598e+02,  1.000259768525209e+03,  1.447047071810483e+02,  2.295944643822105e-02
Se2Ta1      ,  1.250000000000000e-01,  1.139016572645097e+00,  6.078310055726180e+01,  2.011317281249870e+02,  5.316357575791431e+01,  4.139725484650201e+02,  2.770930696323019e-02
Ti1         ,  1.620000000000000e-01,  8.948139694117880e-01,  1.094166964799722e+02,  8.566100599217095e+02,  1.163510298351593e+03,  7.850970284198490e+02,  5.195819709518401e-03
B1Mo1       ,  2.500000000000000e-01,  2.015730220798146e+00,  1.045141364058215e+02,  1.556765195563479e+03,  1.041136993577929e+03,  2.793343575368813e+02,  1.124139244008853e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  9.346473539498356e-01,  6.385086561492145e+01,  6.359667860602434e+02,  1.305839599154079e+03,  8.636228312827388e+02,  6.517825576096609e-03
Pt1Te1      ,  5.900000000000000e-01,  2.288002189082200e-01,  9.366464759721053e+01,  8.710357337271746e+02,  6.522035503168618e+02,  9.405977809750568e+02,  1.677862612795418e-02
Sb1V3       ,  6.500000000000000e-01,  1.690498766332034e+00,  3.386363496910162e+01,  3.655212284485075e+02,  8.590971027757071e+02,  7.899834823066792e+02,  1.043161009298605e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.237345035630421e+00,  6.772177366321644e+01,  3.918391128853336e+02,  8.390658365065990e+02,  5.121478273733027e+02,  6.863943445062240e-03
Rh1Te2      ,  7.550000000000000e-01,  1.744115933770878e-01,  7.415904913024752e+01,  5.055808611254453e+02,  1.364841697765994e+03,  3.635558056362514e+02,  1.838624413576025e-02
Zr1         ,  9.966666670000000e-01,  6.769269475843346e-01,  1.047063323076702e+02,  1.406714931959892e+03,  1.084153191831149e+03,  7.566908999692796e+02,  1.203290031665033e-02
Be2Ta3      ,  1.000000000000000e+00,  2.472474052816704e-01,  5.402370362709186e+01,  4.841202353477509e+03,  1.309658886578977e+03,  2.192421701564749e+03,  1.232830401432593e-02
C1Si1       ,  1.075000000000000e+00,  1.847443156666349e+00,  1.137334393124640e+02,  2.503437245705190e+02,  2.216994733370001e+02, -2.019980175055553e+02,  2.381631409849179e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.281177473455582e+00,  3.303368378160445e+01,  2.137422792723893e+02,  5.534912536367769e+02,  7.308786855257916e+02,  1.022501416641747e-02
Nb1O1       ,  1.380000000000000e+00,  3.475438376107561e+00,  8.379501345046870e+01,  9.220645216969184e+01,  9.912767435890033e+02,  4.853221320604565e+02, -8.208632841458671e-03
Sb1         ,  1.416666667000000e+00,  2.371507714801282e+00,  1.342892229642663e+02,  2.052247311915855e+03, -8.376313814673409e+00,  7.689506928515274e+02,  1.263569689707205e-02
Sb1Sn1      ,  1.430000000000000e+00,  1.033337624523282e+00,  8.997164477148556e+01,  5.111894863059324e+02,  6.341712934641397e+02,  5.267648014939140e+02,  1.650293553445203e-02
S2Ta1       ,  1.488116666500000e+00,  1.654007543188142e+00,  2.739265520416538e+01,  2.754375882921424e+02,  7.408958351512287e+01,  1.480716598608566e+03,  9.575471501157628e-03
B2C2Y1      ,  1.800000000000000e+00,  2.713509631296231e+00,  5.550044788519784e+01,  1.585304882882310e+02,  9.456489844777193e+02,  6.254067814192838e+02,  9.368831390080661e-05
Re2Y1       ,  1.830000000000000e+00,  8.145527613952572e-01,  6.272767004936761e+01,  3.182283143519310e+02,  9.092126218489011e+02,  1.299906363734163e+03,  3.623282642052802e-03
S1Y1        ,  1.900000000000000e+00,  1.092323941368754e+00,  8.238938737838912e+01,  8.438031744842982e+01,  1.023032957913844e+03,  8.209397461685759e+02,  4.408740488991086e-03
Ga2Pt1      ,  1.900000000000000e+00,  2.379886240495929e+00,  4.580354885284936e+01,  5.845781239566273e+02,  8.060381384745078e+02,  4.980388053975915e+02,  1.039033872543815e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.342513504717734e+00,  7.176014258166057e+01,  1.106594548930591e+03,  9.394893261837688e+02,  1.849850733826576e+02,  1.367153488162864e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.993137953019321e+00,  4.248684190001940e+01,  7.520778346649567e+01,  9.148280499341447e+02,  7.277876833257158e+02, -2.187285585152559e-03
Be2Nb1      ,  2.150000000000000e+00,  2.617636124646064e+00,  8.540571606105965e+01,  4.909890702715838e+03,  1.038458049648992e+03,  1.143890352414831e+03,  1.181333645192060e-02
In1Te1      ,  2.206000000000000e+00,  1.622818537137146e+00,  6.087179406010670e+01,  2.039713000628936e+02,  7.042264589673262e+02,  4.953896870311164e+02,  1.372626715152375e-02
C2Cl2Y2     ,  2.300000000000000e+00,  1.166634767660060e+00,  1.427340907820155e+01,  1.015679907897057e+02,  1.955702641059246e+02,  5.849354420381967e+01,  3.748872747638637e-02
Be2Nb3      ,  2.300000000000000e+00,  3.601256548832564e+00,  4.573476696713993e+01,  4.900072550570440e+03,  1.094007907275065e+03,  8.959532670738558e+02,  1.291261411350813e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.185175184940817e+00,  4.313127554589822e+01,  1.551575160974231e+02,  9.429970510653932e+02,  1.257511184410369e+03, -5.129541476568880e-03
As1Pt1Sr1   ,  2.425000000000000e+00,  2.851827982926896e+00,  4.153301306739419e+01,  2.087161169955907e+02,  6.487925377972575e+02,  9.782658767883170e+02, -1.041573363492181e-03
Bi1Nb3      ,  2.516666667000000e+00,  2.790306185519931e+00,  3.207568603174400e+01,  5.985474579355540e+02,  6.306961828352131e+02,  5.750077124480493e+02,  1.007980197126368e-02
Re1         ,  2.581333333000000e+00,  3.712561844984245e+00,  1.038076175096072e+02,  2.691662904485806e+03,  7.144806216684930e+01,  5.794705677799730e+02,  1.179628410044769e-02
Hf1In1Pd2   ,  2.630000000000000e+00,  3.006301524467654e+00,  4.142061343276206e+01,  2.185076200388351e+02,  8.272994415845722e+02,  6.027499294724200e+02,  1.978006004845620e-03
