# c0 + a0 * (((IP_wtd_range-3.517906e+01) / (w_log-2.991690e-02)) + 7.063033e+00*((at_mass_range-7.059934e+01) / (lambda4w_low-4.929266e-02))) + a1 * (((w_log-3.131144e-02) / (at_rad_mean-1.128407e+00)) + 1.591746e+01*((EA_wtd_range-7.367073e-01) * (lambda4w_low+2.370272e-03)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.85741028347295; Max AE: 4.62482456795892
# Coefficients
# Task   a0                      a1                      c0
# all , -5.458460700430782e-05, -4.015510323600734e+00,  2.927411573489060e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         22|1|div|9|2|div|add:7.0630326032429e+00,0.0000000000000e+00,-7.0599340924780e+01,-4.9292664740603e-02,-3.5179064435321e+01,-2.9916899840047e-02; (((IP_wtd_range-3.517906e+01) / (w_log-2.991690e-02)) + 7.063033e+00*((at_mass_range-7.059934e+01) / (lambda4w_low-4.929266e-02))); $\left(\left(\frac{ IP_{wtd, range} -3.518e+01 }{ w_{log}-2.992e-02 } \right) + 7.06\left(\frac{ at_{mass, range} -7.060e+01 }{ lambda4w_{low}-4.929e-02 } \right)\right)$; (((IP_wtd_range-3.517906e+01) ./ (w_log-2.991690e-02)) + (7.063033e+00.*((at_mass_range-7.059934e+01) ./ (lambda4w_low-4.929266e-02)))); (((newdata$IP_wtd_range-3.517906e+01) / (newdata$w_log-2.991690e-02)) + (7.063033e+00*((newdata$at_mass_range-7.059934e+01) / (newdata$lambda4w_low-4.929266e-02)))); IP_wtd_range,w_log,at_mass_range,lambda4w_low
# 1;  2; AA^-1 * eV;                                       1|13|div|34|2|mult|add:1.5917459158215e+01,0.0000000000000e+00,-7.3670731275852e-01,2.3702715692356e-03,-3.1311443575321e-02,-1.1284072249156e+00; (((w_log-3.131144e-02) / (at_rad_mean-1.128407e+00)) + 1.591746e+01*((EA_wtd_range-7.367073e-01) * (lambda4w_low+2.370272e-03))); $\left(\left(\frac{ w_{log} -3.131e-02 }{ at_{rad, mean}-1.128e+00 } \right) + 15.9\left(\left(EA_{wtd, range}-7.367e-01\right) * \left(lambda4w_{low}+2.370e-03\right)\right)\right)$; (((w_log-3.131144e-02) ./ (at_rad_mean-1.128407e+00)) + (1.591746e+01.*((EA_wtd_range-7.367073e-01) .* (lambda4w_low+2.370272e-03)))); (((newdata$w_log-3.131144e-02) / (newdata$at_rad_mean-1.128407e+00)) + (1.591746e+01*((newdata$EA_wtd_range-7.367073e-01) * (newdata$lambda4w_low+2.370272e-03)))); w_log,at_rad_mean,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  3.008779325027893e+00,  1.661035470794215e+03, -4.284255451199701e-02
Se2Ta1      ,  1.250000000000000e-01,  7.396814863003152e-01,  1.467393183707094e+03,  5.248730141590982e-01
Ti1         ,  1.620000000000000e-01,  2.427271245677911e+00,  1.399314406710166e+04, -6.566287236184271e-02
B1Mo1       ,  2.500000000000000e-01,  1.066173602883489e+00,  4.009165967896194e+04, -8.147146707561284e-02
Pt1Te1      ,  5.900000000000000e-01,  3.449650449230924e+00,  2.058589226877021e+03, -1.580387319500635e-01
Sb1V3       ,  6.500000000000000e-01,  2.985232374444144e+00,  3.683199976963035e+03, -6.446673108880470e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.307347608970443e+00,  2.641458568039394e+03, -1.305236373707026e-01
Rh1Te2      ,  7.550000000000000e-01,  2.804502645606412e+00,  8.529695590694493e+03, -8.533937810786249e-02
Zr1         ,  9.966666670000000e-01,  2.596243977488487e+00,  1.279297469449736e+04, -9.142845380245750e-02
Be2Ta3      ,  1.000000000000000e+00,  4.000098744499869e+00, -1.216763569775527e+04, -1.017359003851165e-01
C1Si1       ,  1.075000000000000e+00,  3.127177894936126e+00,  5.428782517002979e+03, -1.235445165546678e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.804318661868184e+00,  9.393123639132828e+03, -9.703051900379187e-02
Nb1O1       ,  1.380000000000000e+00,  3.913269960059698e+00,  5.546920722427891e+03, -3.209143472286951e-01
Sb1         ,  1.416666667000000e+00,  3.165341963684114e+00,  1.571115159441139e+04, -2.728214690726400e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.908876052927756e+00,  1.215802117633432e+04, -1.606533753648747e-01
S2Ta1       ,  1.488116666500000e+00,  2.411785508911270e+00,  5.211118936523165e+03,  5.757155797016272e-02
B2C2Y1      ,  1.800000000000000e+00,  2.703795909112891e+00, -6.668396335718866e+03,  1.463344407949218e-01
Re2Y1       ,  1.830000000000000e+00,  3.295627709910935e+00, -1.792779038637794e+03, -6.732842786214996e-02
S1Y1        ,  1.900000000000000e+00,  2.837278651210453e+00,  4.243575348071659e+03, -3.523860206693943e-02
Ga2Pt1      ,  1.900000000000000e+00,  3.854032170701923e+00, -6.790514761114739e+03, -1.384538882524720e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.568917872727147e+00,  1.248320839561975e+04, -8.041252484598857e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.764317878128536e+00,  8.042264643787536e+03, -6.870612634806184e-02
Be2Nb1      ,  2.150000000000000e+00,  2.872348509257279e+00,  5.151104249478321e+03, -5.630864289783746e-02
In1Te1      ,  2.206000000000000e+00,  2.704703356883299e+00,  1.035380294544625e+04, -8.528182486762742e-02
