# c0 + a0 * (((at_mass_wtd_std-6.459590e+00) / (L_avg-2.875539e+00)) + 2.046912e+01*((V_molar-5.238402e+01) / (at_mass_mean-7.654036e+01))) + a1 * (((IP_wtd_mean-9.406898e+00) / (density-2.664912e+00)) + 5.774259e+01*((EA_range-1.662920e+00) * (lambda4w_low-2.376282e-03)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.92019406002134; Max AE: 6.13200885093301
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.094677354205438e-02, -5.204451012569316e-01,  2.750046818431671e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * g * mol^-1;                               12|4|div|6|7|div|add:2.0469117391113e+01,0.0000000000000e+00,-5.2384016821023e+01,-7.6540357275887e+01,-6.4595900371543e+00,-2.8755393535055e+00; (((at_mass_wtd_std-6.459590e+00) / (L_avg-2.875539e+00)) + 2.046912e+01*((V_molar-5.238402e+01) / (at_mass_mean-7.654036e+01))); $\left(\left(\frac{ at_{mass, wtd, std} -6.460e+00 }{ L_{avg}-2.876e+00 } \right) + 20.5\left(\frac{ V_{molar} -5.238e+01 }{ at_{mass, mean}-7.654e+01 } \right)\right)$; (((at_mass_wtd_std-6.459590e+00) ./ (L_avg-2.875539e+00)) + (2.046912e+01.*((V_molar-5.238402e+01) ./ (at_mass_mean-7.654036e+01)))); (((newdata$at_mass_wtd_std-6.459590e+00) / (newdata$L_avg-2.875539e+00)) + (2.046912e+01*((newdata$V_molar-5.238402e+01) / (newdata$at_mass_mean-7.654036e+01)))); at_mass_wtd_std,L_avg,V_molar,at_mass_mean
# 1;  2; cm^3 * eV * g^-1;                                 20|5|div|33|2|mult|add:5.7742593061398e+01,0.0000000000000e+00,-1.6629195483168e+00,-2.3762823726963e-03,-9.4068977290928e+00,-2.6649115279300e+00; (((IP_wtd_mean-9.406898e+00) / (density-2.664912e+00)) + 5.774259e+01*((EA_range-1.662920e+00) * (lambda4w_low-2.376282e-03))); $\left(\left(\frac{ IP_{wtd, mean} -9.407e+00 }{ density-2.665e+00 } \right) + 57.7\left(\left(EA_{range}-1.663e+00\right) * \left(lambda4w_{low}-2.376e-03\right)\right)\right)$; (((IP_wtd_mean-9.406898e+00) ./ (density-2.664912e+00)) + (5.774259e+01.*((EA_range-1.662920e+00) .* (lambda4w_low-2.376282e-03)))); (((newdata$IP_wtd_mean-9.406898e+00) / (newdata$density-2.664912e+00)) + (5.774259e+01*((newdata$EA_range-1.662920e+00) * (newdata$lambda4w_low-2.376282e-03)))); IP_wtd_mean,density,EA_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02, -9.497276758846561e-01, -1.036927321955143e+02,  2.935461033969432e+00
Se2Ta1      ,  1.250000000000000e-01,  6.472868646225867e-01,  5.723884112679259e+00,  4.270684559678593e+00
Ti1         ,  1.620000000000000e-01,  3.820236618873103e+00,  2.426285807757193e+01, -1.079770383946993e+00
B1Mo1       ,  2.500000000000000e-01,  4.329738492865192e+00,  6.676490966674045e+01, -3.481293812757900e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.961081623202842e+00,  2.548956540118098e+00, -3.028991702987605e-01
Pt1Te1      ,  5.900000000000000e-01,  3.001908385318325e+00,  8.800731702578783e+00, -1.297247927693085e-01
Sb1V3       ,  6.500000000000000e-01,  2.422487879408044e+00, -2.454100715127154e+01, -3.583393902980115e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.830051176628562e+00,  3.365318734849379e+01, -7.206882396122211e-01
Rh1Te2      ,  7.550000000000000e-01,  2.668394552002264e+00, -4.889122444184293e+00, -3.988715462622643e-02
Zr1         ,  9.966666670000000e-01,  1.851941214940057e+00, -6.096358121938498e+01, -7.280013313766148e-01
Be2Ta3      ,  1.000000000000000e+00,  3.102329108835962e+00,  1.865514095769687e+01,  7.394194419113234e-02
C1Si1       ,  1.075000000000000e+00,  1.527315105410176e+00, -5.924608723113191e+01, -3.512889143863615e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.899730320688981e+00, -3.547253104681861e+00, -4.303758632687238e-01
Nb1O1       ,  1.380000000000000e+00,  3.881177009866091e+00,  5.914721093556552e+01,  2.071554548531887e-01
Sb1         ,  1.416666667000000e+00,  2.348683845042324e+00, -5.052928718885012e+01, -1.262501195630527e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.749300735061713e+00, -1.211738654276729e+01, -4.862646758548105e-01
S2Ta1       ,  1.488116666500000e+00,  2.306344127884905e+00,  6.552461588189884e+00,  1.116266861143506e+00
B2C2Y1      ,  1.800000000000000e+00,  3.354314652278431e+00,  2.498199365793645e+01, -1.555892636309996e-01
Re2Y1       ,  1.830000000000000e+00,  2.877405644685366e+00,  4.330554862535363e+00, -7.041602303147072e-02
S1Y1        ,  1.900000000000000e+00,  4.215102074123505e+00,  5.790930019390042e+01, -4.842821230186377e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.584215557332383e+00,  3.247992708876323e+01, -2.955529048855715e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.160569394639198e+00, -3.427411248227921e+01, -2.468169042584857e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.863149316482297e+00, -2.779064084880094e+00, -3.291700194347529e-01
