# c0 + a0 * ((at_mass_wtd_mean + 2.692766e+01*L_avg) + 5.459587e-01*((PE_std-1.860412e+00) / (PE_mean-2.185853e+00))) + a1 * ((cos(2.975658e+00*lambda+1.918985e+00)) + 2.012320e-02*|ThermalCond_wtd_std - (7.840083e-01*ThermalCond_wtd_mean-9.072450e+00)|) + a2 * (((at_mass_wtd_range-5.440396e+00) / (L_avg-2.897910e+00)) + 1.286018e-03*((IP_mean-6.901272e+04) / (at_mass_mean-7.617683e+01))) + a3 * (((IP_wtd_mean-9.406898e+00) / (density-2.664912e+00)) + 5.774259e+01*((EA_range-1.662920e+00) * (lambda4w_low-2.376282e-03)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.21033395902821; Max AE: 2.9900846786937
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  1.056797435389146e-02,  1.368344034692220e+00,  2.092275962155623e-02, -5.484956744603637e-01,  2.909256401519696e-02, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       8|4|add|29|25|div|add:5.4595869432050e-01,0.0000000000000e+00,-1.8604122082885e+00,-2.1858528735021e+00,2.6927656498710e+01,0.0000000000000e+00; ((at_mass_wtd_mean + 2.692766e+01*L_avg) + 5.459587e-01*((PE_std-1.860412e+00) / (PE_mean-2.185853e+00))); $\left(\left(at_{mass, wtd, mean} + 26.9L_{avg}\right) + 0.546\left(\frac{ PE_{std} -1.860e+00 }{ PE_{mean}-2.186e+00 } \right)\right)$; ((at_mass_wtd_mean + (2.692766e+01.*L_avg)) + (5.459587e-01.*((PE_std-1.860412e+00) ./ (PE_mean-2.185853e+00)))); ((newdata$at_mass_wtd_mean + (2.692766e+01*newdata$L_avg)) + (5.459587e-01*((newdata$PE_std-1.860412e+00) / (newdata$PE_mean-2.185853e+00)))); at_mass_wtd_mean,L_avg,PE_std,PE_mean
# 1;  2; Unitless;                                         0|cos|42|38|abd|add:2.0123195078940e-02,0.0000000000000e+00,7.8400828493590e-01,-9.0724498093874e+00,2.9756578000346e+00,1.9189850324232e+00; ((cos(2.975658e+00*lambda+1.918985e+00)) + 2.012320e-02*|ThermalCond_wtd_std - (7.840083e-01*ThermalCond_wtd_mean-9.072450e+00)|); $\left(\left(\cos{ \left(2.976e+00lambda+1.919e+00 \right)}\right) + 0.0201\left(\left|ThermalCond_{wtd, std} - \left(7.840e-01ThermalCond_{wtd, mean}-9.072e+00\right)\right|\right)\right)$; (cos(2.975658e+00.*lambda+1.918985e+00) + (2.012320e-02.*abs(ThermalCond_wtd_std - (7.840083e-01.*ThermalCond_wtd_mean-9.072450e+00)))); (cos(2.975658e+00*newdata$lambda+1.918985e+00) + (2.012320e-02*abs(newdata$ThermalCond_wtd_std - (7.840083e-01*newdata$ThermalCond_wtd_mean-9.072450e+00)))); lambda,ThermalCond_wtd_std,ThermalCond_wtd_mean
# 2;  2; AA^-1 * g * mol^-1;                               10|4|div|19|7|div|add:1.2860181189436e-03,0.0000000000000e+00,-6.9012715904744e+04,-7.6176830715922e+01,-5.4403961174859e+00,-2.8979097437038e+00; (((at_mass_wtd_range-5.440396e+00) / (L_avg-2.897910e+00)) + 1.286018e-03*((IP_mean-6.901272e+04) / (at_mass_mean-7.617683e+01))); $\left(\left(\frac{ at_{mass, wtd, range} -5.440e+00 }{ L_{avg}-2.898e+00 } \right) + 0.00129\left(\frac{ IP_{mean} -6.901e+04 }{ at_{mass, mean}-7.618e+01 } \right)\right)$; (((at_mass_wtd_range-5.440396e+00) ./ (L_avg-2.897910e+00)) + (1.286018e-03.*((IP_mean-6.901272e+04) ./ (at_mass_mean-7.617683e+01)))); (((newdata$at_mass_wtd_range-5.440396e+00) / (newdata$L_avg-2.897910e+00)) + (1.286018e-03*((newdata$IP_mean-6.901272e+04) / (newdata$at_mass_mean-7.617683e+01)))); at_mass_wtd_range,L_avg,IP_mean,at_mass_mean
# 3;  2; cm^3 * eV * g^-1;                                 20|5|div|33|2|mult|add:5.7742593061398e+01,0.0000000000000e+00,-1.6629195483168e+00,-2.3762823726963e-03,-9.4068977290928e+00,-2.6649115279300e+00; (((IP_wtd_mean-9.406898e+00) / (density-2.664912e+00)) + 5.774259e+01*((EA_range-1.662920e+00) * (lambda4w_low-2.376282e-03))); $\left(\left(\frac{ IP_{wtd, mean} -9.407e+00 }{ density-2.665e+00 } \right) + 57.7\left(\left(EA_{range}-1.663e+00\right) * \left(lambda4w_{low}-2.376e-03\right)\right)\right)$; (((IP_wtd_mean-9.406898e+00) ./ (density-2.664912e+00)) + (5.774259e+01.*((EA_range-1.662920e+00) .* (lambda4w_low-2.376282e-03)))); (((newdata$IP_wtd_mean-9.406898e+00) / (newdata$density-2.664912e+00)) + (5.774259e+01*((newdata$EA_range-1.662920e+00) * (newdata$lambda4w_low-2.376282e-03)))); IP_wtd_mean,density,EA_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  1.124115137884651e+00,  1.684868196062589e+02,  1.920967542987063e-01,  3.162543704181623e+01,  2.935461033969432e+00
Se2Ta1      ,  1.250000000000000e-01,  2.145167660284648e-01,  2.969444843035423e+02, -5.826519993093000e-01,  8.939686077354251e+00,  4.270684559678593e+00
Ti1         ,  1.620000000000000e-01,  1.120538866621406e+00,  1.555804055410531e+02, -8.049925349568692e-01, -2.077454682422553e+00, -1.079770383946993e+00
B1Mo1       ,  2.500000000000000e-01,  1.624508102919860e+00,  1.733482020385737e+02, -8.734076628157050e-01,  3.668975339959170e+01, -3.481293812757900e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.613287858008263e+00,  1.969229285871832e+02, -8.582923395682520e-01,  2.444319785748315e+01, -3.028991702987605e-01
Pt1Te1      ,  5.900000000000000e-01,  8.807718028615831e-01,  5.412081454536371e+01, -7.534307775791044e-02,  1.489639166428661e+01, -1.297247927693085e-01
Sb1V3       ,  6.500000000000000e-01,  1.399122768588233e+00,  2.024294971470993e+02, -7.360383911364867e-01,  1.977110440898798e+00, -3.583393902980115e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.376176187809860e+00,  1.757404223566909e+02, -1.282355724690011e-01,  1.290648799838180e+01, -7.206882396122211e-01
Rh1Te2      ,  7.550000000000000e-01,  3.855266875622768e-01,  5.997621801837306e+01, -2.078128885877026e-01, -7.126887624805232e-01, -3.988715462622643e-02
Zr1         ,  9.966666670000000e-01,  1.563235055909724e+00,  1.954716914864044e+02, -5.006257651523883e-01, -1.175153932821648e+01, -7.280013313766148e-01
Be2Ta3      ,  1.000000000000000e+00,  2.248469553415139e+00,  2.591222445098549e+02, -7.485447164571177e-01,  2.608658220922148e+01,  7.394194419113234e-02
C1Si1       ,  1.075000000000000e+00,  1.216138452124868e+00,  7.549703934270285e+01,  1.158833765325468e+00, -5.810687616904460e+01, -3.512889143863615e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.226391192437812e+00,  2.435631001673619e+02, -4.394328191202171e-01, -5.464857700934673e-01, -4.303758632687238e-01
Nb1O1       ,  1.380000000000000e+00,  1.390455274476481e+00,  1.657944158593918e+02, -6.550875804523363e-01,  2.959746422950649e+01,  2.071554548531887e-01
Sb1         ,  1.416666667000000e+00,  3.137187918780010e+00,  2.116890151987367e+02,  6.671705852810796e-01, -3.510168244705060e+01, -1.262501195630527e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.566415366703894e+00,  2.415554522656205e+02, -1.327532779502439e-01, -4.802948516106794e+00, -4.862646758548105e-01
S2Ta1       ,  1.488116666500000e+00,  2.429515768122234e+00,  2.531834425042945e+02,  8.565514203816516e-03,  1.554928973959598e+01,  1.116266861143506e+00
B2C2Y1      ,  1.800000000000000e+00,  9.929850648000080e-01,  1.569059361359202e+02, -7.669858819284670e-01,  1.289863836054027e+01, -1.555892636309996e-01
Re2Y1       ,  1.830000000000000e+00,  2.627287637634021e+00,  3.297524017776914e+02, -8.151733914182495e-01,  9.090335848605779e+00, -7.041602303147072e-02
S1Y1        ,  1.900000000000000e+00,  2.083561691355332e+00,  1.666596154745215e+02, -4.318339725132421e-01,  2.956041109942797e+01, -4.842821230186377e-01
Ga2Pt1      ,  1.900000000000000e+00,  2.900302344156914e+00,  2.304540199014428e+02, -3.739757328444300e-01,  3.753785808045607e+01, -2.955529048855715e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.506257723992614e+00,  1.772432550274870e+02,  1.159976720573429e+00, -5.666663769301686e+00, -2.468169042584857e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.101680351734124e+00,  2.409312545237291e+02, -4.850788296177772e-01,  4.606877905487399e-01, -3.291700194347529e-01
Be2Nb1      ,  2.150000000000000e+00,  2.144996064205161e+00,  1.619931523750665e+02, -1.667303051341037e-01,  2.244686911887144e+01, -2.961882828812607e-01
In1Te1      ,  2.206000000000000e+00,  3.128192399348553e+00,  2.420988221291687e+02,  2.262145116423950e-01, -1.315631630260324e+00, -4.714587020274228e-01
C2Cl2Y2     ,  2.300000000000000e+00,  2.796263813022582e+00,  1.970120508240562e+02,  1.600204577113754e+00,  1.099568058818094e+01,  3.162353873470444e+00
Be2Nb3      ,  2.300000000000000e+00,  1.635434204323916e+00,  2.067418349254948e+02, -8.064630870543947e-01,  1.737577971316344e+01, -2.943850437712399e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.979810819361301e+00,  2.651534852743846e+02, -2.096816623481489e-01,  1.529651733583883e+01, -2.104926713027877e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.059276092094104e+00,  2.769277293046559e+02, -2.150288325826953e-01,  1.354373041192698e+01, -2.087155775330283e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.482784338639818e+00,  2.671815620076862e+02, -6.345837669315099e-01,  1.463410585114009e+01, -3.505349657995590e-01
Re1         ,  2.581333333000000e+00,  2.991499698781951e+00,  2.789958161093083e+02,  9.132312614747445e-02, -1.388470103303678e+01, -3.273158219438262e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  2.670104149181685e+00,  2.522603825332358e+02, -2.568827832249772e-01,  1.052411877464773e+01, -1.940594132259930e-01
Nb3Rh1      ,  2.742333333000000e+00,  1.751681022492763e+00,  2.362347600479550e+02, -6.320265027983444e-01, -4.850246363975270e+00, -3.507334978213373e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.641159988924747e+00,  1.861835614432699e+02,  9.928057625333940e-01,  3.392505604681818e+01, -1.050470794399139e+00
N1Ni3Zn1    ,  3.000000000000000e+00,  4.184788445014119e+00,  1.024715674005158e+02,  1.010125007541264e+00,  1.451838754618072e+01, -2.528398651434706e+00
B1Hf1       ,  3.100000000000000e+00,  4.197852889455284e+00,  1.874190960329709e+02, -8.220983400393306e-01,  1.556186758907252e+02, -1.040324272875137e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.418478300237384e+00,  2.184123376005223e+02,  2.866352103181419e-01,  2.440687720893679e+01, -3.251346493020850e-01
C2Y1        ,  3.150000000000000e+00,  1.255892347578419e+00,  1.475681214581913e+02, -6.618142910946401e-01,  2.948365490396795e+01,  8.019411735450264e-02
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.031631898523779e+00,  2.590074575808845e+02, -8.212181002222076e-01,  1.671885564513270e+01, -7.157660117468725e-02
In1Sb1      ,  3.320000000000000e+00,  4.516783532584900e+00,  2.366537633895367e+02,  9.743140611307114e-01, -3.546280785044537e+00, -1.326794808335069e+00
Bi2K1       ,  3.575000000000000e+00,  4.810062424532678e+00,  3.325385482711766e+02,  3.672218422727757e-01,  1.677863700585186e+01, -7.532781456853956e-01
Hg0.5In0.5  ,  3.810000000000000e+00,  5.443842842834060e+00,  2.906268341778788e+02,  4.040463563037984e-01,  1.843133257815104e+01, -2.561377694785916e+00
C1W2        ,  3.835000000000000e+00,  6.475718129230815e+00,  2.190092181827356e+02,  1.393215679691143e+00,  1.020694798520771e+02, -1.643918309766655e-01
C1Ga1Mo2    ,  3.900000000000000e+00,  4.231501078218249e+00,  3.078656860047470e+02,  3.109513273290984e-01,  1.177918805744144e+01, -5.049270921613189e-01
Ba1Ge3      ,  4.000000000000000e+00,  4.443535655487599e+00,  2.558669914384130e+02,  8.395134904083983e-01,  2.673790307587841e+00, -9.220873800206306e-01
Bi2Rb1      ,  4.250000000000000e+00,  3.254797041790281e+00,  3.496564846771471e+02, -7.121045379494709e-01,  1.169061038362797e+01, -4.746580380707571e-01
Ba1Sn3      ,  4.300000000000000e+00,  2.508524938031014e+00,  3.026653119994643e+02, -7.432743166542115e-01, -1.298169536928537e+00, -5.926927059464411e-01
Rh1Se2      ,  4.350000000000000e+00,  3.180097350869441e+00,  2.440191609618135e+02,  3.935874763122015e-01, -4.328486357739990e+00, -2.264691628073670e-01
Al1Au2Sc1   ,  4.400000000000000e+00,  4.761515473450919e+00,  2.633313972264904e+02,  8.782477185814949e-01,  2.920819498699031e+01, -2.491950145474878e-01
B2Nb1       ,  4.597500000000000e+00,  3.703777396194093e+00,  1.257235440591532e+02, -4.539289370764393e-01,  1.219706897712039e+02, -7.569962580914491e-01
Pb3Y1       ,  4.720000000000000e+00,  4.608410150813629e+00,  3.085977816150267e+02,  3.926761074317124e-01,  1.923344130128430e+01, -6.897619879734260e-01
Bi2Cs1      ,  4.750000000000000e+00,  3.239778956566290e+00,  3.673774351116097e+02, -7.678703970850844e-01,  6.349683087430542e+00, -4.486982776884509e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  5.025805341813582e+00,  1.664566167733055e+02,  2.450882637413677e-01,  1.751817358503499e+01, -4.623026288412118e+00
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.550215526055871e+00,  2.344649248407920e+02,  6.091622022623475e-01, -1.658938894630224e+00, -4.457095559963270e-01
Br2C2Y2     ,  5.050000000000000e+00,  2.526512842127242e+00,  2.113894048664477e+02,  1.421241409945848e-01,  1.418047834841134e+01,  4.151481991962299e-01
Ir1Mo1      ,  5.325000000000000e+00,  6.803546204684961e+00,  4.229973773474876e+02,  1.075709000816657e+00,  3.805653703804376e+01, -6.570778215449699e-02
N1Ti1       ,  5.387500000000000e+00,  3.867535753864225e+00,  1.051233647410858e+02, -4.469325561804431e-01,  1.587313633742269e+02, -3.274684739590095e-02
Ga1         ,  5.527454545000000e+00,  5.037670128179003e+00,  1.771174447867608e+02,  1.177842405565405e+00,  8.255172070279379e+00, -2.465635378140549e+00
B6Y1        ,  5.692857143000000e+00,  5.670359423061881e+00,  1.331006529831587e+02,  1.006798564267925e+00,  1.500581940522894e+01, -4.636413245088280e+00
Bi3Sr1      ,  5.700000000000000e+00,  3.717927130394466e+00,  3.138802253314074e+02, -1.517010421164943e-01,  1.797765046851641e+01, -3.704560693332128e-01
Ba1Bi3      ,  5.745000000000000e+00,  5.555500720381745e+00,  3.284449157674958e+02,  1.039573416128780e+00,  8.969903685241535e+00, -8.117502277267961e-01
Nb1S2       ,  5.821818182000000e+00,  6.037044496742769e+00,  2.242865298117190e+02,  1.169804404689923e+00,  1.323708540233564e+01, -3.208861044544081e+00
C1Mo2       ,  6.021666667000000e+00,  4.222922892250001e+00,  1.584787235220110e+02,  1.019261957088216e+00,  5.206924250819286e+01, -6.362489367897940e-02
Rh2Sr1      ,  6.200000000000000e+00,  3.978046761668411e+00,  2.439724758521869e+02,  8.262001776735020e-01, -4.105671732910532e+00, -5.944171360771182e-01
Pb1         ,  6.470100000000000e+00,  4.391017505430989e+00,  3.718605644416126e+02,  2.235873741840716e-01, -2.241221370386606e+00, -3.155177470406065e-01
Sn1Ta3      ,  6.692500000000000e+00,  7.197940008017791e+00,  3.089509391916764e+02,  1.064151780322663e+00,  6.376179247572740e+00, -4.219411279731030e+00
Ag1B2       ,  6.700000000000000e+00,  4.730844016082381e+00,  1.374518453981811e+02,  7.746129842906531e-01,  9.472706105535099e+01, -3.778977670903919e-01
Nb1Se2      ,  6.814619048000000e+00,  6.723576937790171e+00,  2.621704880817725e+02, -4.273093199993078e-01, -8.874138459820921e+00, -8.558410253336470e+00
Li1Pb1      ,  7.200000000000000e+00,  5.322354948782801e+00,  2.027303208833082e+02, -2.361810087533521e-01,  1.525363174401414e+02, -5.150628111558564e-01
Tc1         ,  7.794166667000000e+00,  4.804081988306300e+00,  1.893724213774761e+02,  1.272855312757304e+00, -1.903764492830024e+01, -2.607719062879460e+00
P1Ru1Zr1    ,  8.496153846000000e+00,  6.600330302666706e+00,  2.261054960451233e+02,  1.302683232127381e+00,  5.951299253216243e+01, -2.104056316256600e+00
C1Ta1       ,  8.637499999999999e+00,  8.790876364444047e+00,  1.854812543012909e+02, -7.596780633766020e-02,  3.263045602167646e+02, -1.429015456140234e-01
Hf1N1       ,  8.830000000000000e+00,  7.838704190212730e+00,  2.159610177633578e+02, -2.578054207017835e-01,  2.687003397558152e+02, -4.706600829172414e-01
N1Zr1       ,  9.850000000000000e+00,  1.010196200223721e+01,  7.828347663964580e+02, -3.899967077795972e-01,  1.078395592794149e+02, -1.408218867499446e-01
C2I2Y2      ,  9.917500000000000e+00,  1.135350825951059e+01,  2.587985931773013e+02,  1.475447968847463e+00,  3.863764249161184e+02,  2.759443253845171e+00
C1Mo1       ,  1.015200000000000e+01,  8.464034136970367e+00,  1.976602740443645e+02,  2.960512082456530e+00,  1.784795538862940e+01, -3.503483122206184e+00
Mo3Os1      ,  1.102250000000000e+01,  9.950377923040772e+00,  4.242736565236501e+02,  2.310478760713218e+00,  1.330774467364666e+01, -3.641975239641535e+00
C6Ca        ,  1.130300000000000e+01,  1.276530269695114e+01,  1.541204984310034e+02,  1.222785368214823e+00,  2.428431927680298e+00, -1.710764283702727e+01
Nb3Sn1      ,  1.670900000000000e+01,  1.715627448330153e+01,  2.431953524710615e+02, -3.311298187426057e-01, -1.199808271801073e+00, -2.741188888759609e+01
B2Mg0.98    ,  3.840000000000000e+01,  3.809865187514636e+01,  1.032749424224343e+02, -5.046739092518771e-01,  3.313294043036657e+00, -6.855003311297753e+01
