# c0 + a0 * (((at_rad_wtd_std+4.856698e-02) / (density-2.698471e+00)) + 4.026162e+01*((EA_wtd_std-7.772853e-01) * (lambda4w_low-1.756293e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.3547621442094; Max AE: 6.71349498718078
# Coefficients
# Task   a0                      c0
# all , -1.553596929228291e+00,  4.193289773925187e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * cm^3 * g^-1;                                 18|5|div|36|2|mult|add:4.0261616180665e+01,0.0000000000000e+00,-7.7728527885523e-01,-1.7562932931547e-02,4.8566982023622e-02,-2.6984708528399e+00; (((at_rad_wtd_std+4.856698e-02) / (density-2.698471e+00)) + 4.026162e+01*((EA_wtd_std-7.772853e-01) * (lambda4w_low-1.756293e-02))); $\left(\left(\frac{ at_{rad, wtd, std} +4.857e-02 }{ density-2.698e+00 } \right) + 40.3\left(\left(EA_{wtd, std}-7.773e-01\right) * \left(lambda4w_{low}-1.756e-02\right)\right)\right)$; (((at_rad_wtd_std+4.856698e-02) ./ (density-2.698471e+00)) + (4.026162e+01.*((EA_wtd_std-7.772853e-01) .* (lambda4w_low-1.756293e-02)))); (((newdata$at_rad_wtd_std+4.856698e-02) / (newdata$density-2.698471e+00)) + (4.026162e+01*((newdata$EA_wtd_std-7.772853e-01) * (newdata$lambda4w_low-1.756293e-02)))); at_rad_wtd_std,density,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  8.643506464983798e-01,  2.142730244118319e+00
Se2Ta1      ,  1.250000000000000e-01,  1.083018200311100e+00,  2.001981025515437e+00
Ti1         ,  1.620000000000000e-01,  3.363316627192201e+00,  5.342268197873261e-01
B1Mo1       ,  2.500000000000000e-01,  3.607353277730555e+00,  3.771483356919870e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.844888031107750e+00,  2.242549121093441e-01
Pt1Te1      ,  5.900000000000000e-01,  3.563566745267196e+00,  4.053323077632431e-01
Sb1V3       ,  6.500000000000000e-01,  3.614726237393199e+00,  3.724026004733255e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.780525266964680e+00,  2.656831377528124e-01
Rh1Te2      ,  7.550000000000000e-01,  3.757471591806999e+00,  2.805220414117772e-01
Zr1         ,  9.966666670000000e-01,  3.460766778881212e+00,  4.715013149567931e-01
Be2Ta3      ,  1.000000000000000e+00,  3.465323767575362e+00,  4.685681290007594e-01
C1Si1       ,  1.075000000000000e+00,  3.364923835245288e+00,  5.331923120441338e-01
Nb3Sb1      ,  1.100000000000000e+00,  3.542045929597157e+00,  4.191845594413723e-01
Nb1O1       ,  1.380000000000000e+00,  3.525460624049420e+00,  4.298599831859178e-01
Sb1         ,  1.416666667000000e+00,  3.988107039830939e+00,  1.320694771173160e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.583425356337888e+00,  3.925499633230050e-01
S2Ta1       ,  1.488116666500000e+00,  3.479570262056733e+00,  4.593981221519119e-01
B2C2Y1      ,  1.800000000000000e+00,  3.463657477354405e+00,  4.696406660208884e-01
Re2Y1       ,  1.830000000000000e+00,  3.436924576181224e+00,  4.868477682429945e-01
S1Y1        ,  1.900000000000000e+00,  3.960380042020507e+00,  1.499164471317359e-01
Ga2Pt1      ,  1.900000000000000e+00,  4.248766347309997e+00, -3.570847260387287e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.625830639693752e+00,  3.652550565437237e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.586598716939259e+00,  3.905073739346836e-01
Be2Nb1      ,  2.150000000000000e+00,  3.622024045814922e+00,  3.677052376732144e-01
In1Te1      ,  2.206000000000000e+00,  4.218134558753315e+00, -1.599178291403325e-02
C2Cl2Y2     ,  2.300000000000000e+00,  2.976448060463572e+00,  7.832415799547503e-01
Be2Nb3      ,  2.300000000000000e+00,  3.702413880960182e+00,  3.159609057729246e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.393403476172218e+00,  5.148608900445575e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  4.188089797813981e+00,  3.347056120784959e-03
Bi1Nb3      ,  2.516666667000000e+00,  3.476085608644011e+00,  4.616410806356502e-01
Re1         ,  2.581333333000000e+00,  3.575018947927301e+00,  3.979608960124527e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.627340774926784e+00,  3.642830314292157e-01
Nb3Rh1      ,  2.742333333000000e+00,  3.517724140291096e+00,  4.348397070851963e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.079290074261561e+00,  7.337791258396245e-02
N1Ni3Zn1    ,  3.000000000000000e+00,  5.058252342581794e+00, -5.567483768690600e-01
B1Hf1       ,  3.100000000000000e+00,  3.444053609878604e+00,  4.822590402639035e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  4.190524244344592e+00,  1.780081775759787e-03
C2Y1        ,  3.150000000000000e+00,  3.407686757830603e+00,  5.056672044819324e-01
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.435780755360842e+00,  4.875840086402705e-01
In1Sb1      ,  3.320000000000000e+00,  4.197305868658106e+00, -2.585030040523200e-03
Bi2K1       ,  3.575000000000000e+00,  3.590261197745335e+00,  3.881499537202295e-01
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.123929330337628e+00,  4.464506995518590e-02
Hg0.5In0.5  ,  3.810000000000000e+00,  4.774704417724910e+00, -3.742377658332046e-01
C1W2        ,  3.835000000000000e+00,  3.676316367893329e+00,  3.327590292603445e-01
Ba1Ge3      ,  4.000000000000000e+00,  3.982479263331756e+00,  1.356918944852358e-01
Bi2Rb1      ,  4.250000000000000e+00,  3.479619473345586e+00,  4.593664464399387e-01
Ba1Sn3      ,  4.300000000000000e+00,  3.767961746832317e+00,  2.737698685489423e-01
Rh1Se2      ,  4.350000000000000e+00,  3.881531992900506e+00,  2.006683813281857e-01
