# c0 + a0 * (((at_rad_std+2.746339e+00) / (at_mass_mean-1.775316e+01)) + 2.811710e+01*((PE_range-1.022161e+00) * (lambda4w_low-3.680986e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.46956578104278; Max AE: 6.7766055141498
# Coefficients
# Task   a0                      c0
# all , -2.196830726346743e+00,  4.513800443211286e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * g^-1 * mol;                                  17|7|div|27|2|mult|add:2.8117096624962e+01,0.0000000000000e+00,-1.0221614062788e+00,-3.6809859029961e-02,2.7463388200251e+00,-1.7753155851754e+01; (((at_rad_std+2.746339e+00) / (at_mass_mean-1.775316e+01)) + 2.811710e+01*((PE_range-1.022161e+00) * (lambda4w_low-3.680986e-02))); $\left(\left(\frac{ at_{rad, std} +2.746e+00 }{ at_{mass, mean}-1.775e+01 } \right) + 28.1\left(\left(PE_{range}-1.022e+00\right) * \left(lambda4w_{low}-3.681e-02\right)\right)\right)$; (((at_rad_std+2.746339e+00) ./ (at_mass_mean-1.775316e+01)) + (2.811710e+01.*((PE_range-1.022161e+00) .* (lambda4w_low-3.680986e-02)))); (((newdata$at_rad_std+2.746339e+00) / (newdata$at_mass_mean-1.775316e+01)) + (2.811710e+01*((newdata$PE_range-1.022161e+00) * (newdata$lambda4w_low-3.680986e-02)))); at_rad_std,at_mass_mean,PE_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  5.998940738073931e+00, -6.760376559974579e-01
Se2Ta1      ,  1.250000000000000e-01,  9.521930820393252e-01,  1.621247972571285e+00
Ti1         ,  1.620000000000000e-01,  2.066402267547460e+00,  1.114058605568472e+00
B1Mo1       ,  2.500000000000000e-01,  2.457205511009601e+00,  9.361644971261553e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.516968806519771e+00,  4.537589650110245e-01
Pt1Te1      ,  5.900000000000000e-01,  2.732120324477203e+00,  8.110229419892350e-01
Sb1V3       ,  6.500000000000000e-01,  3.108039516524438e+00,  6.399040717281763e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.497981469579818e+00,  4.624020237192976e-01
Rh1Te2      ,  7.550000000000000e-01,  2.543418823715063e+00,  8.969200930528237e-01
Zr1         ,  9.966666670000000e-01,  2.289438357492133e+00,  1.012532308039133e+00
Be2Ta3      ,  1.000000000000000e+00,  2.277875975694497e+00,  1.017795518198645e+00
C1Si1       ,  1.075000000000000e+00,  9.763531648763673e-01,  1.610250273682933e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.267929634609064e+00,  5.671218968582364e-01
Nb1O1       ,  1.380000000000000e+00,  6.092192083289320e+00, -7.184857809699555e-01
Sb1         ,  1.416666667000000e+00,  2.996696402658305e+00,  6.905875916420177e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.580766389872626e+00,  8.799194358289186e-01
S2Ta1       ,  1.488116666500000e+00,  3.829756876246138e+00,  3.113774578811953e-01
B2C2Y1      ,  1.800000000000000e+00,  4.814470765190031e+00, -1.368654937191041e-01
Re2Y1       ,  1.830000000000000e+00,  3.704933161510719e+00,  3.681973635928185e-01
S1Y1        ,  1.900000000000000e+00,  5.046495310976002e+00, -2.424833472038014e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.301936096034579e+00,  5.516421145437989e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.525837809594758e+00,  9.049229919150142e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  5.288641703252156e+00, -3.527086774361560e-01
Be2Nb1      ,  2.150000000000000e+00,  2.138321478407283e+00,  1.081320893919918e+00
In1Te1      ,  2.206000000000000e+00,  3.023806682763394e+00,  6.782469593939549e-01
C2Cl2Y2     ,  2.300000000000000e+00,  4.725415678261803e+00, -9.632751058722946e-02
