# c0 + a0 * (ln(lambda3) / (|PE_wtd_mean - lambda3|)) + a1 * (((at_rad_mean+4.233348e+00) / (PE_mean-2.137743e+00)) + 3.247552e+00*((at_mass_wtd_range-8.038933e+00) / (L_avg-2.854382e+00))) + a2 * (((at_rad_wtd_std+1.085964e-01) / (density-2.699147e+00)) + 4.547869e+01*((EA_wtd_std-7.821638e-01) * (lambda4w_low-8.314140e-04)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.56462878863988; Max AE: 4.14243946563389
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  8.141761008322711e-01,  7.328303295182454e-03, -1.401911704655741e+00,  3.237828252502353e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         3|log|26|3|abd|div; (ln(lambda3) / (|PE_wtd_mean - lambda3|)); $\left(\frac{ \left(\ln{ lambda3 }\right) }{ \left(\left|PE_{wtd, mean} - lambda3\right|\right) } \right)$; (log(lambda3) ./ abs(PE_wtd_mean - lambda3)); (log(newdata$lambda3) / abs(newdata$PE_wtd_mean - newdata$lambda3)); lambda3,PE_wtd_mean,lambda3
# 1;  2; AA;                                               13|25|div|10|4|div|add:3.2475516664772e+00,0.0000000000000e+00,-8.0389331910438e+00,-2.8543824490515e+00,4.2333478679924e+00,-2.1377431401996e+00; (((at_rad_mean+4.233348e+00) / (PE_mean-2.137743e+00)) + 3.247552e+00*((at_mass_wtd_range-8.038933e+00) / (L_avg-2.854382e+00))); $\left(\left(\frac{ at_{rad, mean} +4.233e+00 }{ PE_{mean}-2.138e+00 } \right) + 3.25\left(\frac{ at_{mass, wtd, range} -8.039e+00 }{ L_{avg}-2.854e+00 } \right)\right)$; (((at_rad_mean+4.233348e+00) ./ (PE_mean-2.137743e+00)) + (3.247552e+00.*((at_mass_wtd_range-8.038933e+00) ./ (L_avg-2.854382e+00)))); (((newdata$at_rad_mean+4.233348e+00) / (newdata$PE_mean-2.137743e+00)) + (3.247552e+00*((newdata$at_mass_wtd_range-8.038933e+00) / (newdata$L_avg-2.854382e+00)))); at_rad_mean,PE_mean,at_mass_wtd_range,L_avg
# 2;  2; AA * cm^3 * g^-1;                                 18|5|div|36|2|mult|add:4.5478694963744e+01,0.0000000000000e+00,-7.8216383773176e-01,-8.3141395970402e-04,1.0859644685335e-01,-2.6991468375985e+00; (((at_rad_wtd_std+1.085964e-01) / (density-2.699147e+00)) + 4.547869e+01*((EA_wtd_std-7.821638e-01) * (lambda4w_low-8.314140e-04))); $\left(\left(\frac{ at_{rad, wtd, std} +1.086e-01 }{ density-2.699e+00 } \right) + 45.5\left(\left(EA_{wtd, std}-7.822e-01\right) * \left(lambda4w_{low}-8.314e-04\right)\right)\right)$; (((at_rad_wtd_std+1.085964e-01) ./ (density-2.699147e+00)) + (4.547869e+01.*((EA_wtd_std-7.821638e-01) .* (lambda4w_low-8.314140e-04)))); (((newdata$at_rad_wtd_std+1.085964e-01) / (newdata$density-2.699147e+00)) + (4.547869e+01*((newdata$EA_wtd_std-7.821638e-01) * (newdata$lambda4w_low-8.314140e-04)))); at_rad_wtd_std,density,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02, -3.314041391478146e-01, -1.065126726136202e+00,  8.826351488058306e+00,  1.973529315989365e+00
Se2Ta1      ,  1.250000000000000e-01,  5.844294051919091e-01,  4.804668028682956e-02, -1.862722356836377e+01,  1.823232771207823e+00
Ti1         ,  1.620000000000000e-01,  1.731057424203517e+00, -1.482788318462840e+00, -3.376928195411483e+01,  3.712678653012408e-02
B1Mo1       ,  2.500000000000000e-01,  2.169270574786419e+00, -8.538345638037655e-01, -4.830296130699895e+01,  1.384340484836458e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.922725782035734e+00, -1.071890696271433e+00,  8.381956290601470e+01,  4.040900843806484e-02
Pt1Te1      ,  5.900000000000000e-01,  4.153287475463334e+00, -3.726043394517363e-01,  1.531105128264225e+02, -6.903751157409641e-02
Sb1V3       ,  6.500000000000000e-01,  2.275895978005394e+00, -1.247603037791077e+00,  1.069218084489637e+01,  1.748986176421544e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.029016229157723e+00, -3.458913373856581e-01,  7.676241137416328e+00, -1.180574622693854e-02
Rh1Te2      ,  7.550000000000000e-01,  2.695996146144179e+00, -1.602705512584698e+00,  1.104533829796316e+02,  3.308587241209458e-02
Zr1         ,  9.966666670000000e-01,  2.144672782746960e+00, -1.113735125894755e+00, -3.423830020563083e+01, -4.602978947219308e-02
Be2Ta3      ,  1.000000000000000e+00,  2.149748485369732e+00, -2.007744247151598e+00,  8.578900173819788e+01,  5.857017126975288e-02
C1Si1       ,  1.075000000000000e+00,  8.614745651368855e-01, -7.625941398818260e-01, -2.246355290487339e+02,  7.794390754650693e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.502884862627293e+00, -8.647634435912942e-01, -1.458660532473540e+01, -5.422695764983283e-02
Nb1O1       ,  1.380000000000000e+00,  3.046608150784980e+00, -8.404691370813074e-01,  8.793097516943280e+01,  1.079348088748350e-01
Sb1         ,  1.416666667000000e+00,  2.794454232527142e+00,  4.189492470355357e-01, -1.898336594842213e+02, -4.327563183521056e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.671005111311355e+00, -3.333434269154184e-01, -5.697684128948227e+01, -8.711011095656208e-02
S2Ta1       ,  1.488116666500000e+00,  2.757752086899474e+00,  3.022548553697275e-01, -6.974488370891549e-01,  5.143360499807151e-01
B2C2Y1      ,  1.800000000000000e+00,  1.874332973428246e+00, -1.178461242972613e+00,  2.350934415577296e+00,  3.004815911830838e-01
Re2Y1       ,  1.830000000000000e+00,  2.356560155605826e+00, -1.243376821003845e+00,  2.120428281905490e+01,  1.735617191899253e-02
S1Y1        ,  1.900000000000000e+00,  2.637386628189318e+00, -6.834551912959520e-01,  4.186033813608735e+01,  2.501969234620211e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.200448765858343e+00, -5.085799322815072e-01,  5.696461220835917e+01,  2.907445286137381e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.081263634773462e+00, -7.403482046348052e-01,  5.604534196876294e+01, -2.531681020399861e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.408354198602197e+00, -8.133440247437743e-01, -9.147053969682084e+00,  7.149979639867951e-02
