# c0 + a0 * (((PE_mean+9.452324e+01) / (density-2.695144e+00)) + 1.249226e+02*((IP_wtd_mean-9.062592e+00) * (lambda3-1.423168e+00)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.34962520285486; Max AE: 6.12890330949616
# Coefficients
# Task   a0                      c0
# all , -3.907285100555145e-03,  4.296998891719704e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * g^-1;                                      25|5|div|20|3|mult|add:1.2492262547072e+02,0.0000000000000e+00,-9.0625922757665e+00,-1.4231675244806e+00,9.4523237648830e+01,-2.6951443379819e+00; (((PE_mean+9.452324e+01) / (density-2.695144e+00)) + 1.249226e+02*((IP_wtd_mean-9.062592e+00) * (lambda3-1.423168e+00))); $\left(\left(\frac{ PE_{mean} +9.452e+01 }{ density-2.695e+00 } \right) + 125.0\left(\left(IP_{wtd, mean}-9.063e+00\right) * \left(lambda3-1.423e+00\right)\right)\right)$; (((PE_mean+9.452324e+01) ./ (density-2.695144e+00)) + (1.249226e+02.*((IP_wtd_mean-9.062592e+00) .* (lambda3-1.423168e+00)))); (((newdata$PE_mean+9.452324e+01) / (newdata$density-2.695144e+00)) + (1.249226e+02*((newdata$IP_wtd_mean-9.062592e+00) * (newdata$lambda3-1.423168e+00)))); PE_mean,density,IP_wtd_mean,lambda3
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  4.057241058656570e+00,  6.136174527655265e+01
Se2Ta1      ,  1.250000000000000e-01,  1.011863929879097e+00,  8.407717577030294e+02
Ti1         ,  1.620000000000000e-01,  2.702202092648796e+00,  4.081598240282798e+02
B1Mo1       ,  2.500000000000000e-01,  3.415857681711969e+00,  2.255123921933781e+02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.031642973986893e+00,  3.238453005523015e+02
Sb1V3       ,  6.500000000000000e-01,  3.066548825894826e+00,  3.149117697221674e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.487427578467091e+00,  2.071953523784556e+02
Rh1Te2      ,  7.550000000000000e-01,  3.849274808536020e+00,  1.145870013734272e+02
Zr1         ,  9.966666670000000e-01,  2.905541769590646e+00,  3.561186568984588e+02
Be2Ta3      ,  1.000000000000000e+00,  3.861095008138261e+00,  1.115618319020308e+02
C1Si1       ,  1.075000000000000e+00,  4.396838356980110e+00, -2.555213215596206e+01
Nb3Sb1      ,  1.100000000000000e+00,  3.228436880379160e+00,  2.734794067596254e+02
Nb1O1       ,  1.380000000000000e+00,  4.923904512065262e+00, -1.604453230854559e+02
Sb1         ,  1.416666667000000e+00,  4.193896228204536e+00,  2.638728960436461e+01
Sb1Sn1      ,  1.430000000000000e+00,  3.798298141596188e+00,  1.276335709551015e+02
S2Ta1       ,  1.488116666500000e+00,  2.285768102986667e+00,  5.147386835036128e+02
B2C2Y1      ,  1.800000000000000e+00,  4.089758881251254e+00,  5.303938799833306e+01
Re2Y1       ,  1.830000000000000e+00,  3.185135508098925e+00,  2.845616214344854e+02
S1Y1        ,  1.900000000000000e+00,  3.722225890044452e+00,  1.471029082555528e+02
Ga2Pt1      ,  1.900000000000000e+00,  3.279886451395154e+00,  2.603118058060414e+02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.212897698758637e+00,  2.774563834123695e+02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.093625853110414e+00,  3.079818870750731e+02
Be2Nb1      ,  2.150000000000000e+00,  3.779324268086937e+00,  1.324895957961236e+02
In1Te1      ,  2.206000000000000e+00,  3.666969291149702e+00,  1.612448501596385e+02
C2Cl2Y2     ,  2.300000000000000e+00,  3.183338639798245e+00,  2.850214978587639e+02
Be2Nb3      ,  2.300000000000000e+00,  3.380874420575641e+00,  2.344657345362130e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.398484942198523e+00,  2.299586353177862e+02
As1Pt1Sr1   ,  2.425000000000000e+00,  3.784078304096397e+00,  1.312728849887181e+02
Bi1Nb3      ,  2.516666667000000e+00,  3.058252090203872e+00,  3.170351713878856e+02
Re1         ,  2.581333333000000e+00,  3.717912215512444e+00,  1.482069163893323e+02
Hf1In1Pd2   ,  2.630000000000000e+00,  3.372359128018732e+00,  2.366450719374432e+02
Nb3Rh1      ,  2.742333333000000e+00,  2.989198458079914e+00,  3.347082181062187e+02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  5.142057058129456e+00, -2.162775801258236e+02
N1Ni3Zn1    ,  3.000000000000000e+00,  3.708944272827348e+00,  1.505021015253803e+02
B1Hf1       ,  3.100000000000000e+00,  3.277444508271607e+00,  2.609367776370451e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  3.886812616579346e+00,  1.049798682676313e+02
C2Y1        ,  3.150000000000000e+00,  4.413671672328311e+00, -2.986031927694005e+01
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.329337683001339e+00,  2.476556442172289e+02
In1Sb1      ,  3.320000000000000e+00,  4.996513754074448e+00, -1.790283647987084e+02
Bi2K1       ,  3.575000000000000e+00,  3.322637121458797e+00,  2.493705335508969e+02
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.459295453526394e+00, -2.974690947536825e+02
Hg0.5In0.5  ,  3.810000000000000e+00,  6.922551597199321e+00, -6.719634318741115e+02
C1W2        ,  3.835000000000000e+00,  4.276377197583973e+00,  5.277755168876767e+00
C1Ga1Mo2    ,  3.900000000000000e+00,  3.739305715711487e+00,  1.427316312108835e+02
Ba1Ge3      ,  4.000000000000000e+00,  4.301294570221101e+00, -1.099402370404714e+00
Bi2Rb1      ,  4.250000000000000e+00,  2.421158260538596e+00,  4.800879851113475e+02
Ba1Sn3      ,  4.300000000000000e+00,  2.732261903388744e+00,  4.004665510864931e+02
Rh1Se2      ,  4.350000000000000e+00,  4.193044127365095e+00,  2.660536963116391e+01
Al1Au2Sc1   ,  4.400000000000000e+00,  3.719416875405124e+00,  1.478218255004012e+02
B2Nb1       ,  4.597500000000000e+00,  3.563450061030638e+00,  1.877387525637286e+02
Pb3Y1       ,  4.720000000000000e+00,  3.915307503498781e+00,  9.768710969329885e+01
Bi2Cs1      ,  4.750000000000000e+00,  2.416990444373407e+00,  4.811546633950991e+02
Al1Si1Sr1   ,  4.750000000000000e+00,  2.808880928385468e+00,  3.808572768654134e+02
Pd2Sn1Y1    ,  4.814444444333330e+00,  4.073639481789043e+00,  5.716486106911560e+01
Br2C2Y2     ,  5.050000000000000e+00,  4.430256102894595e+00, -3.410480877270984e+01
Ir1Mo1      ,  5.325000000000000e+00,  3.678349620413248e+00,  1.583322576636546e+02
N1Ti1       ,  5.387500000000000e+00,  5.029884184577913e+00, -1.875689318790894e+02
Ga1         ,  5.527454545000000e+00,  5.487495814403684e+00, -3.046864746355047e+02
B6Y1        ,  5.692857143000000e+00,  5.540789514921084e+00, -3.183260476755748e+02
Bi3Sr1      ,  5.700000000000000e+00,  3.325333931016708e+00,  2.486803331973248e+02
Ba1Bi3      ,  5.745000000000000e+00,  5.376051658609999e+00, -2.761643287143250e+02
Nb1S2       ,  5.821818182000000e+00,  3.945634101792395e+00,  8.992555723087290e+01
C1Mo2       ,  6.021666667000000e+00,  3.863662992787234e+00,  1.109046019884501e+02
Rh2Sr1      ,  6.200000000000000e+00,  3.967990488550608e+00,  8.420383839468231e+01
Pb1         ,  6.470100000000000e+00,  3.674594562210439e+00,  1.592932979016132e+02
Sn1Ta3      ,  6.692500000000000e+00,  7.460441940902498e+00, -8.096268810108926e+02
Ag1B2       ,  6.700000000000000e+00,  3.667946956701341e+00,  1.609946340821116e+02
Nb1Se2      ,  6.814619048000000e+00,  5.872976474132770e+00, -4.033433808526418e+02
Li1Pb1      ,  7.200000000000000e+00,  2.961145231565578e+00,  3.418879415695384e+02
Tc1         ,  7.794166667000000e+00,  4.435187576211331e+00, -3.536693149726740e+01
P1Ru1Zr1    ,  8.496153846000000e+00,  4.494974671786206e+00, -5.066837330052377e+01
C1Ta1       ,  8.637499999999999e+00,  4.529165704934954e+00, -5.941895900615597e+01
Hf1N1       ,  8.830000000000000e+00,  5.031288053851638e+00, -1.879282272050245e+02
N1Zr1       ,  9.850000000000000e+00,  5.004347738576572e+00, -1.810333335431216e+02
C2I2Y2      ,  9.917500000000000e+00,  3.788596690503840e+00,  1.301164844980547e+02
C1Mo1       ,  1.015200000000000e+01,  4.173188418682165e+00,  3.168708447201566e+01
Mo3Os1      ,  1.102250000000000e+01,  5.077277112076701e+00, -1.996983072072565e+02
C6Ca        ,  1.130300000000000e+01,  8.913164829510599e+00, -1.181425419183011e+03
Nb3Sn1      ,  1.670900000000000e+01,  1.740185127333608e+01, -3.353953459847209e+03
B2Mg0.98    ,  3.840000000000000e+01,  3.870908210059408e+01, -8.807159529767901e+03
