# c0 + a0 * ((at_mass_wtd_mean * density) / (|PE_wtd_mean - lambda3|)) + a1 * (((IP_wtd_std+9.771130e+01) / (ThermalCond_wtd_mean-6.002065e+01)) + 1.102360e-04*((V_molar-7.646665e+05) / (L_avg-3.123893e+00))) + a2 * (((V_molar-7.645293e+01) / (lambda4w_low+2.347041e-03)) + 5.077570e+00*((ThermalCond_mean-2.522777e+01) / (PE_mean-2.327038e+00))) + a3 * (((at_rad_std-3.641066e-01) / (at_rad_wtd_mean-1.833189e+00)) + 2.768026e-03*((ThermalCond_range-1.213452e+02) / (PE_mean-2.146896e+00))) + a4 * (((IP_std-2.343590e+00) / (density-2.627041e+00)) + 5.910457e+01*((EA_std-8.234105e-01) * (lambda4w_low-1.475476e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.09189455222714; Max AE: 2.99969681501231
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  6.713647440224668e-04, -9.758222794248677e-04,  1.632208631865388e-04, -4.575411545755718e-01, -9.892904975316821e-01,  3.918227981163146e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-3 * g^2 * mol^-1;                             8|5|mult|26|3|abd|div; ((at_mass_wtd_mean * density) / (|PE_wtd_mean - lambda3|)); $\left(\frac{ \left(at_{mass, wtd, mean} density\right) }{ \left(\left|PE_{wtd, mean} - lambda3\right|\right) } \right)$; ((at_mass_wtd_mean .* density) ./ abs(PE_wtd_mean - lambda3)); ((newdata$at_mass_wtd_mean * newdata$density) / abs(newdata$PE_wtd_mean - newdata$lambda3)); at_mass_wtd_mean,density,PE_wtd_mean,lambda3
# 1;  2; W^-1 * eV * mK;                                   24|38|div|6|4|div|add:1.1023597246819e-04,0.0000000000000e+00,-7.6466653101193e+05,-3.1238932447605e+00,9.7711295178169e+01,-6.0020652462281e+01; (((IP_wtd_std+9.771130e+01) / (ThermalCond_wtd_mean-6.002065e+01)) + 1.102360e-04*((V_molar-7.646665e+05) / (L_avg-3.123893e+00))); $\left(\left(\frac{ IP_{wtd, std} +9.771e+01 }{ ThermalCond_{wtd, mean}-6.002e+01 } \right) + 0.000110\left(\frac{ V_{molar} -7.647e+05 }{ L_{avg}-3.124e+00 } \right)\right)$; (((IP_wtd_std+9.771130e+01) ./ (ThermalCond_wtd_mean-6.002065e+01)) + (1.102360e-04.*((V_molar-7.646665e+05) ./ (L_avg-3.123893e+00)))); (((newdata$IP_wtd_std+9.771130e+01) / (newdata$ThermalCond_wtd_mean-6.002065e+01)) + (1.102360e-04*((newdata$V_molar-7.646665e+05) / (newdata$L_avg-3.123893e+00)))); IP_wtd_std,ThermalCond_wtd_mean,V_molar,L_avg
# 2;  2; cm^3 * eV^-1 * mol^-1;                            6|2|div|37|25|div|add:5.0775696092824e+00,0.0000000000000e+00,-2.5227768593785e+01,-2.3270379487157e+00,-7.6452925694510e+01,2.3470408276049e-03; (((V_molar-7.645293e+01) / (lambda4w_low+2.347041e-03)) + 5.077570e+00*((ThermalCond_mean-2.522777e+01) / (PE_mean-2.327038e+00))); $\left(\left(\frac{ V_{molar} -7.645e+01 }{ lambda4w_{low}+2.347e-03 } \right) + 5.08\left(\frac{ ThermalCond_{mean} -2.523e+01 }{ PE_{mean}-2.327e+00 } \right)\right)$; (((V_molar-7.645293e+01) ./ (lambda4w_low+2.347041e-03)) + (5.077570e+00.*((ThermalCond_mean-2.522777e+01) ./ (PE_mean-2.327038e+00)))); (((newdata$V_molar-7.645293e+01) / (newdata$lambda4w_low+2.347041e-03)) + (5.077570e+00*((newdata$ThermalCond_mean-2.522777e+01) / (newdata$PE_mean-2.327038e+00)))); V_molar,lambda4w_low,ThermalCond_mean,PE_mean
# 3;  2; Unitless;                                         17|14|div|39|25|div|add:2.7680264943390e-03,0.0000000000000e+00,-1.2134519114752e+02,-2.1468959672455e+00,-3.6410662884735e-01,-1.8331892001447e+00; (((at_rad_std-3.641066e-01) / (at_rad_wtd_mean-1.833189e+00)) + 2.768026e-03*((ThermalCond_range-1.213452e+02) / (PE_mean-2.146896e+00))); $\left(\left(\frac{ at_{rad, std} -3.641e-01 }{ at_{rad, wtd, mean}-1.833e+00 } \right) + 0.00277\left(\frac{ ThermalCond_{range} -1.213e+02 }{ PE_{mean}-2.147e+00 } \right)\right)$; (((at_rad_std-3.641066e-01) ./ (at_rad_wtd_mean-1.833189e+00)) + (2.768026e-03.*((ThermalCond_range-1.213452e+02) ./ (PE_mean-2.146896e+00)))); (((newdata$at_rad_std-3.641066e-01) / (newdata$at_rad_wtd_mean-1.833189e+00)) + (2.768026e-03*((newdata$ThermalCond_range-1.213452e+02) / (newdata$PE_mean-2.146896e+00)))); at_rad_std,at_rad_wtd_mean,ThermalCond_range,PE_mean
# 4;  2; cm^3 * eV * g^-1;                                 23|5|div|35|2|mult|add:5.9104569618656e+01,0.0000000000000e+00,-8.2341051052409e-01,-1.4754761966523e-02,-2.3435901518687e+00,-2.6270414588942e+00; (((IP_std-2.343590e+00) / (density-2.627041e+00)) + 5.910457e+01*((EA_std-8.234105e-01) * (lambda4w_low-1.475476e-02))); $\left(\left(\frac{ IP_{std} -2.344e+00 }{ density-2.627e+00 } \right) + 59.1\left(\left(EA_{std}-8.234e-01\right) * \left(lambda4w_{low}-1.475e-02\right)\right)\right)$; (((IP_std-2.343590e+00) ./ (density-2.627041e+00)) + (5.910457e+01.*((EA_std-8.234105e-01) .* (lambda4w_low-1.475476e-02)))); (((newdata$IP_std-2.343590e+00) / (newdata$density-2.627041e+00)) + (5.910457e+01*((newdata$EA_std-8.234105e-01) * (newdata$lambda4w_low-1.475476e-02)))); IP_std,density,EA_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  3.942238298850205e-01,  3.399072479126099e+01, -3.774600267671431e+01, -7.107176115376336e+02, -4.368833886208407e-01,  3.707248692932971e+00
Se2Ta1      ,  1.250000000000000e-01,  2.386192253829604e-01,  1.038854298088592e+01, -2.623308961328913e+01, -7.758406802791491e+01,  1.717572834462962e+00,  2.945200122260287e+00
Ti1         ,  1.620000000000000e-01,  5.222613404175007e-01,  1.630846647341360e+02, -1.056348305324959e+02, -1.863369326008023e+04,  2.114871707995651e+00, -4.048472984048380e-01
B1Mo1       ,  2.500000000000000e-01,  1.738353078826674e+00,  2.447979515467113e+02, -8.874864253105365e+01, -1.260427784123270e+04,  5.735306348941124e-01,  1.123345886559798e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.367944611597787e+00,  5.361728560616830e+02, -7.227563226747195e+01, -1.248650505562455e+04, -2.187326298008539e-01,  4.326347092206531e-02
Sb1V3       ,  6.500000000000000e-01,  1.360014786700481e+00,  3.386518608979531e+02, -5.141050733796329e+01, -1.101839572447221e+04,  1.903685357845262e+00,  1.680933715451876e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.481254704645030e+00,  4.251484311750010e+02, -7.085459920837344e+01, -6.162993077108878e+03, -2.290602545672653e-01, -1.107663685206474e-01
Rh1Te2      ,  7.550000000000000e-01,  3.923872986021759e-01,  4.975221520555546e+02, -3.761687013326034e+01, -1.645632653499525e+04,  2.429741188962780e+00,  9.991451872510804e-02
Zr1         ,  9.966666670000000e-01,  2.873857689948428e-01,  6.136693174949880e+02, -1.224354387711107e+02, -1.202606595228496e+04,  4.788024131586956e+00,  8.784508307992156e-03
Be2Ta3      ,  1.000000000000000e+00,  1.999165619371394e+00,  1.028313717041452e+03, -3.506606656833324e+01, -1.385711986814199e+04, -6.645412588934400e-02,  4.167518222141792e-01
C1Si1       ,  1.075000000000000e+00,  3.068602417075188e+00,  4.040676796141152e+01,  3.139502255983874e+02, -1.477809790465346e+04, -3.755443694760901e+00, -1.247664197406657e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.400360968061115e+00,  6.538595696593120e+02, -4.721161715896721e+01, -5.778140685975168e+03,  1.720635114924692e+00,  2.754913109954569e-01
Nb1O1       ,  1.380000000000000e+00,  1.325494700574673e+00,  1.681314414059389e+02, -8.198890472061611e+01, -1.507820793388083e+04, -6.840985514061116e-01,  6.444442061987786e-01
Sb1         ,  1.416666667000000e+00,  1.321711955331007e+00,  1.214788389125785e+03,  1.359178350154228e+03, -3.664403039616189e+03,  4.288027568904934e+00, -4.794249082094117e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.140521706583372e+00,  6.215712656244307e+02, -7.823480947683419e+01, -6.756642582977879e+03,  2.357677020888929e+00,  9.076330730471793e-02
S2Ta1       ,  1.488116666500000e+00,  2.789923313219222e+00,  7.862293832772725e+01, -2.995425104854714e+01, -2.634998326474489e+02,  1.740533598768861e+00,  3.749605811218112e-01
B2C2Y1      ,  1.800000000000000e+00,  1.960337427080725e+00,  6.093514471972653e+01, -4.303181360182287e+01, -1.228032342659527e+04, -2.171652332899161e-01,  1.372182451655566e-01
Re2Y1       ,  1.830000000000000e+00,  1.758254695568390e+00,  1.422215949787553e+03, -2.948996528415335e+01, -1.276227502240231e+04,  1.302387892911098e+00,  4.696399018925275e-01
S1Y1        ,  1.900000000000000e+00,  2.434109830217904e+00,  1.923322036542606e+02, -1.165782680300381e+02, -8.739072572244788e+03,  9.998986619660353e-01, -1.585892864413659e-01
Ga2Pt1      ,  1.900000000000000e+00,  2.000591193026084e+00,  7.975191870655588e+02, -8.551023643203609e+01, -9.150960141182566e+03,  2.647438742119475e+00, -1.702573162721345e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.785117934666430e+00,  5.794328581717730e+02, -9.980081926908336e+01, -1.792049308522236e+04, -3.317103186643231e+00,  2.145189650999383e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.813183268409861e+00,  7.134307619846692e+02, -8.709314736498209e+01, -9.284356630848059e+03, -3.603974376381940e-01,  3.219482693242287e-01
Be2Nb1      ,  2.150000000000000e+00,  1.602169389216757e+00,  1.366911408817553e+02, -5.670374262928674e+01, -1.568537230210213e+04, -3.490437441788519e-02, -8.192622778003067e-02
In1Te1      ,  2.206000000000000e+00,  2.885740232944145e+00,  7.093358358492960e+02, -7.445977974008591e+01, -6.954019478454446e+03,  1.360885655610406e+00, -1.782407941562598e-01
C2Cl2Y2     ,  2.300000000000000e+00,  1.679932277798102e+00,  3.127307951904101e+02, -4.470270299420277e+01, -9.401185422505951e+03,  1.000624978496658e-01,  9.214904206588506e-01
Be2Nb3      ,  2.300000000000000e+00,  2.162615737913786e+00,  2.818817470142674e+02, -3.480195686710096e+01, -1.173017336120126e+04, -2.037177215366918e-02,  7.432613377879221e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  2.830461730728157e+00,  1.148755973789734e+03, -6.384342025755141e+01, -9.148811108935619e+03, -2.217364860211393e-01,  5.352088849738851e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.011612121973535e+00,  7.319344801092772e+02, -4.454952590988388e+01, -7.419362502524034e+03,  7.947588559543211e-01, -1.345877200483019e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.446457203050536e+00,  9.398300089540147e+02, -4.422967385576780e+01, -6.127802013967717e+03,  1.837408476629012e+00,  3.083267083228375e-01
Re1         ,  2.581333333000000e+00,  3.149558935048800e+00,  2.740080292132965e+03, -4.517591256614025e+02, -9.573328850345839e+03,  2.487043380806905e+00,  3.523810975753990e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  2.482049294156501e+00,  1.039637576010052e+03, -1.286968452164992e+01, -8.367769722113097e+03,  1.027511659026742e+00,  3.141541943050675e-01
