# c0 + a0 * (((at_mass_mean+5.599515e+01) / (density-2.707277e+00)) + 1.389481e+02*((EA_std-8.330815e-01) * (lambda3-7.504917e-01)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.47942205057921; Max AE: 8.00215617413351
# Coefficients
# Task   a0                      c0
# all , -1.032531072953629e-02,  4.069932126545461e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * mol^-1;                                    7|5|div|35|3|mult|add:1.3894808378389e+02,0.0000000000000e+00,-8.3308153697823e-01,-7.5049165718476e-01,5.5995146242382e+01,-2.7072767592296e+00; (((at_mass_mean+5.599515e+01) / (density-2.707277e+00)) + 1.389481e+02*((EA_std-8.330815e-01) * (lambda3-7.504917e-01))); $\left(\left(\frac{ at_{mass, mean} +5.600e+01 }{ density-2.707e+00 } \right) + 139.0\left(\left(EA_{std}-8.331e-01\right) * \left(lambda3-7.505e-01\right)\right)\right)$; (((at_mass_mean+5.599515e+01) ./ (density-2.707277e+00)) + (1.389481e+02.*((EA_std-8.330815e-01) .* (lambda3-7.504917e-01)))); (((newdata$at_mass_mean+5.599515e+01) / (newdata$density-2.707277e+00)) + (1.389481e+02*((newdata$EA_std-8.330815e-01) * (newdata$lambda3-7.504917e-01)))); at_mass_mean,density,EA_std,lambda3
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02, -5.115444046718427e-01,  4.437131870628999e+02
Se2Ta1      ,  1.250000000000000e-01,  1.473471739648613e+00,  2.514655931341114e+02
Ti1         ,  1.620000000000000e-01,  2.813896003601796e+00,  1.216463267638700e+02
B1Mo1       ,  2.500000000000000e-01,  3.406950762024120e+00,  6.420933779986252e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.581536584344811e+00,  4.730080817844627e+01
Pt1Te1      ,  5.900000000000000e-01,  3.612003813478602e+00,  4.435007575674429e+01
Sb1V3       ,  6.500000000000000e-01,  3.292059383649106e+00,  7.533649720305212e+01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.770342574499995e+00,  2.901506403952260e+01
Rh1Te2      ,  7.550000000000000e-01,  3.354522661081668e+00,  6.928696716286828e+01
Zr1         ,  9.966666670000000e-01,  3.187739428466872e+00,  8.543982076539478e+01
Be2Ta3      ,  1.000000000000000e+00,  3.252066660077959e+00,  7.920976790828570e+01
C1Si1       ,  1.075000000000000e+00,  2.892763130618631e+00,  1.140080939704268e+02
Nb3Sb1      ,  1.100000000000000e+00,  3.324286417548189e+00,  7.221532877110408e+01
Nb1O1       ,  1.380000000000000e+00,  3.339986882928307e+00,  7.069474834583851e+01
Sb1         ,  1.416666667000000e+00,  4.356074887797297e+00, -2.771275061323867e+01
