# c0 + a0 * (((at_rad_std-2.038029e+00) / (V_molar-8.270643e+00)) + 2.231789e+00*((PE_wtd_range-7.198710e-01) * (L_avg-1.008251e+01))) + a1 * (((V_molar-6.923954e+01) / (lambda4w_low+1.562086e-03)) + 2.281768e+03*((EA_mean-6.047903e-01) / (lambda3-2.470643e+00))) + a2 * (((at_mass_wtd_std-5.638481e+00) / (L_avg-2.887909e+00)) + 4.127120e+02*((PE_std-1.386311e+00) / (at_mass_wtd_mean-7.681650e+01))) + a3 * (|ThermalCond_wtd_range - (4.108453e-01*ThermalCond_wtd_mean+1.738003e+01)| + 9.144235e-03*((ThermalCond_range+3.932230e+02) / (IP_wtd_mean-1.049226e+01))) + a4 * (((at_rad_std+1.387867e+00) / (at_mass_mean-1.772451e+01)) + 1.788009e+01*((EA_wtd_std-7.794082e-01) * (lambda4w_low-7.975790e-03)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.07841307951864; Max AE: 3.81551900029234
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.161447415207900e-01,  1.202392724206860e-04,  1.651443289169133e-02,  4.852447985659757e-02, -3.516386412905110e+00,  4.006122959205640e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * cm^-3 * mol;                                 17|6|div|28|4|mult|add:2.2317886871600e+00,0.0000000000000e+00,-7.1987104260109e-01,-1.0082512590827e+01,-2.0380285010078e+00,-8.2706431309548e+00; (((at_rad_std-2.038029e+00) / (V_molar-8.270643e+00)) + 2.231789e+00*((PE_wtd_range-7.198710e-01) * (L_avg-1.008251e+01))); $\left(\left(\frac{ at_{rad, std} -2.038e+00 }{ V_{molar}-8.271e+00 } \right) + 2.23\left(\left(PE_{wtd, range}-7.199e-01\right) * \left(L_{avg}-1.008e+01\right)\right)\right)$; (((at_rad_std-2.038029e+00) ./ (V_molar-8.270643e+00)) + (2.231789e+00.*((PE_wtd_range-7.198710e-01) .* (L_avg-1.008251e+01)))); (((newdata$at_rad_std-2.038029e+00) / (newdata$V_molar-8.270643e+00)) + (2.231789e+00*((newdata$PE_wtd_range-7.198710e-01) * (newdata$L_avg-1.008251e+01)))); at_rad_std,V_molar,PE_wtd_range,L_avg
# 1;  2; cm^3 * eV^-1 * mol^-1;                            6|2|div|31|3|div|add:2.2817684540177e+03,0.0000000000000e+00,-6.0479027333620e-01,-2.4706434659297e+00,-6.9239543224734e+01,1.5620864707154e-03; (((V_molar-6.923954e+01) / (lambda4w_low+1.562086e-03)) + 2.281768e+03*((EA_mean-6.047903e-01) / (lambda3-2.470643e+00))); $\left(\left(\frac{ V_{molar} -6.924e+01 }{ lambda4w_{low}+1.562e-03 } \right) + 2.28e+03\left(\frac{ EA_{mean} -6.048e-01 }{ lambda3-2.471e+00 } \right)\right)$; (((V_molar-6.923954e+01) ./ (lambda4w_low+1.562086e-03)) + (2.281768e+03.*((EA_mean-6.047903e-01) ./ (lambda3-2.470643e+00)))); (((newdata$V_molar-6.923954e+01) / (newdata$lambda4w_low+1.562086e-03)) + (2.281768e+03*((newdata$EA_mean-6.047903e-01) / (newdata$lambda3-2.470643e+00)))); V_molar,lambda4w_low,EA_mean,lambda3
# 2;  2; AA^-1 * g * mol^-1;                               12|4|div|29|8|div|add:4.1271198425871e+02,0.0000000000000e+00,-1.3863111792634e+00,-7.6816498991076e+01,-5.6384814319141e+00,-2.8879089195878e+00; (((at_mass_wtd_std-5.638481e+00) / (L_avg-2.887909e+00)) + 4.127120e+02*((PE_std-1.386311e+00) / (at_mass_wtd_mean-7.681650e+01))); $\left(\left(\frac{ at_{mass, wtd, std} -5.638e+00 }{ L_{avg}-2.888e+00 } \right) + 413.0\left(\frac{ PE_{std} -1.386e+00 }{ at_{mass, wtd, mean}-7.682e+01 } \right)\right)$; (((at_mass_wtd_std-5.638481e+00) ./ (L_avg-2.887909e+00)) + (4.127120e+02.*((PE_std-1.386311e+00) ./ (at_mass_wtd_mean-7.681650e+01)))); (((newdata$at_mass_wtd_std-5.638481e+00) / (newdata$L_avg-2.887909e+00)) + (4.127120e+02*((newdata$PE_std-1.386311e+00) / (newdata$at_mass_wtd_mean-7.681650e+01)))); at_mass_wtd_std,L_avg,PE_std,at_mass_wtd_mean
# 3;  2; W * mK^-1;                                        40|38|abd|39|20|div|add:9.1442354271108e-03,0.0000000000000e+00,3.9322302519163e+02,-1.0492264930700e+01,4.1084531107299e-01,1.7380028415519e+01; (|ThermalCond_wtd_range - (4.108453e-01*ThermalCond_wtd_mean+1.738003e+01)| + 9.144235e-03*((ThermalCond_range+3.932230e+02) / (IP_wtd_mean-1.049226e+01))); $\left(\left(\left|ThermalCond_{wtd, range} - \left(4.108e-01ThermalCond_{wtd, mean}+1.738e+01\right)\right|\right) + 0.00914\left(\frac{ ThermalCond_{range} +3.932e+02 }{ IP_{wtd, mean}-1.049e+01 } \right)\right)$; (abs(ThermalCond_wtd_range - (4.108453e-01.*ThermalCond_wtd_mean+1.738003e+01)) + (9.144235e-03.*((ThermalCond_range+3.932230e+02) ./ (IP_wtd_mean-1.049226e+01)))); (abs(newdata$ThermalCond_wtd_range - (4.108453e-01*newdata$ThermalCond_wtd_mean+1.738003e+01)) + (9.144235e-03*((newdata$ThermalCond_range+3.932230e+02) / (newdata$IP_wtd_mean-1.049226e+01)))); ThermalCond_wtd_range,ThermalCond_wtd_mean,ThermalCond_range,IP_wtd_mean
# 4;  2; AA * g^-1 * mol;                                  17|7|div|36|2|mult|add:1.7880085256131e+01,0.0000000000000e+00,-7.7940820985721e-01,-7.9757896823449e-03,1.3878667212542e+00,-1.7724509981713e+01; (((at_rad_std+1.387867e+00) / (at_mass_mean-1.772451e+01)) + 1.788009e+01*((EA_wtd_std-7.794082e-01) * (lambda4w_low-7.975790e-03))); $\left(\left(\frac{ at_{rad, std} +1.388e+00 }{ at_{mass, mean}-1.772e+01 } \right) + 17.9\left(\left(EA_{wtd, std}-7.794e-01\right) * \left(lambda4w_{low}-7.976e-03\right)\right)\right)$; (((at_rad_std+1.387867e+00) ./ (at_mass_mean-1.772451e+01)) + (1.788009e+01.*((EA_wtd_std-7.794082e-01) .* (lambda4w_low-7.975790e-03)))); (((newdata$at_rad_std+1.387867e+00) / (newdata$at_mass_mean-1.772451e+01)) + (1.788009e+01*((newdata$EA_wtd_std-7.794082e-01) * (newdata$lambda4w_low-7.975790e-03)))); at_rad_std,at_mass_mean,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  1.381516159251384e+00,  3.976768826574410e+00,  2.216367938909995e+03,  1.762967747996452e+01, -4.013344848480463e+01,  1.067098342573225e-01
Se2Ta1      ,  1.250000000000000e-01,  6.457912338908476e-01,  1.872642939514118e+00, -1.131433710341305e+00,  1.403066995331507e+00, -2.795196172285483e+00,  8.084916843531832e-01
Ti1         ,  1.620000000000000e-01,  6.171307026489430e-01,  8.622035017337216e+00, -2.081498845876466e+04,  1.441296829316566e+01,  2.539624598385574e+01,  1.401914423111986e-01
B1Mo1       ,  2.500000000000000e-01,  1.510094203675398e+00,  8.487464254113410e+00, -1.155920743974997e+04,  5.569288504679520e+01,  2.868240964204737e+00,  9.400377847295355e-02
Al1Hf1Ni2   ,  3.700000000000000e-01, -4.980753673291388e-01,  6.326368456762778e+00, -1.249183874125057e+04, -8.232212466854799e+01, -1.522132998070282e+00,  5.727855566575629e-02
Pt1Te1      ,  5.900000000000000e-01,  9.927636615901003e-01,  7.489023732337332e+00, -1.047866402786614e+04,  9.408686741543640e+00, -1.089814300348299e+00,  6.745439379243541e-02
Sb1V3       ,  6.500000000000000e-01,  3.344361303266195e+00,  6.466150938200825e+00, -1.165701904905178e+04,  7.203602019665203e+01,  2.567491272562766e+01,  8.474650263652453e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.356249042925901e+00,  6.400677767537067e+00, -5.191692424813893e+03,  3.873001020739164e+01, -1.569548143920067e+00,  5.846866012287463e-02
Rh1Te2      ,  7.550000000000000e-01,  1.491185107267372e+00,  5.124902581033361e+00, -1.793485921453378e+04, -1.088769236939068e+01,  2.411844401508326e+01,  6.861406648479659e-02
Zr1         ,  9.966666670000000e-01,  6.121608931547116e-01,  9.661582797266894e+00, -1.235210562586429e+04, -4.571890828951845e+01,  2.577426337019090e+01,  8.989752550324595e-02
Be2Ta3      ,  1.000000000000000e+00,  5.406931066320440e-01,  7.121044818384409e+00, -1.451053034716780e+04,  1.550850314303208e+01, -1.186671714004361e+00,  1.080795201838474e-01
C1Si1       ,  1.075000000000000e+00,  1.427245987200103e+00,  5.237648001387385e+00, -9.502814215276358e+03, -6.387460880516693e+01,  6.726312792662905e+01,  7.147197411874162e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.690024694840262e+00,  5.906939414742957e+00, -5.488368847186969e+03, -1.764661236187086e+01,  2.404828187915919e+01,  7.249870705457855e-02
Nb1O1       ,  1.380000000000000e+00,  2.172649710952830e+00, -2.868579929496095e+00, -1.709940235405921e+04,  3.377066477329593e+01, -1.197033751562613e+01,  1.064533157800174e-01
Sb1         ,  1.416666667000000e+00,  1.810575364958235e+00,  1.105316919604898e+01, -4.346167166504708e+03, -4.511847857701900e+01,  2.529905798769634e+01, -6.643161815225521e-02
Sb1Sn1      ,  1.430000000000000e+00,  1.494915029321736e+00,  8.627071168427495e+00, -6.727814859273945e+03, -1.565888207618621e+01,  1.309738258165176e+01,  6.100308478803102e-02
S2Ta1       ,  1.488116666500000e+00,  1.836020941251599e+00,  2.019366946166933e+00,  1.626799317594507e+01, -5.204490404521466e+01, -4.306375278066823e+00,  1.897191460271031e-01
B2C2Y1      ,  1.800000000000000e+00,  1.812907685205181e+00,  4.045180501141405e+00, -1.247278432713278e+04,  2.077169662877166e+01,  6.260417808811328e+00,  1.325134728628227e-01
Re2Y1       ,  1.830000000000000e+00,  2.300279487123639e+00,  3.277231801546267e+00, -1.338639058628893e+04,  5.569583466080820e+00,  1.796920696816947e+01,  1.000578661260173e-01
S1Y1        ,  1.900000000000000e+00,  3.847369258555090e+00,  4.542270657041086e-01, -9.526472894016450e+03,  4.130489607978375e+01,  1.075576349142832e+01,  3.388805686512385e-02
Ga2Pt1      ,  1.900000000000000e+00,  2.613984617002360e+00,  6.641521741552369e+00, -9.301867458023666e+03,  2.757449438730367e+01,  1.493468453313860e+01,  5.185295498744569e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.222493063711860e+00,  8.795288505051078e+00, -1.320059249095525e+04, -2.622609678562313e+01,  7.009809889319159e+01,  7.499448004854675e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.908748419716444e+00,  2.663848108955267e+00, -9.206271290044904e+03, -4.986126105508079e+00,  1.916052188260131e+01,  7.452358737352940e-02
Be2Nb1      ,  2.150000000000000e+00,  1.098191382799536e+00,  8.537082401933922e+00, -1.642638818240483e+04,  3.424121062093206e+01,  1.398024412122215e+01,  9.425795518663756e-02
In1Te1      ,  2.206000000000000e+00,  1.568792910341013e+00,  7.088444956512222e+00, -7.074547335283894e+03, -1.088590592599786e+01,  3.263522657829877e+00,  9.426636994248953e-03
C2Cl2Y2     ,  2.300000000000000e+00,  4.201985349155435e+00, -1.203885177100859e-01,  5.538420433659328e+03,  1.669916287493912e+01,  5.313059240591343e+00,  2.928248258949677e-01
Be2Nb3      ,  2.300000000000000e+00,  1.545896575043117e+00,  7.303744984500463e+00, -1.154309690855374e+04,  4.645239754475072e+01,  1.577065567068066e+00,  9.591893132187293e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.048008599934763e+00,  2.072891492812374e+00, -8.783597619948197e+03,  1.551490107628590e+01,  1.298372522835875e+01,  9.674269045114922e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  4.133417902560626e+00,  1.394974211135666e+00, -7.178159230213230e+03,  9.018640871419953e+00,  2.408569275401930e+01,  7.330117479580272e-03
Bi1Nb3      ,  2.516666667000000e+00,  2.662371675371279e+00,  5.942482528916512e+00, -5.845541384133677e+03,  7.696696100307248e+00,  1.647553593341764e+01,  8.048736407978059e-02
Re1         ,  2.581333333000000e+00,  2.751952266446797e+00,  6.690937433915608e+00, -8.801361525148001e+03, -1.846646824318745e+01,  3.572412584068148e+01,  5.068322924526301e-02
Hf1In1Pd2   ,  2.630000000000000e+00,  3.001235614374846e+00,  4.715608081169748e+00, -7.469075001893675e+03,  5.901632998292053e+00,  2.202605582844177e+01,  7.218271992732546e-02
Nb3Rh1      ,  2.742333333000000e+00,  1.823956190697815e+00,  5.103985409284586e+00, -8.052940034191690e+03, -2.381967160286214e+01,  1.216872899767350e+01,  8.753315242724351e-02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.900500992116860e+00,  6.612095009813548e+00, -2.413582943615672e+03,  7.019821504057271e+01,  7.607664771405297e+00, -2.426165938778611e-02
N1Ni3Zn1    ,  3.000000000000000e+00,  4.940128789275683e+00,  4.720135681990874e+00, -6.336462202182076e+02,  2.848754265035858e+01,  1.408675984706906e+01, -2.492385900705764e-01
B1Hf1       ,  3.100000000000000e+00,  3.567661624949371e+00,  5.036977591696726e+00, -1.972852072009261e+04,  1.332865660694877e+02,  2.441179162661297e+01,  1.033230243885560e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.136165657338746e+00,  5.588138284813939e+00, -2.724517684700814e+03, -1.255589501664303e+01,  1.750307896138803e+01, -6.685587927210900e-03
C2Y1        ,  3.150000000000000e+00,  2.483577637548649e+00,  1.656954290937859e+00, -1.113423909654611e+04,  3.508215860047846e+01, -1.663459175311238e+00,  9.221797077600180e-02
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.401574669990214e+00,  3.922057371850403e+00, -1.057342166249129e+04,  1.429705137052643e+01,  1.317668879279482e+01,  1.026551998487740e-01
In1Sb1      ,  3.320000000000000e+00,  2.459799241742820e+00,  7.510118558758344e+00, -2.813490780692648e+03, -1.402461854852348e+01,  8.896593785550307e+00, -6.118412833287847e-02
Bi2K1       ,  3.575000000000000e+00,  3.893549171805260e+00,  1.393574939468240e+00, -1.417028437984215e+03,  1.544940716463319e+01,  6.562870071694259e+00,  6.102158670081816e-02
Al1Hf1Pd2   ,  3.621666666500000e+00,  3.521522568231357e+00,  4.275670868163733e+00, -3.153734351405600e+03,  1.487246536855830e+01,  6.806751555875376e+00, -6.906570238065260e-02
Hg0.5In0.5  ,  3.810000000000000e+00,  3.429987599494363e+00,  7.074364666065838e+00, -1.373341370294557e+03,  1.280381586748290e+01, -8.734668336808833e-01, -2.698843596941243e-01
C1W2        ,  3.835000000000000e+00,  5.696767557362278e+00,  9.127580281273689e+00, -8.363843754732121e+03,  1.004100089266262e+02,  6.634662612003193e+01,  5.928367529531024e-02
C1Ga1Mo2    ,  3.900000000000000e+00,  4.464126156736832e+00,  4.309197327395176e+00, -3.941702605674670e+03,  6.141897285559816e+01,  2.016483707443332e+01,  3.680674627428814e-02
Ba1Ge3      ,  4.000000000000000e+00,  4.054739326158312e+00,  2.588604127359272e+00, -7.183473732795953e+02, -2.162678950465756e+01,  2.074767437645293e+01, -1.276513835057274e-02
Bi2Rb1      ,  4.250000000000000e+00,  3.465928722918087e+00,  1.370403338854730e+00, -2.561225911265843e+03,  1.015680027540754e+01,  4.336272734490520e+00,  8.934683489361524e-02
Ba1Sn3      ,  4.300000000000000e+00,  4.474621457685172e+00,  2.434189922945902e+00,  2.483145610190712e+03, -6.899437180143758e+00,  2.042807040867330e+01,  5.154637425069489e-02
Rh1Se2      ,  4.350000000000000e+00,  2.370367782596676e+00,  5.404474440088912e+00, -6.225681610679430e+03, -4.914473145697633e+01,  2.507250101351776e+01,  3.528273195815430e-02
Al1Au2Sc1   ,  4.400000000000000e+00,  3.900163206568041e+00,  5.657179999494986e-01, -5.595301689592041e+03,  3.290957101078162e+01,  3.650749281016703e+00,  8.969830340147951e-03
B2Nb1       ,  4.597500000000000e+00,  4.637284914366174e+00,  7.898956921920020e+00, -5.143370684552376e+03,  1.338327400828827e+02,  1.875108678858036e+01,  4.639519454964465e-02
Pb3Y1       ,  4.720000000000000e+00,  4.562658296740366e+00,  3.548160249812146e+00,  1.203497656973624e+02,  2.044421697583350e+01,  2.214281302510186e+01,  2.932339408315747e-02
