# c0 + a0 * (((at_mass_wtd_mean-3.347391e+02) / (lambda4w_low+1.425539e-02)) + 2.629761e+01*((density+6.255870e+00) / (L_avg-3.103185e+00))) + a1 * (((at_mass_wtd_mean-1.043403e+02) / (w_log-2.986470e-02)) + 1.788915e+01*((ThermalCond_wtd_std+1.669370e+00) / (lambda4w_low-5.017356e-02))) + a2 * (((EA_std-1.075331e+00) / (at_rad_mean-1.123431e+00)) + 1.065482e+03*((PE_range-1.025624e+00) * (lambda4w_low-2.863523e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.52611275931389; Max AE: 3.61880724559781
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.024351280499597e-04, -2.272109537148419e-05, -5.778770907828822e-02,  5.404946811024328e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g * mol^-1;                               8|2|div|5|4|div|add:2.6297605550879e+01,0.0000000000000e+00,6.2558703746961e+00,-3.1031848571543e+00,-3.3473913618849e+02,1.4255390241551e-02; (((at_mass_wtd_mean-3.347391e+02) / (lambda4w_low+1.425539e-02)) + 2.629761e+01*((density+6.255870e+00) / (L_avg-3.103185e+00))); $\left(\left(\frac{ at_{mass, wtd, mean} -3.347e+02 }{ lambda4w_{low}+1.426e-02 } \right) + 26.3\left(\frac{ density +6.256e+00 }{ L_{avg}-3.103e+00 } \right)\right)$; (((at_mass_wtd_mean-3.347391e+02) ./ (lambda4w_low+1.425539e-02)) + (2.629761e+01.*((density+6.255870e+00) ./ (L_avg-3.103185e+00)))); (((newdata$at_mass_wtd_mean-3.347391e+02) / (newdata$lambda4w_low+1.425539e-02)) + (2.629761e+01*((newdata$density+6.255870e+00) / (newdata$L_avg-3.103185e+00)))); at_mass_wtd_mean,lambda4w_low,density,L_avg
# 1;  2; eV^-1 * g * mol^-1;                               8|1|div|42|2|div|add:1.7889148805863e+01,0.0000000000000e+00,1.6693696417027e+00,-5.0173558141570e-02,-1.0434032123058e+02,-2.9864697916518e-02; (((at_mass_wtd_mean-1.043403e+02) / (w_log-2.986470e-02)) + 1.788915e+01*((ThermalCond_wtd_std+1.669370e+00) / (lambda4w_low-5.017356e-02))); $\left(\left(\frac{ at_{mass, wtd, mean} -1.043e+02 }{ w_{log}-2.986e-02 } \right) + 17.9\left(\frac{ ThermalCond_{wtd, std} +1.669e+00 }{ lambda4w_{low}-5.017e-02 } \right)\right)$; (((at_mass_wtd_mean-1.043403e+02) ./ (w_log-2.986470e-02)) + (1.788915e+01.*((ThermalCond_wtd_std+1.669370e+00) ./ (lambda4w_low-5.017356e-02)))); (((newdata$at_mass_wtd_mean-1.043403e+02) / (newdata$w_log-2.986470e-02)) + (1.788915e+01*((newdata$ThermalCond_wtd_std+1.669370e+00) / (newdata$lambda4w_low-5.017356e-02)))); at_mass_wtd_mean,w_log,ThermalCond_wtd_std,lambda4w_low
# 2;  2; AA^-1 * eV;                                       35|13|div|27|2|mult|add:1.0654818313132e+03,0.0000000000000e+00,-1.0256244658054e+00,-2.8635234556501e-02,-1.0753311526890e+00,-1.1234313023532e+00; (((EA_std-1.075331e+00) / (at_rad_mean-1.123431e+00)) + 1.065482e+03*((PE_range-1.025624e+00) * (lambda4w_low-2.863523e-02))); $\left(\left(\frac{ EA_{std} -1.075e+00 }{ at_{rad, mean}-1.123e+00 } \right) + 1.07e+03\left(\left(PE_{range}-1.026e+00\right) * \left(lambda4w_{low}-2.864e-02\right)\right)\right)$; (((EA_std-1.075331e+00) ./ (at_rad_mean-1.123431e+00)) + (1.065482e+03.*((PE_range-1.025624e+00) .* (lambda4w_low-2.863523e-02)))); (((newdata$EA_std-1.075331e+00) / (newdata$at_rad_mean-1.123431e+00)) + (1.065482e+03*((newdata$PE_range-1.025624e+00) * (newdata$lambda4w_low-2.863523e-02)))); EA_std,at_rad_mean,PE_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  2.467019934269459e+00, -2.009582365811733e+04,  8.901676257856847e+03, -2.305731816018606e+01
Se2Ta1      ,  1.250000000000000e-01,  2.378261660268021e+00,  4.737444114662082e+00, -9.146772491211740e+01,  5.242849164791939e+01
Ti1         ,  1.620000000000000e-01,  2.959040701079684e-03, -1.818961681076938e+04,  5.233218318570174e+03,  2.770253285816602e+01
B1Mo1       ,  2.500000000000000e-01,  5.572627449940868e-01, -1.557443244194355e+04,  4.461702803132245e+04,  1.178666021048411e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.234831404058858e+00, -1.593340765669996e+04, -2.768185761271357e+04,  9.925918914875691e+00
Pt1Te1      ,  5.900000000000000e-01,  2.767299704668408e+00, -9.525196592748262e+03, -1.639167357490637e+04,  1.872110021752081e+01
Sb1V3       ,  6.500000000000000e-01,  1.089481774158304e+00, -1.674323446169427e+04,  2.191651063599044e+03,  1.516325055589753e+01
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.820762426674308e+00, -1.369416539964128e+04, -2.950370435122155e+04,  8.347116475218051e+00
Rh1Te2      ,  7.550000000000000e-01,  1.647236043476831e+00, -1.485266516774110e+04, -2.621376166925977e+04,  2.330279211347393e+01
Zr1         ,  9.966666670000000e-01,  1.093313230669202e+00, -1.373927403382273e+04,  1.350426756777559e+02,  2.642869199785003e+01
Be2Ta3      ,  1.000000000000000e+00,  1.501206676036032e+00, -1.506437468548035e+04, -2.452628870989426e+04,  2.442466891211085e+01
C1Si1       ,  1.075000000000000e+00,  1.327488381196371e+00, -1.726426265073034e+04, -1.089637209671243e+04,  1.436538551696462e+01
Nb3Sb1      ,  1.100000000000000e+00,  2.152383503553128e+00, -1.298535287009252e+04, -5.262414543445376e+03,  1.286501179963441e+01
Nb1O1       ,  1.380000000000000e+00,  4.998807245597811e+00, -1.720489187817744e+04, -2.847377364811655e+02, -5.313007594040694e+01
Sb1         ,  1.416666667000000e+00,  1.471481136425884e+00, -1.610995582404287e+04, -1.663376879234280e+03,  1.228701501609985e+01
Sb1Sn1      ,  1.430000000000000e+00,  2.153527890919012e+00, -1.129233073873320e+04, -9.670827730573510e+03,  2.050931450854508e+01
S2Ta1       ,  1.488116666500000e+00,  4.545509866694625e+00, -1.028407142767471e+03,  4.380519275872772e+03,  9.547376514007512e+00
B2C2Y1      ,  1.800000000000000e+00,  3.868423847864563e+00, -1.925234233198110e+04, -3.439521058120565e+04, -2.732986974789097e+01
Re2Y1       ,  1.830000000000000e+00,  2.765949444734892e+00, -1.163473171226382e+04, -8.952591192835464e+03,  8.429675589748030e+00
S1Y1        ,  1.900000000000000e+00,  2.925427408187400e+00, -1.508280873847961e+04, -1.073096152062681e+03, -9.507021549031609e+00
Ga2Pt1      ,  1.900000000000000e+00,  2.218483709552122e+00, -1.262896646340834e+04, -8.622092805056249e+03,  1.429058297016377e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.407983218396272e+00, -1.350341027941185e+04, -2.283852628903774e+03,  2.276073334587495e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.592905726078017e+00, -1.356819411701359e+04, -9.817279381419878e+03, -1.231366840412870e+01
Be2Nb1      ,  2.150000000000000e+00,  3.515244072233668e-01, -1.883623516492666e+04, -9.889404870731591e+03,  2.535149534064881e+01
In1Te1      ,  2.206000000000000e+00,  2.416690620208765e+00, -1.154176685493702e+04, -1.657762220351904e+04,  1.779719063337303e+01
C2Cl2Y2     ,  2.300000000000000e+00,  5.010135407120704e+00, -6.661947131715067e+03, -5.034793200443088e+04,  3.290655592608426e+00
Be2Nb3      ,  2.300000000000000e+00,  6.938534097445362e-01, -1.815168831584850e+04, -2.044880145658170e+04,  2.597737901033345e+01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.114996269156864e+00, -1.228672785778025e+04, -1.073761972488044e+04, -1.649735417290901e+01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.509953386737878e+00, -1.271835261619620e+04, -7.016103061619167e+03, -9.002508970441532e+00
