# c0 + a0 * (((at_mass_wtd_range-4.688736e+01) * (L_avg-4.798220e+00)) + 5.681540e+01*(sin(-2.938392e+00*lambda+2.587111e+00))) + a1 * (((at_mass_wtd_std-5.645698e+01) / (w_log-2.960595e-02)) + 2.460514e+01*((ThermalCond_wtd_std-4.565863e+01) / (PE_mean-2.150428e+00))) + a2 * (((EA_std-8.270836e-01) * (lambda4w_low-9.776146e-03)) + 5.624718e-03*((EA_wtd_mean+1.030308e+01) / (at_mass_mean-1.765883e+01)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.48002086054851; Max AE: 4.49510232595279
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -2.250173416314367e-02, -1.116051094785975e-04, -6.277555758160108e+01,  3.999359891910951e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * g * mol^-1;                                  10|4|mult|0|sin|add:5.6815396743361e+01,0.0000000000000e+00,-2.9383922455361e+00,2.5871106203764e+00,-4.6887364471745e+01,-4.7982195196242e+00; (((at_mass_wtd_range-4.688736e+01) * (L_avg-4.798220e+00)) + 5.681540e+01*(sin(-2.938392e+00*lambda+2.587111e+00))); $\left(\left(\left(at_{mass, wtd, range}-4.689e+01\right) * \left(L_{avg}-4.798e+00\right)\right) + 56.8\left(\sin{ \left(-2.938e+00lambda+2.587e+00 \right)}\right)\right)$; (((at_mass_wtd_range-4.688736e+01) .* (L_avg-4.798220e+00)) + (5.681540e+01.*sin(-2.938392e+00.*lambda+2.587111e+00))); (((newdata$at_mass_wtd_range-4.688736e+01) * (newdata$L_avg-4.798220e+00)) + (5.681540e+01*sin(-2.938392e+00*newdata$lambda+2.587111e+00))); at_mass_wtd_range,L_avg,lambda
# 1;  2; eV^-1 * g * mol^-1;                               12|1|div|42|25|div|add:2.4605140291437e+01,0.0000000000000e+00,-4.5658634883802e+01,-2.1504276606605e+00,-5.6456979254905e+01,-2.9605951582077e-02; (((at_mass_wtd_std-5.645698e+01) / (w_log-2.960595e-02)) + 2.460514e+01*((ThermalCond_wtd_std-4.565863e+01) / (PE_mean-2.150428e+00))); $\left(\left(\frac{ at_{mass, wtd, std} -5.646e+01 }{ w_{log}-2.961e-02 } \right) + 24.6\left(\frac{ ThermalCond_{wtd, std} -4.566e+01 }{ PE_{mean}-2.150e+00 } \right)\right)$; (((at_mass_wtd_std-5.645698e+01) ./ (w_log-2.960595e-02)) + (2.460514e+01.*((ThermalCond_wtd_std-4.565863e+01) ./ (PE_mean-2.150428e+00)))); (((newdata$at_mass_wtd_std-5.645698e+01) / (newdata$w_log-2.960595e-02)) + (2.460514e+01*((newdata$ThermalCond_wtd_std-4.565863e+01) / (newdata$PE_mean-2.150428e+00)))); at_mass_wtd_std,w_log,ThermalCond_wtd_std,PE_mean
# 2;  2; eV^2;                                             35|2|mult|32|7|div|add:5.6247179220020e-03,0.0000000000000e+00,1.0303078601487e+01,-1.7658826362309e+01,-8.2708358415617e-01,-9.7761464685273e-03; (((EA_std-8.270836e-01) * (lambda4w_low-9.776146e-03)) + 5.624718e-03*((EA_wtd_mean+1.030308e+01) / (at_mass_mean-1.765883e+01))); $\left(\left(\left(EA_{std}-8.271e-01\right) * \left(lambda4w_{low}-9.776e-03\right)\right) + 0.00562\left(\frac{ EA_{wtd, mean} +1.030e+01 }{ at_{mass, mean}-1.766e+01 } \right)\right)$; (((EA_std-8.270836e-01) .* (lambda4w_low-9.776146e-03)) + (5.624718e-03.*((EA_wtd_mean+1.030308e+01) ./ (at_mass_mean-1.765883e+01)))); (((newdata$EA_std-8.270836e-01) * (newdata$lambda4w_low-9.776146e-03)) + (5.624718e-03*((newdata$EA_wtd_mean+1.030308e+01) / (newdata$at_mass_mean-1.765883e+01)))); EA_std,lambda4w_low,EA_wtd_mean,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  2.037589295359870e+00,  4.336394138537283e+01,  6.053767284527908e+03,  4.944207055112759e-03
Se2Ta1      ,  1.250000000000000e-01, -6.071471740369385e-01,  5.380353354400981e+01,  4.069418920555946e+03,  4.686005869618990e-02
Ti1         ,  1.620000000000000e-01,  4.990765298111863e-01,  9.152216635873960e+01,  7.842671220277478e+03,  9.009776198028580e-03
B1Mo1       ,  2.500000000000000e-01,  9.445501965298900e-02,  4.701822729840109e+01,  2.240238112826079e+04,  5.522739036058779e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.987499323349746e+00,  4.174731028750485e+01, -1.511111225314272e+03,  3.841008084517696e-03
Pt1Te1      ,  5.900000000000000e-01,  4.044823343182520e+00,  1.253049688312865e+01, -5.903132129187509e+03,  5.279098414155678e-03
Sb1V3       ,  6.500000000000000e-01,  1.861974406999549e+00,  4.850862120878758e+01,  6.265667843400430e+03,  5.520888281731121e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.448636466049254e+00,  1.370450671446962e+01,  1.404092071170289e+02,  3.610925696819658e-03
Rh1Te2      ,  7.550000000000000e-01,  1.841356857313410e+00, -2.647960120618421e+00,  1.725603804726181e+04,  4.647106694282988e-03
Zr1         ,  9.966666670000000e-01,  1.357691224065576e+00,  7.579352768689418e+01,  4.718710641044027e+03,  6.524046215345869e-03
Be2Ta3      ,  1.000000000000000e+00,  2.109089504220395e+00,  7.810339497441258e+01, -2.789810744872093e+03,  7.075455917153203e-03
C1Si1       ,  1.075000000000000e+00,  1.436362117280068e+00,  1.172039332267993e+02, -1.803371967720408e+04,  3.087764346254759e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.555609449516530e+00,  1.796421972043931e+01,  6.331160418196041e+03,  5.303568889287583e-03
Nb1O1       ,  1.380000000000000e+00,  2.072344142400134e+00,  5.524623275819661e+01,  2.682661607897573e+03,  6.124692138775459e-03
Sb1         ,  1.416666667000000e+00,  1.554347678301396e+00,  4.676564392918301e+01,  1.395865654905266e+04, -2.630853038137310e-03
Sb1Sn1      ,  1.430000000000000e+00,  2.365964949228063e+00,  2.615966934719120e+01,  6.643875031894220e+03,  4.830966519823689e-03
S2Ta1       ,  1.488116666500000e+00,  1.666528669056727e+00,  5.643962928716822e+01,  3.510313595890108e+03,  1.069003257075247e-02
B2C2Y1      ,  1.800000000000000e+00,  2.960317854885100e+00,  5.542629047669141e+01, -5.338859684099642e+03,  6.175945185369423e-03
Re2Y1       ,  1.830000000000000e+00,  2.387615597870431e+00,  4.238052740182984e+01,  1.962141151066590e+03,  6.995142244697079e-03
S1Y1        ,  1.900000000000000e+00,  2.284397501545307e+00,  4.581531678408409e+01,  5.485346867831093e+03,  1.144483243883704e-03
Ga2Pt1      ,  1.900000000000000e+00,  3.088673949113653e+00,  1.183087660008949e+01,  5.803531683478890e+03, -5.150231071766908e-05
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.020323204682666e+00,  7.677392775502940e+01, -9.730265874661607e+03,  5.375301716485047e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.423892634571978e+00,  4.106061929847601e+01,  3.169618934581385e+03,  4.743668723677043e-03
Be2Nb1      ,  2.150000000000000e+00,  2.132722544946492e+00,  5.429102560952889e+01,  2.974744393934161e+03,  4.985992312241698e-03
In1Te1      ,  2.206000000000000e+00,  3.358933890687721e+00,  1.299073022543063e+01,  2.797899875018829e+03,  5.711159346890745e-04
C2Cl2Y2     ,  2.300000000000000e+00,  4.457565860279764e+00, -7.476091524297125e+01,  3.647527496996864e+03,  1.301400733129858e-02
Be2Nb3      ,  2.300000000000000e+00,  2.475754899879101e+00,  5.013869898174747e+01,  5.893845681254136e+02,  5.250753632567680e-03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.139833270910493e+00,  9.642661396437491e+00,  1.968024149157959e+03,  6.736833304261517e-03
