# c0 + a0 * (((IP_mean-8.428074e+00) / (at_mass_mean-1.750483e+01)) + 3.282652e+01*((PE_wtd_range-4.532077e-01) * (lambda4w_low-4.613490e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.3930356032354; Max AE: 7.23661665501877
# Coefficients
# Task   a0                      c0
# all , -3.981718068943797e+00,  4.535301100115900e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g^-1 * mol;                                  19|7|div|28|2|mult|add:3.2826524073594e+01,0.0000000000000e+00,-4.5320767234655e-01,-4.6134904285192e-02,-8.4280737589073e+00,-1.7504827595557e+01; (((IP_mean-8.428074e+00) / (at_mass_mean-1.750483e+01)) + 3.282652e+01*((PE_wtd_range-4.532077e-01) * (lambda4w_low-4.613490e-02))); $\left(\left(\frac{ IP_{mean} -8.428e+00 }{ at_{mass, mean}-1.750e+01 } \right) + 32.8\left(\left(PE_{wtd, range}-4.532e-01\right) * \left(lambda4w_{low}-4.613e-02\right)\right)\right)$; (((IP_mean-8.428074e+00) ./ (at_mass_mean-1.750483e+01)) + (3.282652e+01.*((PE_wtd_range-4.532077e-01) .* (lambda4w_low-4.613490e-02)))); (((newdata$IP_mean-8.428074e+00) / (newdata$at_mass_mean-1.750483e+01)) + (3.282652e+01*((newdata$PE_wtd_range-4.532077e-01) * (newdata$lambda4w_low-4.613490e-02)))); IP_mean,at_mass_mean,PE_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  3.975224306138239e+00,  1.406620921621980e-01
Se2Ta1      ,  1.250000000000000e-01,  9.452981817458648e-01,  9.016215754628581e-01
Ti1         ,  1.620000000000000e-01,  2.084514225898098e+00,  6.155098959248779e-01
B1Mo1       ,  2.500000000000000e-01,  2.416722031985880e+00,  5.320766140260658e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.304424189184467e+00,  3.091321107167036e-01
Pt1Te1      ,  5.900000000000000e-01,  2.489705019201008e+00,  5.137470924598921e-01
Sb1V3       ,  6.500000000000000e-01,  2.850322353757814e+00,  4.231788180836843e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.456301791995678e+00,  2.709883747259988e-01
Rh1Te2      ,  7.550000000000000e-01,  2.299045447847103e+00,  5.616308371280526e-01
Zr1         ,  9.966666670000000e-01,  2.069916777913352e+00,  6.191760138498513e-01
Be2Ta3      ,  1.000000000000000e+00,  2.012305502463526e+00,  6.336449627940713e-01
C1Si1       ,  1.075000000000000e+00,  1.848627491056622e+00,  6.747523462332816e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.984553923581942e+00,  3.894668456386503e-01
Nb1O1       ,  1.380000000000000e+00,  7.054844387163803e+00, -6.327779223495462e-01
Sb1         ,  1.416666667000000e+00,  2.605862539136168e+00,  4.845743790924759e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.317959935620988e+00,  5.568805038682940e-01
S2Ta1       ,  1.488116666500000e+00,  3.940786241714341e+00,  1.493111385857769e-01
B2C2Y1      ,  1.800000000000000e+00,  4.052767422157162e+00,  1.211873039737181e-01
Re2Y1       ,  1.830000000000000e+00,  3.691978594654432e+00,  2.117986484374998e-01
S1Y1        ,  1.900000000000000e+00,  5.812951499064059e+00, -3.208791724641301e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.186319352634937e+00,  3.387938884981875e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.348207996427189e+00,  5.492837679160107e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  4.875456259324588e+00, -8.542924268340235e-02
Be2Nb1      ,  2.150000000000000e+00,  2.008027845922967e+00,  6.347192871099799e-01
In1Te1      ,  2.206000000000000e+00,  2.952791474840639e+00,  3.974439168906407e-01
C2Cl2Y2     ,  2.300000000000000e+00,  4.919220273642313e+00, -9.642048153054004e-02
Be2Nb3      ,  2.300000000000000e+00,  1.980623232016260e+00,  6.416018974385351e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  5.129340105670555e+00, -1.491916291582723e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  5.205774032395982e+00, -1.683878468215941e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.903816926892166e+00,  4.097437701450587e-01
Re1         ,  2.581333333000000e+00,  2.107384088695338e+00,  6.097661786648293e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.874279236115197e+00,  1.660142311823820e-01
Nb3Rh1      ,  2.742333333000000e+00,  3.463961998349289e+00,  2.690645302395300e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.672830010079586e+00,  2.166077746094907e-01
N1Ni3Zn1    ,  3.000000000000000e+00,  4.635252504839032e+00, -2.510258209960249e-02
B1Hf1       ,  3.100000000000000e+00,  4.089697060817013e+00,  1.119125039953142e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  3.883569500019048e+00,  1.636810012190874e-01
C2Y1        ,  3.150000000000000e+00,  5.283518970021929e+00, -1.879133220761920e-01
Pb1Pd2Y1    ,  3.215000000000000e+00,  4.159172793600048e+00,  9.446382189877783e-02
In1Sb1      ,  3.320000000000000e+00,  3.439331381240843e+00,  2.752504571891443e-01
Bi2K1       ,  3.575000000000000e+00,  5.079080486807317e+00, -1.365690330846708e-01
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.290400841080778e+00,  6.150617768376666e-02
Hg0.5In0.5  ,  3.810000000000000e+00,  3.949223485727974e+00,  1.471921427484169e-01
C1W2        ,  3.835000000000000e+00,  2.463959178270993e+00,  5.202131054935183e-01
C1Ga1Mo2    ,  3.900000000000000e+00,  3.272649143788648e+00,  3.171123455916072e-01
Ba1Ge3      ,  4.000000000000000e+00,  4.497399921979784e+00,  9.518800045571832e-03
Bi2Rb1      ,  4.250000000000000e+00,  5.097641460084621e+00, -1.412305819326604e-01
Ba1Sn3      ,  4.300000000000000e+00,  4.301996621776105e+00,  5.859392209596636e-02
Rh1Se2      ,  4.350000000000000e+00,  2.764214898931727e+00,  4.448045216958259e-01
Al1Au2Sc1   ,  4.400000000000000e+00,  5.806950260350742e+00, -3.193719741619386e-01
B2Nb1       ,  4.597500000000000e+00,  3.377752204608283e+00,  2.907159360518641e-01
Pb3Y1       ,  4.720000000000000e+00,  4.394299289613050e+00,  3.541230395055377e-02
Bi2Cs1      ,  4.750000000000000e+00,  5.167179941239924e+00, -1.586950231490493e-01
Al1Si1Sr1   ,  4.750000000000000e+00,  4.292846558504040e+00,  6.089194096963619e-02
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.982442028863513e+00,  1.388493764951671e-01
Br2C2Y2     ,  5.050000000000000e+00,  5.633470775913614e+00, -2.758029716777558e-01
Ir1Mo1      ,  5.325000000000000e+00,  2.034246920630275e+00,  6.281344224225959e-01
N1Ti1       ,  5.387500000000000e+00,  5.363100158941275e+00, -2.078999679263981e-01
Ga1         ,  5.527454545000000e+00,  3.097731350051230e+00,  3.610425763886403e-01
B6Y1        ,  5.692857143000000e+00,  4.414941091730530e+00,  3.022815937776778e-02
Bi3Sr1      ,  5.700000000000000e+00,  4.298463894562871e+00,  5.948115900025378e-02
Ba1Bi3      ,  5.745000000000000e+00,  4.463682392224576e+00,  1.798688572401155e-02
Nb1S2       ,  5.821818182000000e+00,  4.680084105656421e+00, -3.636194301896579e-02
C1Mo2       ,  6.021666667000000e+00,  2.809686026260682e+00,  4.333845450571944e-01
Rh2Sr1      ,  6.200000000000000e+00,  5.310377820921519e+00, -1.946588651896236e-01
Pb1         ,  6.470100000000000e+00,  2.014968139190075e+00,  6.329762472596100e-01
Sn1Ta3      ,  6.692500000000000e+00,  6.262317549250341e+00, -4.337364974694340e-01
Ag1B2       ,  6.700000000000000e+00,  2.361216254831396e+00,  5.460167715644439e-01
Nb1Se2      ,  6.814619048000000e+00,  5.469745315495554e+00, -2.346836715206025e-01
Li1Pb1      ,  7.200000000000000e+00,  5.902104067485989e+00, -3.432696498606321e-01
P1Ru1Zr1    ,  8.496153846000000e+00,  4.442711020397195e+00,  2.325380102646632e-02
C1Ta1       ,  8.637499999999999e+00,  4.852775217340167e+00, -7.973294736773784e-02
Hf1N1       ,  8.830000000000000e+00,  6.474967890498432e+00, -4.871431770901485e-01
N1Zr1       ,  9.850000000000000e+00,  6.303496819620969e+00, -4.440785833875241e-01
C2I2Y2      ,  9.917500000000000e+00,  4.459864850615070e+00,  1.894565315641247e-02
C1Mo1       ,  1.015200000000000e+01,  4.744409858515384e+00, -5.251721864249247e-02
Mo3Os1      ,  1.102250000000000e+01,  4.667588008936761e+00, -3.322357498203083e-02
C6Ca        ,  1.130300000000000e+01,  4.066383344981233e+00,  1.177676939992523e-01
Nb3Sn1      ,  1.670900000000000e+01,  1.713205732697802e+01, -3.163648457461876e+00
B2Mg0.98    ,  3.840000000000000e+01,  3.805595044685074e+01, -8.418639583798218e+00
