# c0 + a0 * (((IP_wtd_mean-9.075716e+00) * (lambda4w_low+2.701412e-03)) + 5.620406e-02*((EA_wtd_mean-3.999292e-01) / (density-2.678025e+00)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.39180091780393; Max AE: 6.87267150217884
# Coefficients
# Task   a0                      c0
# all , -1.808973003200226e+01,  3.708762175195452e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^2;                                             20|2|mult|32|5|div|add:5.6204058946400e-02,0.0000000000000e+00,-3.9992924022361e-01,-2.6780245397109e+00,-9.0757156328012e+00,2.7014123717365e-03; (((IP_wtd_mean-9.075716e+00) * (lambda4w_low+2.701412e-03)) + 5.620406e-02*((EA_wtd_mean-3.999292e-01) / (density-2.678025e+00))); $\left(\left(\left(IP_{wtd, mean}-9.076e+00\right) * \left(lambda4w_{low}+2.701e-03\right)\right) + 0.0562\left(\frac{ EA_{wtd, mean} -3.999e-01 }{ density-2.678e+00 } \right)\right)$; (((IP_wtd_mean-9.075716e+00) .* (lambda4w_low+2.701412e-03)) + (5.620406e-02.*((EA_wtd_mean-3.999292e-01) ./ (density-2.678025e+00)))); (((newdata$IP_wtd_mean-9.075716e+00) * (newdata$lambda4w_low+2.701412e-03)) + (5.620406e-02*((newdata$EA_wtd_mean-3.999292e-01) / (newdata$density-2.678025e+00)))); IP_wtd_mean,lambda4w_low,EA_wtd_mean,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  1.348566583703664e+00,  1.304715762654503e-01
Se2Ta1      ,  1.250000000000000e-01,  1.444552789879612e+00,  1.251654602534290e-01
Ti1         ,  1.620000000000000e-01,  4.019792093208747e+00, -1.719372911939848e-02
B1Mo1       ,  2.500000000000000e-01,  3.840655427649115e+00, -7.291056982073905e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.817383945040668e+00, -6.004609778755954e-03
Pt1Te1      ,  5.900000000000000e-01,  3.546615346371396e+00,  8.963474221959389e-03
Sb1V3       ,  6.500000000000000e-01,  3.796820319522534e+00, -4.867852874050602e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.927080795745661e+00, -1.206865001102753e-02
Rh1Te2      ,  7.550000000000000e-01,  3.526112607227323e+00,  1.009686532883614e-02
Zr1         ,  9.966666670000000e-01,  3.948775355918974e+00, -1.326792496620556e-02
Be2Ta3      ,  1.000000000000000e+00,  3.761379063113785e+00, -2.908660760843217e-03
C1Si1       ,  1.075000000000000e+00,  2.933331407988608e+00,  4.286580097298533e-02
Nb3Sb1      ,  1.100000000000000e+00,  3.834688756837161e+00, -6.961219510680004e-03
Nb1O1       ,  1.380000000000000e+00,  3.450992885871671e+00,  1.424948237855214e-02
Sb1         ,  1.416666667000000e+00,  3.681946546899909e+00,  1.482367522793571e-03
Sb1Sn1      ,  1.430000000000000e+00,  3.675956522075662e+00,  1.813496003630489e-03
S2Ta1       ,  1.488116666500000e+00,  1.717359824219127e+00,  1.100846915599828e-01
B2C2Y1      ,  1.800000000000000e+00,  3.553890027487607e+00,  8.561329960915038e-03
Re2Y1       ,  1.830000000000000e+00,  3.846405475683938e+00, -7.608919549655146e-03
S1Y1        ,  1.900000000000000e+00,  3.441018137460314e+00,  1.480088631845124e-02
Ga2Pt1      ,  1.900000000000000e+00,  3.854731262312919e+00, -8.069168907398543e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.816127268858153e+00, -5.935140738571699e-03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.823149012231011e+00, -6.323302605024991e-03
Be2Nb1      ,  2.150000000000000e+00,  3.791492860920155e+00, -4.573351043843382e-03
In1Te1      ,  2.206000000000000e+00,  3.730074100557135e+00, -1.178122908632657e-03
C2Cl2Y2     ,  2.300000000000000e+00,  1.859314962869932e+00,  1.022374136625418e-01
Be2Nb3      ,  2.300000000000000e+00,  3.759142893052651e+00, -2.785045314002525e-03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.851099522389601e+00, -7.868406379881929e-03
As1Pt1Sr1   ,  2.425000000000000e+00,  3.695175425437821e+00,  7.510753191780802e-04
Bi1Nb3      ,  2.516666667000000e+00,  3.864690496840884e+00, -8.619715240060593e-03
Re1         ,  2.581333333000000e+00,  3.887504471852882e+00, -9.880871430431492e-03
Hf1In1Pd2   ,  2.630000000000000e+00,  3.862913436426454e+00, -8.521479367480590e-03
Nb3Rh1      ,  2.742333333000000e+00,  3.818757012825980e+00, -6.080512944965890e-03
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.349761144501269e+00, -3.543441323733604e-02
N1Ni3Zn1    ,  3.000000000000000e+00,  3.170742046758845e+00,  2.974174448622532e-02
B1Hf1       ,  3.100000000000000e+00,  3.841836799764217e+00, -7.356363214561206e-03
Pt0.25V0.75 ,  3.102500000000000e+00,  4.421707227008478e+00, -3.941159157996090e-02
C2Y1        ,  3.150000000000000e+00,  3.379790039220473e+00,  1.818557465440335e-02
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.790467959445477e+00, -4.516694505969965e-03
In1Sb1      ,  3.320000000000000e+00,  4.362786425256235e+00, -3.615445055861852e-02
Bi2K1       ,  3.575000000000000e+00,  3.932430763333253e+00, -1.236439613759362e-02
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.314505517973510e+00, -3.348548274111589e-02
Hg0.5In0.5  ,  3.810000000000000e+00,  4.360648790113679e+00, -3.603628212057251e-02
C1W2        ,  3.835000000000000e+00,  3.669260918281718e+00,  2.183628879140449e-03
C1Ga1Mo2    ,  3.900000000000000e+00,  3.895424899206548e+00, -1.031871253362395e-02
Ba1Ge3      ,  4.000000000000000e+00,  4.208233792485349e+00, -2.761078337854071e-02
