# c0 + a0 * (((PE_std-5.764257e-01) / (lambda3-1.544267e+00)) + 3.236801e+01*(exp(-1.0 * (1.391325e-01*PE_wtd_mean)))) + a1 * (((at_rad_wtd_range+1.984860e+02) / (PE_mean-2.186363e+00)) + 1.301904e+00*((ThermalCond_wtd_mean-3.090371e+02) * (at_mass_wtd_mean-1.627204e+02))) + a2 * (((IP_range-2.379868e+03) / (at_mass_wtd_mean-7.675528e+01)) + 8.249351e+00*((at_mass_wtd_std-5.664671e+00) / (L_avg-2.891244e+00))) + a3 * (((IP_std-2.648094e+00) / (density-2.585548e+00)) + 3.911863e+01*((EA_std-8.234533e-01) * (lambda4w_low-1.576809e-02)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.2171708396421; Max AE: 3.20690786824944
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -7.175912988337784e-01, -5.426898607644365e-05,  2.439580858039126e-03, -1.608251894355019e+00,  2.162503321921951e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         29|3|div|26|nexp|add:3.2368012148451e+01,0.0000000000000e+00,1.3913248477738e-01,0.0000000000000e+00,-5.7642571850152e-01,-1.5442671992902e+00; (((PE_std-5.764257e-01) / (lambda3-1.544267e+00)) + 3.236801e+01*(exp(-1.0 * (1.391325e-01*PE_wtd_mean)))); $\left(\left(\frac{ PE_{std} -5.764e-01 }{ lambda3-1.544e+00 } \right) + 32.4\left(\exp{ \left(-1.0\left(1.391e-01PE_{wtd, mean} \right)\right)}\right)\right)$; (((PE_std-5.764257e-01) ./ (lambda3-1.544267e+00)) + (3.236801e+01.*exp(-1.0 .* (1.391325e-01.*PE_wtd_mean)))); (((newdata$PE_std-5.764257e-01) / (newdata$lambda3-1.544267e+00)) + (3.236801e+01*exp(-1.0 * (1.391325e-01*newdata$PE_wtd_mean)))); PE_std,lambda3,PE_wtd_mean
# 1;  2; AA;                                               16|25|div|38|8|mult|add:1.3019040855407e+00,0.0000000000000e+00,-3.0903707133910e+02,-1.6272036313675e+02,1.9848604696017e+02,-2.1863632930040e+00; (((at_rad_wtd_range+1.984860e+02) / (PE_mean-2.186363e+00)) + 1.301904e+00*((ThermalCond_wtd_mean-3.090371e+02) * (at_mass_wtd_mean-1.627204e+02))); $\left(\left(\frac{ at_{rad, wtd, range} +1.985e+02 }{ PE_{mean}-2.186e+00 } \right) + 1.30\left(\left(ThermalCond_{wtd, mean}-3.090e+02\right) * \left(at_{mass, wtd, mean}-1.627e+02\right)\right)\right)$; (((at_rad_wtd_range+1.984860e+02) ./ (PE_mean-2.186363e+00)) + (1.301904e+00.*((ThermalCond_wtd_mean-3.090371e+02) .* (at_mass_wtd_mean-1.627204e+02)))); (((newdata$at_rad_wtd_range+1.984860e+02) / (newdata$PE_mean-2.186363e+00)) + (1.301904e+00*((newdata$ThermalCond_wtd_mean-3.090371e+02) * (newdata$at_mass_wtd_mean-1.627204e+02)))); at_rad_wtd_range,PE_mean,ThermalCond_wtd_mean,at_mass_wtd_mean
# 2;  2; eV * g^-1 * mol;                                  21|8|div|12|4|div|add:8.2493514288016e+00,0.0000000000000e+00,-5.6646707720679e+00,-2.8912444141880e+00,-2.3798679256742e+03,-7.6755277873303e+01; (((IP_range-2.379868e+03) / (at_mass_wtd_mean-7.675528e+01)) + 8.249351e+00*((at_mass_wtd_std-5.664671e+00) / (L_avg-2.891244e+00))); $\left(\left(\frac{ IP_{range} -2.380e+03 }{ at_{mass, wtd, mean}-7.676e+01 } \right) + 8.25\left(\frac{ at_{mass, wtd, std} -5.665e+00 }{ L_{avg}-2.891e+00 } \right)\right)$; (((IP_range-2.379868e+03) ./ (at_mass_wtd_mean-7.675528e+01)) + (8.249351e+00.*((at_mass_wtd_std-5.664671e+00) ./ (L_avg-2.891244e+00)))); (((newdata$IP_range-2.379868e+03) / (newdata$at_mass_wtd_mean-7.675528e+01)) + (8.249351e+00*((newdata$at_mass_wtd_std-5.664671e+00) / (newdata$L_avg-2.891244e+00)))); IP_range,at_mass_wtd_mean,at_mass_wtd_std,L_avg
# 3;  2; cm^3 * eV * g^-1;                                 23|5|div|35|2|mult|add:3.9118633883148e+01,0.0000000000000e+00,-8.2345332874101e-01,-1.5768089979010e-02,-2.6480940473039e+00,-2.5855483264477e+00; (((IP_std-2.648094e+00) / (density-2.585548e+00)) + 3.911863e+01*((EA_std-8.234533e-01) * (lambda4w_low-1.576809e-02))); $\left(\left(\frac{ IP_{std} -2.648e+00 }{ density-2.586e+00 } \right) + 39.1\left(\left(EA_{std}-8.235e-01\right) * \left(lambda4w_{low}-1.577e-02\right)\right)\right)$; (((IP_std-2.648094e+00) ./ (density-2.585548e+00)) + (3.911863e+01.*((EA_std-8.234533e-01) .* (lambda4w_low-1.576809e-02)))); (((newdata$IP_std-2.648094e+00) / (newdata$density-2.585548e+00)) + (3.911863e+01*((newdata$EA_std-8.234533e-01) * (newdata$lambda4w_low-1.576809e-02)))); IP_std,density,EA_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -4.875266841797369e-01,  2.311797387190154e+01,  3.189071217320985e+04,  1.581819444844519e+02,  2.598177592626258e+00
Se2Ta1      ,  1.250000000000000e-01,  7.114589215846483e-01,  2.383265522261086e+01,  1.753439647548990e+04,  2.704831299509839e+01,  1.819292686979982e+00
Ti1         ,  1.620000000000000e-01,  1.509209936351267e+00,  2.653069859895183e+01,  4.262796875992230e+04,  3.789645929209721e+01, -7.108963180189268e-01
B1Mo1       ,  2.500000000000000e-01,  3.361767968774141e+00,  2.455039924141390e+01,  2.987405911334913e+04,  3.691071628679135e+02, -4.642043781959049e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.362230941688265e+00,  2.585702379995850e+01,  2.090742846614875e+04, -2.857250452282744e+02, -7.688304973607055e-02
Pt1Te1      ,  5.900000000000000e-01,  1.258560774001731e+00,  2.435118644571503e+01,  5.506853148962921e+04,  1.018168484111335e+02,  9.460582746798929e-02
Sb1V3       ,  6.500000000000000e-01,  2.351504986307409e+00,  2.568629125759656e+01,  3.372145637993023e+04,  3.973924162357825e+02, -1.199388472549245e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.497334845349676e+00,  2.599450189658622e+01,  2.656466773531095e+04,  2.343524896478797e+02, -2.460098083524550e-01
Rh1Te2      ,  7.550000000000000e-01,  4.240048795100167e-01,  2.428808278740721e+01,  6.909056794876511e+04, -4.195730954702252e+01, -4.957050162295035e-02
Zr1         ,  9.966666670000000e-01,  3.812080597666672e-01,  2.737363543193189e+01,  2.642162526556940e+04, -2.144231354642646e+02, -2.215043773014915e-01
Be2Ta3      ,  1.000000000000000e+00,  1.997968116727235e+00,  2.653174237384554e+01,  1.277960925103002e+04,  1.911598349210495e+02,  2.244244642154017e-01
C1Si1       ,  1.075000000000000e+00,  2.015225215656351e+00,  2.393973992340696e+01,  3.561132248091730e+04, -4.893339444599518e+02, -4.324578458340058e-01
Nb3Sb1      ,  1.100000000000000e+00,  1.645612404745535e+00,  2.578667050232911e+01,  2.084722299064013e+04, -7.774141675399285e+01,  9.582846458844418e-02
Nb1O1       ,  1.380000000000000e+00,  3.280054707224660e+00,  2.255161236740582e+01,  4.034872244993611e+04,  3.143633325007502e+02,  4.597340856042142e-01
Sb1         ,  1.416666667000000e+00,  1.401148884285736e+00,  2.721567828571854e+01,  1.374445114617680e+04, -3.265455953792247e+02, -5.275177410823857e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.873448858835794e+00,  2.507179705608308e+01,  1.349337868188104e+04, -7.891363369611122e+01, -1.022894633482456e-01
S2Ta1       ,  1.488116666500000e+00,  2.043666858105638e+00,  2.376252819980665e+01,  2.922334205594188e+04, -3.198569906982450e+02,  1.015666465279328e-01
B2C2Y1      ,  1.800000000000000e+00,  2.529731677742651e+00,  2.425415222569986e+01,  4.142582180500967e+04,  1.618908730270915e+02, -1.010155987744746e-01
Re2Y1       ,  1.830000000000000e+00,  2.662091943498360e+00,  2.581493794711811e+01,  2.843042349625343e+03,  6.138169682256230e+01,  2.697481740103772e-01
S1Y1        ,  1.900000000000000e+00,  2.994318192582449e+00,  2.476262391849201e+01,  3.927976000043850e+04,  3.399545896806762e+02, -2.742446466728496e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.815515845134212e+00,  2.493620429846779e+01,  1.631020631525765e+04,  2.727750735788370e+02, -1.891291836047449e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.849936057821223e+00,  2.415960316648217e+01,  1.946065402499141e+04, -1.218495363806723e+02,  5.285514496582766e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.375132882138886e+00,  2.520929637259862e+01,  1.494333369342551e+04, -3.482525087897735e+01,  1.641596243372520e-01
Be2Nb1      ,  2.150000000000000e+00,  2.240790596388688e+00,  2.637273396748689e+01,  2.657784158416908e+04,  2.252406727542347e+02, -2.695233759011056e-01
In1Te1      ,  2.206000000000000e+00,  3.047808209629969e+00,  2.524044790452438e+01,  1.359893448638163e+04, -4.935363827276006e+01, -2.446776927459932e-01
C2Cl2Y2     ,  2.300000000000000e+00,  2.056417684651743e+00,  2.364910849879034e+01,  4.078849056090055e+04,  1.510231924112448e+02,  4.682750981366942e-01
Be2Nb3      ,  2.300000000000000e+00,  2.024333445605758e+00,  2.633775815931500e+01,  2.667113227094232e+04,  2.525659593328449e+02, -8.102371203819556e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.191621642751223e+00,  2.479315530722067e+01,  7.815397071308795e+03,  1.277358986234857e+02,  3.292689643658944e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.286859818459721e+00,  2.516062976260628e+01,  1.402288729787447e+04,  8.128476451671318e+01, -1.738426119693742e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.411607134098802e+00,  2.582641296754169e+01,  1.362872004204852e+04,  9.972141471045504e+01,  1.145831050684732e-01
Re1         ,  2.581333333000000e+00,  3.228370872822879e+00,  2.537827554367564e+01, -8.674948207946987e+03, -1.323060443233069e+02,  2.073319412190498e-01
