# c0 + a0 * (((at_mass_wtd_range-8.083559e+00) / (L_avg-2.853884e+00)) + 5.043640e+01*((ThermalCond_wtd_mean-2.028062e+01) * (lambda4w_low+1.854183e-03)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.25997020436371; Max AE: 6.82572548295562
# Coefficients
# Task   a0                      c0
# all ,  2.072035699284867e-02,  2.909978514553511e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * g * mol^-1;                               10|4|div|38|2|mult|add:5.0436400895251e+01,0.0000000000000e+00,-2.0280623769882e+01,1.8541834377431e-03,-8.0835589712653e+00,-2.8538843978658e+00; (((at_mass_wtd_range-8.083559e+00) / (L_avg-2.853884e+00)) + 5.043640e+01*((ThermalCond_wtd_mean-2.028062e+01) * (lambda4w_low+1.854183e-03))); $\left(\left(\frac{ at_{mass, wtd, range} -8.084e+00 }{ L_{avg}-2.854e+00 } \right) + 50.4\left(\left(ThermalCond_{wtd, mean}-2.028e+01\right) * \left(lambda4w_{low}+1.854e-03\right)\right)\right)$; (((at_mass_wtd_range-8.083559e+00) ./ (L_avg-2.853884e+00)) + (5.043640e+01.*((ThermalCond_wtd_mean-2.028062e+01) .* (lambda4w_low+1.854183e-03)))); (((newdata$at_mass_wtd_range-8.083559e+00) / (newdata$L_avg-2.853884e+00)) + (5.043640e+01*((newdata$ThermalCond_wtd_mean-2.028062e+01) * (newdata$lambda4w_low+1.854183e-03)))); at_mass_wtd_range,L_avg,ThermalCond_wtd_mean,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  3.373531136759786e+00,  2.237184534833372e+01
Se2Ta1      ,  1.250000000000000e-01,  1.086502286707013e+00, -8.800409319568404e+01
Ti1         ,  1.620000000000000e-01,  2.761208099394540e+00, -7.179915636121342e+00
B1Mo1       ,  2.500000000000000e-01,  3.857338726256610e+00,  4.572123019067998e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.810139687936845e+00,  4.344332357275562e+01
Pt1Te1      ,  5.900000000000000e-01,  3.296151355459171e+00,  1.863736426157822e+01
Sb1V3       ,  6.500000000000000e-01,  3.129798208555540e+00,  1.060887580643022e+01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.712468321160990e+00,  3.872953573553037e+01
Rh1Te2      ,  7.550000000000000e-01,  2.992414301820169e+00,  3.978492614538942e+00
Zr1         ,  9.966666670000000e-01,  2.749897503072203e+00, -7.725784432022907e+00
Be2Ta3      ,  1.000000000000000e+00,  3.718178072107315e+00,  3.900509811837423e+01
C1Si1       ,  1.075000000000000e+00,  1.974438055498378e+00, -4.515078863641300e+01
Nb3Sb1      ,  1.100000000000000e+00,  3.081869864642626e+00,  8.295771648550311e+00
Nb1O1       ,  1.380000000000000e+00,  3.405502458854423e+00,  2.391483623916013e+01
Sb1         ,  1.416666667000000e+00,  2.165623781847168e+00, -3.592383726608792e+01
Sb1Sn1      ,  1.430000000000000e+00,  2.975994972953141e+00,  3.186067615650373e+00
S2Ta1       ,  1.488116666500000e+00,  3.021609822654081e+00,  5.387518571185721e+00
B2C2Y1      ,  1.800000000000000e+00,  3.275314443672551e+00,  1.763173912713622e+01
Re2Y1       ,  1.830000000000000e+00,  3.164265435713930e+00,  1.227232336046058e+01
S1Y1        ,  1.900000000000000e+00,  3.264704985193654e+00,  1.711970844723247e+01
Ga2Pt1      ,  1.900000000000000e+00,  3.766008094044612e+00,  4.131345708891733e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.387554927860009e+00,  2.304865758207384e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.058224477187144e+00,  7.154604656898451e+00
Be2Nb1      ,  2.150000000000000e+00,  3.680862657554761e+00,  3.720419215109614e+01
In1Te1      ,  2.206000000000000e+00,  3.018050648046636e+00,  5.215746694442779e+00
C2Cl2Y2     ,  2.300000000000000e+00,  4.077186318738971e+00,  5.633145242566548e+01
Be2Nb3      ,  2.300000000000000e+00,  3.414241594454858e+00,  2.433660192608586e+01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.309409846904156e+00,  1.927724182013387e+01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.355694748421567e+00,  2.151103062663875e+01
Bi1Nb3      ,  2.516666667000000e+00,  3.318569279878642e+00,  1.971929177987380e+01
Re1         ,  2.581333333000000e+00,  2.742400037898943e+00, -8.087624972504321e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  3.291590239107345e+00,  1.841723695617514e+01
Nb3Rh1      ,  2.742333333000000e+00,  3.118247187299314e+00,  1.005140369047140e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.657714888931047e+00,  3.608704109854897e+01
N1Ni3Zn1    ,  3.000000000000000e+00,  8.507064266212346e+00,  2.701249671321101e+02
B1Hf1       ,  3.100000000000000e+00,  5.870806133734963e+00,  1.428946238814002e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  3.920284735766189e+00,  4.875911267172524e+01
C2Y1        ,  3.150000000000000e+00,  3.742792150890500e+00,  4.019301581649501e+01
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.322612459111130e+00,  1.991442255073279e+01
In1Sb1      ,  3.320000000000000e+00,  3.542751546647490e+00,  3.053871283744636e+01
