# c0 + a0 * (((at_rad_wtd_range-4.970171e-01) / (at_mass_wtd_mean-1.507555e+01)) + 1.845142e+00*((EA_wtd_std-7.814571e-01) * (lambda4w_low-3.240960e-03)))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.43760874868822; Max AE: 7.35203072737814
# Coefficients
# Task   a0                      c0
# all , -3.296127240374842e+01,  3.469834525340529e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * g^-1 * mol;                                  16|8|div|36|2|mult|add:1.8451416257619e+00,0.0000000000000e+00,-7.8145708891400e-01,-3.2409604895496e-03,-4.9701709490095e-01,-1.5075553633816e+01; (((at_rad_wtd_range-4.970171e-01) / (at_mass_wtd_mean-1.507555e+01)) + 1.845142e+00*((EA_wtd_std-7.814571e-01) * (lambda4w_low-3.240960e-03))); $\left(\left(\frac{ at_{rad, wtd, range} -4.970e-01 }{ at_{mass, wtd, mean}-1.508e+01 } \right) + 1.85\left(\left(EA_{wtd, std}-7.815e-01\right) * \left(lambda4w_{low}-3.241e-03\right)\right)\right)$; (((at_rad_wtd_range-4.970171e-01) ./ (at_mass_wtd_mean-1.507555e+01)) + (1.845142e+00.*((EA_wtd_std-7.814571e-01) .* (lambda4w_low-3.240960e-03)))); (((newdata$at_rad_wtd_range-4.970171e-01) / (newdata$at_mass_wtd_mean-1.507555e+01)) + (1.845142e+00*((newdata$EA_wtd_std-7.814571e-01) * (newdata$lambda4w_low-3.240960e-03)))); at_rad_wtd_range,at_mass_wtd_mean,EA_wtd_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 81                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  3.905006422818342e+00, -1.320252119357882e-02
Se2Ta1      ,  1.250000000000000e-01,  1.113805624382763e+00,  7.147869997548496e-02
Ti1         ,  1.620000000000000e-01,  3.873375821490596e+00, -1.224289193715034e-02
B1Mo1       ,  2.500000000000000e-01,  3.599304116655551e+00, -3.927930625041624e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.587984388071691e+00, -3.584505515561532e-03
Pt1Te1      ,  5.900000000000000e-01,  3.585101030298685e+00, -3.497028377613471e-03
Sb1V3       ,  6.500000000000000e-01,  3.683595640244596e+00, -6.485220360599855e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.753703839004077e+00, -8.612207386486249e-03
Rh1Te2      ,  7.550000000000000e-01,  3.547829297922958e+00, -2.366254907488302e-03
Zr1         ,  9.966666670000000e-01,  3.667821443460122e+00, -6.006652767964069e-03
Be2Ta3      ,  1.000000000000000e+00,  3.406408627205697e+00,  1.924255148827897e-03
C1Si1       ,  1.075000000000000e+00,  5.590782639648896e+00, -6.434666988362889e-02
Nb3Sb1      ,  1.100000000000000e+00,  3.639360521908230e+00, -5.143187268111108e-03
Nb1O1       ,  1.380000000000000e+00,  3.429994984973486e+00,  1.208677258542727e-03
Sb1         ,  1.416666667000000e+00,  4.120478089800870e+00, -1.973963736868206e-02
Sb1Sn1      ,  1.430000000000000e+00,  3.670023277711854e+00, -6.073453412816664e-03
S2Ta1       ,  1.488116666500000e+00,  3.004709821432579e+00,  1.411124844364487e-02
B2C2Y1      ,  1.800000000000000e+00,  3.829933911057110e+00, -1.092492368940313e-02
