# c0 + a0 * (sqrt(lambda4w_low) * (at_rad_wtd_range^6)) + a1 * (exp(7.671457e+00*((EA_wtd_range-7.471042e-01) * (lambda4w_low-2.471082e-03)))) + a2 * ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.92811927812761; Max AE: 5.54525510990561
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  3.248444401290237e+03, -1.742234723497144e+01, -8.399298477179296e+03,  2.024862914341654e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^6 * eV^0.5;                                    2|sqrt|16|sp|mult; (sqrt(lambda4w_low) * (at_rad_wtd_range^6)); $\left(\left(\sqrt{ lambda4w_{low} }\right) \left(at_{rad, wtd, range}^6\right)\right)$; (sqrt(lambda4w_low) .* (at_rad_wtd_range).^6); (sqrt(newdata$lambda4w_low) * (newdata$at_rad_wtd_range)^6); lambda4w_low,at_rad_wtd_range
# 1;  2; Unitless;                                         34|2|mult|exp:7.6714570540691e+00,0.0000000000000e+00,-7.4710422073467e-01,-2.4710816899471e-03; (exp(7.671457e+00*((EA_wtd_range-7.471042e-01) * (lambda4w_low-2.471082e-03)))); $\left(\exp{ \left(7.671e+00\left(\left(EA_{wtd, range}-7.471e-01\right) * \left(lambda4w_{low}-2.471e-03\right)\right) \right)}\right)$; exp(7.671457e+00.*((EA_wtd_range-7.471042e-01) .* (lambda4w_low-2.471082e-03))); exp(7.671457e+00*((newdata$EA_wtd_range-7.471042e-01) * (newdata$lambda4w_low-2.471082e-03))); EA_wtd_range,lambda4w_low
# 2;  2; W * g^-3 * mK^-1 * mol^3;                         38|37|sub|7|cb|div; ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3)); $\left(\frac{ \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right) }{ \left(at_{mass, mean}^3\right) } \right)$; ((ThermalCond_wtd_mean - ThermalCond_mean) ./ (at_mass_mean).^3); ((newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean) / (newdata$at_mass_mean)^3); ThermalCond_wtd_mean,ThermalCond_mean,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.977105802049342e+00,  4.814514743056931e-05,  1.006462693890726e+00,  1.063157412972671e-04
Se2Ta1      ,  1.250000000000000e-01,  1.064824766866301e+00,  1.733254839878931e-04,  1.135487877156699e+00, -4.288632248378643e-06
Ti1         ,  1.620000000000000e-01,  2.700907369465844e+00,  0.000000000000000e+00,  1.007196191034902e+00,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  3.229621358675883e+00,  1.060792359127299e-04,  9.966280691433463e-01,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.868063145511314e+00,  2.005088234615358e-06,  1.002447953242894e+00, -9.276597449271520e-06
Pt1Te1      ,  5.900000000000000e-01,  2.906426283729459e+00,  5.805170109479998e-14,  9.953999094372935e-01,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  2.729483838296105e+00,  7.945789700320254e-10,  1.004301962508010e+00,  2.601451388777252e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.251361337882277e+00,  4.062599301654368e-06,  9.911927696159095e-01, -3.076919771969048e-05
Rh1Te2      ,  7.550000000000000e-01,  2.842524397087717e+00,  3.626533470001769e-13,  1.006782935086670e+00, -1.600337673223591e-05
Zr1         ,  9.966666670000000e-01,  2.867066249462296e+00,  0.000000000000000e+00,  9.976590788561867e-01,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  2.896875534377646e+00,  3.478550959528302e-05,  1.009917224006601e+00, -1.552226684715963e-05
C1Si1       ,  1.075000000000000e+00,  3.085758578772538e+00,  3.392526724897541e-06,  9.857392214418157e-01,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.873351996161959e+00,  4.058179071242189e-08,  9.943817377249302e-01,  6.065394190454105e-06
Nb1O1       ,  1.380000000000000e+00,  4.650495069370041e+00,  5.757043775136505e-04,  1.002636298105422e+00,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.988610363168700e+00,  0.000000000000000e+00,  9.906827448371728e-01,  0.000000000000000e+00
S2Ta1       ,  1.488116666500000e+00,  2.828530695935144e+00,  2.645272540948418e-04,  1.052969873806684e+00, -7.834731027649989e-06
B2C2Y1      ,  1.800000000000000e+00,  1.623291805273254e+00,  8.227116295643303e-05,  1.001884910387423e+00,  1.711337967681722e-04
Re2Y1       ,  1.830000000000000e+00,  2.687149905581585e+00,  8.943440566822486e-07,  1.007201785515085e+00,  1.972214929220701e-06
S1Y1        ,  1.900000000000000e+00,  3.935510206233645e+00,  3.471349312075662e-04,  1.001057275792780e+00,  0.000000000000000e+00
Ga2Pt1      ,  1.900000000000000e+00,  2.848831173203525e+00,  3.096886755490345e-09,  1.000194833513112e+00, -3.087598551581606e-06
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.827684159229001e+00,  2.328129725045406e-09,  9.999199483304330e-01,  0.000000000000000e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.214686772868283e+00,  1.463573816243310e-04,  1.003544101334485e+00,  3.010059528808160e-06
Be2Nb1      ,  2.150000000000000e+00,  1.428382104208580e+00,  2.829477880759633e-05,  1.002935574966195e+00,  1.712844492374312e-04
In1Te1      ,  2.206000000000000e+00,  2.810456061726624e+00,  3.950412636674808e-12,  1.000908365522609e+00,  0.000000000000000e+00
C2Cl2Y2     ,  2.300000000000000e+00,  5.857385497048129e+00,  1.510877580370122e-03,  1.107729354895291e+00,  0.000000000000000e+00
Be2Nb3      ,  2.300000000000000e+00,  3.728177283017664e+00,  3.398712635710686e-05,  1.004115988136702e+00, -1.027705184093434e-04
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.098245041110779e+00,  1.205381885592489e-04,  1.005731571762885e+00,  2.350319815371540e-06
As1Pt1Sr1   ,  2.425000000000000e+00,  2.944615446215175e+00,  3.645000000000000e-05,  1.000004147584477e+00,  0.000000000000000e+00
Bi1Nb3      ,  2.516666667000000e+00,  2.834023324206078e+00,  2.486375240031158e-09,  9.979440259558621e-01,  3.343916741393739e-06
Re1         ,  2.581333333000000e+00,  3.070092828986955e+00,  0.000000000000000e+00,  9.860058511488931e-01,  0.000000000000000e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  2.781225928990985e+00,  2.291412903435644e-07,  1.001966452964349e+00,  1.373936866401634e-06
Nb3Rh1      ,  2.742333333000000e+00,  3.022621550170192e+00,  1.498918124058880e-08,  1.001062186336043e+00, -2.557317494569287e-05
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.232252530222156e+00,  6.674382619776968e-06,  9.646033131463345e-01,  2.766946656792411e-05
N1Ni3Zn1    ,  3.000000000000000e+00,  4.166511480859440e+00,  6.689611895398779e-06,  8.808281744040528e-01,  9.021636605853664e-05
B1Hf1       ,  3.100000000000000e+00,  3.644284636203378e+00,  2.875166697716047e-04,  1.006656920957590e+00,  0.000000000000000e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  3.240880144898176e+00,  9.895690124129497e-09,  9.788790099649147e-01, -5.546757106305321e-06
