# c0 + a0 * ((lambda3 * w_log) * (at_rad_wtd_range^6)) + a1 * (exp(7.475920e+00*((EA_wtd_range-7.468957e-01) * (lambda4w_low-2.303748e-03)))) + a2 * ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.93741363621615; Max AE: 5.23945940765613
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.656563818005087e+04, -1.736272135018107e+01, -8.381698479380222e+03,  2.019999587984540e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^6 * eV;                                        3|1|mult|16|sp|mult; ((lambda3 * w_log) * (at_rad_wtd_range^6)); $\left(\left(lambda3 w_{log}\right) \left(at_{rad, wtd, range}^6\right)\right)$; ((lambda3 .* w_log) .* (at_rad_wtd_range).^6); ((newdata$lambda3 * newdata$w_log) * (newdata$at_rad_wtd_range)^6); lambda3,w_log,at_rad_wtd_range
# 1;  2; Unitless;                                         34|2|mult|exp:7.4759195589332e+00,0.0000000000000e+00,-7.4689566137903e-01,-2.3037478258429e-03; (exp(7.475920e+00*((EA_wtd_range-7.468957e-01) * (lambda4w_low-2.303748e-03)))); $\left(\exp{ \left(7.476e+00\left(\left(EA_{wtd, range}-7.469e-01\right) * \left(lambda4w_{low}-2.304e-03\right)\right) \right)}\right)$; exp(7.475920e+00.*((EA_wtd_range-7.468957e-01) .* (lambda4w_low-2.303748e-03))); exp(7.475920e+00*((newdata$EA_wtd_range-7.468957e-01) * (newdata$lambda4w_low-2.303748e-03))); EA_wtd_range,lambda4w_low
# 2;  2; W * g^-3 * mK^-1 * mol^3;                         38|37|sub|7|cb|div; ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3)); $\left(\frac{ \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right) }{ \left(at_{mass, mean}^3\right) } \right)$; ((ThermalCond_wtd_mean - ThermalCond_mean) ./ (at_mass_mean).^3); ((newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean) / (newdata$at_mass_mean)^3); ThermalCond_wtd_mean,ThermalCond_mean,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.942370565936652e+00,  3.485651719389422e-06,  1.005551896907000e+00,  1.063157412972671e-04
Se2Ta1      ,  1.250000000000000e-01,  1.961375702626826e+00,  5.422870195142044e-05,  1.135489413036228e+00, -4.288632248378643e-06
Ti1         ,  1.620000000000000e-01,  2.731887954956660e+00,  0.000000000000000e+00,  1.006069703739534e+00,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  3.185251921942751e+00,  1.053448080135937e-05,  9.960765259361776e-01,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.883002068471145e+00,  1.236925960742555e-07,  1.002033786983517e+00, -9.276597449271520e-06
Pt1Te1      ,  5.900000000000000e-01,  2.929535822683950e+00,  4.143600400000000e-15,  9.946862423782101e-01,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  2.754542159046773e+00,  5.878956022313553e-11,  1.003509205154042e+00,  2.601451388777252e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.261359211456910e+00,  3.361033885553465e-07,  9.909427940545388e-01, -3.076919771969048e-05
Rh1Te2      ,  7.550000000000000e-01,  2.864938463179325e+00,  1.272072358139697e-14,  1.006132192246659e+00, -1.600337673223591e-05
Zr1         ,  9.966666670000000e-01,  2.893051691902873e+00,  0.000000000000000e+00,  9.967875334105989e-01,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  2.856111249064173e+00,  1.636325032501341e-06,  1.008911981979502e+00, -1.552226684715963e-05
C1Si1       ,  1.075000000000000e+00,  3.104053127288170e+00,  4.075984513972619e-07,  9.852586193443347e-01,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.896265938115512e+00,  3.636324792032207e-09,  9.936799589066565e-01,  6.065394190454105e-06
Nb1O1       ,  1.380000000000000e+00,  4.041903878742032e+00,  4.664435998702930e-05,  1.001987467331981e+00,  0.000000000000000e+00
Sb1         ,  1.416666667000000e+00,  3.907708317844284e+00,  0.000000000000000e+00,  9.383487319417940e-01,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  3.009565081511181e+00,  0.000000000000000e+00,  9.900769845710247e-01,  0.000000000000000e+00
