# FEAT_ID     Score                   Feature Expression
0             0.62310613482841426     ((ThermalCond_wtd_std * ThermalCond_std) / (at_mass_wtd_mean^6))
1             0.623381335659969671    ((w_log^3) * (ThermalCond_wtd_range * lambda4w_low))
2             0.624072741051704183    ((ThermalCond_wtd_range * IP_wtd_mean) / (at_mass_wtd_mean^6))
3             0.624475683227591949    (exp(3.346088e+00*((PE_wtd_std-1.592838e+00) * (density-5.280637e+00))))
4             0.624886986614814122    ((ThermalCond_range^2) / (at_mass_wtd_mean^6))
5             0.625205262575438403    ((ThermalCond_std * ThermalCond_range) / (at_mass_wtd_mean^6))
6             0.625231089158772679    ((w_log^3) * (lambda3 / L_avg))
7             0.625485846117324829    ((ThermalCond_std^2) / (at_mass_wtd_mean^6))
8             0.625641391138464065    ((ThermalCond_wtd_range * IP_mean) / (at_mass_wtd_mean^6))
9             0.626451627400823052    ((w_log^3) * (ThermalCond_wtd_std * lambda4w_low))
10            0.627739714678812954    (exp(1.537225e+00*((PE_std-3.342080e+00) * (density-5.471357e+00))))
11            0.629614704235407885    ((w_log^3) * (ThermalCond_range * lambda4w_low))
12            0.629841340255941518    ((w_log^3) * (ThermalCond_std * lambda4w_low))
13            0.62996852985598395     ((lambda4w_low / lambda3)^3)
14            0.630081863911496676    ((lambda4w_low * w_log) * (w_log / lambda))
15            0.630142680117103393    ((w_log * lambda)^3)
16            0.630977629911848248    ((V_molar * lambda4w_low) * (w_log^3))
17            0.63263384851581983     (exp(1.075651e+00*((at_rad_range-5.055408e+00) * (density-6.314139e+00))))
18            0.63299960936754307     (exp(1.706674e+02*((at_mass_wtd_mean-1.598129e+01) / (L_avg-8.869354e+01))))
19            0.633026057280946297    (exp(1.378410e+02*((at_mass_wtd_mean-1.488105e+01) / (lambda-6.964164e+01))))
20            0.634419839070900826    ((w_log^3) * (ThermalCond_wtd_mean * lambda4w_low))
21            0.637280001986703759    ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
22            0.638115694847002257    ((w_log^3) * (ThermalCond_wtd_mean - ThermalCond_mean))
23            0.640866235575381804    (exp(8.776296e-02*((EA_range-4.965251e+00) / (density-2.849028e+00))))
24            0.643796504696197758    ((w_log^3) * (lambda3 / density))
25            0.656222023132778109    ((w_log^3) * (ThermalCond_mean * lambda4w_low))
26            0.660267151626823479    ((IP_wtd_mean * lambda4w_low) * (w_log^3))
27            0.660492736114408174    ((IP_mean * lambda4w_low) * (w_log^3))
28            0.664619806462385387    ((w_log^3) * (lambda3 / PE_wtd_mean))
29            0.668000362650415291    ((w_log^3) * (lambda3 / PE_mean))
#-----------------------------------------------------------------------
30            0.361738776575473486    ((|ThermalCond_std - ThermalCond_mean|) * (EA_mean * lambda3))
31            0.362858455382117584    ((lambda4w_low * w_log) * (ThermalCond_wtd_std - ThermalCond_wtd_mean))
32            0.363397113706159347    ((density * lambda4w_low) * (|ThermalCond_std - ThermalCond_mean|))
33            0.363681461471602463    ((|ThermalCond_std - ThermalCond_mean|) * (|PE_std - lambda3|))
34            0.363740253818251369    ((lambda3 + lambda) * (|ThermalCond_std - ThermalCond_mean|))
35            0.364463399607536709    ((|ThermalCond_std - ThermalCond_mean|) * (PE_range - lambda3))
36            0.364487521211052212    ((PE_mean * lambda4w_low) * (|ThermalCond_std - ThermalCond_mean|))
37            0.364652600881653743    ((lambda3 / IP_mean) * (|ThermalCond_std - ThermalCond_mean|))
38            0.364995585303101666    ((lambda3 / at_rad_wtd_mean) * (|ThermalCond_std - ThermalCond_mean|))
39            0.365517847387872019    ((lambda3 / density) * (|ThermalCond_std - ThermalCond_mean|))
40            0.365560537518922313    ((|ThermalCond_std - ThermalCond_mean|) * (PE_wtd_range - lambda3))
41            0.366011055479724789    ((lambda4w_low * w_log) * (|ThermalCond_std - ThermalCond_mean|))
42            0.366372466390653129    (|(ThermalCond_mean * lambda3) - (ThermalCond_std * lambda3)|)
43            0.366516632803184805    ((lambda4w_low * w_log) * (ThermalCond_wtd_range - ThermalCond_wtd_mean))
44            0.367340073233160425    ((lambda3 / L_avg) * (|ThermalCond_std - ThermalCond_mean|))
45            0.367701272021651648    ((lambda3 / IP_wtd_mean) * (|ThermalCond_std - ThermalCond_mean|))
46            0.368127192879387055    ((|ThermalCond_std - ThermalCond_mean|) * (|PE_wtd_std - lambda3|))
47            0.368497313683601335    ((PE_wtd_mean * lambda4w_low) * (|ThermalCond_std - ThermalCond_mean|))
48            0.368817259888910176    ((|ThermalCond_std - ThermalCond_mean|) * (PE_wtd_std - lambda3))
49            0.370468566437547386    ((|ThermalCond_std - ThermalCond_mean|) * (|PE_wtd_range - lambda3|))
50            0.371726114138931585    ((|ThermalCond_std - ThermalCond_mean|) * (PE_wtd_range + lambda3))
51            0.372509772462439548    ((|ThermalCond_std - ThermalCond_mean|) * (PE_std - lambda3))
52            0.372821979273440018    ((|ThermalCond_std - ThermalCond_mean|) * (PE_range + lambda3))
53            0.373558674654179912    ((|ThermalCond_std - ThermalCond_mean|) * (PE_wtd_std + lambda3))
54            0.37365157391638526     ((PE_mean * lambda3) * (|ThermalCond_std - ThermalCond_mean|))
55            0.374766408831070041    ((PE_wtd_mean * lambda3) * (|ThermalCond_std - ThermalCond_mean|))
56            0.375182923780426336    ((|ThermalCond_std - ThermalCond_mean|) * (|PE_range - lambda3|))
57            0.375279525029628747    ((lambda3 * w_log) * (|ThermalCond_std - ThermalCond_mean|))
58            0.37528605520575975     ((lambda4w_low / lambda) * (|ThermalCond_std - ThermalCond_mean|))
59            0.376018212898130755    ((|ThermalCond_std - ThermalCond_mean|) * (PE_std + lambda3))
#-----------------------------------------------------------------------
60            0.241484985978065614    (sin(lambda) + PE_wtd_std)
61            0.241663805794955971    (|cos(PE_wtd_std) - (PE_wtd_range * lambda)|)
62            0.24225963410970322     (sin(lambda) + sin(PE_wtd_range))
63            0.24258963946314821     (sin(lambda) + (PE_wtd_std + PE_wtd_range))
64            0.243116922343499242    (sin(lambda) + (PE_std^2))
65            0.2438038867513595      (sin(lambda) + (PE_std + PE_wtd_range))
66            0.243927352021081789    (sin(lambda) + (PE_std + PE_wtd_mean))
67            0.244047717019160088    (sin(lambda) * (PE_wtd_range * density))
68            0.244402018521658465    (sin(lambda) + (PE_wtd_std^2))
69            0.245898277377462643    (|(PE_wtd_range * lambda) - cos(PE_std)|)
70            0.245914368114560133    (sin(lambda) + (PE_wtd_range * PE_range))
71            0.245958756942598916    (|sin(PE_wtd_mean) - (PE_wtd_std * lambda)|)
72            0.246068253434126583    (sin(lambda) + (PE_wtd_std * PE_std))
73            0.246243798306441386    (sin(lambda) + (PE_wtd_std * PE_wtd_range))
74            0.247114940125482824    (sin(lambda) + (PE_wtd_range^2))
75            0.247292722186813918    (|cos(PE_wtd_range) - (PE_std * lambda)|)
76            0.248779378016455915    (sin(lambda) + exp(PE_std))
77            0.248889712456407786    (sin(lambda) + PE_wtd_range)
78            0.249249144449730342    (sin(lambda) + (PE_std * PE_wtd_range))
79            0.249697884345901761    (|cos(PE_wtd_std) - (PE_std * lambda)|)
80            0.249765985385275224    (sin(lambda) + (PE_wtd_std + PE_wtd_mean))
81            0.25086883948037042     (sin(lambda) * (PE_wtd_range / L_avg))
82            0.251165651143864133    (|sin(PE_wtd_mean) - (PE_std * lambda)|)
83            0.251297636888228593    (sin(lambda) + exp(PE_wtd_std))
84            0.251538348476761597    (|sin(PE_mean) - (PE_std * lambda)|)
85            0.253080969896351204    (|cos(PE_std) - (PE_std * lambda)|)
86            0.255439085351950756    (sin(lambda) + (PE_wtd_range + PE_wtd_mean))
87            0.255838356232925446    (|sin(PE_wtd_mean) - (PE_wtd_range * lambda)|)
88            0.258038069288135663    (sin(lambda) + exp(PE_wtd_range))
89            0.258433293941040088    ((exp(8.378496e-01*PE_wtd_range)) + sin(lambda))
#-----------------------------------------------------------------------
90            0.15661601011716178     ((at_mass_std / L_avg) / (exp(1.444554e+00*L_avg)))
