# c0 + a0 * ((PE_wtd_mean - PE_mean) + sin(lambda)) + a1 * ((at_rad_wtd_std * at_mass_wtd_range) - (at_rad_wtd_range * at_mass_wtd_std)) + a2 * (exp(1.153828e+00*((at_rad_range-6.180249e-01) / (L_avg-2.854400e+00)))) + a3 * ((lambda3 + lambda) * (|ThermalCond_std - ThermalCond_mean|)) + a4 * ((w_log^3) * (ThermalCond_wtd_mean - ThermalCond_mean))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.60669918139267; Max AE: 4.69911942334807
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  3.171543403657089e+00,  3.254945980566674e+00,  1.690725348116801e+00,  1.474506897020333e-02, -7.053795795571941e+03, -1.096833840282940e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         26|25|sub|0|sin|add; ((PE_wtd_mean - PE_mean) + sin(lambda)); $\left(\left(PE_{wtd, mean} - PE_{mean}\right) + \left(\sin{ lambda }\right)\right)$; ((PE_wtd_mean - PE_mean) + sin(lambda)); ((newdata$PE_wtd_mean - newdata$PE_mean) + sin(newdata$lambda)); PE_wtd_mean,PE_mean,lambda
# 1;  2; AA * g * mol^-1;                                  18|10|mult|16|12|mult|sub; ((at_rad_wtd_std * at_mass_wtd_range) - (at_rad_wtd_range * at_mass_wtd_std)); $\left(\left(at_{rad, wtd, std} at_{mass, wtd, range}\right) - \left(at_{rad, wtd, range} at_{mass, wtd, std}\right)\right)$; ((at_rad_wtd_std .* at_mass_wtd_range) - (at_rad_wtd_range .* at_mass_wtd_std)); ((newdata$at_rad_wtd_std * newdata$at_mass_wtd_range) - (newdata$at_rad_wtd_range * newdata$at_mass_wtd_std)); at_rad_wtd_std,at_mass_wtd_range,at_rad_wtd_range,at_mass_wtd_std
# 2;  2; Unitless;                                         15|4|div|exp:1.1538277312997e+00,0.0000000000000e+00,-6.1802494390959e-01,-2.8543999965995e+00; (exp(1.153828e+00*((at_rad_range-6.180249e-01) / (L_avg-2.854400e+00)))); $\left(\exp{ \left(1.154e+00\left(\frac{ at_{rad, range} -6.180e-01 }{ L_{avg}-2.854e+00 } \right) \right)}\right)$; exp(1.153828e+00.*((at_rad_range-6.180249e-01) ./ (L_avg-2.854400e+00))); exp(1.153828e+00*((newdata$at_rad_range-6.180249e-01) / (newdata$L_avg-2.854400e+00))); at_rad_range,L_avg
# 3;  2; W * mK^-1;                                        3|0|add|41|37|abd|mult; ((lambda3 + lambda) * (|ThermalCond_std - ThermalCond_mean|)); $\left(\left(lambda3 + lambda\right) \left(\left|ThermalCond_{std} - ThermalCond_{mean}\right|\right)\right)$; ((lambda3 + lambda) .* abs(ThermalCond_std - ThermalCond_mean)); ((newdata$lambda3 + newdata$lambda) * abs(newdata$ThermalCond_std - newdata$ThermalCond_mean)); lambda3,lambda,ThermalCond_std,ThermalCond_mean
# 4;  2; W * eV^3 * mK^-1;                                 1|cb|38|37|sub|mult; ((w_log^3) * (ThermalCond_wtd_mean - ThermalCond_mean)); $\left(\left(w_{log}^3\right) \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right)\right)$; ((w_log).^3 .* (ThermalCond_wtd_mean - ThermalCond_mean)); ((newdata$w_log)^3 * (newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean)); w_log,ThermalCond_wtd_mean,ThermalCond_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  4.553834027480781e-01,  1.117113059433676e+00, -9.111199999995989e-04,  1.683395896171407e+00,  1.933596000000000e+01,  7.257170451354206e-04
Se2Ta1      ,  1.250000000000000e-01, -1.270275844645572e+00, -8.190229891034205e-01,  9.673899999977920e-04,  9.648856175434334e-01,  5.310737120000032e+01, -9.282561312024003e-07
Ti1         ,  1.620000000000000e-01,  1.490276668071578e+00,  4.760872714465754e-01,  0.000000000000000e+00,  5.190061604387906e-01,  1.354230300000000e+01,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  2.788423633183871e+00,  5.495286809501414e-01,  0.000000000000000e+00,  1.083782098743887e+00,  2.102571000000000e+01,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.002955723682469e+00,  6.320779260632072e-01, -2.694893999999994e-01,  9.379247812332390e-01,  2.222524005100000e+01, -8.337996776908792e-06
Pt1Te1      ,  5.900000000000000e-01,  2.427750331327884e+00,  7.275884103672617e-01,  0.000000000000000e+00,  6.843420843042013e-01,  4.067220000000000e+00,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  1.540911685780876e+00,  3.869255235092187e-01, -5.801099999998005e-04,  7.607569954874858e-01,  1.560792000000000e+01,  1.472800389119997e-05
Al1Ni2Zr1   ,  6.899999999999999e-01,  1.326202835077825e+00,  8.525699255625662e-01, -7.845369000000004e-01,  9.388561941018805e-01,  4.458057817200001e+01, -3.970587805081901e-06
Rh1Te2      ,  7.550000000000000e-01,  1.534943463360910e+00,  2.855156385927273e-01,  2.215900000000215e-04,  8.306901042260650e-01,  1.062240000000000e+00, -4.329572206050000e-05
Zr1         ,  9.966666670000000e-01,  2.072704077234381e+00,  6.359199817838959e-01,  0.000000000000000e+00,  4.805220633976952e-01,  2.307613900000000e+01,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  2.540508260468830e+00,  3.567588264968561e-01, -2.016930000003470e-03,  1.056836840337309e+00,  2.416230000000000e+01, -5.235980626869998e-05
C1Si1       ,  1.075000000000000e+00,  2.379126205639610e+00,  5.647250041331764e-01,  0.000000000000000e+00,  0.000000000000000e+00,  1.142694000000000e+02,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  1.934287292260362e+00,  5.039294019082221e-01, -1.203699999998697e-04,  8.366356492971665e-01,  2.297328000000000e+01,  4.536348186000001e-05
Nb1O1       ,  1.380000000000000e+00,  2.769295511335471e+00,  4.904447300080628e-01,  0.000000000000000e+00,  1.366519243676646e+00,  1.721791400000126e-02,  0.000000000000000e+00
Sb1         ,  1.416666667000000e+00,  2.655516669362940e+00,  8.928345275539501e-01,  0.000000000000000e+00,  3.222722533153805e-02,  5.874504000000000e+01,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.864683241526018e+00,  7.569284080526384e-01,  0.000000000000000e+00,  6.110120726701389e-01,  3.579720000000000e+01,  0.000000000000000e+00
S2Ta1       ,  1.488116666500000e+00,  3.956515780189220e+00,  1.024050792603148e+00, -1.645959999997615e-03,  1.011138774509044e+00,  2.438116249999979e+00, -9.268406425830597e-06
B2C2Y1      ,  1.800000000000000e+00,  5.073239678954760e-01,  5.861725245839535e-01,  6.531440000000011e-02,  1.406686125381639e+00,  3.153225487999999e+00,  4.100378206958797e-04
Re2Y1       ,  1.830000000000000e+00,  2.522755257715333e+00,  6.205579431291218e-01, -5.280600000014957e-04,  9.301142786668263e-01,  1.174020400000000e+01,  1.311300388013790e-05
S1Y1        ,  1.900000000000000e+00,  3.160648121203625e+00,  6.455933587990050e-01,  0.000000000000000e+00,  1.305231767708301e+00,  2.147272500000001e-01,  0.000000000000000e+00
Ga2Pt1      ,  1.900000000000000e+00,  2.552213902300738e+00,  6.217017877753200e-01,  1.503460000000345e-03,  6.602873904391754e-01,  3.600669000000001e+01, -3.560367023769599e-06
