# c0 + a0 * (sin(lambda) + (PE_wtd_range^2)) + a1 * ((PE_wtd_mean * lambda4w_low) * (|ThermalCond_std - ThermalCond_mean|)) + a2 * (exp(5.872103e-01*((PE_wtd_mean-3.237269e+00) / (density-3.025600e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.98994913306863; Max AE: 4.24532315461934
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  3.825555455143485e+00,  4.145190510473608e-01,  3.135239540358504e+00, -2.334129758023384e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|sin|28|sq|add; (sin(lambda) + (PE_wtd_range^2)); $\left(\left(\sin{ lambda }\right) + \left(PE_{wtd, range}^2\right)\right)$; (sin(lambda) + (PE_wtd_range)^2); (sin(newdata$lambda) + (newdata$PE_wtd_range)^2); lambda,PE_wtd_range
# 1;  2; W * eV * mK^-1;                                   26|2|mult|41|37|abd|mult; ((PE_wtd_mean * lambda4w_low) * (|ThermalCond_std - ThermalCond_mean|)); $\left(\left(PE_{wtd, mean} lambda4w_{low}\right) \left(\left|ThermalCond_{std} - ThermalCond_{mean}\right|\right)\right)$; ((PE_wtd_mean .* lambda4w_low) .* abs(ThermalCond_std - ThermalCond_mean)); ((newdata$PE_wtd_mean * newdata$lambda4w_low) * abs(newdata$ThermalCond_std - newdata$ThermalCond_mean)); PE_wtd_mean,lambda4w_low,ThermalCond_std,ThermalCond_mean
# 2;  2; Unitless;                                         26|5|div|exp:5.8721026153483e-01,0.0000000000000e+00,-3.2372687997056e+00,-3.0255999872285e+00; (exp(5.872103e-01*((PE_wtd_mean-3.237269e+00) / (density-3.025600e+00)))); $\left(\exp{ \left(5.872e-01\left(\frac{ PE_{wtd, mean} -3.237e+00 }{ density-3.026e+00 } \right) \right)}\right)$; exp(5.872103e-01.*((PE_wtd_mean-3.237269e+00) ./ (density-3.025600e+00))); exp(5.872103e-01*((newdata$PE_wtd_mean-3.237269e+00) / (newdata$density-3.025600e+00))); PE_wtd_mean,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02, -1.793796467212971e-01,  5.536083494336760e-01,  8.899632000000000e-02,  0.000000000000000e+00
Se2Ta1      ,  1.250000000000000e-01, -1.500455049394850e+00, -7.762140991034208e-01,  2.372587360000014e+00,  8.993386605784914e-01
Ti1         ,  1.620000000000000e-01,  1.309192239716077e+00,  4.760872714465754e-01,  4.114572000000000e-02,  5.757033972329864e-01
B1Mo1       ,  2.500000000000000e-01,  2.648872401559983e+00,  5.531286809501414e-01,  1.888110000000000e-01,  8.894733318883987e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.758520306680120e+00,  6.080341760632071e-01,  6.254508506750001e-02,  8.741454810588370e-01
Pt1Te1      ,  5.900000000000000e-01,  3.426019204359298e+00,  7.356884103672617e-01,  2.214090000000000e-02,  9.366283782014454e-01
Sb1V3       ,  6.500000000000000e-01,  2.282581272287199e+00,  5.167317735092186e-01,  5.996160000000001e-02,  8.340892987991977e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.439925717163810e+00,  8.276699255625662e-01,  2.560105220400000e-01,  7.979093799808685e-01
Rh1Te2      ,  7.550000000000000e-01,  1.711068790063928e+00,  3.219156385927271e-01,  8.424000000000000e-04,  8.973295959397757e-01
Zr1         ,  9.966666670000000e-01,  2.454694931753022e+00,  6.359199817838959e-01,  8.695008000000000e-02,  7.399865432651751e-01
Be2Ta3      ,  1.000000000000000e+00,  1.922246607602667e+00,  3.648877864968560e-01,  2.612880000000000e-02,  9.089088669030116e-01
C1Si1       ,  1.075000000000000e+00,  2.655640529882685e+00,  6.703500041331764e-01,  1.619800000000000e+00,  5.594058097557274e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.909990184805908e+00,  6.449228419082221e-01,  1.459050000000000e-01,  8.664254867004425e-01
Nb1O1       ,  1.380000000000000e+00,  5.625323154619341e+00,  1.336844730008063e+00,  1.159653600000085e-04,  9.075004179438989e-01
Sb1         ,  1.416666667000000e+00,  3.996561420312467e+00,  8.928345275539501e-01,  6.740400000000000e-01,  8.406696604247454e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.278532019625257e+00,  7.589534080526384e-01,  2.049912000000000e-01,  8.370239772097271e-01
S2Ta1       ,  1.488116666500000e+00,  4.537402592876187e+00,  1.074450792603148e+00,  9.420569999999921e-02,  8.682306941991562e-01
B2C2Y1      ,  1.800000000000000e+00,  1.880758958117691e+00,  5.842485245839535e-01,  1.877695871999999e-02,  6.289886795774894e-01
Re2Y1       ,  1.830000000000000e+00,  2.854155429576537e+00,  5.985827831291219e-01,  3.137102840000001e-02,  9.203027807542448e-01
S1Y1        ,  1.900000000000000e+00,  3.986551547618632e+00,  1.107993358799005e+00,  1.351565000000001e-03,  6.638826129203819e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.424241230204662e+00,  7.436409977753201e-01,  1.631180980000000e-01,  9.077186979478116e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.119641783855580e+00,  5.779418976908707e-01,  7.683642000000001e-01,  9.327265511057332e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.745006082894821e+00,  8.679829962872814e-01,  7.242732997500000e-02,  8.702991306675317e-01
Be2Nb1      ,  2.150000000000000e+00,  1.584176386335634e+00,  4.655003415428497e-01,  1.177416000000000e-01,  6.662019313710812e-01
In1Te1      ,  2.206000000000000e+00,  3.375246138714734e+00,  8.160847219055776e-01,  2.217420000000000e-02,  8.223317151570623e-01
C2Cl2Y2     ,  2.300000000000000e+00,  5.240253250868996e+00,  1.516593933081006e+00,  6.549096061199998e-01,  4.787820155950563e-01
Be2Nb3      ,  2.300000000000000e+00,  1.830847194611109e+00,  4.348126804826516e-01,  6.774408000000000e-02,  7.889335686325302e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.482510583926801e+00,  1.037044936857916e+00,  4.571123368000000e-02,  9.027760759210021e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  4.251809011324630e+00,  9.994844176573524e-01,  1.674287409750000e-01,  8.589306384905695e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.940377300697537e+00,  6.440663279771611e-01,  3.873760000000000e-02,  8.913316175969960e-01
Re1         ,  2.581333333000000e+00,  3.516251621687727e+00,  6.955606873896653e-01,  4.496160000000000e-01,  9.578537656759460e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.545273945337970e+00,  7.723347893733175e-01,  1.242386860000000e-01,  9.164514536980237e-01
Nb3Rh1      ,  2.742333333000000e+00,  2.914872399497500e+00,  6.308223895289220e-01,  2.160108000000000e-01,  8.759188881261259e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.391483350398336e+00,  1.011602779051698e+00,  4.624538313599998e-01,  8.496877578129194e-01
