# c0 + a0 * ((at_rad_wtd_std / L_avg)^6) + a1 * (|(lambda / PE_mean) - cos(PE_wtd_range)|) + a2 * ((PE_wtd_mean * lambda4w_low) * (|ThermalCond_std - ThermalCond_mean|)) + a3 * (exp(5.863072e-01*((PE_wtd_mean-3.252752e+00) / (density-3.025600e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.7946195467961; Max AE: 4.63287331296446
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  2.706703680572715e+05, -4.710592019822324e+00,  4.068482032447455e-01,  3.075932862175364e+00,  2.783245542301855e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|4|div|sp; ((at_rad_wtd_std / L_avg)^6); $\left(\left(\frac{ at_{rad, wtd, std} }{ L_{avg} } \right)^6\right)$; ((at_rad_wtd_std ./ L_avg)).^6; ((newdata$at_rad_wtd_std / newdata$L_avg))^6; at_rad_wtd_std,L_avg
# 1;  2; Unitless;                                         0|25|div|28|cos|abd; (|(lambda / PE_mean) - cos(PE_wtd_range)|); $\left(\left|\left(\frac{ lambda }{ PE_{mean} } \right) - \left(\cos{ PE_{wtd, range} }\right)\right|\right)$; abs((lambda ./ PE_mean) - cos(PE_wtd_range)); abs((newdata$lambda / newdata$PE_mean) - cos(newdata$PE_wtd_range)); lambda,PE_mean,PE_wtd_range
# 2;  2; W * eV * mK^-1;                                   26|2|mult|41|37|abd|mult; ((PE_wtd_mean * lambda4w_low) * (|ThermalCond_std - ThermalCond_mean|)); $\left(\left(PE_{wtd, mean} lambda4w_{low}\right) \left(\left|ThermalCond_{std} - ThermalCond_{mean}\right|\right)\right)$; ((PE_wtd_mean .* lambda4w_low) .* abs(ThermalCond_std - ThermalCond_mean)); ((newdata$PE_wtd_mean * newdata$lambda4w_low) * abs(newdata$ThermalCond_std - newdata$ThermalCond_mean)); PE_wtd_mean,lambda4w_low,ThermalCond_std,ThermalCond_mean
# 3;  2; Unitless;                                         26|5|div|exp:5.8630723870199e-01,0.0000000000000e+00,-3.2527517580082e+00,-3.0255999982475e+00; (exp(5.863072e-01*((PE_wtd_mean-3.252752e+00) / (density-3.025600e+00)))); $\left(\exp{ \left(5.863e-01\left(\frac{ PE_{wtd, mean} -3.253e+00 }{ density-3.026e+00 } \right) \right)}\right)$; exp(5.863072e-01.*((PE_wtd_mean-3.252752e+00) ./ (density-3.025600e+00))); exp(5.863072e-01*((newdata$PE_wtd_mean-3.252752e+00) / (newdata$density-3.025600e+00))); PE_wtd_mean,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -4.388367268145634e-02,  1.119806176239640e-06,  6.721948206131694e-01,  8.899632000000000e-02,  0.000000000000000e+00
Se2Ta1      ,  1.250000000000000e-01,  1.069254970471778e-02,  1.957530163931588e-09,  1.380028464113491e+00,  2.372587360000014e+00,  8.980642463576924e-01
Ti1         ,  1.620000000000000e-01,  1.370621238674996e+00,  0.000000000000000e+00,  6.777922077922078e-01,  4.114572000000000e-02,  5.733019146576946e-01
B1Mo1       ,  2.500000000000000e-01,  2.311255433226022e+00,  4.291192422217295e-07,  7.211529208875851e-01,  1.888110000000000e-01,  8.882182831068464e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.640706521234650e+00,  2.202475441327645e-08,  6.070832363872178e-01,  6.254508506750001e-02,  8.731577521695266e-01
Pt1Te1      ,  5.900000000000000e-01,  2.731837791009398e+00,  9.596011554404150e-17,  6.238979384914463e-01,  2.214090000000000e-02,  9.358178616109361e-01
Sb1V3       ,  6.500000000000000e-01,  2.033548916699293e+00,  3.705608242120673e-12,  7.081116238284004e-01,  5.996160000000001e-02,  8.327659221772913e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.349161878044217e+00,  2.135134864270278e-08,  4.232284321969382e-01,  2.560105220400000e-01,  7.963880625727886e-01
Rh1Te2      ,  7.550000000000000e-01,  1.534815930621266e+00,  6.331306487288888e-16,  8.502263638368660e-01,  8.424000000000000e-04,  8.960849625972689e-01
Zr1         ,  9.966666670000000e-01,  2.820688492765025e+00,  0.000000000000000e+00,  4.818045112781955e-01,  8.695008000000000e-02,  7.385245564098841e-01
Be2Ta3      ,  1.000000000000000e+00,  2.046953852670698e+00,  9.148307324643886e-08,  7.568948564919021e-01,  2.612880000000000e-02,  9.082574600762924e-01
C1Si1       ,  1.075000000000000e+00,  1.979311634115605e+00,  8.698264496508133e-08,  6.779428612462765e-01,  1.619800000000000e+00,  5.549607407703949e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.575166724452515e+00,  7.838281352293889e-11,  6.218418705793175e-01,  1.459050000000000e-01,  8.653576822255807e-01
Nb1O1       ,  1.380000000000000e+00,  4.364189134415974e+00,  2.551003165552051e-06,  4.024074582307644e-01,  1.159653600000085e-04,  9.057391472351703e-01
Sb1         ,  1.416666667000000e+00,  3.463487621601062e+00,  0.000000000000000e+00,  4.616585365853658e-01,  6.740400000000000e-01,  8.389959242741323e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.747629322849913e+00,  0.000000000000000e+00,  5.707582444139272e-01,  2.049912000000000e-01,  8.353864748250227e-01
