# c0 + a0 * (|(|EA_range - IP_wtd_range|) - (|EA_mean - IP_std|)|) + a1 * ((at_rad_wtd_std / L_avg)^6) + a2 * (|sin(lambda3) - (EA_range / IP_wtd_mean)|) + a3 * ((lambda3 * w_log) * (|ThermalCond_std - ThermalCond_mean|)) + a4 * ((ThermalCond_wtd_std * IP_mean) / (at_mass_wtd_mean^6))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.61671798650478; Max AE: 4.03948389911909
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.455157820255913e+00,  2.927599952190266e+05,  3.267066164113644e+00,  1.571112857266405e+00,  8.999623330782526e+05,  2.513722351535211e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV;                                               33|22|abd|31|23|abd|abd; (|(|EA_range - IP_wtd_range|) - (|EA_mean - IP_std|)|); $\left(\left|\left(\left|EA_{range} - IP_{wtd, range}\right|\right) - \left(\left|EA_{mean} - IP_{std}\right|\right)\right|\right)$; abs(abs(EA_range - IP_wtd_range) - abs(EA_mean - IP_std)); abs(abs(newdata$EA_range - newdata$IP_wtd_range) - abs(newdata$EA_mean - newdata$IP_std)); EA_range,IP_wtd_range,EA_mean,IP_std
# 1;  2; Unitless;                                         18|4|div|sp; ((at_rad_wtd_std / L_avg)^6); $\left(\left(\frac{ at_{rad, wtd, std} }{ L_{avg} } \right)^6\right)$; ((at_rad_wtd_std ./ L_avg)).^6; ((newdata$at_rad_wtd_std / newdata$L_avg))^6; at_rad_wtd_std,L_avg
# 2;  2; Unitless;                                         3|sin|33|20|div|abd; (|sin(lambda3) - (EA_range / IP_wtd_mean)|); $\left(\left|\left(\sin{ lambda3 }\right) - \left(\frac{ EA_{range} }{ IP_{wtd, mean} } \right)\right|\right)$; abs(sin(lambda3) - (EA_range ./ IP_wtd_mean)); abs(sin(newdata$lambda3) - (newdata$EA_range / newdata$IP_wtd_mean)); lambda3,EA_range,IP_wtd_mean
# 3;  2; W * eV * mK^-1;                                   3|1|mult|41|37|abd|mult; ((lambda3 * w_log) * (|ThermalCond_std - ThermalCond_mean|)); $\left(\left(lambda3 w_{log}\right) \left(\left|ThermalCond_{std} - ThermalCond_{mean}\right|\right)\right)$; ((lambda3 .* w_log) .* abs(ThermalCond_std - ThermalCond_mean)); ((newdata$lambda3 * newdata$w_log) * abs(newdata$ThermalCond_std - newdata$ThermalCond_mean)); lambda3,w_log,ThermalCond_std,ThermalCond_mean
# 4;  2; W * eV * g^-6 * mK^-1 * mol^6;                    42|19|mult|8|sp|div; ((ThermalCond_wtd_std * IP_mean) / (at_mass_wtd_mean^6)); $\left(\frac{ \left(ThermalCond_{wtd, std} IP_{mean}\right) }{ \left(at_{mass, wtd, mean}^6\right) } \right)$; ((ThermalCond_wtd_std .* IP_mean) ./ (at_mass_wtd_mean).^6); ((newdata$ThermalCond_wtd_std * newdata$IP_mean) / (newdata$at_mass_wtd_mean)^6); ThermalCond_wtd_std,IP_mean,at_mass_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02, -1.441673737860229e+00,  2.151500000000000e+00,  1.119806176239640e-06,  1.373544719347991e-02,  8.445563279999999e-02,  9.127910519741000e-07
Se2Ta1      ,  1.250000000000000e-01,  2.388224414357545e+00,  6.309000000000001e-01,  1.957530163931588e-09,  3.228211410627778e-01,  2.342978077440014e-01,  1.130268389297987e-10
Ti1         ,  1.620000000000000e-01,  2.802821890812680e+00,  7.900000000000000e-02,  0.000000000000000e+00,  1.218663184816219e-01,  5.404556459999999e-02,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  3.234973571353366e+00,  4.249999999999998e-02,  4.291192422217295e-07,  1.347109269426021e-01,  1.547279010000000e-01,  1.862519493562373e-08
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.777323937861393e+00,  3.956999999999999e-01,  2.202475441327645e-08,  3.922478937283486e-02,  6.288144456776000e-02,  1.906458240847603e-09
Pt1Te1      ,  5.900000000000000e-01, -4.878593104320643e-01,  1.892500000000000e+00,  9.596011554404150e-17,  4.974672765662486e-01,  1.243080120000000e-02,  1.757209559564769e-11
Sb1V3       ,  6.500000000000000e-01,  2.777410364277749e+00,  1.580000000000004e-02,  3.705608242120673e-12,  6.012087542285685e-02,  6.738382080000001e-02,  2.132937792528755e-10
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.449220566803358e+00,  5.879999999999996e-02,  2.135134864270278e-08,  5.496884372336677e-01,  1.696069680770400e-01,  1.252329307567256e-08
Rh1Te2      ,  7.550000000000000e-01,  1.172472090767892e+00,  6.338000000000001e-01,  6.331306487288888e-16,  6.512454926088479e-02,  1.199811600000000e-03,  1.972468675103956e-10
Zr1         ,  9.966666670000000e-01,  2.667224192715812e+00,  4.260000000000000e-01,  0.000000000000000e+00,  3.215538192137353e-01,  9.474906224999999e-02,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  2.192183232421566e+00,  1.897000000000000e-01,  9.148307324643886e-08,  1.353003063950912e-02,  4.644154800000000e-02,  2.814749211442006e-10
C1Si1       ,  1.075000000000000e+00,  2.825908414182259e+00,  1.202000000000000e+00,  8.698264496508133e-08,  2.018621958314112e-01,  1.212938986000000e+00,  7.474307683200438e-07
Nb3Sb1      ,  1.100000000000000e+00,  2.382185496308280e+00,  4.873999999999999e-01,  7.838281352293889e-11,  2.643611149282498e-01,  1.281317856000000e-01,  9.930364893864378e-11
Nb1O1       ,  1.380000000000000e+00,  2.031571522695241e+00,  6.090000000000000e-01,  2.551003165552051e-06,  7.853399621266986e-02,  8.964050508000659e-05,  1.054712145959286e-08
Sb1         ,  1.416666667000000e+00,  3.538487979297173e+00,  1.070000000000000e+00,  0.000000000000000e+00,  9.744164910009561e-01,  2.980698336000000e-01,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  4.503948751814810e+00,  3.100000000000003e-02,  0.000000000000000e+00,  5.752596058539259e-01,  1.189439640000000e-01,  5.634425389026834e-11
S2Ta1       ,  1.488116666500000e+00,  2.688682332623081e+00,  6.216999999999997e-01,  1.478067752578392e-08,  5.096503155201596e-01,  1.986071744249983e-02,  8.218976926006201e-10
