# c0 + a0 * ((PE_wtd_mean * lambda3) * (|ThermalCond_std - ThermalCond_mean|)) + a1 * (exp(2.295407e+00*((at_rad_wtd_std-2.183788e-01) / (at_mass_mean-1.716843e+01))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.28040919331974; Max AE: 5.15539164542283
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.049833536692531e-02,  1.014562129841093e+02, -9.853638588507030e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; W * mK^-1;                                        26|3|mult|41|37|abd|mult; ((PE_wtd_mean * lambda3) * (|ThermalCond_std - ThermalCond_mean|)); $\left(\left(PE_{wtd, mean} lambda3\right) \left(\left|ThermalCond_{std} - ThermalCond_{mean}\right|\right)\right)$; ((PE_wtd_mean .* lambda3) .* abs(ThermalCond_std - ThermalCond_mean)); ((newdata$PE_wtd_mean * newdata$lambda3) * abs(newdata$ThermalCond_std - newdata$ThermalCond_mean)); PE_wtd_mean,lambda3,ThermalCond_std,ThermalCond_mean
# 1;  2; Unitless;                                         18|7|div|exp:2.2954072262210e+00,0.0000000000000e+00,-2.1837879641422e-01,-1.7168434480735e+01; (exp(2.295407e+00*((at_rad_wtd_std-2.183788e-01) / (at_mass_mean-1.716843e+01)))); $\left(\exp{ \left(2.295e+00\left(\frac{ at_{rad, wtd, std} -2.184e-01 }{ at_{mass, mean}-1.717e+01 } \right) \right)}\right)$; exp(2.295407e+00.*((at_rad_wtd_std-2.183788e-01) ./ (at_mass_mean-1.716843e+01))); exp(2.295407e+00*((newdata$at_rad_wtd_std-2.183788e-01) / (newdata$at_mass_mean-1.716843e+01))); at_rad_wtd_std,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  4.352238106420543e+00,  7.595200224000000e+00,  1.013332589581901e+00
Se2Ta1      ,  1.250000000000000e-01,  4.126900393516769e+00,  1.115703846400007e+02,  1.000352565687779e+00
Ti1         ,  1.620000000000000e-01,  1.319885566055823e+00,  4.120305419999999e+00,  9.838038713178276e-01
B1Mo1       ,  2.500000000000000e-01,  3.887060549324074e+00,  1.116593100000000e+01,  1.008378094716548e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.044567051217794e+00,  9.653104971282501e+00,  1.000230625785941e+00
Pt1Te1      ,  5.900000000000000e-01,  2.621101729756221e+00,  3.553975800000000e+00,  9.966878696805904e-01
Sb1V3       ,  6.500000000000000e-01,  2.449561737881875e+00,  5.664289200000001e+00,  9.947787232224312e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.310644100025292e+00,  3.344641494168000e+01,  1.000391157120298e+00
Rh1Te2      ,  7.550000000000000e-01,  2.449555503945538e+00,  2.143584000000000e-01,  9.953426016252015e-01
Zr1         ,  9.966666670000000e-01,  2.339151157362919e+00,  9.883627669999999e+00,  9.932538623366044e-01
Be2Ta3      ,  1.000000000000000e+00,  3.399268829375334e+00,  4.494153600000001e+00,  1.004260563113279e+00
C1Si1       ,  1.075000000000000e+00,  1.357279924581628e+00,  6.731826500000000e+01,  9.776329430204301e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.762339287301978e+00,  1.204312200000000e+01,  9.972015459969680e-01
Nb1O1       ,  1.380000000000000e+00,  4.630765827209837e+00,  9.028540080000664e-03,  1.016862879987420e+00
Sb1         ,  1.416666667000000e+00,  3.129005875681629e+00,  6.613021199999999e+01,  9.952188402015829e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.747342440823991e+00,  3.045755399999999e+01,  9.951482687941411e-01
