# c0 + a0 * ((at_mass_wtd_mean^2) / (|PE_wtd_mean - lambda3|)) + a1 * ((lambda / V_molar) * (at_rad_wtd_range^6)) + a2 * (exp(7.693289e+00*((EA_wtd_range-7.471504e-01) * (lambda4w_low-2.632461e-03)))) + a3 * ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.57949673643538; Max AE: 4.58402566079074
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  7.815289190164470e-05,  6.202102178186238e+03, -1.750276510811540e+01, -8.655675790006699e+03,  1.942292563395656e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; g^2 * mol^-2;                                     8|sq|26|3|abd|div; ((at_mass_wtd_mean^2) / (|PE_wtd_mean - lambda3|)); $\left(\frac{ \left(at_{mass, wtd, mean}^2\right) }{ \left(\left|PE_{wtd, mean} - lambda3\right|\right) } \right)$; ((at_mass_wtd_mean)^2 ./ abs(PE_wtd_mean - lambda3)); ((newdata$at_mass_wtd_mean)^2 / abs(newdata$PE_wtd_mean - newdata$lambda3)); at_mass_wtd_mean,PE_wtd_mean,lambda3
# 1;  2; AA^6 * cm^-3 * mol;                               0|6|div|16|sp|mult; ((lambda / V_molar) * (at_rad_wtd_range^6)); $\left(\left(\frac{ lambda }{ V_{molar} } \right) \left(at_{rad, wtd, range}^6\right)\right)$; ((lambda ./ V_molar) .* (at_rad_wtd_range).^6); ((newdata$lambda / newdata$V_molar) * (newdata$at_rad_wtd_range)^6); lambda,V_molar,at_rad_wtd_range
# 2;  2; Unitless;                                         34|2|mult|exp:7.6932891978874e+00,0.0000000000000e+00,-7.4715037913137e-01,-2.6324610543272e-03; (exp(7.693289e+00*((EA_wtd_range-7.471504e-01) * (lambda4w_low-2.632461e-03)))); $\left(\exp{ \left(7.693e+00\left(\left(EA_{wtd, range}-7.472e-01\right) * \left(lambda4w_{low}-2.632e-03\right)\right) \right)}\right)$; exp(7.693289e+00.*((EA_wtd_range-7.471504e-01) .* (lambda4w_low-2.632461e-03))); exp(7.693289e+00*((newdata$EA_wtd_range-7.471504e-01) * (newdata$lambda4w_low-2.632461e-03))); EA_wtd_range,lambda4w_low
# 3;  2; W * g^-3 * mK^-1 * mol^3;                         38|37|sub|7|cb|div; ((ThermalCond_wtd_mean - ThermalCond_mean) / (at_mass_mean^3)); $\left(\frac{ \left(ThermalCond_{wtd, mean} - ThermalCond_{mean}\right) }{ \left(at_{mass, mean}^3\right) } \right)$; ((ThermalCond_wtd_mean - ThermalCond_mean) ./ (at_mass_mean).^3); ((newdata$ThermalCond_wtd_mean - newdata$ThermalCond_mean) / (newdata$at_mass_mean)^3); ThermalCond_wtd_mean,ThermalCond_mean,at_mass_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  9.503732134803015e-01,  2.858418185571289e+02,  8.784812340371539e-06,  1.007220367298235e+00,  1.063157412972671e-04
Se2Ta1      ,  1.250000000000000e-01, -3.071592092924282e-01,  1.338630823024559e+02,  1.433102175276560e-05,  1.135052089146268e+00, -4.288632248378643e-06
Ti1         ,  1.620000000000000e-01,  1.903776189394766e+00,  1.616025679383283e+03,  0.000000000000000e+00,  1.008151935753932e+00,  0.000000000000000e+00
B1Mo1       ,  2.500000000000000e-01,  2.627504385768483e+00,  1.497305816522776e+03,  8.742840541694934e-05,  9.972527097098043e-01,  0.000000000000000e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.302167736067855e+00,  4.410068320410498e+03,  9.857761036808169e-07,  1.002803070615946e+00, -9.276597449271520e-06
Pt1Te1      ,  5.900000000000000e-01,  3.220122700245146e+00,  1.578550262816393e+04,  3.135860341065223e-14,  9.962131986981451e-01,  0.000000000000000e+00
Sb1V3       ,  6.500000000000000e-01,  2.040601225749090e+00,  2.947076583807076e+03,  3.093665199279784e-10,  1.004991580253211e+00,  2.601451388777252e-06
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.619479558620661e+00,  3.551754193553671e+03,  1.470067801998873e-06,  9.916416943363685e-01, -3.076919771969048e-05
Rh1Te2      ,  7.550000000000000e-01,  2.454937143998527e+00,  6.699282903094615e+03,  2.527492688950255e-13,  1.007273808207301e+00, -1.600337673223591e-05
Zr1         ,  9.966666670000000e-01,  2.593686600465780e+00,  8.299625269541106e+03,  0.000000000000000e+00,  9.985781470552630e-01,  0.000000000000000e+00
Be2Ta3      ,  1.000000000000000e+00,  2.645396493892574e+00,  8.522701528691410e+03,  1.804300776851469e-05,  1.010689630421925e+00, -1.552226684715963e-05
C1Si1       ,  1.075000000000000e+00,  2.189100374088681e+00,  2.000738286367099e+02,  2.850934401189563e-06,  9.865380291610614e-01,  0.000000000000000e+00
Nb3Sb1      ,  1.100000000000000e+00,  2.503524495579295e+00,  7.061722850649534e+03,  1.047196382991181e-08,  9.952061834747170e-01,  6.065394190454105e-06
Nb1O1       ,  1.380000000000000e+00,  4.936827779058506e+00,  1.243074618565302e+03,  4.798195577999849e-04,  1.003220779533548e+00,  0.000000000000000e+00
Sb1         ,  1.416666667000000e+00,  4.640361215561549e+00,  2.100256073892533e+04,  0.000000000000000e+00,  9.383646055940479e-01,  0.000000000000000e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.892469547214944e+00,  1.053639096607267e+04,  0.000000000000000e+00,  9.914950811343620e-01,  0.000000000000000e+00
S2Ta1       ,  1.488116666500000e+00,  1.357497375602452e+00,  8.855356653185519e+02,  3.676995237561716e-05,  1.053005122963863e+00, -7.834731027649989e-06
B2C2Y1      ,  1.800000000000000e+00,  6.242354789321884e-01,  3.650953081243509e+02,  3.159874359504377e-05,  1.002237262270122e+00,  1.711337967681722e-04
