# c0 + a0 * (|cos(lambda) - (PE_wtd_range * lambda)|) + a1 * ((at_rad_wtd_std^6) * (lambda4w_low / L_avg)) + a2 * (exp(7.526344e+00*((EA_wtd_range-7.470168e-01) * (lambda4w_low-2.187338e-03)))) + a3 * (exp(7.463776e-01*((at_rad_range-1.658306e+00) / (density-3.046347e+00))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.70255333919393; Max AE: 4.24675882675927
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all , -2.565361507975847e+00,  7.980617654045855e+04, -1.847976238876128e+01,  4.039324775946144e+00,  1.939243410779713e+01, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         0|cos|28|0|mult|abd; (|cos(lambda) - (PE_wtd_range * lambda)|); $\left(\left|\left(\cos{ lambda }\right) - \left(PE_{wtd, range} lambda\right)\right|\right)$; abs(cos(lambda) - (PE_wtd_range .* lambda)); abs(cos(newdata$lambda) - (newdata$PE_wtd_range * newdata$lambda)); lambda,PE_wtd_range,lambda
# 1;  2; AA^5 * eV;                                        18|sp|2|4|div|mult; ((at_rad_wtd_std^6) * (lambda4w_low / L_avg)); $\left(\left(at_{rad, wtd, std}^6\right) \left(\frac{ lambda4w_{low} }{ L_{avg} } \right)\right)$; ((at_rad_wtd_std).^6 .* (lambda4w_low ./ L_avg)); ((newdata$at_rad_wtd_std)^6 * (newdata$lambda4w_low / newdata$L_avg)); at_rad_wtd_std,lambda4w_low,L_avg
# 2;  2; Unitless;                                         34|2|mult|exp:7.5263444505079e+00,0.0000000000000e+00,-7.4701684322574e-01,-2.1873375660781e-03; (exp(7.526344e+00*((EA_wtd_range-7.470168e-01) * (lambda4w_low-2.187338e-03)))); $\left(\exp{ \left(7.526e+00\left(\left(EA_{wtd, range}-7.470e-01\right) * \left(lambda4w_{low}-2.187e-03\right)\right) \right)}\right)$; exp(7.526344e+00.*((EA_wtd_range-7.470168e-01) .* (lambda4w_low-2.187338e-03))); exp(7.526344e+00*((newdata$EA_wtd_range-7.470168e-01) * (newdata$lambda4w_low-2.187338e-03))); EA_wtd_range,lambda4w_low
# 3;  2; Unitless;                                         15|5|div|exp:7.4637761265146e-01,0.0000000000000e+00,-1.6583057198735e+00,-3.0463467938309e+00; (exp(7.463776e-01*((at_rad_range-1.658306e+00) / (density-3.046347e+00)))); $\left(\exp{ \left(7.464e-01\left(\frac{ at_{rad, range} -1.658e+00 }{ density-3.046e+00 } \right) \right)}\right)$; exp(7.463776e-01.*((at_rad_range-1.658306e+00) ./ (density-3.046347e+00))); exp(7.463776e-01*((newdata$at_rad_range-1.658306e+00) / (newdata$density-3.046347e+00))); at_rad_range,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -8.289752517171259e-02,  7.459359511595033e-01,  4.795877549558202e-06,  1.005070198974805e+00,  1.557145288216461e-01
Se2Ta1      ,  1.250000000000000e-01,  3.704947040434435e-01,  2.257391053709769e+00,  5.335955237265372e-05,  1.134325763976929e+00,  8.597311777290494e-01
Ti1         ,  1.620000000000000e-01,  5.744809829936705e-01,  8.793980384140931e-01,  0.000000000000000e+00,  1.005453484274297e+00,  4.997276395042651e-01
B1Mo1       ,  2.500000000000000e-01,  2.622893260199366e+00,  8.005668522925138e-01,  1.518963903535979e-06,  9.956020182955387e-01,  8.816989887695198e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.665673699515601e+00,  6.967940610476587e-01,  4.105848159446012e-08,  1.001803303581599e+00,  8.839543099411661e-01
Pt1Te1      ,  5.900000000000000e-01,  2.995821324438733e+00,  6.126819248581192e-01,  7.210715508387540e-16,  9.940671175853342e-01,  8.776867846371689e-01
Sb1V3       ,  6.500000000000000e-01,  2.026897675332728e+00,  7.896350334425259e-01,  1.463981302902063e-11,  1.003056730080436e+00,  7.913232856886072e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.276596804830071e+00,  4.301184258654475e-01,  1.676857891780990e-07,  9.905443258842652e-01,  8.118221605574398e-01
Rh1Te2      ,  7.550000000000000e-01,  1.718347856233438e+00,  9.232403769565830e-01,  9.186877584338939e-16,  1.005843986847978e+00,  8.125409896912058e-01
Be2Ta3      ,  1.000000000000000e+00,  2.192831930675140e+00,  9.189838848410686e-01,  1.260524913142982e-07,  1.008450641478236e+00,  9.367387831669474e-01
C1Si1       ,  1.075000000000000e+00,  1.147496792270523e+00,  6.302466465357548e-01,  8.570578096973095e-08,  9.845653779454860e-01,  3.860961047898659e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.720573720273387e+00,  6.752932205685975e-01,  1.094143062175941e-09,  9.930439900985254e-01,  8.446066349182445e-01
Nb1O1       ,  1.380000000000000e+00,  3.905736335904357e+00,  3.998802983591151e-01,  5.712308704341705e-06,  1.001595011720227e+00,  8.893813352555183e-01
Sb1         ,  1.416666667000000e+00,  3.878992404288234e+00,  4.503848425596879e-01,  0.000000000000000e+00,  9.373226504256881e-01,  7.336518505487148e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.505810312584708e+00,  6.148608080169041e-01,  0.000000000000000e+00,  9.894172253483134e-01,  7.364873703488121e-01
S2Ta1       ,  1.488116666500000e+00,  1.529599869487125e+00,  1.561927237138253e+00,  2.769256649807730e-05,  1.052157931049891e+00,  8.361953227098702e-01
B2C2Y1      ,  1.800000000000000e+00,  2.390182281678622e+00,  7.240757899683060e-01,  2.748640490786923e-06,  1.001252931451569e+00,  7.770660406007750e-01
