# c0 + a0 * ((((at_mass_wtd_mean-1.123227e+00) * (ThermalCond_wtd_mean-1.744505e+00))-5.365462e+03) * (((ThermalCond_wtd_range-1.747284e+01) / (at_rad_wtd_mean-1.234846e+00))-7.824571e+01)) + a1 * ((((lambda3+7.979707e-02) * (ThermalCond_mean-1.626216e+01))-4.296886e+01) * (((EA_mean-5.173477e-01) / (at_mass_wtd_mean-1.484307e+01))+4.161452e-03))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.74875870021248; Max AE: 5.12694143490153
# Coefficients
# Task   a0                      a1                      c0
# all , -9.235290911244116e-07,  2.265508056008459e+00,  3.456566413499776e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * W^2 * g * mK^-2 * mol^-1;                 8|38|mult|40|14|div|mult:-5.3654624627371e+03,-7.8245713945371e+01,-1.7472840328775e+01,-1.2348457875939e+00,-1.1232266367649e+00,-1.7445045998219e+00; ((((at_mass_wtd_mean-1.123227e+00) * (ThermalCond_wtd_mean-1.744505e+00))-5.365462e+03) * (((ThermalCond_wtd_range-1.747284e+01) / (at_rad_wtd_mean-1.234846e+00))-7.824571e+01)); $\left(\left(\left(\left(at_{mass, wtd, mean}-1.123e+00\right) * \left(ThermalCond_{wtd, mean}-1.745e+00\right)\right)-5.365e+03\right) * \left(\left(\frac{ ThermalCond_{wtd, range} -1.747e+01 }{ at_{rad, wtd, mean}-1.235e+00 } \right)-7.825e+01\right)\right)$; ((((at_mass_wtd_mean-1.123227e+00) .* (ThermalCond_wtd_mean-1.744505e+00))-5.365462e+03) .* (((ThermalCond_wtd_range-1.747284e+01) ./ (at_rad_wtd_mean-1.234846e+00))-7.824571e+01)); ((((newdata$at_mass_wtd_mean-1.123227e+00) * (newdata$ThermalCond_wtd_mean-1.744505e+00))-5.365462e+03) * (((newdata$ThermalCond_wtd_range-1.747284e+01) / (newdata$at_rad_wtd_mean-1.234846e+00))-7.824571e+01)); at_mass_wtd_mean,ThermalCond_wtd_mean,ThermalCond_wtd_range,at_rad_wtd_mean
# 1;  2; W * eV * g^-1 * mK^-1 * mol;                      3|37|mult|31|8|div|mult:-4.2968864480471e+01,4.1614517490874e-03,-5.1734772891538e-01,-1.4843071194734e+01,7.9797067799406e-02,-1.6262159597142e+01; ((((lambda3+7.979707e-02) * (ThermalCond_mean-1.626216e+01))-4.296886e+01) * (((EA_mean-5.173477e-01) / (at_mass_wtd_mean-1.484307e+01))+4.161452e-03)); $\left(\left(\left(\left(lambda3+7.980e-02\right) * \left(ThermalCond_{mean}-1.626e+01\right)\right)-4.297e+01\right) * \left(\left(\frac{ EA_{mean} -5.173e-01 }{ at_{mass, wtd, mean}-1.484e+01 } \right)+4.161e-03\right)\right)$; ((((lambda3+7.979707e-02) .* (ThermalCond_mean-1.626216e+01))-4.296886e+01) .* (((EA_mean-5.173477e-01) ./ (at_mass_wtd_mean-1.484307e+01))+4.161452e-03)); ((((newdata$lambda3+7.979707e-02) * (newdata$ThermalCond_mean-1.626216e+01))-4.296886e+01) * (((newdata$EA_mean-5.173477e-01) / (newdata$at_mass_wtd_mean-1.484307e+01))+4.161452e-03)); lambda3,ThermalCond_mean,EA_mean,at_mass_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  6.743325419191420e-01,  2.009942598127138e+05, -1.146149014393476e+00
Ti1         ,  1.620000000000000e-01,  3.804986762991470e+00,  5.577640702137041e+05,  3.811646981469770e-01
B1Mo1       ,  2.500000000000000e-01,  2.265082408642212e+00,  1.049148232838670e+06, -9.824069719770324e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.467822992339013e+00,  9.151432219940610e+05, -6.337741007943980e-02
Pt1Te1      ,  5.900000000000000e-01,  2.454003189552382e+00,  1.734012257150415e+04, -4.354648458179057e-01
Sb1V3       ,  6.500000000000000e-01,  2.153642831197811e+00,  4.783070820222971e+05, -3.801324278143852e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.861893060677407e+00,  2.493038658129277e+05,  2.805401720378050e-01
Rh1Te2      ,  7.550000000000000e-01,  2.183631075286607e+00,  1.291355192704322e+05, -5.092345297160843e-01
Zr1         ,  9.966666670000000e-01,  2.825288949172573e+00,  3.900367964264870e+05, -1.196496015538160e-01
Be2Ta3      ,  1.000000000000000e+00,  2.215767456021236e+00,  1.308103327677020e+06, -1.444597828083876e-02
C1Si1       ,  1.075000000000000e+00,  1.604510469760979e+00,  1.025383295409791e+05, -7.757018602479159e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.622837585514143e+00,  9.012281531395187e+04, -3.312712944360254e-01
Nb1O1       ,  1.380000000000000e+00,  8.326071792046225e-01,  7.649126956653221e+05, -8.464062189460055e-01
Sb1         ,  1.416666667000000e+00,  2.308677411521198e+00,  5.116297743779955e+05, -2.981159213554165e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.942095748620662e+00,  9.509728329509744e+03, -2.232118101619473e-01
S2Ta1       ,  1.488116666500000e+00,  6.615058101401533e+00, -6.566966763855063e+05,  1.126463971931910e+00
B2C2Y1      ,  1.800000000000000e+00,  1.658280306584952e+00,  8.898581474773230e+05, -4.310186486230680e-01
Re2Y1       ,  1.830000000000000e+00,  3.281983571278472e+00, -1.123103487116676e+04, -8.163953739106411e-02
S1Y1        ,  1.900000000000000e+00,  9.457468198506929e-01,  5.725932882722851e+05, -8.748647038753418e-01
Ga2Pt1      ,  1.900000000000000e+00,  2.812193805326441e+00,  2.077176772022418e+04, -2.759598557822540e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  4.403853283297499e+00, -1.101568660551548e+06, -3.091749504347078e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.089824690406962e+00, -6.771428971894646e+04, -1.894841372974069e-01
Be2Nb1      ,  2.150000000000000e+00,  3.191284774279048e+00,  2.341285334466622e+05, -2.165391881539980e-02
In1Te1      ,  2.206000000000000e+00,  3.006118424347086e+00, -2.598202501871113e+04, -2.094201977545390e-01
C2Cl2Y2     ,  2.300000000000000e+00,  2.993977744329428e+00,  7.279919840506224e+06,  2.763454787983133e+00
Be2Nb3      ,  2.300000000000000e+00,  3.092465809703295e+00,  2.371566917204727e+05, -6.403839503153776e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.296340446183354e+00, -7.014183450538530e+04, -9.931723323174076e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  3.016588172330767e+00, -5.760606804818301e+04, -2.176902966770814e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.753492178691713e+00,  3.486462644940120e+04, -2.961259556114116e-01
