# c0 + a0 * ((((at_mass_wtd_range+1.679733e+02) * (at_rad_std+1.674568e-02))+6.266517e+01) * (((L_avg+1.725652e+00) / (PE_wtd_mean-2.337219e+00))-3.755778e+02)) + a1 * ((((at_mass_wtd_mean+2.017083e+01) * (at_mass_wtd_std+3.133653e+01))-1.428757e+04) * (((ThermalCond_mean-9.820726e+01) / (IP_mean-9.268870e+00))+9.797625e+01)) + a2 * ((((EA_mean+1.218606e+01) / (w_log-6.278456e-02))+1.906748e+02) * (((EA_std-7.883791e-01) * (lambda-6.506449e-01))-5.809712e-02))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.44232721704805; Max AE: 3.35609059016845
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -4.267743206028572e-05,  1.147501607657702e-06,  1.783664323109152e-01,  1.254553183145855e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^2 * g * mol^-1;                                10|17|mult|4|26|div|mult:6.2665168463329e+01,-3.7557781773103e+02,1.7256519886511e+00,-2.3372188658200e+00,1.6797333315595e+02,1.6745675126803e-02; ((((at_mass_wtd_range+1.679733e+02) * (at_rad_std+1.674568e-02))+6.266517e+01) * (((L_avg+1.725652e+00) / (PE_wtd_mean-2.337219e+00))-3.755778e+02)); $\left(\left(\left(\left(at_{mass, wtd, range}+1.680e+02\right) * \left(at_{rad, std}+1.675e-02\right)\right)+6.267e+01\right) * \left(\left(\frac{ L_{avg} +1.726e+00 }{ PE_{wtd, mean}-2.337e+00 } \right)-3.756e+02\right)\right)$; ((((at_mass_wtd_range+1.679733e+02) .* (at_rad_std+1.674568e-02))+6.266517e+01) .* (((L_avg+1.725652e+00) ./ (PE_wtd_mean-2.337219e+00))-3.755778e+02)); ((((newdata$at_mass_wtd_range+1.679733e+02) * (newdata$at_rad_std+1.674568e-02))+6.266517e+01) * (((newdata$L_avg+1.725652e+00) / (newdata$PE_wtd_mean-2.337219e+00))-3.755778e+02)); at_mass_wtd_range,at_rad_std,L_avg,PE_wtd_mean
# 1;  2; W * eV^-1 * g^2 * mK^-1 * mol^-2;                 8|12|mult|37|19|div|mult:-1.4287567365291e+04,9.7976248756910e+01,-9.8207264170754e+01,-9.2688699287985e+00,2.0170832952356e+01,3.1336533581725e+01; ((((at_mass_wtd_mean+2.017083e+01) * (at_mass_wtd_std+3.133653e+01))-1.428757e+04) * (((ThermalCond_mean-9.820726e+01) / (IP_mean-9.268870e+00))+9.797625e+01)); $\left(\left(\left(\left(at_{mass, wtd, mean}+2.017e+01\right) * \left(at_{mass, wtd, std}+3.134e+01\right)\right)-1.429e+04\right) * \left(\left(\frac{ ThermalCond_{mean} -9.821e+01 }{ IP_{mean}-9.269e+00 } \right)+9.798e+01\right)\right)$; ((((at_mass_wtd_mean+2.017083e+01) .* (at_mass_wtd_std+3.133653e+01))-1.428757e+04) .* (((ThermalCond_mean-9.820726e+01) ./ (IP_mean-9.268870e+00))+9.797625e+01)); ((((newdata$at_mass_wtd_mean+2.017083e+01) * (newdata$at_mass_wtd_std+3.133653e+01))-1.428757e+04) * (((newdata$ThermalCond_mean-9.820726e+01) / (newdata$IP_mean-9.268870e+00))+9.797625e+01)); at_mass_wtd_mean,at_mass_wtd_std,ThermalCond_mean,IP_mean
# 2;  2; eV;                                               31|1|div|35|0|mult|mult:1.9067483764712e+02,-5.8097124297161e-02,-7.8837906439909e-01,-6.5064491683411e-01,1.2186064539004e+01,-6.2784561578617e-02; ((((EA_mean+1.218606e+01) / (w_log-6.278456e-02))+1.906748e+02) * (((EA_std-7.883791e-01) * (lambda-6.506449e-01))-5.809712e-02)); $\left(\left(\left(\frac{ EA_{mean} +1.219e+01 }{ w_{log}-6.278e-02 } \right)+1.907e+02\right) * \left(\left(\left(EA_{std}-7.884e-01\right) * \left(lambda-6.506e-01\right)\right)-5.810e-02\right)\right)$; ((((EA_mean+1.218606e+01) ./ (w_log-6.278456e-02))+1.906748e+02) .* (((EA_std-7.883791e-01) .* (lambda-6.506449e-01))-5.809712e-02)); ((((newdata$EA_mean+1.218606e+01) / (newdata$w_log-6.278456e-02))+1.906748e+02) * (((newdata$EA_std-7.883791e-01) * (newdata$lambda-6.506449e-01))-5.809712e-02)); EA_mean,w_log,EA_std,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02, -1.027970786603469e+00,  7.311750438453459e+03, -1.157116728535652e+06, -3.603166372739364e+00
Se2Ta1      ,  1.250000000000000e-01,  1.128564475681133e+00, -5.221461538374953e+04, -9.401678156324169e+05, -7.151179241669213e+00
Ti1         ,  1.620000000000000e-01, -5.841003472310331e-01, -2.505755934600182e+04, -1.570959139810171e+06, -6.197173224494009e+00
B1Mo1       ,  2.500000000000000e-01,  3.211557834732616e+00, -5.593007650944802e+04, -9.527823398118148e+05,  3.719152024938159e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.058314327907823e+00, -4.617951242983447e+04, -4.786004575162385e+05,  2.142403870141196e+00
Pt1Te1      ,  5.900000000000000e-01,  3.692000011210827e+00, -2.852030763772067e+04, -7.706614990704156e+05,  1.179935382680245e+01
Sb1V3       ,  6.500000000000000e-01,  8.700944363174592e-01, -3.074473206648693e+04, -1.255122413592751e+06, -1.436985480294309e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.425317456356344e+00, -4.286460459523029e+04, -9.093690555209125e+05,  7.764440080053114e+00
Rh1Te2      ,  7.550000000000000e-01,  4.469465152384791e-01, -2.919950351976065e+04, -9.862559860105667e+05, -5.169336820336533e+00
Zr1         ,  9.966666670000000e-01,  1.719597017519450e+00, -2.495307932082662e+04, -1.367245957911738e+06,  5.432790291180878e+00
Be2Ta3      ,  1.000000000000000e+00,  2.443167168052100e+00, -6.132685678085707e+04,  6.021789143113537e+04, -8.397089556883984e+00
C1Si1       ,  1.075000000000000e+00,  1.565579628110060e+00, -4.124549283156805e+04, -2.604592129484525e+06,  8.631379586291329e+00
Nb1O1       ,  1.380000000000000e+00,  3.154779834917711e+00, -5.740789202813444e+04, -1.866794703882162e+05, -1.881406513816150e+00
Sb1         ,  1.416666667000000e+00,  4.125537985411660e+00, -2.568353546256696e+04, -2.125204437241224e+06,  2.362301536359148e+01
Sb1Sn1      ,  1.430000000000000e+00,  2.731609560060051e+00, -2.579012509796907e+04, -1.348612140326141e+06,  1.078641670085451e+01
S2Ta1       ,  1.488116666500000e+00,  4.881014556972895e-01, -6.321749361622524e+04, -2.295881184079552e+06, -4.652695329509180e+00
B2C2Y1      ,  1.800000000000000e+00,  1.864874401536326e+00, -6.713938243989811e+04, -1.729350810947711e+06, -1.517002807005256e+00
Re2Y1       ,  1.830000000000000e+00,  2.617608021088989e+00, -4.166144842725403e+04, -1.094484817498127e+05, -1.622258652211574e+00
S1Y1        ,  1.900000000000000e+00,  2.484034712192130e+00, -5.802786641142392e+04, -1.792002235158863e+06,  4.537438115203348e+00
Ga2Pt1      ,  1.900000000000000e+00,  2.690926859516733e+00, -3.213218997729730e+04, -2.965387145590069e+05,  2.272473402670522e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.389453441934498e+00, -3.215455133755329e+04, -7.567848988428689e+05,  3.537876822161961e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.187147966983246e+00, -5.944737009613795e+04, -9.807420955450172e+05,  2.920598960146465e+00
Be2Nb1      ,  2.150000000000000e+00,  2.586780633172345e+00, -5.216920100516235e+04, -8.045921675040263e+05,  1.628710280996693e-01
In1Te1      ,  2.206000000000000e+00,  1.436632437148647e+00, -2.699837976569272e+04, -1.143850711187035e+06,  1.919802181305509e+00
C2Cl2Y2     ,  2.300000000000000e+00,  1.027122635459856e+00, -1.068985790524843e+05, -4.643921685317309e+05, -2.386489754499161e+01
Be2Nb3      ,  2.300000000000000e+00,  2.545917349554560e+00, -5.274181181395346e+04, -6.702514253122982e+05, -1.067500949982774e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.265429917747318e+00, -6.353019970305445e+04, -3.318088431379847e+05,  3.814182551725684e+00
As1Pt1Sr1   ,  2.425000000000000e+00,  3.609175812547854e+00, -5.358113297493480e+04, -3.350880119128321e+05,  2.536528278702339e+00
Bi1Nb3      ,  2.516666667000000e+00,  3.239841161216624e+00, -3.214511417421630e+04, -3.444523807188633e+05,  5.655081504958811e+00
Re1         ,  2.581333333000000e+00,  2.826613571634217e+00, -2.534680703080012e+04, -1.048918952437145e+06,  9.497078097955608e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  2.782004022143767e+00, -3.795632123784535e+04, -6.057234265679483e+05,  3.378668934990864e+00
