# c0 + a0 * ((((L_avg-5.407143e+00) * (IP_std-3.346116e+01))-4.162326e+01) * (((at_mass_wtd_std-3.777269e+00) / (V_molar-1.596783e+00))-1.226851e+00)) + a1 * ((((ThermalCond_range+3.958083e+02) * (ThermalCond_wtd_mean-1.038285e+02))+3.080314e+02) * (((at_mass_std-7.714166e+01) / (IP_mean-9.258173e+00))+2.515403e+01)) + a2 * ((((EA_wtd_std-4.407801e+00) / (w_log-6.095761e-02))-6.618050e+01) * (lambda-6.099680e-01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.47451518281097; Max AE: 3.67181200361194
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  2.817873462279804e-02,  6.074059119707629e-07,  2.874072009671618e-01,  3.111151523718346e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * cm^-3 * eV * g;                              4|23|mult|12|6|div|mult:-4.1623256204011e+01,-1.2268514524073e+00,-3.7772685163866e+00,-1.5967826748450e+00,-5.4071430772146e+00,-3.3461155968382e+01; ((((L_avg-5.407143e+00) * (IP_std-3.346116e+01))-4.162326e+01) * (((at_mass_wtd_std-3.777269e+00) / (V_molar-1.596783e+00))-1.226851e+00)); $\left(\left(\left(\left(L_{avg}-5.407e+00\right) * \left(IP_{std}-3.346e+01\right)\right)-4.162e+01\right) * \left(\left(\frac{ at_{mass, wtd, std} -3.777e+00 }{ V_{molar}-1.597e+00 } \right)-1.227e+00\right)\right)$; ((((L_avg-5.407143e+00) .* (IP_std-3.346116e+01))-4.162326e+01) .* (((at_mass_wtd_std-3.777269e+00) ./ (V_molar-1.596783e+00))-1.226851e+00)); ((((newdata$L_avg-5.407143e+00) * (newdata$IP_std-3.346116e+01))-4.162326e+01) * (((newdata$at_mass_wtd_std-3.777269e+00) / (newdata$V_molar-1.596783e+00))-1.226851e+00)); L_avg,IP_std,at_mass_wtd_std,V_molar
# 1;  2; W^2 * eV^-1 * g * mK^-2 * mol^-1;                 39|38|mult|11|19|div|mult:3.0803142546365e+02,2.5154026752103e+01,-7.7141656179769e+01,-9.2581728595819e+00,3.9580831310746e+02,-1.0382850177630e+02; ((((ThermalCond_range+3.958083e+02) * (ThermalCond_wtd_mean-1.038285e+02))+3.080314e+02) * (((at_mass_std-7.714166e+01) / (IP_mean-9.258173e+00))+2.515403e+01)); $\left(\left(\left(\left(ThermalCond_{range}+3.958e+02\right) * \left(ThermalCond_{wtd, mean}-1.038e+02\right)\right)+3.080e+02\right) * \left(\left(\frac{ at_{mass, std} -7.714e+01 }{ IP_{mean}-9.258e+00 } \right)+2.515e+01\right)\right)$; ((((ThermalCond_range+3.958083e+02) .* (ThermalCond_wtd_mean-1.038285e+02))+3.080314e+02) .* (((at_mass_std-7.714166e+01) ./ (IP_mean-9.258173e+00))+2.515403e+01)); ((((newdata$ThermalCond_range+3.958083e+02) * (newdata$ThermalCond_wtd_mean-1.038285e+02))+3.080314e+02) * (((newdata$at_mass_std-7.714166e+01) / (newdata$IP_mean-9.258173e+00))+2.515403e+01)); ThermalCond_range,ThermalCond_wtd_mean,at_mass_std,IP_mean
# 2;  2; Unitless;                                         36|1|div|0|mult:-6.6180496531321e+01,-6.0996796847445e-01,-4.4078014608495e+00,-6.0957605020017e-02; ((((EA_wtd_std-4.407801e+00) / (w_log-6.095761e-02))-6.618050e+01) * (lambda-6.099680e-01)); $\left(\left(\left(\frac{ EA_{wtd, std} -4.408e+00 }{ w_{log}-6.096e-02 } \right)-6.618e+01\right) * \left(lambda-6.100e-01\right)\right)$; ((((EA_wtd_std-4.407801e+00) ./ (w_log-6.095761e-02))-6.618050e+01) .* (lambda-6.099680e-01)); ((((newdata$EA_wtd_std-4.407801e+00) / (newdata$w_log-6.095761e-02))-6.618050e+01) * (newdata$lambda-6.099680e-01)); EA_wtd_std,w_log,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.697342829398481e+00,  2.880071425023761e+01,  4.424554260531779e+05, -8.678023415208594e+00
Se2Ta1      ,  1.250000000000000e-01, -1.247675576675940e+00,  2.609941394311287e+00, -3.220830687406599e+06, -8.615025430837820e+00
Ti1         ,  1.620000000000000e-01,  2.777353290313960e-01, -1.246180468210272e+01, -1.827538667605049e+06, -4.774412443225946e+00
B1Mo1       ,  2.500000000000000e-01,  2.538941040374734e+00,  8.778971580862640e+00, -4.854157819673702e+05, -1.825794121668130e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.058839035720256e+00, -2.003626979282260e+00,  1.218884745611834e+05, -2.431692556073536e-01
Pt1Te1      ,  5.900000000000000e-01,  5.908801785991379e-01, -3.231776299816268e-02, -5.606231870295008e+06,  3.082378268404049e+00
Sb1V3       ,  6.500000000000000e-01,  1.432441463631998e+00,  1.010129662549614e+01, -1.544202106859704e+06, -3.567740559761533e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.207412893836220e+00,  2.980206879587115e+00,  1.826201010756263e+05,  3.136171881796047e+00
Rh1Te2      ,  7.550000000000000e-01,  2.474528326939422e+00,  7.753290695575937e+01, -2.461112932835206e+06, -4.615430151101590e+00
Zr1         ,  9.966666670000000e-01,  2.143695496754757e+00, -1.734419272273304e+01, -1.734888909570461e+06,  2.000865515433914e+00
Be2Ta3      ,  1.000000000000000e+00,  3.058426880227431e-01, -3.280445535610944e+01,  4.269457032842030e+04, -6.634676242557938e+00
C1Si1       ,  1.075000000000000e+00,  5.719189729118388e-01, -2.843503132810985e+01, -2.197689938889627e+06, -1.402468296215661e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.734735428798959e+00,  3.665277587758254e+01, -1.576092131733705e+06,  1.906990281449482e+00
Nb1O1       ,  1.380000000000000e+00,  1.891171518119152e+00, -7.189280357860000e+00,  5.626485483604741e+05, -4.729008989087141e+00
Sb1         ,  1.416666667000000e+00,  1.440033926659244e+00, -5.407660737058992e+01, -4.691554815574048e+06,  9.402585925330866e+00
Sb1Sn1      ,  1.430000000000000e+00,  3.111980046174778e+00,  6.945385423679118e+00, -2.151687462178426e+06,  3.869297746360686e+00
B2C2Y1      ,  1.800000000000000e+00, -1.578654114192365e+00,  5.358279614534093e+00, -1.472970577694097e+06, -1.373001138062613e+01
Re2Y1       ,  1.830000000000000e+00,  1.627559996628147e+00, -9.524418625440067e+00, -1.061105309973558e+06, -1.985628132439121e+00
S1Y1        ,  1.900000000000000e+00,  1.544367995793515e+00, -1.042840120162052e+00, -2.937590327322401e+06,  8.591020614935433e-01
Ga2Pt1      ,  1.900000000000000e+00,  2.568084807038683e+00, -1.595997995488968e+00, -8.732346223882191e+05,  1.124340634512904e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.534643109916121e+00, -8.192251877829465e+00,  1.050107354496760e+06,  5.740100611753754e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.130937660762013e+00,  1.651012893544066e+01, -1.038169515425034e+06,  6.441797416963352e-01
Be2Nb1      ,  2.150000000000000e+00,  1.918536946016703e+00, -1.005373912070176e+01,  1.190931180734572e+06, -5.680760835103751e+00
In1Te1      ,  2.206000000000000e+00,  2.109936401751869e+00,  9.107481437009909e+00, -1.820539137705134e+06, -5.290270693779781e-01
C2Cl2Y2     ,  2.300000000000000e+00,  1.767381230182663e+00,  2.180623697860582e+01,  6.909010114915991e+05, -8.273626441655964e+00
Be2Nb3      ,  2.300000000000000e+00,  2.199573878074724e+00,  1.240034064936094e+01,  1.481054621131970e+05, -4.700521360532415e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.239119122518694e+00,  5.759936957887698e+00, -9.310635697252143e+05,  1.848225718437633e+00
As1Pt1Sr1   ,  2.425000000000000e+00,  2.492579163612712e+00, -1.130632299911561e+00, -1.016446595644814e+06,  1.067582813635177e-01
