# c0 + a0 * ((|PE_wtd_std - (9.603497e-01*PE_wtd_range+2.696233e-02)|-4.729790e-02) * ((sin(2.759366e+01*PE_std-4.699619e-03))+4.508523e-01)) + a1 * ((((ThermalCond_range+2.718806e+02) / (L_avg-7.434972e-01))-9.443113e+01) * (((at_mass_wtd_range+1.673706e+01) * (at_rad_mean-3.298794e+00))+1.047351e+02)) + a2 * ((((at_mass_wtd_range-1.060342e+02)^2)+3.614908e+02) * (((ThermalCond_mean-1.132137e+02) / (IP_mean-9.247143e+00))+5.540774e+01)) + a3 * ((((EA_wtd_range-4.212574e+00) / (w_log-6.241909e-02))-6.157094e+01) * (((lambda-1.064699e+00) * (PE_wtd_mean+6.471391e+01))+3.319039e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.22888587521241; Max AE: 2.74723559587887
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  3.226353240346908e+01, -7.980035450782954e-04, -1.713208573344855e-06,  4.823653943570596e-03,  3.617788580042771e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         30|28|abd|29|sin|mult:-4.7297898003815e-02,4.5085226170311e-01,2.7593657658620e+01,-4.6996192283465e-03,9.6034968572890e-01,2.6962334941935e-02; ((|PE_wtd_std - (9.603497e-01*PE_wtd_range+2.696233e-02)|-4.729790e-02) * ((sin(2.759366e+01*PE_std-4.699619e-03))+4.508523e-01)); $\left(\left(\left(\left|PE_{wtd, std} - \left(9.603e-01PE_{wtd, range}+2.696e-02\right)\right|\right)-4.730e-02\right) * \left(\left(\sin{ \left(2.759e+01PE_{std}-4.700e-03 \right)}\right)+4.509e-01\right)\right)$; ((abs(PE_wtd_std - (9.603497e-01.*PE_wtd_range+2.696233e-02))-4.729790e-02) .* (sin(2.759366e+01.*PE_std-4.699619e-03)+4.508523e-01)); ((abs(newdata$PE_wtd_std - (9.603497e-01*newdata$PE_wtd_range+2.696233e-02))-4.729790e-02) * (sin(2.759366e+01*newdata$PE_std-4.699619e-03)+4.508523e-01)); PE_wtd_std,PE_wtd_range,PE_std
# 1;  2; W * g * mK^-1 * mol^-1;                           39|4|div|10|13|mult|mult:-9.4431131413852e+01,1.0473511472888e+02,1.6737055619240e+01,-3.2987944893087e+00,2.7188057703951e+02,-7.4349723175553e-01; ((((ThermalCond_range+2.718806e+02) / (L_avg-7.434972e-01))-9.443113e+01) * (((at_mass_wtd_range+1.673706e+01) * (at_rad_mean-3.298794e+00))+1.047351e+02)); $\left(\left(\left(\frac{ ThermalCond_{range} +2.719e+02 }{ L_{avg}-7.435e-01 } \right)-9.443e+01\right) * \left(\left(\left(at_{mass, wtd, range}+1.674e+01\right) * \left(at_{rad, mean}-3.299e+00\right)\right)+1.047e+02\right)\right)$; ((((ThermalCond_range+2.718806e+02) ./ (L_avg-7.434972e-01))-9.443113e+01) .* (((at_mass_wtd_range+1.673706e+01) .* (at_rad_mean-3.298794e+00))+1.047351e+02)); ((((newdata$ThermalCond_range+2.718806e+02) / (newdata$L_avg-7.434972e-01))-9.443113e+01) * (((newdata$at_mass_wtd_range+1.673706e+01) * (newdata$at_rad_mean-3.298794e+00))+1.047351e+02)); ThermalCond_range,L_avg,at_mass_wtd_range,at_rad_mean
# 2;  2; W * eV^-1 * g^2 * mK^-1 * mol^-2;                 10|sq|37|19|div|mult:3.6149076728489e+02,5.5407737620774e+01,-1.1321368638355e+02,-9.2471428529389e+00,1.0000000000000e+00,-1.0603416342430e+02; ((((at_mass_wtd_range-1.060342e+02)^2)+3.614908e+02) * (((ThermalCond_mean-1.132137e+02) / (IP_mean-9.247143e+00))+5.540774e+01)); $\left(\left(\left(\left(at_{mass, wtd, range}-1.060e+02\right)^2\right)+3.615e+02\right) * \left(\left(\frac{ ThermalCond_{mean} -1.132e+02 }{ IP_{mean}-9.247e+00 } \right)+5.541e+01\right)\right)$; (((at_mass_wtd_range-1.060342e+02).^2+3.614908e+02) .* (((ThermalCond_mean-1.132137e+02) ./ (IP_mean-9.247143e+00))+5.540774e+01)); (((newdata$at_mass_wtd_range-1.060342e+02)^2+3.614908e+02) * (((newdata$ThermalCond_mean-1.132137e+02) / (newdata$IP_mean-9.247143e+00))+5.540774e+01)); at_mass_wtd_range,ThermalCond_mean,IP_mean
# 3;  2; Unitless;                                         34|1|div|0|26|mult|mult:-6.1570937544142e+01,3.3190388369604e+01,-1.0646994044731e+00,6.4713913822507e+01,-4.2125741082849e+00,-6.2419090118905e-02; ((((EA_wtd_range-4.212574e+00) / (w_log-6.241909e-02))-6.157094e+01) * (((lambda-1.064699e+00) * (PE_wtd_mean+6.471391e+01))+3.319039e+01)); $\left(\left(\left(\frac{ EA_{wtd, range} -4.213e+00 }{ w_{log}-6.242e-02 } \right)-6.157e+01\right) * \left(\left(\left(lambda-1.065e+00\right) * \left(PE_{wtd, mean}+6.471e+01\right)\right)+3.319e+01\right)\right)$; ((((EA_wtd_range-4.212574e+00) ./ (w_log-6.241909e-02))-6.157094e+01) .* (((lambda-1.064699e+00) .* (PE_wtd_mean+6.471391e+01))+3.319039e+01)); ((((newdata$EA_wtd_range-4.212574e+00) / (newdata$w_log-6.241909e-02))-6.157094e+01) * (((newdata$lambda-1.064699e+00) * (newdata$PE_wtd_mean+6.471391e+01))+3.319039e+01)); EA_wtd_range,w_log,lambda,PE_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -3.332188615666245e-01, -4.401888733443553e-02, -4.024346991850687e+02,  5.013383069850806e+05, -4.131825993292626e+02
Se2Ta1      ,  1.250000000000000e-01, -1.966157839653165e+00, -3.821779781770428e-02,  3.897576070223348e+02,  1.026358342189184e+06, -4.729840541667860e+02
B1Mo1       ,  2.500000000000000e-01,  2.615111305802812e+00, -3.288263026742822e-02, -4.548695791005015e+02,  3.286389496334550e+05,  5.354282568826554e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.756453604889771e+00, -4.029328709078926e-02, -8.584412659047099e+02,  1.963284195842901e+05,  1.865414844953611e+01
Pt1Te1      ,  5.900000000000000e-01,  6.581133142301168e-01, -2.548722134232997e-02, -5.672534978220692e+01,  1.919771743402430e+06,  2.293561930898578e+02
Sb1V3       ,  6.500000000000000e-01,  2.363057406866108e+00,  9.861199187450717e-04, -6.770459612609457e+02,  7.389747047002366e+05, -1.162633491911364e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  1.456774667842426e+00, -3.079938597279913e-02,  1.793269444994895e+03,  4.573384890803599e+05,  2.171040215966215e+02
Rh1Te2      ,  7.550000000000000e-01,  8.609400758113681e-01, -3.028897764226483e-02, -1.095691765128451e+03,  8.614198860748530e+05, -2.442532331708944e+02
Zr1         ,  9.966666670000000e-01,  2.869890510529573e+00, -9.072765548067043e-03, -4.941509844353560e+02,  1.044955305300158e+06,  1.950209441141369e+02
Be2Ta3      ,  1.000000000000000e+00,  5.408470941540214e-01, -2.842192714192309e-02,  6.790888200286083e+02,  3.596643609124343e+04, -3.226633677112690e+02
C1Si1       ,  1.075000000000000e+00,  3.534671398575139e-01, -2.977277359788257e-02,  1.791052152519408e+03,  1.242423529279699e+06,  2.599792666347138e+02
Nb3Sb1      ,  1.100000000000000e+00,  3.682751820097767e+00, -1.541020547172983e-02, -1.512918713012792e+03,  9.744006113874007e+05,  2.123261536834046e+02
Nb1O1       ,  1.380000000000000e+00,  2.250175567537378e+00, -2.633476592710546e-02, -8.736705736259650e-01, -1.782322942069073e+05, -1.708262522592325e+02
Sb1         ,  1.416666667000000e+00,  1.021603313487344e+00, -9.072765548067043e-03,  1.662062936374914e+03,  2.348193997048633e+06,  6.314326104890902e+02
Sb1Sn1      ,  1.430000000000000e+00,  2.193227027831723e+00, -3.087181386732994e-02, -4.230496896232823e+02,  1.235741658533900e+06,  2.800698977230976e+02
S2Ta1       ,  1.488116666500000e+00,  5.751092728690111e-01, -3.074170980046559e-02,  1.863471237630605e+03,  1.459353716778158e+06,  4.014365082305052e+02
B2C2Y1      ,  1.800000000000000e+00,  8.268658398569922e-01,  5.189327943830873e-02,  7.569175777710025e+01,  9.359352205083382e+05, -5.807482752136825e+02
Re2Y1       ,  1.830000000000000e+00,  2.291897444801172e+00, -2.187174295957519e-02, -3.811768642923811e+02,  3.962791565423766e+05, -5.089566768219516e+01
S1Y1        ,  1.900000000000000e+00,  1.630657310559125e+00, -1.704648267174658e-02, -3.838082717823869e+01,  1.049947124114381e+06,  6.861994224168384e+01
Ga2Pt1      ,  1.900000000000000e+00,  2.266702387590187e+00, -2.670053480445172e-02,  1.178609820524835e+02,  2.629367697364416e+05,  1.137859135569234e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.563555257018331e+00, -3.288263026742822e-02, -4.385105973503935e+02,  4.301630344197807e+05,  8.161913685967805e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.640975280334172e+00, -1.572436676890437e-02, -5.813427967820475e+02,  7.527903450230899e+05,  7.386176154403680e+01
Be2Nb1      ,  2.150000000000000e+00,  1.592684714084213e+00, -1.838601935634366e-02, -3.854700672052157e+01,  2.448387587840785e+05, -2.162689807907908e+02
In1Te1      ,  2.206000000000000e+00,  2.013492682382355e+00,  1.344280398697844e-02,  1.752545106452498e+02,  9.636724156313138e+05, -5.124386563340875e+01
C2Cl2Y2     ,  2.300000000000000e+00,  1.712546314669200e+00,  3.908324756171219e-03, -1.242447997867823e+02, -7.607088737414828e+04, -4.686927672163824e+02
Be2Nb3      ,  2.300000000000000e+00,  1.633992107612228e+00, -1.799867083208642e-02,  6.493308939226041e+01,  2.255299274146731e+05, -2.000348995569393e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.654229151746798e+00,  2.802986387557941e-02, -2.773241583015441e+02,  4.504198287965706e+05,  1.414810450980636e+02
As1Pt1Sr1   ,  2.425000000000000e+00,  2.838114014594342e+00,  5.964114180104189e-03,  5.436983850620595e+02,  3.821739978908536e+05,  2.415576515974024e+01
Bi1Nb3      ,  2.516666667000000e+00,  3.813084279143556e+00,  9.861199187450717e-04,  1.313727274082332e+00,  3.943639841339702e+05,  1.741742079004692e+02
Re1         ,  2.581333333000000e+00,  2.265506210748622e+00, -9.072765548067043e-03,  8.483656913273808e+02,  1.196546181443688e+06,  3.456651578067356e+02
Hf1In1Pd2   ,  2.630000000000000e+00,  3.593198652012175e+00,  4.136697080862112e-03, -2.469344934063519e+02,  5.372691350530125e+05,  1.172026653440244e+02
Nb3Rh1      ,  2.742333333000000e+00,  2.988231556076625e+00, -1.233679091815814e-02, -6.900687946827119e+02,  6.564766872306123e+05,  7.099920057344883e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  2.352872608952154e+00, -3.384490178285731e-02,  1.132011220408694e+02,  7.698553122035973e+05,  2.562990103629669e+02
