# c0 + a0 * ((((EA_wtd_range-5.792526e+00) / (w_log-6.483936e-02))-8.561908e+01) * (((ThermalCond_wtd_range-1.185173e+02) * (lambda-7.987558e-01))-2.006862e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.31160890232996; Max AE: 7.6509450519619
# Coefficients
# Task   a0                      c0
# all , -2.856611713026824e-03,  3.010285447331424e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * mK^-1;                                        34|1|div|40|0|mult|mult:-8.5619078092668e+01,-2.0068618954181e+01,-1.1851731886888e+02,-7.9875576951390e-01,-5.7925256942008e+00,-6.4839360641868e-02; ((((EA_wtd_range-5.792526e+00) / (w_log-6.483936e-02))-8.561908e+01) * (((ThermalCond_wtd_range-1.185173e+02) * (lambda-7.987558e-01))-2.006862e+01)); $\left(\left(\left(\frac{ EA_{wtd, range} -5.793e+00 }{ w_{log}-6.484e-02 } \right)-8.562e+01\right) * \left(\left(\left(ThermalCond_{wtd, range}-1.185e+02\right) * \left(lambda-7.988e-01\right)\right)-2.007e+01\right)\right)$; ((((EA_wtd_range-5.792526e+00) ./ (w_log-6.483936e-02))-8.561908e+01) .* (((ThermalCond_wtd_range-1.185173e+02) .* (lambda-7.987558e-01))-2.006862e+01)); ((((newdata$EA_wtd_range-5.792526e+00) / (newdata$w_log-6.483936e-02))-8.561908e+01) * (((newdata$ThermalCond_wtd_range-1.185173e+02) * (newdata$lambda-7.987558e-01))-2.006862e+01)); EA_wtd_range,w_log,ThermalCond_wtd_range,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  5.443464186238115e-01,  8.632391365835084e+02
Se2Ta1      ,  1.250000000000000e-01,  8.998185324553793e-01,  7.388007635940919e+02
Ti1         ,  1.620000000000000e-01,  1.019211565158264e+00,  6.970054323775937e+02
B1Mo1       ,  2.500000000000000e-01,  4.309144620334433e+00, -4.546852367369024e+02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.326045603495751e+00, -1.105366034608016e+02
Pt1Te1      ,  5.900000000000000e-01,  3.885911188115836e+00, -3.065259925916260e+02
Sb1V3       ,  6.500000000000000e-01,  1.502937401577116e+00,  5.276699100827898e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.800511728487649e+00, -2.766306241595968e+02
Rh1Te2      ,  7.550000000000000e-01,  2.748418921749598e+00,  9.167032550754192e+01
Zr1         ,  9.966666670000000e-01,  3.528046920295705e+00, -1.812502100314044e+02
Be2Ta3      ,  1.000000000000000e+00,  2.738131227256213e+00,  9.527168807511472e+01
C1Si1       ,  1.075000000000000e+00,  1.975281903109110e+00,  3.623185956643856e+02
Nb3Sb1      ,  1.100000000000000e+00,  3.609244280400310e+00, -2.096745701690897e+02
Nb1O1       ,  1.380000000000000e+00,  2.088119626849843e+00,  3.228180491861341e+02
Sb1         ,  1.416666667000000e+00,  5.990508060042881e+00, -1.043271859147303e+03
Sb1Sn1      ,  1.430000000000000e+00,  4.108211664384583e+00, -3.843456259898246e+02
S2Ta1       ,  1.488116666500000e+00,  5.356073971705576e+00, -8.211786410021367e+02
B2C2Y1      ,  1.800000000000000e+00,  2.658472506558313e+00,  1.231574242900288e+02
Re2Y1       ,  1.830000000000000e+00,  2.418953328683306e+00,  2.070047237962035e+02
S1Y1        ,  1.900000000000000e+00,  3.319738274735669e+00, -1.083286279311493e+02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.909497220122879e+00,  3.528243854386160e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.245463684641790e+00, -8.232768781206708e+01
Be2Nb1      ,  2.150000000000000e+00,  3.267251767075223e+00, -8.995493457230215e+01
