# c0 + a0 * (((EA_std - (4.617817e+01*w_log))-8.168212e-01) * (((ThermalCond_wtd_mean-1.218717e+02) / (IP_mean-9.312986e+00))+4.502580e+01)) + a1 * ((((lambda+9.531367e+00) * (EA_range+8.035800e+01))-8.144986e+02) * (((EA_wtd_range-4.203511e+00) / (w_log-6.226806e-02))-6.150416e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.77063874850284; Max AE: 4.25939627199469
# Coefficients
# Task   a0                      a1                      c0
# all ,  1.415976386861445e-02,  3.901067503877038e-03,  3.690730600189817e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * mK^-1;                                        35|1|sub|38|19|div|mult:-8.1682123916022e-01,4.5025798446975e+01,-1.2187166402973e+02,-9.3129863704981e+00,4.6178173267416e+01,0.0000000000000e+00; (((EA_std - (4.617817e+01*w_log))-8.168212e-01) * (((ThermalCond_wtd_mean-1.218717e+02) / (IP_mean-9.312986e+00))+4.502580e+01)); $\left(\left(\left(EA_{std} - \left(4.618e+01w_{log}\right)\right)-8.168e-01\right) * \left(\left(\frac{ ThermalCond_{wtd, mean} -1.219e+02 }{ IP_{mean}-9.313e+00 } \right)+4.503e+01\right)\right)$; (((EA_std - (4.617817e+01.*w_log))-8.168212e-01) .* (((ThermalCond_wtd_mean-1.218717e+02) ./ (IP_mean-9.312986e+00))+4.502580e+01)); (((newdata$EA_std - (4.617817e+01*newdata$w_log))-8.168212e-01) * (((newdata$ThermalCond_wtd_mean-1.218717e+02) / (newdata$IP_mean-9.312986e+00))+4.502580e+01)); EA_std,w_log,ThermalCond_wtd_mean,IP_mean
# 1;  2; eV;                                               0|33|mult|34|1|div|mult:-8.1449861702421e+02,-6.1504163365768e+01,-4.2035112471773e+00,-6.2268055284811e-02,9.5313667128940e+00,8.0358002559509e+01; ((((lambda+9.531367e+00) * (EA_range+8.035800e+01))-8.144986e+02) * (((EA_wtd_range-4.203511e+00) / (w_log-6.226806e-02))-6.150416e+01)); $\left(\left(\left(\left(lambda+9.531e+00\right) * \left(EA_{range}+8.036e+01\right)\right)-8.145e+02\right) * \left(\left(\frac{ EA_{wtd, range} -4.204e+00 }{ w_{log}-6.227e-02 } \right)-6.150e+01\right)\right)$; ((((lambda+9.531367e+00) .* (EA_range+8.035800e+01))-8.144986e+02) .* (((EA_wtd_range-4.203511e+00) ./ (w_log-6.226806e-02))-6.150416e+01)); ((((newdata$lambda+9.531367e+00) * (newdata$EA_range+8.035800e+01))-8.144986e+02) * (((newdata$EA_wtd_range-4.203511e+00) / (newdata$w_log-6.226806e-02))-6.150416e+01)); lambda,EA_range,EA_wtd_range,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  1.805486803253005e+00, -6.723155982298428e+01, -2.392321548902233e+02
Se2Ta1      ,  1.250000000000000e-01,  7.714234013960687e-01, -4.578318528482238e+01, -5.821555519740687e+02
Ti1         ,  1.620000000000000e-01,  2.742079665012497e-01, -1.491657453355398e+02, -3.343625561862514e+02
B1Mo1       ,  2.500000000000000e-01,  2.469625533171232e+00, -1.329986169637372e+02,  1.697289122482985e+02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.558175929483383e+00, -4.214721941684670e+01,  1.190033249856396e+02
Pt1Te1      ,  5.900000000000000e-01,  3.811810271719263e-02, -3.295767087562398e+02,  2.599585559857599e+02
Sb1V3       ,  6.500000000000000e-01,  1.281598221746067e+00, -1.532464369684923e+02, -6.131629791734336e+01
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.285765451155167e+00, -4.333074625154153e+01,  3.098095546762227e+02
Rh1Te2      ,  7.550000000000000e-01,  1.355453837682004e+00, -1.052131217426198e+02, -2.167313951661322e+02
Zr1         ,  9.966666670000000e-01,  2.678658968547521e+00, -1.153206811887889e+02,  1.591466906280669e+02
Be2Ta3      ,  1.000000000000000e+00,  9.381014067087655e-01, -8.524036548026127e+01, -3.962109716558434e+02
C1Si1       ,  1.075000000000000e+00,  2.870852323272097e-01, -2.708116071910234e+02,  1.104782325386390e+02
Nb3Sb1      ,  1.100000000000000e+00,  2.486549578683398e+00, -1.440021017799218e+02,  2.140067392968067e+02
Nb1O1       ,  1.380000000000000e+00,  4.917722937519053e+00,  1.068970406615433e+02, -7.347848157126613e+01
Sb1         ,  1.416666667000000e+00,  3.116760607215891e+00, -2.368318508315210e+02,  7.125006395313436e+02
Sb1Sn1      ,  1.430000000000000e+00,  3.299953119939503e+00, -1.146701583954962e+02,  3.160480776559744e+02
S2Ta1       ,  1.488116666500000e+00,  2.547224113149081e+00, -2.353515381784336e+02,  5.611324893777282e+02
B2C2Y1      ,  1.800000000000000e+00, -2.236812603933705e-01, -2.353280678428233e+02, -1.492468376137794e+02
Re2Y1       ,  1.830000000000000e+00,  1.706775174764255e+00, -1.125537508840210e+02, -1.000292586562912e+02
S1Y1        ,  1.900000000000000e+00,  3.164481487264992e+00, -9.222003592877068e+01,  1.998337170548691e+02
Ga2Pt1      ,  1.900000000000000e+00,  3.470028782909466e+00, -2.359160537622418e+01,  2.905608375550217e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.403095478274320e+00, -5.813629611829693e+01,  1.372857821053269e+02
Be2Nb1      ,  2.150000000000000e+00,  2.984869330787358e+00, -4.149172796628076e+01, -3.033738810761861e+01
In1Te1      ,  2.206000000000000e+00,  3.046354501634351e+00, -2.038723480415769e+01, -9.117957262751504e+01
