# c0 + a0 * ((((IP_std+5.581254e+01) / (L_avg+9.524987e+00))-3.448641e+00) * (((ThermalCond_wtd_mean-1.277815e+02) / (IP_mean-9.257578e+00))+2.371954e+01)) + a1 * ((((lambda-6.921509e+00) * (at_rad_mean+8.905596e+01))+5.725297e+02) * (((EA_wtd_std-4.779647e+00) / (w_log-6.225885e-02))-7.108519e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.76304872656889; Max AE: 4.36306038926602
# Coefficients
# Task   a0                      a1                      c0
# all , -2.367086301499156e-02,  3.116942646872869e-03,  3.590725802804742e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * W * mK^-1;                                23|4|div|38|19|div|mult:-3.4486412006561e+00,2.3719539198395e+01,-1.2778148559580e+02,-9.2575777043001e+00,5.5812543861944e+01,9.5249871559438e+00; ((((IP_std+5.581254e+01) / (L_avg+9.524987e+00))-3.448641e+00) * (((ThermalCond_wtd_mean-1.277815e+02) / (IP_mean-9.257578e+00))+2.371954e+01)); $\left(\left(\left(\frac{ IP_{std} +5.581e+01 }{ L_{avg}+9.525e+00 } \right)-3.449e+00\right) * \left(\left(\frac{ ThermalCond_{wtd, mean} -1.278e+02 }{ IP_{mean}-9.258e+00 } \right)+2.372e+01\right)\right)$; ((((IP_std+5.581254e+01) ./ (L_avg+9.524987e+00))-3.448641e+00) .* (((ThermalCond_wtd_mean-1.277815e+02) ./ (IP_mean-9.257578e+00))+2.371954e+01)); ((((newdata$IP_std+5.581254e+01) / (newdata$L_avg+9.524987e+00))-3.448641e+00) * (((newdata$ThermalCond_wtd_mean-1.277815e+02) / (newdata$IP_mean-9.257578e+00))+2.371954e+01)); IP_std,L_avg,ThermalCond_wtd_mean,IP_mean
# 1;  2; AA;                                               0|13|mult|36|1|div|mult:5.7252965759180e+02,-7.1085194481578e+01,-4.7796465800665e+00,-6.2258846051916e-02,-6.9215092794764e+00,8.9055956270887e+01; ((((lambda-6.921509e+00) * (at_rad_mean+8.905596e+01))+5.725297e+02) * (((EA_wtd_std-4.779647e+00) / (w_log-6.225885e-02))-7.108519e+01)); $\left(\left(\left(\left(lambda-6.922e+00\right) * \left(at_{rad, mean}+8.906e+01\right)\right)+5.725e+02\right) * \left(\left(\frac{ EA_{wtd, std} -4.780e+00 }{ w_{log}-6.226e-02 } \right)-7.109e+01\right)\right)$; ((((lambda-6.921509e+00) .* (at_rad_mean+8.905596e+01))+5.725297e+02) .* (((EA_wtd_std-4.779647e+00) ./ (w_log-6.225885e-02))-7.108519e+01)); ((((newdata$lambda-6.921509e+00) * (newdata$at_rad_mean+8.905596e+01))+5.725297e+02) * (((newdata$EA_wtd_std-4.779647e+00) / (newdata$w_log-6.225885e-02))-7.108519e+01)); lambda,at_rad_mean,EA_wtd_std,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  8.490571500489177e-01,  1.333522449345946e+01, -7.783307732437512e+02
Se2Ta1      ,  1.250000000000000e-01,  9.028158555212635e-01,  1.534823004222787e+01, -7.457962368231339e+02
Ti1         ,  1.620000000000000e-01,  1.160663145243243e+00,  4.683041174121808e+01, -4.239880376449467e+02
B1Mo1       ,  2.500000000000000e-01,  2.787861811684416e+00,  3.736328781958096e+01,  2.616579317829320e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.106274737498908e+00,  2.013412061848526e+01, -2.521398405016248e+00
Pt1Te1      ,  5.900000000000000e-01,  4.839958819611384e-01,  1.714404857186138e+02,  3.052396016268838e+02
Sb1V3       ,  6.500000000000000e-01,  1.693889296310829e+00,  4.289498226525556e+01, -2.828012437594616e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.073557822558579e+00,  1.984247396389561e+01,  3.055944913800003e+02
Rh1Te2      ,  7.550000000000000e-01,  2.124078892903553e+00,  9.162444366835432e+00, -4.009582741810135e+02
Zr1         ,  9.966666670000000e-01,  3.010342683839755e+00,  4.663834534123231e+01,  1.679808787558189e+02
Be2Ta3      ,  1.000000000000000e+00,  1.465542326467789e+00,  1.718636930585645e+01, -5.512989738508512e+02
C1Si1       ,  1.075000000000000e+00,  3.506901718466138e+00,  7.363388588444025e+01,  5.323015947560275e+02
Nb3Sb1      ,  1.100000000000000e+00,  3.524122775527194e+00,  3.008123019899053e+01,  2.070765250469846e+02
Nb1O1       ,  1.380000000000000e+00,  4.466735400196934e+00, -7.356060376172348e+01, -2.775904068750507e+02
Sb1         ,  1.416666667000000e+00,  1.869968964037013e+00,  1.889859733389225e+02,  8.831424122142425e+02
Sb1Sn1      ,  1.430000000000000e+00,  3.425191752919994e+00,  5.642424176808721e+01,  3.753923572852104e+02
S2Ta1       ,  1.488116666500000e+00,  1.882157903919647e+00,  1.540107156016979e+02,  6.214418654468503e+02
B2C2Y1      ,  1.800000000000000e+00, -1.028078229081211e+00,  6.767039946356570e+01, -9.679315976638131e+02
Re2Y1       ,  1.830000000000000e+00,  2.861352744851432e+00,  5.750671890527257e+00, -1.903306408232007e+02
S1Y1        ,  1.900000000000000e+00,  8.496104539357130e-01,  1.284445350613328e+02,  9.601641079033523e+01
Ga2Pt1      ,  1.900000000000000e+00,  2.413805716120718e+00,  5.203059867999883e+01,  1.754574705219455e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.462755306157085e+00,  1.076350230102732e+01,  4.068438410592265e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.000780065232588e+00,  3.188571010775592e+01,  5.287762952251413e+01
In1Te1      ,  2.206000000000000e+00,  2.311153418814600e+00,  4.803171727268390e+01, -4.575643513900505e+01
C2Cl2Y2     ,  2.300000000000000e+00,  1.843482806910216e+00, -2.316613956552122e+01, -7.364927020518852e+02
