# c0 + a0 * ((((ThermalCond_wtd_range+9.800617e+01) * (at_rad_wtd_range-3.525011e-02))-4.175500e+01) * (((ThermalCond_wtd_mean-6.399354e+01) / (IP_mean-9.326434e+00))+7.924299e+01)) + a1 * ((((EA_wtd_range-2.549196e+00) / (w_log-6.144881e-02))-3.290728e+01) * (((at_mass_wtd_mean+2.471612e+03) * (lambda-4.357354e-02))-1.357226e+03))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.7215001018338; Max AE: 4.4743294824016
# Coefficients
# Task   a0                      a1                      c0
# all ,  6.132294433328797e-04,  1.520334640743153e-04,  3.801633170346126e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * W^2 * eV^-1 * mK^-2;                         40|16|mult|38|19|div|mult:-4.1755001781777e+01,7.9242990230983e+01,-6.3993539326970e+01,-9.3264343065303e+00,9.8006172434113e+01,-3.5250108584378e-02; ((((ThermalCond_wtd_range+9.800617e+01) * (at_rad_wtd_range-3.525011e-02))-4.175500e+01) * (((ThermalCond_wtd_mean-6.399354e+01) / (IP_mean-9.326434e+00))+7.924299e+01)); $\left(\left(\left(\left(ThermalCond_{wtd, range}+9.801e+01\right) * \left(at_{rad, wtd, range}-3.525e-02\right)\right)-4.176e+01\right) * \left(\left(\frac{ ThermalCond_{wtd, mean} -6.399e+01 }{ IP_{mean}-9.326e+00 } \right)+7.924e+01\right)\right)$; ((((ThermalCond_wtd_range+9.800617e+01) .* (at_rad_wtd_range-3.525011e-02))-4.175500e+01) .* (((ThermalCond_wtd_mean-6.399354e+01) ./ (IP_mean-9.326434e+00))+7.924299e+01)); ((((newdata$ThermalCond_wtd_range+9.800617e+01) * (newdata$at_rad_wtd_range-3.525011e-02))-4.175500e+01) * (((newdata$ThermalCond_wtd_mean-6.399354e+01) / (newdata$IP_mean-9.326434e+00))+7.924299e+01)); ThermalCond_wtd_range,at_rad_wtd_range,ThermalCond_wtd_mean,IP_mean
# 1;  2; g * mol^-1;                                       34|1|div|8|0|mult|mult:-3.2907279996551e+01,-1.3572264439542e+03,2.4716116797898e+03,-4.3573544466141e-02,-2.5491955939488e+00,-6.1448812004142e-02; ((((EA_wtd_range-2.549196e+00) / (w_log-6.144881e-02))-3.290728e+01) * (((at_mass_wtd_mean+2.471612e+03) * (lambda-4.357354e-02))-1.357226e+03)); $\left(\left(\left(\frac{ EA_{wtd, range} -2.549e+00 }{ w_{log}-6.145e-02 } \right)-3.291e+01\right) * \left(\left(\left(at_{mass, wtd, mean}+2.472e+03\right) * \left(lambda-4.357e-02\right)\right)-1.357e+03\right)\right)$; ((((EA_wtd_range-2.549196e+00) ./ (w_log-6.144881e-02))-3.290728e+01) .* (((at_mass_wtd_mean+2.471612e+03) .* (lambda-4.357354e-02))-1.357226e+03)); ((((newdata$EA_wtd_range-2.549196e+00) / (newdata$w_log-6.144881e-02))-3.290728e+01) * (((newdata$at_mass_wtd_mean+2.471612e+03) * (newdata$lambda-4.357354e-02))-1.357226e+03)); EA_wtd_range,w_log,at_mass_wtd_mean,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  1.796601461594013e+00, -2.496589277364834e+02, -1.218109127979840e+04
Se2Ta1      ,  1.250000000000000e-01, -2.437725327729990e-01, -3.140369645103339e+03, -1.394192118622538e+04
Ti1         ,  1.620000000000000e-01,  1.850773832824623e-01, -4.344246242523238e+03, -6.265305390887997e+03
B1Mo1       ,  2.500000000000000e-01,  4.090635429937894e+00,  4.541173523419596e+02,  6.922244698813861e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.246755875569791e+00, -9.815067850786568e+02,  3.092185325851323e+02
Pt1Te1      ,  5.900000000000000e-01,  8.012585772420580e-01, -7.067371993061462e+03,  8.771397850775460e+03
Sb1V3       ,  6.500000000000000e-01,  7.287914395575658e-01, -4.028159335888382e+03, -3.963968243800598e+03
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.216835895813085e+00, -9.889222292003819e+02,  6.719829478328754e+03
Rh1Te2      ,  7.550000000000000e-01,  2.437724288220553e-01, -4.024590453084649e+03, -7.168575582829676e+03
Zr1         ,  9.966666670000000e-01,  2.058450766190159e+00, -4.275930354115745e+03,  5.781253436407652e+03
Be2Ta3      ,  1.000000000000000e+00,  2.385653488940660e+00,  1.510315981498159e+02, -9.922793731300746e+03
C1Si1       ,  1.075000000000000e+00, -4.570893413446252e-01, -7.555008258055766e+03,  2.461504110629011e+03
Nb3Sb1      ,  1.100000000000000e+00,  2.740964523125137e+00, -3.182064810217766e+03,  5.858362765204320e+03
Nb1O1       ,  1.380000000000000e+00,  3.370413585604446e+00,  5.482935680732566e+02, -5.047897506953500e+03
Sb1         ,  1.416666667000000e+00,  3.358071187065009e+00, -6.216596660756301e+03,  2.215721484036494e+04
Sb1Sn1      ,  1.430000000000000e+00,  2.714606491703204e+00, -4.285894468573231e+03,  1.013730766372825e+04
S2Ta1       ,  1.488116666500000e+00,  2.727827121708373e+00, -3.168173137643846e+03,  5.715919230235949e+03
B2C2Y1      ,  1.800000000000000e+00,  1.771694173973175e+00,  5.449861677979366e+02, -1.555013282812649e+04
Re2Y1       ,  1.830000000000000e+00,  2.119453264827928e+00, -2.390502703118600e+03, -1.422405684930841e+03
S1Y1        ,  1.900000000000000e+00,  3.894830960036050e+00, -3.249318068137313e+01,  7.440701656049938e+02
Ga2Pt1      ,  1.900000000000000e+00,  1.623880323323216e+00, -3.490310637733909e+03, -2.459432060841548e+02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.171089240940374e+00, -1.567315379527250e+03,  2.174389765579595e+03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  4.222533250674921e+00,  5.506418556071976e+01,  2.546367688370124e+03
Be2Nb1      ,  2.150000000000000e+00,  2.795930416351126e+00,  8.956513774332080e+00, -6.651135380673531e+03
In1Te1      ,  2.206000000000000e+00,  1.062348698777191e+00, -3.963718767994252e+03, -2.029917688337867e+03
Be2Nb3      ,  2.300000000000000e+00,  3.083291619104864e+00,  2.586062811121465e+02, -5.767983663263771e+03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.839913058605776e+00,  5.544276289830351e+01,  6.605655930721843e+03
