# c0 + a0 * ((((at_mass_wtd_range+7.513274e+01) / (lambda4w_low-4.670402e-02))+7.598214e+02) * (((lambda3-4.898199e+00) / (L_avg-3.701868e+00))+2.681022e-02)) + a1 * ((((EA_mean-4.839352e-01) / (density-2.647142e+00))+4.321682e-01) * (((EA_std-8.210539e-01) * (lambda4w_low-3.209296e-02))+1.589433e-02))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.84791827470313; Max AE: 4.98575671249321
# Coefficients
# Task   a0                      a1                      c0
# all , -4.644897409869750e-05, -1.160843295770552e+02,  5.258254289322911e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^-1 * eV^-1 * g * mol^-1;                       10|2|div|3|4|div|mult:7.5982144399047e+02,2.6810219048888e-02,-4.8981991341618e+00,-3.7018677319351e+00,7.5132744679618e+01,-4.6704017525146e-02; ((((at_mass_wtd_range+7.513274e+01) / (lambda4w_low-4.670402e-02))+7.598214e+02) * (((lambda3-4.898199e+00) / (L_avg-3.701868e+00))+2.681022e-02)); $\left(\left(\left(\frac{ at_{mass, wtd, range} +7.513e+01 }{ lambda4w_{low}-4.670e-02 } \right)+7.598e+02\right) * \left(\left(\frac{ lambda3 -4.898e+00 }{ L_{avg}-3.702e+00 } \right)+2.681e-02\right)\right)$; ((((at_mass_wtd_range+7.513274e+01) ./ (lambda4w_low-4.670402e-02))+7.598214e+02) .* (((lambda3-4.898199e+00) ./ (L_avg-3.701868e+00))+2.681022e-02)); ((((newdata$at_mass_wtd_range+7.513274e+01) / (newdata$lambda4w_low-4.670402e-02))+7.598214e+02) * (((newdata$lambda3-4.898199e+00) / (newdata$L_avg-3.701868e+00))+2.681022e-02)); at_mass_wtd_range,lambda4w_low,lambda3,L_avg
# 1;  2; cm^3 * eV^3 * g^-1;                               31|5|div|35|2|mult|mult:4.3216815551861e-01,1.5894325428839e-02,-8.2105392754160e-01,-3.2092963552052e-02,-4.8393523026433e-01,-2.6471417400228e+00; ((((EA_mean-4.839352e-01) / (density-2.647142e+00))+4.321682e-01) * (((EA_std-8.210539e-01) * (lambda4w_low-3.209296e-02))+1.589433e-02)); $\left(\left(\left(\frac{ EA_{mean} -4.839e-01 }{ density-2.647e+00 } \right)+4.322e-01\right) * \left(\left(\left(EA_{std}-8.211e-01\right) * \left(lambda4w_{low}-3.209e-02\right)\right)+1.589e-02\right)\right)$; ((((EA_mean-4.839352e-01) ./ (density-2.647142e+00))+4.321682e-01) .* (((EA_std-8.210539e-01) .* (lambda4w_low-3.209296e-02))+1.589433e-02)); ((((newdata$EA_mean-4.839352e-01) / (newdata$density-2.647142e+00))+4.321682e-01) * (((newdata$EA_std-8.210539e-01) * (newdata$lambda4w_low-3.209296e-02))+1.589433e-02)); EA_mean,density,EA_std,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  1.754638276839927e-01,  4.272796557139512e+03,  4.207564847747339e-02
Se2Ta1      ,  1.250000000000000e-01, -6.088108528027075e-01,  2.563942753616662e+04,  4.028226767238920e-02
Ti1         ,  1.620000000000000e-01,  3.253084140001224e+00,  1.773996297942790e+04,  1.017507765847368e-02
B1Mo1       ,  2.500000000000000e-01,  2.299412214033110e+00,  2.794093530634357e+04,  1.430868663327644e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.138656360162542e+00,  1.656411431978801e+04,  1.163130128822788e-02
Pt1Te1      ,  5.900000000000000e-01,  2.335740716675157e+00,  7.811838875573705e+03,  2.205001898515479e-02
Sb1V3       ,  6.500000000000000e-01,  3.110812180480583e+00,  6.013528046454325e+03,  1.609278278280229e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.189059194382994e+00,  1.046027213213264e+04,  1.363944807518720e-02
Rh1Te2      ,  7.550000000000000e-01,  3.149215487599912e+00,  1.898878070582503e+03,  1.740836054934119e-02
Zr1         ,  9.966666670000000e-01,  1.709716730203968e+00,  3.473283284914160e+04,  1.667092460098323e-02
Be2Ta3      ,  1.000000000000000e+00,  3.188736547660798e+00,  7.456345059720867e+03,  1.484419274669081e-02
C1Si1       ,  1.075000000000000e+00,  1.228503100557077e+00, -6.906670989323645e+03,  3.747757329958401e-02
Nb3Sb1      ,  1.100000000000000e+00,  2.920597231753834e+00,  3.667219633754345e+03,  1.867020704416397e-02
Nb1O1       ,  1.380000000000000e+00,  2.298591980546010e+00,  1.711742287570978e+04,  1.864657861119652e-02
Sb1         ,  1.416666667000000e+00,  3.616675872643863e+00, -8.464767951074717e+03,  1.752827630915814e-02
Sb1Sn1      ,  1.430000000000000e+00,  2.433094312923635e+00,  7.409214271654860e+03,  2.137247623036509e-02
S2Ta1       ,  1.488116666500000e+00,  3.349679937871425e+00,  3.255270306403062e+03,  1.513873915375109e-02
B2C2Y1      ,  1.800000000000000e+00,  3.364712837923844e+00,  6.818747117860114e+03,  1.358338071022192e-02
Re2Y1       ,  1.830000000000000e+00,  3.263744969321996e+00,  3.080573263155151e+03,  1.594892143527895e-02
S1Y1        ,  1.900000000000000e+00,  1.853134216297773e+00,  4.727630276379653e+04,  1.041643014929705e-02
Ga2Pt1      ,  1.900000000000000e+00,  3.510373409716077e+00,  2.042386868830608e+04,  6.884763299408125e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.469596170004362e+00,  1.847512656933446e+04,  1.663021573077984e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.288775542722385e+00,  5.774927204246821e+03,  1.465520202999788e-02
Be2Nb1      ,  2.150000000000000e+00,  3.493554668392735e+00,  9.324476049532790e+03,  1.147086156480418e-02
In1Te1      ,  2.206000000000000e+00,  3.869725211663813e+00,  7.266292043828776e+03,  9.053911673961756e-03
