# c0 + a0 * ((((at_mass_std-8.404216e+01) / (IP_mean-9.318838e+00))+6.494392e+00) * (((ThermalCond_mean-2.633061e+01) * (EA_range+9.468212e-01))-9.124220e+01)) + a1 * ((((PE_wtd_range+5.057447e+01) * (lambda+6.144622e+00))-3.449846e+02) * (((EA_wtd_range-3.853636e+00) / (w_log-6.022046e-02))-5.780026e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.77340210779344; Max AE: 4.78281924217972
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.209550198544497e-04,  5.824727811191886e-03,  3.459289032216695e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * g * mK^-1 * mol^-1;                           11|19|div|37|33|mult|mult:6.4943918239363e+00,-9.1242195928577e+01,-2.6330612779734e+01,9.4682117299187e-01,-8.4042157420008e+01,-9.3188378765252e+00; ((((at_mass_std-8.404216e+01) / (IP_mean-9.318838e+00))+6.494392e+00) * (((ThermalCond_mean-2.633061e+01) * (EA_range+9.468212e-01))-9.124220e+01)); $\left(\left(\left(\frac{ at_{mass, std} -8.404e+01 }{ IP_{mean}-9.319e+00 } \right)+6.494e+00\right) * \left(\left(\left(ThermalCond_{mean}-2.633e+01\right) * \left(EA_{range}+9.468e-01\right)\right)-9.124e+01\right)\right)$; ((((at_mass_std-8.404216e+01) ./ (IP_mean-9.318838e+00))+6.494392e+00) .* (((ThermalCond_mean-2.633061e+01) .* (EA_range+9.468212e-01))-9.124220e+01)); ((((newdata$at_mass_std-8.404216e+01) / (newdata$IP_mean-9.318838e+00))+6.494392e+00) * (((newdata$ThermalCond_mean-2.633061e+01) * (newdata$EA_range+9.468212e-01))-9.124220e+01)); at_mass_std,IP_mean,ThermalCond_mean,EA_range
# 1;  2; Unitless;                                         28|0|mult|34|1|div|mult:-3.4498462187178e+02,-5.7800264868061e+01,-3.8536358999259e+00,-6.0220461465475e-02,5.0574473104185e+01,6.1446219670805e+00; ((((PE_wtd_range+5.057447e+01) * (lambda+6.144622e+00))-3.449846e+02) * (((EA_wtd_range-3.853636e+00) / (w_log-6.022046e-02))-5.780026e+01)); $\left(\left(\left(\left(PE_{wtd, range}+5.057e+01\right) * \left(lambda+6.145e+00\right)\right)-3.450e+02\right) * \left(\left(\frac{ EA_{wtd, range} -3.854e+00 }{ w_{log}-6.022e-02 } \right)-5.780e+01\right)\right)$; ((((PE_wtd_range+5.057447e+01) .* (lambda+6.144622e+00))-3.449846e+02) .* (((EA_wtd_range-3.853636e+00) ./ (w_log-6.022046e-02))-5.780026e+01)); ((((newdata$PE_wtd_range+5.057447e+01) * (newdata$lambda+6.144622e+00))-3.449846e+02) * (((newdata$EA_wtd_range-3.853636e+00) / (newdata$w_log-6.022046e-02))-5.780026e+01)); PE_wtd_range,lambda,EA_wtd_range,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  7.771416601546797e-01,  3.192051541609638e+02, -4.725847185422431e+02
Se2Ta1      ,  1.250000000000000e-01, -3.633199648209123e-01, -6.182043170684462e+03, -4.217631458756976e+02
Ti1         ,  1.620000000000000e-01,  5.642051425209502e-01, -3.839906784308478e+03, -3.513704461858511e+02
B1Mo1       ,  2.500000000000000e-01,  1.883668970899048e+00, -3.526487882747314e+02, -2.571279877533519e+02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.580701057365196e+00,  1.373090962196035e+03, -3.124254412640986e+01
Pt1Te1      ,  5.900000000000000e-01,  1.345314330340703e+00, -1.238120228149564e+04,  1.067370208886409e+02
Sb1V3       ,  6.500000000000000e-01,  1.302112736250190e+00, -3.266478218364253e+03, -2.464375302852096e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.556328293427816e+00,  1.727518835531483e+03,  1.228100824270020e+02
Rh1Te2      ,  7.550000000000000e-01,  1.946622513737365e+00, -1.379274955360003e+02, -2.544652375200696e+02
Zr1         ,  9.966666670000000e-01,  2.754688215395975e+00, -3.578600474416943e+03,  1.478333835441464e+01
Be2Ta3      ,  1.000000000000000e+00,  1.236116281366439e+00,  1.214992690502555e+02, -3.862873420337809e+02
C1Si1       ,  1.075000000000000e+00,  6.870180024320651e-01, -6.756415041767837e+03, -2.196509865452606e+02
Nb3Sb1      ,  1.100000000000000e+00,  2.714876208067023e+00, -3.810500639139007e+03,  1.674523229038628e+01
Nb1O1       ,  1.380000000000000e+00,  3.822360973136992e+00,  4.142959917544498e+03, -9.482603613780114e+01
Sb1         ,  1.416666667000000e+00,  3.006169017737830e+00, -1.217614282897614e+04,  3.840968949226099e+02
Sb1Sn1      ,  1.430000000000000e+00,  3.189009977004499e+00, -4.863982778002768e+03,  1.381081455046563e+02
S2Ta1       ,  1.488116666500000e+00,  3.909448779585418e+00, -4.768102973941721e+03,  2.581573050941213e+02
B2C2Y1      ,  1.800000000000000e+00, -9.687550908988563e-01, -1.685063937868716e+03, -6.962936155531444e+02
Re2Y1       ,  1.830000000000000e+00,  2.322823053362790e+00, -1.862086382432866e+03, -1.244742533478815e+02
S1Y1        ,  1.900000000000000e+00,  1.837297958067179e+00, -8.414705606079102e+03,  4.073673102030981e+01
Ga2Pt1      ,  1.900000000000000e+00,  3.375665038853744e+00, -4.376999789882289e+02,  2.246974383856725e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.662468410004434e+00,  3.069776416228926e+03, -8.156658072433196e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.290897177880005e+00, -1.603457187593528e+03,  3.191566480181301e+01
Be2Nb1      ,  2.150000000000000e+00,  1.908023471526514e+00,  3.343150967384224e+03, -3.931431001230602e+02
In1Te1      ,  2.206000000000000e+00,  2.752551101115610e+00, -2.295030605999539e+03, -3.427445958973245e+01
C2Cl2Y2     ,  2.300000000000000e+00,  9.573520579188155e-01, -1.106243960976970e+03, -3.875729289184424e+02
Be2Nb3      ,  2.300000000000000e+00,  2.468770418497570e+00,  3.343150967384224e+03, -2.968730313494409e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.662068157149336e+00, -1.596249086003191e+03,  9.536555036199341e+01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.446391376649375e+00, -3.659831918576195e+02,  1.166890025751571e+01
Bi1Nb3      ,  2.516666667000000e+00,  3.211299918973718e+00, -1.543297754521560e+03,  1.596817495402072e+01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.497261572544548e+00, -1.208485192065840e+03,  5.236183042725911e+01
Nb3Rh1      ,  2.742333333000000e+00,  3.086143671822933e+00, -4.790444402027793e+01, -6.224507732661858e+01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.058138873554237e+00, -1.802397760030673e+03,  1.711837370795022e+02
N1Ni3Zn1    ,  3.000000000000000e+00,  6.254608165772957e+00,  6.647084375705658e+01,  4.773840352868253e+02
B1Hf1       ,  3.100000000000000e+00,  6.523546659327865e-01, -6.139538470720609e+02, -4.586099588519269e+02
Pt0.25V0.75 ,  3.102500000000000e+00,  6.135347046180775e+00, -4.023109272078490e+02,  4.746918177979503e+02
C2Y1        ,  3.150000000000000e+00,  3.427134272954279e+00,  6.989460141414828e+02, -3.203418180944220e+01
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.775961060258034e+00, -1.646411196575034e+03, -5.486010053840580e+01
In1Sb1      ,  3.320000000000000e+00,  4.249734605803502e+00, -2.034377813463536e+03,  2.128771685038393e+02
Bi2K1       ,  3.575000000000000e+00,  4.162299800246696e+00, -3.289293675992558e+02,  1.331717786860638e+02
Al1Hf1Pd2   ,  3.621666666500000e+00,  5.337348165593250e+00,  5.623416119273786e+02,  3.010968045542517e+02
Hg0.5In0.5  ,  3.810000000000000e+00,  5.179241844217280e+00, -2.751509507872075e+03,  3.996603318474752e+02
C1W2        ,  3.835000000000000e+00,  3.966654894639370e+00,  1.157034191871257e+03,  4.321461152259025e+01
C1Ga1Mo2    ,  3.900000000000000e+00,  5.489783993210076e+00,  2.577217115332168e+03,  2.508350517767744e+02
Ba1Ge3      ,  4.000000000000000e+00,  4.501140785433584e+00, -1.566295083799109e+03,  2.382828107244453e+02
Bi2Rb1      ,  4.250000000000000e+00,  2.874580483050953e+00, -1.038856634052994e+03, -6.097588977122673e+01
Ba1Sn3      ,  4.300000000000000e+00,  2.616211553541639e+00, -1.769769474475962e+03, -7.760672154256791e+01
Rh1Se2      ,  4.350000000000000e+00,  4.113399630930949e+00, -1.786383322589606e+02,  1.190753726951189e+02
Al1Au2Sc1   ,  4.400000000000000e+00,  3.847371302150534e+00,  4.156705081485978e+03, -9.105362534811059e+01
B2Nb1       ,  4.597500000000000e+00,  4.467214660298887e+00, -2.108117716532844e+03,  2.530117917548946e+02
Pb3Y1       ,  4.720000000000000e+00,  4.688522542965697e+00, -1.504278764673496e+03,  2.681003311542754e+02
Bi2Cs1      ,  4.750000000000000e+00,  2.835797170812589e+00, -1.834622996155638e+03, -3.744770707465444e+01
Al1Si1Sr1   ,  4.750000000000000e+00,  5.345141432772846e+00,  4.705039197871702e+03,  1.452858225492396e+02
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.927685742623843e+00, -1.856141303815168e+03,  1.508260089606703e+02
Br2C2Y2     ,  5.050000000000000e+00,  3.238589003761295e+00, -1.402269455777926e+03,  1.530345277525676e+01
Ir1Mo1      ,  5.325000000000000e+00,  3.488167344051877e+00,  4.210748638601750e+03, -1.547725089362919e+02
N1Ti1       ,  5.387500000000000e+00,  7.337609983905392e+00,  4.577146351959235e+03,  4.922079763291406e+02
Ga1         ,  5.527454545000000e+00,  5.395192112773100e+00, -2.821975010100381e+03,  4.394081076242035e+02
B6Y1        ,  5.692857143000000e+00,  6.422322988089702e+00, -2.701235166658513e+03,  6.111676873404209e+02
Bi3Sr1      ,  5.700000000000000e+00,  3.499180014985986e+00, -1.481565647790561e+03,  6.305021655893933e+01
Ba1Bi3      ,  5.745000000000000e+00,  3.835876815573634e+00, -2.586699597461319e+03,  1.627770558565363e+02
Nb1S2       ,  5.821818182000000e+00,  6.290791166595683e+00, -6.908959242567643e+03,  7.482017189919702e+02
C1Mo2       ,  6.021666667000000e+00,  5.799709567875895e+00,  2.240275707210804e+04, -4.480176898547405e+02
Rh2Sr1      ,  6.200000000000000e+00,  4.475826514007744e+00,  1.602590967382103e+03,  1.137283980037212e+02
Pb1         ,  6.470100000000000e+00,  3.292697286934638e+00, -4.208516959153182e+03,  1.310449565589627e+02
Sn1Ta3      ,  6.692500000000000e+00,  6.576186128046087e+00, -9.968262212075444e+02,  5.729282056606309e+02
Ag1B2       ,  6.700000000000000e+00,  5.750849582147312e+00,  9.896617893885128e+03,  1.800138136821731e+01
Nb1Se2      ,  6.814619048000000e+00,  6.047800033853788e+00, -7.053822782473731e+03,  7.119798021497159e+02
Li1Pb1      ,  7.200000000000000e+00,  4.034206555996879e+00, -4.937543559295121e+01,  1.005759055395367e+02
Tc1         ,  7.794166667000000e+00,  6.544047389317154e+00, -3.239119026566036e+03,  6.524696241812222e+02
