# c0 + a0 * ((((at_mass_wtd_range+8.063045e+00) / (V_molar-4.877594e+00))-1.918133e+00) * (((L_avg-6.530495e-01) * (EA_range+1.200608e+01))-4.388805e+01)) + a1 * ((((at_mass_wtd_range-7.899095e+01) / (IP_mean-9.251990e+00))+2.696959e+01) * (((density-3.209701e+01) * (ThermalCond_mean-3.496915e+01))+1.361622e+03)) + a2 * ((((EA_wtd_range-3.247272e+00) / (w_log-6.086757e-02))-4.595857e+01) * (((lambda-6.960700e+01) * (at_rad_wtd_std-5.232089e+02))-3.607989e+04))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.41673497491022; Max AE: 3.44412099933965
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -4.721833236720514e-02, -1.059776935472295e-05, -6.828029880979740e-04,  2.738541552424936e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * cm^-3 * eV * g;                              10|6|div|4|33|mult|mult:-1.9181334809063e+00,-4.3888047547391e+01,-6.5304952203027e-01,1.2006078988561e+01,8.0630446147753e+00,-4.8775944896497e+00; ((((at_mass_wtd_range+8.063045e+00) / (V_molar-4.877594e+00))-1.918133e+00) * (((L_avg-6.530495e-01) * (EA_range+1.200608e+01))-4.388805e+01)); $\left(\left(\left(\frac{ at_{mass, wtd, range} +8.063e+00 }{ V_{molar}-4.878e+00 } \right)-1.918e+00\right) * \left(\left(\left(L_{avg}-6.530e-01\right) * \left(EA_{range}+1.201e+01\right)\right)-4.389e+01\right)\right)$; ((((at_mass_wtd_range+8.063045e+00) ./ (V_molar-4.877594e+00))-1.918133e+00) .* (((L_avg-6.530495e-01) .* (EA_range+1.200608e+01))-4.388805e+01)); ((((newdata$at_mass_wtd_range+8.063045e+00) / (newdata$V_molar-4.877594e+00))-1.918133e+00) * (((newdata$L_avg-6.530495e-01) * (newdata$EA_range+1.200608e+01))-4.388805e+01)); at_mass_wtd_range,V_molar,L_avg,EA_range
# 1;  2; W * cm^-3 * eV^-1 * g^2 * mK^-1 * mol^-1;         10|19|div|5|37|mult|mult:2.6969589856958e+01,1.3616217856269e+03,-3.2097013691957e+01,-3.4969154962851e+01,-7.8990954673306e+01,-9.2519899642507e+00; ((((at_mass_wtd_range-7.899095e+01) / (IP_mean-9.251990e+00))+2.696959e+01) * (((density-3.209701e+01) * (ThermalCond_mean-3.496915e+01))+1.361622e+03)); $\left(\left(\left(\frac{ at_{mass, wtd, range} -7.899e+01 }{ IP_{mean}-9.252e+00 } \right)+2.697e+01\right) * \left(\left(\left(density-3.210e+01\right) * \left(ThermalCond_{mean}-3.497e+01\right)\right)+1.362e+03\right)\right)$; ((((at_mass_wtd_range-7.899095e+01) ./ (IP_mean-9.251990e+00))+2.696959e+01) .* (((density-3.209701e+01) .* (ThermalCond_mean-3.496915e+01))+1.361622e+03)); ((((newdata$at_mass_wtd_range-7.899095e+01) / (newdata$IP_mean-9.251990e+00))+2.696959e+01) * (((newdata$density-3.209701e+01) * (newdata$ThermalCond_mean-3.496915e+01))+1.361622e+03)); at_mass_wtd_range,IP_mean,density,ThermalCond_mean
# 2;  2; AA;                                               34|1|div|0|18|mult|mult:-4.5958567180407e+01,-3.6079894376029e+04,-6.9607004521556e+01,-5.2320893492501e+02,-3.2472722311094e+00,-6.0867566292094e-02; ((((EA_wtd_range-3.247272e+00) / (w_log-6.086757e-02))-4.595857e+01) * (((lambda-6.960700e+01) * (at_rad_wtd_std-5.232089e+02))-3.607989e+04)); $\left(\left(\left(\frac{ EA_{wtd, range} -3.247e+00 }{ w_{log}-6.087e-02 } \right)-4.596e+01\right) * \left(\left(\left(lambda-6.961e+01\right) * \left(at_{rad, wtd, std}-5.232e+02\right)\right)-3.608e+04\right)\right)$; ((((EA_wtd_range-3.247272e+00) ./ (w_log-6.086757e-02))-4.595857e+01) .* (((lambda-6.960700e+01) .* (at_rad_wtd_std-5.232089e+02))-3.607989e+04)); ((((newdata$EA_wtd_range-3.247272e+00) / (newdata$w_log-6.086757e-02))-4.595857e+01) * (((newdata$lambda-6.960700e+01) * (newdata$at_rad_wtd_std-5.232089e+02))-3.607989e+04)); EA_wtd_range,w_log,lambda,at_rad_wtd_std
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.910533489230605e+00, -2.235946050944397e+01, -1.078047317041848e+04,  2.926222503567653e+03
Se2Ta1      ,  1.250000000000000e-01, -6.758445605923789e-01, -1.299933434058411e+01,  1.583119996385905e+05,  3.442338398014471e+03
Ti1         ,  1.620000000000000e-01, -2.510194581917020e-01,  1.390219149796087e+00,  1.023167596569083e+05,  2.694170636095427e+03
B1Mo1       ,  2.500000000000000e-01,  2.671519646019071e+00, -8.741202082745424e+00,  1.204426340419403e+04,  5.157044889530265e+02
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.808394178016484e+00,  4.079824824909997e-01, -1.775844367746589e+04,  1.451121536811401e+02
Pt1Te1      ,  5.900000000000000e-01,  8.138166132717712e-01,  3.139539660729737e-01,  2.572054252927479e+05, -1.194932113395737e+03
Sb1V3       ,  6.500000000000000e-01,  7.368757757416532e-01, -6.897836491539363e+00,  9.369653760472281e+04,  1.954291122248248e+03
Al1Ni2Zr1   ,  6.899999999999999e-01,  4.134120999339654e+00, -2.482509381447525e+00, -3.511429360226500e+04, -1.327214914085824e+03
Rh1Te2      ,  7.550000000000000e-01,  2.827914039982588e+00, -4.221351916179550e+01,  3.722364647886131e+04,  2.210581817887554e+03
Zr1         ,  9.966666670000000e-01,  1.772537638421751e+00,  5.693935410178046e+00,  9.557968295443057e+04, -4.624842906740304e+02
Be2Ta3      ,  1.000000000000000e+00,  5.721677470850974e-01,  8.190448008671957e+00, -6.054146461086623e+03,  2.700332290578374e+03
C1Si1       ,  1.075000000000000e+00,  5.372087673349700e-01, -2.210283697133353e+01,  2.230037306351051e+05,  1.291221333701060e+03
Nb3Sb1      ,  1.100000000000000e+00,  2.898346882135740e+00, -1.701270251459408e+01,  8.999033004547826e+04, -4.542901177889672e+02
Nb1O1       ,  1.380000000000000e+00,  1.999305847239670e+00,  1.692690339798763e+00, -2.542673637567308e+04,  1.360240646084210e+03
Sb1         ,  1.416666667000000e+00,  1.892220206430831e+00,  1.898415113735494e+01,  2.553543719779050e+05, -4.036691985983592e+03
Sb1Sn1      ,  1.430000000000000e+00,  2.789664832792338e+00, -6.266869014924535e-01,  9.758879713396725e+04, -1.546208426143709e+03
S2Ta1       ,  1.488116666500000e+00,  1.042364827364477e+00,  2.094130963914109e+01,  1.944307577474518e+05, -1.981785878714409e+03
B2C2Y1      ,  1.800000000000000e+00, -7.761079606064212e-01, -5.446660915705607e+00,  6.891322712979648e+04,  4.454440482608098e+03
Re2Y1       ,  1.830000000000000e+00,  1.493832231470748e+00, -2.103106963285726e+00,  6.065449838129440e+04,  1.026961147800963e+03
S1Y1        ,  1.900000000000000e+00,  1.179747785677993e+00, -1.581509661022327e-02,  1.648636599722485e+05, -2.748179451425166e+02
Ga2Pt1      ,  1.900000000000000e+00,  2.183751580026048e+00,  2.510714231899734e+00,  4.129112936620865e+04, -1.985392748366524e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.962239822839439e+00,  2.839126280545643e+00, -5.755731610026165e+04,  3.693921765753748e+02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.909562743080915e+00, -8.887765321244787e+00,  5.141665403206844e+04, -4.338844136643709e+02
Be2Nb1      ,  2.150000000000000e+00,  1.575578392770507e+00,  6.716920102067458e+00, -5.894941495171087e+04,  2.153672029382113e+03
In1Te1      ,  2.206000000000000e+00,  2.142622341547477e+00, -9.588857793887854e+00,  7.750354407906064e+04,  3.329282455556779e+02
C2Cl2Y2     ,  2.300000000000000e+00,  1.527714227106991e+00, -2.574118644781698e+01, -2.502590623715443e+04,  3.941842744755608e+03
Be2Nb3      ,  2.300000000000000e+00,  2.534082400354376e+00, -1.061141608805084e+01, -4.791972356202565e+04,  1.777020198806133e+03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.123903138776860e+00, -3.977424029789661e+00,  5.357175099802373e+04, -1.120814247877751e+03
As1Pt1Sr1   ,  2.425000000000000e+00,  2.708306420031000e+00, -9.429126068914195e+00,  5.040844919747851e+04, -8.604879899487443e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.684973517632032e+00, -7.707790171322767e+00,  6.201272194149377e+04, -3.510229091748307e+02
Re1         ,  2.581333333000000e+00,  2.749860442149829e+00, -1.909003612771552e+00,  1.031796301880108e+05, -1.486011138163629e+03
Nb3Rh1      ,  2.742333333000000e+00,  3.310306680491961e+00, -1.683936586332690e+01, -9.381811300888416e+03,  4.727394637156236e+02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.593263890797468e+00, -3.203995368802357e+00,  5.771288551684336e+04, -1.925977027885791e+03
N1Ni3Zn1    ,  3.000000000000000e+00,  5.640301602101590e+00,  3.778587458168311e+00, -1.298132068134642e+04, -4.309596848501439e+03
B1Hf1       ,  3.100000000000000e+00,  3.103787735088309e+00, -6.148144668219579e+01,  3.778091473815869e+04,  3.130349190096101e+03
Pt0.25V0.75 ,  3.102500000000000e+00,  4.808462085040254e+00,  4.205429265689875e+00,  4.536391153895501e+04, -4.026417881687491e+03
C2Y1        ,  3.150000000000000e+00,  2.582844495520214e+00, -1.234583944065280e-01,  1.872559600294503e+04, -5.407561435320683e+01
Pb1Pd2Y1    ,  3.215000000000000e+00,  2.016187592874437e+00, -5.272237164515254e+00,  5.782475892466640e+04,  5.250222311209341e+02
In1Sb1      ,  3.320000000000000e+00,  3.809850400293760e+00, -3.437087269984578e+00,  5.836659272664744e+04, -2.237206094795933e+03
