# c0 + a0 * ((((EA_wtd_std-2.505312e+00) * (at_rad_mean-8.112023e-01))+1.634520e+00) * (((at_rad_range+4.773714e-02)^6)-1.328790e+00)) + a1 * ((((L_avg-5.385561e+00) * (at_rad_std-1.039912e+00))-6.745638e-01) * (((at_mass_range+1.704265e+01) / (V_molar-3.523095e+00))-3.469336e+00)) + a2 * ((((at_mass_wtd_range-8.246802e+01) / (IP_mean-9.269966e+00))+2.676938e+01) * (((IP_std+7.413122e+00) * (ThermalCond_mean-2.784040e+00))-7.328413e+02)) + a3 * ((((EA_wtd_range-3.247272e+00) / (w_log-6.086757e-02))-4.595857e+01) * (((lambda-6.960700e+01) * (at_rad_wtd_std-5.232089e+02))-3.607989e+04))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.22329223086686; Max AE: 2.84839555281008
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  9.695098840195967e-01,  5.303307358451853e-01,  2.309263130089123e-05, -7.121231466606070e-04,  2.897047970797086e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA^7 * eV;                                        36|13|mult|15|sp|mult:1.6345195084939e+00,-1.3287900340615e+00,1.0000000000000e+00,4.7737139418081e-02,-2.5053117506822e+00,-8.1120234919620e-01; ((((EA_wtd_std-2.505312e+00) * (at_rad_mean-8.112023e-01))+1.634520e+00) * (((at_rad_range+4.773714e-02)^6)-1.328790e+00)); $\left(\left(\left(\left(EA_{wtd, std}-2.505e+00\right) * \left(at_{rad, mean}-8.112e-01\right)\right)+1.635e+00\right) * \left(\left(\left(at_{rad, range}+4.774e-02\right)^6\right)-1.329e+00\right)\right)$; ((((EA_wtd_std-2.505312e+00) .* (at_rad_mean-8.112023e-01))+1.634520e+00) .* ((at_rad_range+4.773714e-02).^6-1.328790e+00)); ((((newdata$EA_wtd_std-2.505312e+00) * (newdata$at_rad_mean-8.112023e-01))+1.634520e+00) * ((newdata$at_rad_range+4.773714e-02)^6-1.328790e+00)); EA_wtd_std,at_rad_mean,at_rad_range
# 1;  2; AA^2 * cm^-3 * g;                                 4|17|mult|9|6|div|mult:-6.7456380719197e-01,-3.4693360609463e+00,1.7042651572615e+01,-3.5230949846938e+00,-5.3855611045050e+00,-1.0399124168245e+00; ((((L_avg-5.385561e+00) * (at_rad_std-1.039912e+00))-6.745638e-01) * (((at_mass_range+1.704265e+01) / (V_molar-3.523095e+00))-3.469336e+00)); $\left(\left(\left(\left(L_{avg}-5.386e+00\right) * \left(at_{rad, std}-1.040e+00\right)\right)-6.746e-01\right) * \left(\left(\frac{ at_{mass, range} +1.704e+01 }{ V_{molar}-3.523e+00 } \right)-3.469e+00\right)\right)$; ((((L_avg-5.385561e+00) .* (at_rad_std-1.039912e+00))-6.745638e-01) .* (((at_mass_range+1.704265e+01) ./ (V_molar-3.523095e+00))-3.469336e+00)); ((((newdata$L_avg-5.385561e+00) * (newdata$at_rad_std-1.039912e+00))-6.745638e-01) * (((newdata$at_mass_range+1.704265e+01) / (newdata$V_molar-3.523095e+00))-3.469336e+00)); L_avg,at_rad_std,at_mass_range,V_molar
# 2;  2; W * g * mK^-1 * mol^-1;                           10|19|div|23|37|mult|mult:2.6769382095016e+01,-7.3284125484604e+02,7.4131216929459e+00,-2.7840403523053e+00,-8.2468020368453e+01,-9.2699664236748e+00; ((((at_mass_wtd_range-8.246802e+01) / (IP_mean-9.269966e+00))+2.676938e+01) * (((IP_std+7.413122e+00) * (ThermalCond_mean-2.784040e+00))-7.328413e+02)); $\left(\left(\left(\frac{ at_{mass, wtd, range} -8.247e+01 }{ IP_{mean}-9.270e+00 } \right)+2.677e+01\right) * \left(\left(\left(IP_{std}+7.413e+00\right) * \left(ThermalCond_{mean}-2.784e+00\right)\right)-7.328e+02\right)\right)$; ((((at_mass_wtd_range-8.246802e+01) ./ (IP_mean-9.269966e+00))+2.676938e+01) .* (((IP_std+7.413122e+00) .* (ThermalCond_mean-2.784040e+00))-7.328413e+02)); ((((newdata$at_mass_wtd_range-8.246802e+01) / (newdata$IP_mean-9.269966e+00))+2.676938e+01) * (((newdata$IP_std+7.413122e+00) * (newdata$ThermalCond_mean-2.784040e+00))-7.328413e+02)); at_mass_wtd_range,IP_mean,IP_std,ThermalCond_mean
# 3;  2; AA;                                               34|1|div|0|18|mult|mult:-4.5958567180407e+01,-3.6079894376029e+04,-6.9607004521556e+01,-5.2320893492501e+02,-3.2472722311094e+00,-6.0867566292094e-02; ((((EA_wtd_range-3.247272e+00) / (w_log-6.086757e-02))-4.595857e+01) * (((lambda-6.960700e+01) * (at_rad_wtd_std-5.232089e+02))-3.607989e+04)); $\left(\left(\left(\frac{ EA_{wtd, range} -3.247e+00 }{ w_{log}-6.087e-02 } \right)-4.596e+01\right) * \left(\left(\left(lambda-6.961e+01\right) * \left(at_{rad, wtd, std}-5.232e+02\right)\right)-3.608e+04\right)\right)$; ((((EA_wtd_range-3.247272e+00) ./ (w_log-6.086757e-02))-4.595857e+01) .* (((lambda-6.960700e+01) .* (at_rad_wtd_std-5.232089e+02))-3.607989e+04)); ((((newdata$EA_wtd_range-3.247272e+00) / (newdata$w_log-6.086757e-02))-4.595857e+01) * (((newdata$lambda-6.960700e+01) * (newdata$at_rad_wtd_std-5.232089e+02))-3.607989e+04)); EA_wtd_range,w_log,lambda,at_rad_wtd_std
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02, -1.395635517705894e+00, -3.146505206331334e+00,  1.018634197015040e+00,  1.305620650308283e+04,  2.926222503567653e+03
Se2Ta1      ,  1.250000000000000e-01, -1.475146085915583e+00, -7.104434207547907e-01,  1.376873140860443e-01, -5.651426569716808e+04,  3.442338398014471e+03
Ti1         ,  1.620000000000000e-01,  2.410873933383388e-01,  4.540003984483593e-01, -6.620593235314249e-01, -3.578746662070081e+04,  2.694170636095427e+03
B1Mo1       ,  2.500000000000000e-01,  2.697527548120549e+00, -8.935970734533568e-01,  2.153648321313154e+00, -4.679848814018613e+03,  5.157044889530265e+02
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.667468655331619e+00, -5.790643578101515e-01,  4.935857342369363e-01,  7.509033445045044e+03,  1.451121536811401e+02
Pt1Te1      ,  5.900000000000000e-01,  1.235016392197348e+00, -3.699654193455350e-01,  1.725950310214490e-02, -9.368523150209199e+04, -1.194932113395737e+03
Sb1V3       ,  6.500000000000000e-01,  6.001697019247388e-01, -2.155164974849374e-01,  1.163263887738711e-01, -3.282122337667568e+04,  1.954291122248248e+03
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.525399976949096e+00, -4.791443099591032e-01, -1.501540893378209e-01,  9.846345154063973e+03, -1.327214914085824e+03
Rh1Te2      ,  7.550000000000000e-01,  2.715039474450202e+00, -5.194412152244421e-01,  4.113823960267275e+00, -1.237996260261127e+04,  2.210581817887554e+03
Zr1         ,  9.966666670000000e-01,  2.480655079688023e+00,  9.533553869796524e-01, -1.669672489197048e+00, -3.397393220747611e+04, -4.624842906740304e+02
Be2Ta3      ,  1.000000000000000e+00,  1.372312593744583e-01, -4.540143511431962e-01, -1.036683893083190e+00,  6.630216676308857e+03,  2.700332290578374e+03
C1Si1       ,  1.075000000000000e+00, -2.319677871661163e-01, -1.810179233393014e+00,  2.542476870150052e+00, -7.807140321413330e+04,  1.291221333701060e+03
Nb3Sb1      ,  1.100000000000000e+00,  3.256008674967834e+00,  9.934419751568187e-02,  1.241645564707457e+00, -3.115053378000503e+04, -4.542901177889672e+02
Nb1O1       ,  1.380000000000000e+00,  1.982498329580887e+00, -1.326366587784441e-01, -8.844099908459303e-02,  9.942770777816757e+03,  1.360240646084210e+03
Sb1         ,  1.416666667000000e+00,  1.377254289923190e+00, -2.450965854954515e-01, -3.886340524552860e+00, -9.075388856370503e+04, -4.036691985983592e+03
Sb1Sn1      ,  1.430000000000000e+00,  2.226685435443170e+00, -2.950881208084357e-01, -1.270170866730284e+00, -3.515198568811233e+04, -1.546208426143709e+03
S2Ta1       ,  1.488116666500000e+00,  5.300827775341342e-01, -8.353810372353228e-01, -2.508586672824424e+00, -7.092955234186794e+04, -1.981785878714409e+03
B2C2Y1      ,  1.800000000000000e+00,  9.947729334111938e-01,  1.804847687960306e+00, -4.330837935900007e-02, -1.979050227224188e+04,  4.454440482608098e+03
Re2Y1       ,  1.830000000000000e+00,  1.980090609304376e+00,  7.118723003139364e-01, -7.093015828060177e-01, -2.163622464156672e+04,  1.026961147800963e+03
S1Y1        ,  1.900000000000000e+00,  1.385445857902915e+00, -4.501397266014754e-01,  1.506280861904087e-02, -5.538042297273097e+04, -2.748179451425166e+02
Ga2Pt1      ,  1.900000000000000e+00,  1.947755454952837e+00, -1.126194914700304e+00,  8.264046545131790e-01, -1.286631408536864e+04, -1.985392748366524e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.390345262728542e+00, -1.192208117087215e-01, -1.234896719212377e+00,  2.281418021734667e+04,  3.693921765753748e+02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.985921116528995e+00, -1.770191924041158e-01,  5.550266182406137e-01, -1.484593946506114e+04, -4.338844136643709e+02
Be2Nb1      ,  2.150000000000000e+00,  9.578851991310628e-01, -7.266942745285754e-01, -2.764356650508790e-01,  1.929864710703163e+04,  2.153672029382113e+03
In1Te1      ,  2.206000000000000e+00,  7.263823833534613e-01, -8.654915080748689e-01, -9.647986326374924e-01, -2.523812594631191e+04,  3.329282455556779e+02
C2Cl2Y2     ,  2.300000000000000e+00,  2.765242374378950e+00,  2.284824066802711e+00,  5.363480399275219e-01,  7.607210007149210e+03,  3.941842744755608e+03
Be2Nb3      ,  2.300000000000000e+00,  1.650475302619728e+00, -7.362131708273467e-01,  5.732636591168618e-01,  1.856138218207954e+04,  1.777020198806133e+03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.102350196910311e+00, -2.836632148793525e-01,  1.284344005691184e-01, -1.671329514086054e+04, -1.120814247877751e+03
As1Pt1Sr1   ,  2.425000000000000e+00,  2.019948405622699e+00, -5.391338602108960e-01, -1.142270844645995e-01, -1.537733669292219e+04, -8.604879899487443e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.991622642051754e+00,  2.980356618484135e-01,  1.535395403189938e-01, -2.276796082166886e+04, -3.510229091748307e+02
Re1         ,  2.581333333000000e+00,  3.146657886633569e+00,  1.543874053295832e-01, -3.161285138507479e-01, -3.423778129077285e+04, -1.486011138163629e+03
Nb3Rh1      ,  2.742333333000000e+00,  3.329286853575282e+00,  1.199774422311885e-01,  1.127617821176972e+00,  2.362567156582661e+03,  4.727394637156236e+02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.105870712603469e+00, -5.003379686011936e-01, -3.859637343622885e-01, -2.048008459332154e+04, -1.925977027885791e+03
