# c0 + a0 * ((((ThermalCond_range-7.890845e+01) / (PE_wtd_mean-1.658870e+00))+5.630979e+02) * (|EA_wtd_range - (4.357958e+00*IP_std-6.947948e+00)|-3.744680e+00)) + a1 * ((((ThermalCond_wtd_std+6.870493e+00) * (EA_wtd_mean-2.396304e+00))+1.031104e+02) * ((sin(-8.715128e+01*PE_wtd_mean+3.765290e-01))-4.219468e-01)) + a2 * ((((at_mass_wtd_std-6.366895e+00) / (V_molar-4.681704e+00))-1.578530e+00) * (((at_rad_wtd_mean+4.152132e+01) * (L_avg-3.419261e+01))+1.285558e+03)) + a3 * ((((at_mass_wtd_std-8.197307e+01) / (IP_mean-9.251134e+00))+2.780284e+01) * (ThermalCond_wtd_mean-1.154661e+02)) + a4 * ((((EA_range-7.928144e+00) / (w_log-6.121163e-02))-1.137856e+02) * (((PE_range+8.315835e+01) * (lambda+3.132086e+00))-3.132137e+02))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.08300579135601; Max AE: 3.08134749717412
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -2.878571173506110e-04, -1.767189580104977e-02, -1.141981537723301e-02,  2.940121985805597e-04,  1.815979785621126e-03,  2.988390696828555e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; W * eV * mK^-1;                                   39|26|div|34|23|abd|mult:5.6309790042321e+02,-3.7446800470050e+00,4.3579580123785e+00,-6.9479483978455e+00,-7.8908447629005e+01,-1.6588698045567e+00; ((((ThermalCond_range-7.890845e+01) / (PE_wtd_mean-1.658870e+00))+5.630979e+02) * (|EA_wtd_range - (4.357958e+00*IP_std-6.947948e+00)|-3.744680e+00)); $\left(\left(\left(\frac{ ThermalCond_{range} -7.891e+01 }{ PE_{wtd, mean}-1.659e+00 } \right)+5.631e+02\right) * \left(\left(\left|EA_{wtd, range} - \left(4.358e+00IP_{std}-6.948e+00\right)\right|\right)-3.745e+00\right)\right)$; ((((ThermalCond_range-7.890845e+01) ./ (PE_wtd_mean-1.658870e+00))+5.630979e+02) .* (abs(EA_wtd_range - (4.357958e+00.*IP_std-6.947948e+00))-3.744680e+00)); ((((newdata$ThermalCond_range-7.890845e+01) / (newdata$PE_wtd_mean-1.658870e+00))+5.630979e+02) * (abs(newdata$EA_wtd_range - (4.357958e+00*newdata$IP_std-6.947948e+00))-3.744680e+00)); ThermalCond_range,PE_wtd_mean,EA_wtd_range,IP_std
# 1;  2; W * eV * mK^-1;                                   42|32|mult|26|sin|mult:1.0311039583994e+02,-4.2194677876850e-01,-8.7151279095633e+01,3.7652900551421e-01,6.8704926614097e+00,-2.3963042385300e+00; ((((ThermalCond_wtd_std+6.870493e+00) * (EA_wtd_mean-2.396304e+00))+1.031104e+02) * ((sin(-8.715128e+01*PE_wtd_mean+3.765290e-01))-4.219468e-01)); $\left(\left(\left(\left(ThermalCond_{wtd, std}+6.870e+00\right) * \left(EA_{wtd, mean}-2.396e+00\right)\right)+1.031e+02\right) * \left(\left(\sin{ \left(-8.715e+01PE_{wtd, mean}+3.765e-01 \right)}\right)-4.219e-01\right)\right)$; ((((ThermalCond_wtd_std+6.870493e+00) .* (EA_wtd_mean-2.396304e+00))+1.031104e+02) .* (sin(-8.715128e+01.*PE_wtd_mean+3.765290e-01)-4.219468e-01)); ((((newdata$ThermalCond_wtd_std+6.870493e+00) * (newdata$EA_wtd_mean-2.396304e+00))+1.031104e+02) * (sin(-8.715128e+01*newdata$PE_wtd_mean+3.765290e-01)-4.219468e-01)); ThermalCond_wtd_std,EA_wtd_mean,PE_wtd_mean
# 2;  2; AA^2 * cm^-3 * g;                                 12|6|div|14|4|mult|mult:-1.5785295323344e+00,1.2855576381801e+03,4.1521322785277e+01,-3.4192612494417e+01,-6.3668947008202e+00,-4.6817037791378e+00; ((((at_mass_wtd_std-6.366895e+00) / (V_molar-4.681704e+00))-1.578530e+00) * (((at_rad_wtd_mean+4.152132e+01) * (L_avg-3.419261e+01))+1.285558e+03)); $\left(\left(\left(\frac{ at_{mass, wtd, std} -6.367e+00 }{ V_{molar}-4.682e+00 } \right)-1.579e+00\right) * \left(\left(\left(at_{rad, wtd, mean}+4.152e+01\right) * \left(L_{avg}-3.419e+01\right)\right)+1.286e+03\right)\right)$; ((((at_mass_wtd_std-6.366895e+00) ./ (V_molar-4.681704e+00))-1.578530e+00) .* (((at_rad_wtd_mean+4.152132e+01) .* (L_avg-3.419261e+01))+1.285558e+03)); ((((newdata$at_mass_wtd_std-6.366895e+00) / (newdata$V_molar-4.681704e+00))-1.578530e+00) * (((newdata$at_rad_wtd_mean+4.152132e+01) * (newdata$L_avg-3.419261e+01))+1.285558e+03)); at_mass_wtd_std,V_molar,at_rad_wtd_mean,L_avg
# 3;  2; W * eV^-1 * g * mK^-1 * mol^-1;                   12|19|div|38|mult:2.7802844302835e+01,-1.1546607780805e+02,-8.1973070656574e+01,-9.2511342955043e+00; ((((at_mass_wtd_std-8.197307e+01) / (IP_mean-9.251134e+00))+2.780284e+01) * (ThermalCond_wtd_mean-1.154661e+02)); $\left(\left(\left(\frac{ at_{mass, wtd, std} -8.197e+01 }{ IP_{mean}-9.251e+00 } \right)+2.780e+01\right) * \left(ThermalCond_{wtd, mean}-1.155e+02\right)\right)$; ((((at_mass_wtd_std-8.197307e+01) ./ (IP_mean-9.251134e+00))+2.780284e+01) .* (ThermalCond_wtd_mean-1.154661e+02)); ((((newdata$at_mass_wtd_std-8.197307e+01) / (newdata$IP_mean-9.251134e+00))+2.780284e+01) * (newdata$ThermalCond_wtd_mean-1.154661e+02)); at_mass_wtd_std,IP_mean,ThermalCond_wtd_mean
# 4;  2; Unitless;                                         33|1|div|27|0|mult|mult:-1.1378555462723e+02,-3.1321372733589e+02,8.3158351753623e+01,3.1320855575027e+00,-7.9281438916677e+00,-6.1211632847588e-02; ((((EA_range-7.928144e+00) / (w_log-6.121163e-02))-1.137856e+02) * (((PE_range+8.315835e+01) * (lambda+3.132086e+00))-3.132137e+02)); $\left(\left(\left(\frac{ EA_{range} -7.928e+00 }{ w_{log}-6.121e-02 } \right)-1.138e+02\right) * \left(\left(\left(PE_{range}+8.316e+01\right) * \left(lambda+3.132e+00\right)\right)-3.132e+02\right)\right)$; ((((EA_range-7.928144e+00) ./ (w_log-6.121163e-02))-1.137856e+02) .* (((PE_range+8.315835e+01) .* (lambda+3.132086e+00))-3.132137e+02)); ((((newdata$EA_range-7.928144e+00) / (newdata$w_log-6.121163e-02))-1.137856e+02) * (((newdata$PE_range+8.315835e+01) * (newdata$lambda+3.132086e+00))-3.132137e+02)); EA_range,w_log,PE_range,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
C8Cs1       ,  6.750000000000000e-02,  1.395817996718313e+00,  3.116618612644730e+03,  8.222868097895375e+00, -6.594320815975165e+01,  7.017745061442502e+02, -8.312359653778034e+02
Se2Ta1      ,  1.250000000000000e-01, -9.854569786928206e-01, -5.158630796873449e+01, -5.003781621059499e+01, -3.682541050850890e+01, -1.024795955180763e+04, -1.255781878232808e+03
Ti1         ,  1.620000000000000e-01,  1.164675168750699e-02,  3.930155201272338e+03, -1.195866537636230e+02,  5.285852188856764e+01, -5.766683169400729e+03, -9.139055057640441e+02
B1Mo1       ,  2.500000000000000e-01,  1.359700554528505e+00,  5.168205028523213e+02,  1.289084720469320e+01, -8.770787157591343e+00, -1.724737345060683e+03, -4.654131788923114e+02
Al1Hf1Ni2   ,  3.700000000000000e-01,  5.571967909351137e-01,  4.511088150141000e+03,  5.726835278445091e+01,  4.896904902128623e-01, -2.059982964970159e+02, -2.998190021647206e+01
Pt1Te1      ,  5.900000000000000e-01,  7.635850338224360e-01,  1.725994125039705e+03, -1.185588923229925e+02, -5.706272982193230e+00, -1.626555616411943e+04,  4.922857572811108e+02
Sb1V3       ,  6.500000000000000e-01,  1.227019637809164e+00,  2.772167714303439e+02, -3.932463713131290e+01, -1.873787514087378e+01, -5.249724216984780e+03, -5.765555608582229e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.478053617912491e+00,  2.903877924114115e+03,  3.506318096589091e+01, -2.949210530614610e+00, -2.855165823785970e+02,  5.481689037346437e+02
Rh1Te2      ,  7.550000000000000e-01,  1.133351715599806e+00,  1.358608881764241e+02,  8.095844465957068e+00, -1.359097793767279e+02, -6.155196285854051e+03, -7.793166778194588e+02
Zr1         ,  9.966666670000000e-01,  1.995381553998715e+00,  2.572340307106295e+03, -9.579106603312289e+01,  6.524372544158544e+01, -5.484751204953348e+03,  2.270414285312156e+02
Be2Ta3      ,  1.000000000000000e+00, -6.137729843298185e-01,  3.525563494676656e+01,  6.496836452955365e+01,  2.679125606020443e+01, -1.279675224586504e+02, -1.156579898881570e+03
C1Si1       ,  1.075000000000000e+00,  5.886441645761731e-01, -1.548358667905194e+03,  4.745263282363965e+01,  5.597840629137632e+01, -3.979433482891885e+03, -1.088170482242383e+02
Nb3Sb1      ,  1.100000000000000e+00,  1.872104565871600e+00,  2.892013488969026e+02,  3.821465532552610e+01, -5.326235533723548e+01, -5.005615718755791e+03,  2.785018670767577e+02
Nb1O1       ,  1.380000000000000e+00,  1.992938393511700e+00,  2.120002346214011e+03,  1.215053980875991e+01,  8.602457002854999e+00,  1.647404835640712e+03, -3.064957644656024e+02
Sb1         ,  1.416666667000000e+00,  1.727796563171893e+00,  1.157511240183750e+03, -1.062476784779675e+02,  1.047984630927575e+02, -1.481160573329039e+04,  1.512449477860378e+03
Sb1Sn1      ,  1.430000000000000e+00,  1.520372064950063e+00,  2.035834062509115e+02,  3.906377363760300e+01, -5.071568098206130e+00, -6.433837613381489e+03,  6.137874536910683e+02
S2Ta1       ,  1.488116666500000e+00, -1.786399497067053e-02, -7.325414928167968e+02,  4.158791971623374e+01,  5.352486324957513e+01, -1.168190704043580e+04,  8.610683064325696e+02
B2C2Y1      ,  1.800000000000000e+00, -5.794726564156824e-01, -1.430497435615438e+03, -3.707696610941769e+00, -1.940846547113080e+01, -4.753128771870062e+03, -1.580043745205393e+03
Re2Y1       ,  1.830000000000000e+00,  2.552076865532362e+00,  9.713611898193440e+02, -6.908965205618244e+01, -1.538525253561547e+01, -3.435362930724326e+03, -2.991794682751764e+02
S1Y1        ,  1.900000000000000e+00,  2.908775291241632e+00, -7.811888425046502e+02, -1.170687950387458e+02,  8.667913703372498e+00, -8.907791348627186e+03,  1.897992337019545e+02
Ga2Pt1      ,  1.900000000000000e+00,  4.003694760118229e+00, -1.086508081456414e+03, -8.806569167879934e+01,  6.237352131530021e-01, -2.936642062739320e+03,  9.245027070194768e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  1.918135963568634e+00,  1.148994996876239e+03,  4.869850976045730e+01,  2.631738361578615e+01,  1.960792139024339e+03, -8.528206224091073e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.261833258973861e+00, -1.018886214450125e+03,  2.942126539910123e+01, -1.078950583427102e+01, -3.168303525599556e+03,  1.698169622526920e+02
Be2Nb1      ,  2.150000000000000e+00,  1.779787022420557e+00,  3.194130540926576e+02, -1.678502631729629e+01,  1.094697073940891e+01,  1.835577756482873e+03, -1.006592403202180e+03
In1Te1      ,  2.206000000000000e+00,  1.712229035524898e+00, -1.682529216705114e+03,  1.745295752639053e+01, -7.318952298530156e+00, -5.004664276740921e+03, -3.535918296353424e+01
C2Cl2Y2     ,  2.300000000000000e+00,  4.924556973568435e-01,  3.537970502031873e+02, -1.726192164116771e+01, -5.480741393852183e+01,  1.746736352674562e+03, -2.113787419500756e+03
Be2Nb3      ,  2.300000000000000e+00,  1.464590599551429e+00,  4.740677461302006e+02,  7.167314069508409e+00, -3.279220115582827e+01, -4.351207573956941e+02, -8.299797054209018e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.717680341257222e+00, -1.111307477070952e+03, -2.305849401352792e+01, -6.566752238827324e+00, -2.860264256209191e+03,  4.228384392968478e+02
As1Pt1Sr1   ,  2.425000000000000e+00,  2.560220159135411e+00, -1.016028312555458e+03, -9.339762749675623e+00, -1.888796205395470e+01, -3.373973263172526e+03, -6.024327821705641e+01
Bi1Nb3      ,  2.516666667000000e+00,  2.704009538093448e+00, -3.108338724952088e+02,  6.986130477066597e+00, -1.950219948758002e+01, -3.067609002871231e+03,  2.361282992870125e+02
Re1         ,  2.581333333000000e+00,  2.737198536949168e+00,  7.555028304870651e+02, -1.213231599479150e+02,  1.356530240841899e+02, -5.909198812443387e+03,  6.105703929533888e+02
Hf1In1Pd2   ,  2.630000000000000e+00,  2.741597353642198e+00, -5.427601858737943e+02,  1.141920018198623e+01, -1.182844802270646e+01, -2.694387912597564e+03,  2.510338578906518e+02
Nb3Rh1      ,  2.742333333000000e+00,  2.768112888861619e+00,  1.268534354890460e+03, -1.591538615713394e+01, -5.182613748480208e+01, -2.399649731599155e+03, -1.249729742082322e+01
N1Ni3Zn1    ,  3.000000000000000e+00,  6.081347497174124e+00,  9.762346941858210e+02,  9.279920404754174e+00,  1.610936556905170e+01,  8.262345156904212e+02,  1.915775535275636e+03
B1Hf1       ,  3.100000000000000e+00,  3.526267157332060e+00, -8.148733031472960e+02, -8.552482209143923e+01, -1.657021188806135e+02, -2.415389354995751e+03, -1.316209603993300e+03
Pt0.25V0.75 ,  3.102500000000000e+00,  4.177043856506955e+00, -2.865272415673862e+02,  3.489052176640496e+01,  8.763370012931420e+00, -3.110533739045447e+03,  1.507377379230080e+03
