# c0 + a0 * ((((IP_std+1.607485e+00) * (at_rad_wtd_range-1.513232e-01))-9.119316e-01) * (((ThermalCond_mean-7.337781e+01) / (IP_mean-9.314106e+00))+8.777028e+01)) + a1 * (((lambda3 + 4.543540e+01*lambda)-2.580525e+01) * (((EA_wtd_std-5.647823e+00) / (w_log-6.254762e-02))-8.515130e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.77725014701649; Max AE: 4.53447287984246
# Coefficients
# Task   a0                      a1                      c0
# all ,  2.024920326723274e-02,  5.050878883273679e-03,  4.071811004658477e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * W * mK^-1;                                   23|16|mult|37|19|div|mult:-9.1193160419334e-01,8.7770279914806e+01,-7.3377814082180e+01,-9.3141059523659e+00,1.6074847963750e+00,-1.5132319089578e-01; ((((IP_std+1.607485e+00) * (at_rad_wtd_range-1.513232e-01))-9.119316e-01) * (((ThermalCond_mean-7.337781e+01) / (IP_mean-9.314106e+00))+8.777028e+01)); $\left(\left(\left(\left(IP_{std}+1.607e+00\right) * \left(at_{rad, wtd, range}-1.513e-01\right)\right)-9.119e-01\right) * \left(\left(\frac{ ThermalCond_{mean} -7.338e+01 }{ IP_{mean}-9.314e+00 } \right)+8.777e+01\right)\right)$; ((((IP_std+1.607485e+00) .* (at_rad_wtd_range-1.513232e-01))-9.119316e-01) .* (((ThermalCond_mean-7.337781e+01) ./ (IP_mean-9.314106e+00))+8.777028e+01)); ((((newdata$IP_std+1.607485e+00) * (newdata$at_rad_wtd_range-1.513232e-01))-9.119316e-01) * (((newdata$ThermalCond_mean-7.337781e+01) / (newdata$IP_mean-9.314106e+00))+8.777028e+01)); IP_std,at_rad_wtd_range,ThermalCond_mean,IP_mean
# 1;  2; Unitless;                                         3|0|add|36|1|div|mult:-2.5805252667821e+01,-8.5151296334151e+01,-5.6478232320287e+00,-6.2547624605291e-02,4.5435400111980e+01,0.0000000000000e+00; (((lambda3 + 4.543540e+01*lambda)-2.580525e+01) * (((EA_wtd_std-5.647823e+00) / (w_log-6.254762e-02))-8.515130e+01)); $\left(\left(\left(lambda3 + 45.4lambda\right)-2.581e+01\right) * \left(\left(\frac{ EA_{wtd, std} -5.648e+00 }{ w_{log}-6.255e-02 } \right)-8.515e+01\right)\right)$; (((lambda3 + (4.543540e+01.*lambda))-2.580525e+01) .* (((EA_wtd_std-5.647823e+00) ./ (w_log-6.254762e-02))-8.515130e+01)); (((newdata$lambda3 + (4.543540e+01*newdata$lambda))-2.580525e+01) * (((newdata$EA_wtd_std-5.647823e+00) / (newdata$w_log-6.254762e-02))-8.515130e+01)); lambda3,lambda,EA_wtd_std,w_log
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  2.470261256093812e+00,  5.921389104660466e+00, -3.408224984111217e+02
Se2Ta1      ,  1.250000000000000e-01, -6.688236586242520e-01, -1.304836830579355e+02, -4.154611683393471e+02
Ti1         ,  1.620000000000000e-01,  7.701539211780656e-01, -1.253100079138238e+02, -1.513061943230605e+02
B1Mo1       ,  2.500000000000000e-01,  3.608441689136912e+00, -3.868467401006364e+01,  6.334828437372216e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.000880337881273e+00, -5.731736399066470e+01,  1.775934238074496e+01
Pt1Te1      ,  5.900000000000000e-01,  4.917902669747211e-01, -2.246457716040581e+02,  1.918234780603546e+02
Sb1V3       ,  6.500000000000000e-01,  8.215765733996970e-01, -1.352573186802424e+02, -1.012460412810827e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.905268003452948e+00, -5.768050174332537e+01,  1.982706824484305e+02
Rh1Te2      ,  7.550000000000000e-01,  8.846468243902277e-01, -1.044101132970947e+02, -2.124269058428027e+02
Zr1         ,  9.966666670000000e-01,  2.409595373108538e+00, -1.232337794191325e+02,  1.649554932026773e+02
Be2Ta3      ,  1.000000000000000e+00,  2.481230081482869e+00, -7.420439266418359e+00, -2.851628347112959e+02
C1Si1       ,  1.075000000000000e+00,  1.131697378951783e+00, -2.136249666959083e+02,  2.743328002702969e+02
Nb3Sb1      ,  1.100000000000000e+00,  2.689415050530752e+00, -1.154421572598196e+02,  1.891187209017167e+02
Nb1O1       ,  1.380000000000000e+00,  3.935757054458972e+00,  2.758720858043192e+01, -1.375350627829689e+02
Sb1         ,  1.416666667000000e+00,  3.002901256077474e+00, -1.860068556964600e+02,  5.340814824225267e+02
Sb1Sn1      ,  1.430000000000000e+00,  2.485265101836279e+00, -1.366123853275631e+02,  2.335724304148249e+02
S2Ta1       ,  1.488116666500000e+00,  3.294119163736568e+00, -1.690457418998158e+02,  5.237404834687040e+02
B2C2Y1      ,  1.800000000000000e+00,  1.062409283444448e+00, -1.632652117722464e+01, -5.303636727700321e+02
Re2Y1       ,  1.830000000000000e+00,  2.017124449012989e+00, -9.078468552753174e+01, -4.283789214649655e+01
S1Y1        ,  1.900000000000000e+00,  4.803390697036807e+00,  1.431704930514628e+01,  8.744435592665924e+01
Ga2Pt1      ,  1.900000000000000e+00,  1.785388341699381e+00, -1.189894926197532e+02,  2.435610962095439e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.330587614098833e+00, -5.687473443096563e+01,  8.126202928010699e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  4.261469377776395e+00, -5.779519334663189e+00,  6.071993449061638e+01
Be2Nb1      ,  2.150000000000000e+00,  2.574442975107138e+00, -2.359814295732441e+01, -2.018508975646759e+02
