# c0 + a0 * ((((lambda4w_low-3.314389e-02) / (density-2.834613e+00))-2.475436e-03) * (((IP_range-4.886293e+00) * (EA_range-1.140002e+00))+1.414601e+00))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.29568971240204; Max AE: 6.47987286108015
# Coefficients
# Task   a0                      c0
# all ,  4.234784517030712e+01,  4.715234995645787e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * eV^3 * g^-1;                               2|5|div|21|33|mult|mult:-2.4754356692807e-03,1.4146013734420e+00,-4.8862925259757e+00,-1.1400016494236e+00,-3.3143887143288e-02,-2.8346130551947e+00; ((((lambda4w_low-3.314389e-02) / (density-2.834613e+00))-2.475436e-03) * (((IP_range-4.886293e+00) * (EA_range-1.140002e+00))+1.414601e+00)); $\left(\left(\left(\frac{ lambda4w_{low} -3.314e-02 }{ density-2.835e+00 } \right)-2.475e-03\right) * \left(\left(\left(IP_{range}-4.886e+00\right) * \left(EA_{range}-1.140e+00\right)\right)+1.415e+00\right)\right)$; ((((lambda4w_low-3.314389e-02) ./ (density-2.834613e+00))-2.475436e-03) .* (((IP_range-4.886293e+00) .* (EA_range-1.140002e+00))+1.414601e+00)); ((((newdata$lambda4w_low-3.314389e-02) / (newdata$density-2.834613e+00))-2.475436e-03) * (((newdata$IP_range-4.886293e+00) * (newdata$EA_range-1.140002e+00))+1.414601e+00)); lambda4w_low,density,IP_range,EA_range
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  7.495783064536029e-01, -9.364482828450428e-02
Se2Ta1      ,  1.250000000000000e-01,  7.235028105080517e-01, -9.426057380451092e-02
Ti1         ,  1.620000000000000e-01, -7.480158048029639e-01, -1.290089443389058e-01
B1Mo1       ,  2.500000000000000e-01,  3.475873898535851e+00, -2.926621395080887e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  4.309247893734272e+00, -9.586960098649363e-03
Pt1Te1      ,  5.900000000000000e-01,  3.257333745457792e+00, -3.442681072259671e-02
Sb1V3       ,  6.500000000000000e-01,  3.531478902849593e+00, -2.795316002586605e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.666050328159477e+00, -2.477539679449766e-02
Rh1Te2      ,  7.550000000000000e-01,  3.895373481420802e+00, -1.936017076967695e-02
Zr1         ,  9.966666670000000e-01,  1.693650752884941e+00, -7.135154647442320e-02
Be2Ta3      ,  1.000000000000000e+00,  3.719740682596361e+00, -2.350755532060539e-02
C1Si1       ,  1.075000000000000e+00,  1.234390840375982e+00, -8.219648818661629e-02
Nb3Sb1      ,  1.100000000000000e+00,  3.424511911434335e+00, -3.047907346927923e-02
Nb1O1       ,  1.380000000000000e+00,  4.601188819092924e+00, -2.693080984267621e-03
Sb1         ,  1.416666667000000e+00,  2.616202395858752e+00, -4.956645589275002e-02
Sb1Sn1      ,  1.430000000000000e+00,  2.738900937554784e+00, -4.666905836986345e-02
S2Ta1       ,  1.488116666500000e+00,  4.603727478511337e+00, -2.633133201607032e-03
B2C2Y1      ,  1.800000000000000e+00,  3.447958879417026e+00, -2.992539788346380e-02
Re2Y1       ,  1.830000000000000e+00,  3.681739183312946e+00, -2.440492091572805e-02
S1Y1        ,  1.900000000000000e+00,  4.051874617326648e+00, -1.566456039619850e-02
Ga2Pt1      ,  1.900000000000000e+00,  4.691404064176805e+00, -5.627424813031981e-04
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.501535873483205e+00, -2.866023329596913e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  4.209514290971609e+00, -1.194206464674552e-02
Be2Nb1      ,  2.150000000000000e+00,  3.473019741055962e+00, -2.933361188967471e-02
In1Te1      ,  2.206000000000000e+00,  4.497728685604722e+00, -5.136183651525508e-03
C2Cl2Y2     ,  2.300000000000000e+00,  2.998269595832161e+00, -4.054433921982655e-02
Be2Nb3      ,  2.300000000000000e+00,  3.869761596386718e+00, -1.996496860368909e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.214238880318147e+00, -1.183049841881734e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  4.497355884599725e+00, -5.144986956711346e-03
Bi1Nb3      ,  2.516666667000000e+00,  3.085546248980400e+00, -3.848339248694688e-02
Re1         ,  2.581333333000000e+00,  3.530107969023645e+00, -2.798553319197248e-02
Hf1In1Pd2   ,  2.630000000000000e+00,  4.034445173411271e+00, -1.607613845513592e-02
Nb3Rh1      ,  2.742333333000000e+00,  3.164574905568080e+00, -3.661721355222528e-02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.164527335790114e+00, -1.300438446492222e-02
N1Ni3Zn1    ,  3.000000000000000e+00,  5.183215242437519e+00,  1.105086327083920e-02
B1Hf1       ,  3.100000000000000e+00,  3.569933365847368e+00, -2.704509816715457e-02
Pt0.25V0.75 ,  3.102500000000000e+00,  4.685797766148606e+00, -6.951293360688309e-04
C2Y1        ,  3.150000000000000e+00,  3.578424535523350e+00, -2.684458809062450e-02
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.642326457789471e+00, -2.533561114010597e-02
In1Sb1      ,  3.320000000000000e+00,  4.179796068171094e+00, -1.264382934530336e-02
Bi2K1       ,  3.575000000000000e+00,  3.645145310842054e+00, -2.526904687830596e-02
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.163788895366071e+00, -1.302182196194415e-02
Hg0.5In0.5  ,  3.810000000000000e+00,  4.543929732013058e+00, -4.045194340911632e-03
C1W2        ,  3.835000000000000e+00,  4.234658428097248e+00, -1.134831218957755e-02
C1Ga1Mo2    ,  3.900000000000000e+00,  4.336196910193423e+00, -8.950587306816091e-03
Ba1Ge3      ,  4.000000000000000e+00,  4.422296479045295e+00, -6.917436186478982e-03
Bi2Rb1      ,  4.250000000000000e+00,  3.717878987628447e+00, -2.355151729695688e-02
Rh1Se2      ,  4.350000000000000e+00,  4.036565465108690e+00, -1.602606998792367e-02
Al1Au2Sc1   ,  4.400000000000000e+00,  4.279766259546007e+00, -1.028313800497966e-02
B2Nb1       ,  4.597500000000000e+00,  3.587768060144316e+00, -2.662395054499757e-02
Pb3Y1       ,  4.720000000000000e+00,  3.372862568001112e+00, -3.169871860648771e-02
Bi2Cs1      ,  4.750000000000000e+00,  3.848215130905368e+00, -2.047376581390603e-02
