# c0 + a0 * ((((EA_wtd_range+8.357799e+01) / (density-2.712169e+00))+2.270127e+02) * (((PE_wtd_range-4.537525e-01) * (lambda4w_low-4.118487e-02))+1.657551e-02))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.24956028422078; Max AE: 6.08821457095843
# Coefficients
# Task   a0                      c0
# all , -5.446793823814549e-01,  6.665002990400500e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * eV^2 * g^-1;                               34|5|div|28|2|mult|mult:2.2701269730549e+02,1.6575513723628e-02,-4.5375254725104e-01,-4.1184868231469e-02,8.3577986470138e+01,-2.7121685564576e+00; ((((EA_wtd_range+8.357799e+01) / (density-2.712169e+00))+2.270127e+02) * (((PE_wtd_range-4.537525e-01) * (lambda4w_low-4.118487e-02))+1.657551e-02)); $\left(\left(\left(\frac{ EA_{wtd, range} +8.358e+01 }{ density-2.712e+00 } \right)+2.270e+02\right) * \left(\left(\left(PE_{wtd, range}-4.538e-01\right) * \left(lambda4w_{low}-4.118e-02\right)\right)+1.658e-02\right)\right)$; ((((EA_wtd_range+8.357799e+01) ./ (density-2.712169e+00))+2.270127e+02) .* (((PE_wtd_range-4.537525e-01) .* (lambda4w_low-4.118487e-02))+1.657551e-02)); ((((newdata$EA_wtd_range+8.357799e+01) / (newdata$density-2.712169e+00))+2.270127e+02) * (((newdata$PE_wtd_range-4.537525e-01) * (newdata$lambda4w_low-4.118487e-02))+1.657551e-02)); EA_wtd_range,density,PE_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  1.057843550637900e+00,  1.029442204191188e+01
Se2Ta1      ,  1.250000000000000e-01,  1.035696016156903e+00,  1.033508364063839e+01
Ti1         ,  1.620000000000000e-01,  1.627301729190040e+00,  9.248929598151028e+00
B1Mo1       ,  2.500000000000000e-01,  2.533488900385323e+00,  7.585222102498744e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.335487435176354e+00,  6.112798947275719e+00
Pt1Te1      ,  5.900000000000000e-01,  2.772249050186320e+00,  7.146872208002856e+00
Sb1V3       ,  6.500000000000000e-01,  2.909597640364343e+00,  6.894708100785311e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.320175654460054e+00,  6.140910495484783e+00
Rh1Te2      ,  7.550000000000000e-01,  2.480919761728403e+00,  7.681736015742673e+00
Zr1         ,  9.966666670000000e-01,  2.083002930384837e+00,  8.412288418155608e+00
Be2Ta3      ,  1.000000000000000e+00,  2.349180139133282e+00,  7.923602381271559e+00
C1Si1       ,  1.075000000000000e+00,  3.319769925381919e+00,  6.141655390722715e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.099772055773502e+00,  6.545558818545773e+00
Nb1O1       ,  1.380000000000000e+00,  6.907940875091011e+00, -4.460199753262821e-01
Sb1         ,  1.416666667000000e+00,  2.768034109410570e+00,  7.154610596699195e+00
Sb1Sn1      ,  1.430000000000000e+00,  2.419862863355916e+00,  7.793832967357645e+00
S2Ta1       ,  1.488116666500000e+00,  3.865550589797854e+00,  5.139633500285692e+00
B2C2Y1      ,  1.800000000000000e+00,  3.729073427772398e+00,  5.390197715565421e+00
Re2Y1       ,  1.830000000000000e+00,  3.773343652588671e+00,  5.308920130534178e+00
S1Y1        ,  1.900000000000000e+00,  5.504644008542842e+00,  2.130352312555543e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.306342750243945e+00,  6.166306911548172e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.568245197319444e+00,  7.521411541536883e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  4.731446537414092e+00,  3.549898372382823e+00
Be2Nb1      ,  2.150000000000000e+00,  1.871828994612827e+00,  8.799991611268430e+00
In1Te1      ,  2.206000000000000e+00,  2.956825377312403e+00,  6.808000693683595e+00
C2Cl2Y2     ,  2.300000000000000e+00,  4.466142745124041e+00,  4.036980866913983e+00
Be2Nb3      ,  2.300000000000000e+00,  2.063927751017975e+00,  8.447309349705213e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.991924304836059e+00,  3.071676181773915e+00
As1Pt1Sr1   ,  2.425000000000000e+00,  5.071070406383783e+00,  2.926368494154675e+00
Bi1Nb3      ,  2.516666667000000e+00,  3.054464524822125e+00,  6.628740837944568e+00
Re1         ,  2.581333333000000e+00,  2.500285128676368e+00,  7.646182316494326e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  3.913107960629689e+00,  5.052320904343646e+00
Nb3Rh1      ,  2.742333333000000e+00,  3.496321923687395e+00,  5.817516082321590e+00
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.653637437885605e+00,  5.528693851690439e+00
N1Ni3Zn1    ,  3.000000000000000e+00,  4.925144448341926e+00,  3.194280155146575e+00
B1Hf1       ,  3.100000000000000e+00,  4.095724964490663e+00,  4.717046594780957e+00
Pt0.25V0.75 ,  3.102500000000000e+00,  3.987945281882640e+00,  4.914923889377253e+00
C2Y1        ,  3.150000000000000e+00,  5.005147137025187e+00,  3.047399822842694e+00
Pb1Pd2Y1    ,  3.215000000000000e+00,  4.155204779702593e+00,  4.607845077088344e+00
In1Sb1      ,  3.320000000000000e+00,  3.481784462934242e+00,  5.844206023640082e+00
Bi2K1       ,  3.575000000000000e+00,  4.850067609095236e+00,  3.332116911365322e+00
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.267485523719658e+00,  4.401704092779100e+00
Hg0.5In0.5  ,  3.810000000000000e+00,  4.150795351953304e+00,  4.615940532675464e+00
C1W2        ,  3.835000000000000e+00,  2.839298164414815e+00,  7.023773892925568e+00
C1Ga1Mo2    ,  3.900000000000000e+00,  3.360996763417307e+00,  6.065965288675643e+00
Ba1Ge3      ,  4.000000000000000e+00,  4.279354164766624e+00,  4.379913950851799e+00
Bi2Rb1      ,  4.250000000000000e+00,  4.897695647662688e+00,  3.244674573527579e+00
Ba1Sn3      ,  4.300000000000000e+00,  4.134278894904300e+00,  4.646263797302796e+00
Rh1Se2      ,  4.350000000000000e+00,  2.908422604952025e+00,  6.896865398179569e+00
Al1Au2Sc1   ,  4.400000000000000e+00,  5.560820852370379e+00,  2.027214860240166e+00
B2Nb1       ,  4.597500000000000e+00,  3.309101654352583e+00,  6.161241722378398e+00
Pb3Y1       ,  4.720000000000000e+00,  4.353651668482958e+00,  4.243508009816378e+00
Al1Si1Sr1   ,  4.750000000000000e+00,  2.616951188191613e+00,  7.431990145303348e+00
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.969766590544341e+00,  4.948298920498897e+00
Br2C2Y2     ,  5.050000000000000e+00,  5.429150430143464e+00,  2.268954177875476e+00
Ir1Mo1      ,  5.325000000000000e+00,  2.390328966123875e+00,  7.848055503013232e+00
N1Ti1       ,  5.387500000000000e+00,  5.739795271218899e+00,  1.698628127131222e+00
Ga1         ,  5.527454545000000e+00,  3.032441617107845e+00,  6.669173629099598e+00
B6Y1        ,  5.692857143000000e+00,  3.776709852824052e+00,  5.302739980625320e+00
Bi3Sr1      ,  5.700000000000000e+00,  4.241061456874796e+00,  4.450217158813158e+00
Ba1Bi3      ,  5.745000000000000e+00,  4.398153667566740e+00,  4.161804900568494e+00
Nb1S2       ,  5.821818182000000e+00,  4.434210147403570e+00,  4.095607278622198e+00
C1Mo2       ,  6.021666667000000e+00,  3.033592006118312e+00,  6.667061581080747e+00
Rh2Sr1      ,  6.200000000000000e+00,  5.081938922695048e+00,  2.906414523685394e+00
Pb1         ,  6.470100000000000e+00,  2.304374170603336e+00,  8.005863560929296e+00
Sn1Ta3      ,  6.692500000000000e+00,  6.393552985799382e+00,  4.983665866225375e-01
Ag1B2       ,  6.700000000000000e+00,  2.419360029013822e+00,  7.794756142271840e+00
Nb1Se2      ,  6.814619048000000e+00,  5.418670628536144e+00,  2.288194490518669e+00
Li1Pb1      ,  7.200000000000000e+00,  5.619633803230704e+00,  1.919237667119357e+00
Tc1         ,  7.794166667000000e+00,  3.707599227790178e+00,  5.429623110902269e+00
P1Ru1Zr1    ,  8.496153846000000e+00,  4.412073684142553e+00,  4.136248551225967e+00
C1Ta1       ,  8.637499999999999e+00,  4.870335500201687e+00,  3.294906229701852e+00
Hf1N1       ,  8.830000000000000e+00,  6.288982379330916e+00,  6.903522021074875e-01
N1Zr1       ,  9.850000000000000e+00,  6.240481090573669e+00,  7.793977770385394e-01
C2I2Y2      ,  9.917500000000000e+00,  4.182394592486396e+00,  4.557926145578723e+00
C1Mo1       ,  1.015200000000000e+01,  4.950506672937479e+00,  3.147716570373705e+00
Mo3Os1      ,  1.102250000000000e+01,  4.934285429041570e+00,  3.177497840641335e+00
C6Ca        ,  1.130300000000000e+01,  1.195043968255441e+01, -9.703757592301084e+00
Nb3Sn1      ,  1.670900000000000e+01,  1.726902070026012e+01, -1.946836625887432e+01
B2Mg0.98    ,  3.840000000000000e+01,  3.822399451906522e+01, -5.794049224092540e+01
