# c0 + a0 * ((((PE_mean+1.841737e+00)^6)+5.458442e+01) * ((sin(7.466098e+01*PE_wtd_range+1.742269e-02))+5.796249e-01)) + a1 * ((((PE_wtd_std-4.826909e-01) * (lambda4w_low-2.934692e-02))-7.625144e-03) * (((PE_wtd_std-2.477014e+00) / (density-2.697158e+00))+3.277946e+00))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.82289806686928; Max AE: 5.1091182731677
# Coefficients
# Task   a0                      a1                      c0
# all ,  5.843178402200527e-04, -4.551916164744792e+01,  2.083971704852349e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         25|sp|28|sin|mult:5.4584424454637e+01,5.7962492977604e-01,7.4660975784804e+01,1.7422693622676e-02,1.0000000000000e+00,1.8417368390694e+00; ((((PE_mean+1.841737e+00)^6)+5.458442e+01) * ((sin(7.466098e+01*PE_wtd_range+1.742269e-02))+5.796249e-01)); $\left(\left(\left(\left(PE_{mean}+1.842e+00\right)^6\right)+5.458e+01\right) * \left(\left(\sin{ \left(7.466e+01PE_{wtd, range}+1.742e-02 \right)}\right)+5.796e-01\right)\right)$; (((PE_mean+1.841737e+00).^6+5.458442e+01) .* (sin(7.466098e+01.*PE_wtd_range+1.742269e-02)+5.796249e-01)); (((newdata$PE_mean+1.841737e+00)^6+5.458442e+01) * (sin(7.466098e+01*newdata$PE_wtd_range+1.742269e-02)+5.796249e-01)); PE_mean,PE_wtd_range
# 1;  2; cm^3 * eV * g^-1;                                 30|2|mult|30|5|div|mult:-7.6251443012153e-03,3.2779461214059e+00,-2.4770143072091e+00,-2.6971580130610e+00,-4.8269090364659e-01,-2.9346920859690e-02; ((((PE_wtd_std-4.826909e-01) * (lambda4w_low-2.934692e-02))-7.625144e-03) * (((PE_wtd_std-2.477014e+00) / (density-2.697158e+00))+3.277946e+00)); $\left(\left(\left(\left(PE_{wtd, std}-4.827e-01\right) * \left(lambda4w_{low}-2.935e-02\right)\right)-7.625e-03\right) * \left(\left(\frac{ PE_{wtd, std} -2.477e+00 }{ density-2.697e+00 } \right)+3.278e+00\right)\right)$; ((((PE_wtd_std-4.826909e-01) .* (lambda4w_low-2.934692e-02))-7.625144e-03) .* (((PE_wtd_std-2.477014e+00) ./ (density-2.697158e+00))+3.277946e+00)); ((((newdata$PE_wtd_std-4.826909e-01) * (newdata$lambda4w_low-2.934692e-02))-7.625144e-03) * (((newdata$PE_wtd_std-2.477014e+00) / (newdata$density-2.697158e+00))+3.277946e+00)); PE_wtd_std,lambda4w_low,PE_wtd_std,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  2.451372584419402e+00,  2.561563190191541e+03,  2.481078628073055e-02
Se2Ta1      ,  1.250000000000000e-01,  2.833157085512373e-01,  9.515599945345141e+02,  5.177313008091074e-02
Ti1         ,  1.620000000000000e-01,  2.051323471751488e+00,  9.255806626626307e+02,  1.259868385316556e-02
B1Mo1       ,  2.500000000000000e-01,  7.589738531013256e-01, -1.511831401609309e+03,  9.701580090734742e-03
Al1Hf1Ni2   ,  3.700000000000000e-01,  1.854606988001236e+00, -6.641724023161786e+02, -3.486950573329361e-03
Pt1Te1      ,  5.900000000000000e-01,  4.315512766202489e+00,  4.427522013291371e+03,  7.810755429476316e-03
Sb1V3       ,  6.500000000000000e-01,  1.790444498351062e+00, -3.324580234550234e+02,  2.180753086821972e-03
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.223843027871316e+00, -1.604469899661948e+02, -5.132417935885256e-03
Rh1Te2      ,  7.550000000000000e-01,  2.297477212116084e+00,  1.265307637515567e+03,  1.155197722611794e-02
Zr1         ,  9.966666670000000e-01,  1.833190947793541e+00,  6.404321615096698e+02,  1.373040873028995e-02
Be2Ta3      ,  1.000000000000000e+00,  2.372918036253800e+00,  1.778425742751586e+03,  1.648140102854817e-02
C1Si1       ,  1.075000000000000e+00,  1.916849215073852e+00, -7.873710686543117e+02, -6.435805535662136e-03
Nb3Sb1      ,  1.100000000000000e+00,  3.030535432003745e+00,  1.574050580052413e+03, -5.891561014624308e-04
Nb1O1       ,  1.380000000000000e+00,  5.460472770516204e+00,  1.259393195981053e+03, -5.801106737976194e-02
Sb1         ,  1.416666667000000e+00,  3.323996708127698e+00,  2.106877788629481e+03, -1.963727777985440e-04
Sb1Sn1      ,  1.430000000000000e+00,  2.334368887587104e+00,  1.140689005069524e+03,  9.141814963403693e-03
S2Ta1       ,  1.488116666500000e+00,  1.685827971521290e+00, -1.331760156639329e+03, -8.348736473464020e-03
B2C2Y1      ,  1.800000000000000e+00,  4.169254078904192e+00,  2.261775616694947e+03, -1.677725386414472e-02
Re2Y1       ,  1.830000000000000e+00,  2.534781957237555e+00,  3.889047604567944e+01, -9.404519721444958e-03
S1Y1        ,  1.900000000000000e+00,  5.282329792346766e+00,  3.016475028327986e+03, -3.154227498705666e-02
Ga2Pt1      ,  1.900000000000000e+00,  3.558706905844668e+00,  2.358163176039724e+03, -2.126980892842409e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  5.188634356316411e-01, -1.805598709237137e+03,  1.120549484381259e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.670334242520713e+00,  2.855834989385057e+02, -3.118447161571826e-02
Be2Nb1      ,  2.150000000000000e+00,  2.887086889316112e+00,  2.387864300477404e+03,  1.300895062426882e-02
In1Te1      ,  2.206000000000000e+00,  2.029024730494650e+00,  3.680277721847600e+01,  1.679545292337024e-03
C2Cl2Y2     ,  2.300000000000000e+00,  2.148729264372753e+00, -9.442267153963451e+02, -1.354344087691330e-02
Be2Nb3      ,  2.300000000000000e+00,  2.808494845662704e+00,  2.456064104873513e+03,  1.561098461995014e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.672596664250382e+00,  1.628629338638680e+03, -3.596260832755134e-02
