# c0 + a0 * ((((EA_wtd_range+6.403060e-03) / (V_molar-8.363332e+00))-2.029842e-02) * (((at_mass_wtd_mean-3.712494e+01) * (w_log-1.063822e-02))-1.382717e-01)) + a1 * ((((PE_wtd_std-2.536749e-01) / (L_avg-3.495919e+00))-3.754542e-01) * (((IP_wtd_range+9.520672e+01) * (ThermalCond_std-3.165540e+03))+3.026266e+05)) + a2 * ((((PE_std-7.803387e+00) / (lambda4w_low-4.685967e-02))-1.114879e+02) * (|EA_range - (1.882588e+00*EA_wtd_mean-6.397215e-01)|-4.868654e-01)) + a3 * ((((lambda4w_low-1.838142e-02) * (EA_wtd_std-7.768215e-01))+5.994108e-02) * (((at_rad_mean+7.452600e+02) / (density-2.710597e+00))+3.262013e+03))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.18056753962962; Max AE: 3.24906219429034
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  9.090245862805570e+01,  2.832573394642386e-04, -1.331096458427580e-02, -1.877540644091763e-02,  7.095712107736835e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^-3 * eV^2 * g;                                 34|6|div|8|1|mult|mult:-2.0298415338715e-02,-1.3827167010376e-01,-3.7124935862191e+01,-1.0638219984096e-02,6.4030595370803e-03,-8.3633315413488e+00; ((((EA_wtd_range+6.403060e-03) / (V_molar-8.363332e+00))-2.029842e-02) * (((at_mass_wtd_mean-3.712494e+01) * (w_log-1.063822e-02))-1.382717e-01)); $\left(\left(\left(\frac{ EA_{wtd, range} +6.403e-03 }{ V_{molar}-8.363e+00 } \right)-2.030e-02\right) * \left(\left(\left(at_{mass, wtd, mean}-3.712e+01\right) * \left(w_{log}-1.064e-02\right)\right)-1.383e-01\right)\right)$; ((((EA_wtd_range+6.403060e-03) ./ (V_molar-8.363332e+00))-2.029842e-02) .* (((at_mass_wtd_mean-3.712494e+01) .* (w_log-1.063822e-02))-1.382717e-01)); ((((newdata$EA_wtd_range+6.403060e-03) / (newdata$V_molar-8.363332e+00))-2.029842e-02) * (((newdata$at_mass_wtd_mean-3.712494e+01) * (newdata$w_log-1.063822e-02))-1.382717e-01)); EA_wtd_range,V_molar,at_mass_wtd_mean,w_log
# 1;  2; AA^-1 * W * eV * mK^-1;                           30|4|div|22|41|mult|mult:-3.7545421283834e-01,3.0262660051582e+05,9.5206722433171e+01,-3.1655396712803e+03,-2.5367489405527e-01,-3.4959193509328e+00; ((((PE_wtd_std-2.536749e-01) / (L_avg-3.495919e+00))-3.754542e-01) * (((IP_wtd_range+9.520672e+01) * (ThermalCond_std-3.165540e+03))+3.026266e+05)); $\left(\left(\left(\frac{ PE_{wtd, std} -2.537e-01 }{ L_{avg}-3.496e+00 } \right)-3.755e-01\right) * \left(\left(\left(IP_{wtd, range}+9.521e+01\right) * \left(ThermalCond_{std}-3.166e+03\right)\right)+3.026e+05\right)\right)$; ((((PE_wtd_std-2.536749e-01) ./ (L_avg-3.495919e+00))-3.754542e-01) .* (((IP_wtd_range+9.520672e+01) .* (ThermalCond_std-3.165540e+03))+3.026266e+05)); ((((newdata$PE_wtd_std-2.536749e-01) / (newdata$L_avg-3.495919e+00))-3.754542e-01) * (((newdata$IP_wtd_range+9.520672e+01) * (newdata$ThermalCond_std-3.165540e+03))+3.026266e+05)); PE_wtd_std,L_avg,IP_wtd_range,ThermalCond_std
# 2;  2; Unitless;                                         29|2|div|33|32|abd|mult:-1.1148786782353e+02,-4.8686538874641e-01,1.8825883543091e+00,-6.3972151296279e-01,-7.8033867593125e+00,-4.6859666862592e-02; ((((PE_std-7.803387e+00) / (lambda4w_low-4.685967e-02))-1.114879e+02) * (|EA_range - (1.882588e+00*EA_wtd_mean-6.397215e-01)|-4.868654e-01)); $\left(\left(\left(\frac{ PE_{std} -7.803e+00 }{ lambda4w_{low}-4.686e-02 } \right)-1.115e+02\right) * \left(\left(\left|EA_{range} - \left(1.883e+00EA_{wtd, mean}-6.397e-01\right)\right|\right)-4.869e-01\right)\right)$; ((((PE_std-7.803387e+00) ./ (lambda4w_low-4.685967e-02))-1.114879e+02) .* (abs(EA_range - (1.882588e+00.*EA_wtd_mean-6.397215e-01))-4.868654e-01)); ((((newdata$PE_std-7.803387e+00) / (newdata$lambda4w_low-4.685967e-02))-1.114879e+02) * (abs(newdata$EA_range - (1.882588e+00*newdata$EA_wtd_mean-6.397215e-01))-4.868654e-01)); PE_std,lambda4w_low,EA_range,EA_wtd_mean
# 3;  2; AA * cm^3 * eV^2 * g^-1;                          2|36|mult|13|5|div|mult:5.9941078677634e-02,3.2620134120367e+03,7.4525997743447e+02,-2.7105971032833e+00,-1.8381416626975e-02,-7.7682149771423e-01; ((((lambda4w_low-1.838142e-02) * (EA_wtd_std-7.768215e-01))+5.994108e-02) * (((at_rad_mean+7.452600e+02) / (density-2.710597e+00))+3.262013e+03)); $\left(\left(\left(\left(lambda4w_{low}-1.838e-02\right) * \left(EA_{wtd, std}-7.768e-01\right)\right)+5.994e-02\right) * \left(\left(\frac{ at_{rad, mean} +7.453e+02 }{ density-2.711e+00 } \right)+3.262e+03\right)\right)$; ((((lambda4w_low-1.838142e-02) .* (EA_wtd_std-7.768215e-01))+5.994108e-02) .* (((at_rad_mean+7.452600e+02) ./ (density-2.710597e+00))+3.262013e+03)); ((((newdata$lambda4w_low-1.838142e-02) * (newdata$EA_wtd_std-7.768215e-01))+5.994108e-02) * (((newdata$at_rad_mean+7.452600e+02) / (newdata$density-2.710597e+00))+3.262013e+03)); lambda4w_low,EA_wtd_std,at_rad_mean,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
C8Cs1       ,  6.750000000000000e-02,  5.479093858842851e-02,  5.719425594704361e-03, -3.449947002773768e+02,  1.168136884473973e+01,  3.892122640713436e+02
Se2Ta1      ,  1.250000000000000e-01, -3.683723235141297e-01, -2.877645288285967e-03, -4.004858407017044e+02,  1.001017012767392e+01,  3.704747403254651e+02
Ti1         ,  1.620000000000000e-01,  1.839052343587317e+00,  5.744948711560660e-04, -1.176808602501691e+03,  2.457927670854868e-01,  2.648289592788594e+02
B1Mo1       ,  2.500000000000000e-01,  2.701590910603777e+00,  6.790171609531467e-03, -3.470827996994171e+03, -2.264813036806846e+01,  2.306046189537051e+02
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.173167467705870e+00,  1.208690098976215e-04, -2.925873032682824e+03,  7.114884271079771e-01,  2.181197160757277e+02
Pt1Te1      ,  5.900000000000000e-01,  4.898386648892752e-01,  7.867126715653084e-03, -2.289451983177815e+03,  1.696096315368619e+02,  2.351396621642352e+02
Sb1V3       ,  6.500000000000000e-01,  2.876774189639924e+00, -2.181905164127859e-03,  2.913103096417011e+02, -2.376119400650495e+01,  2.353822583420329e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.475137830013315e+00,  1.030467523334876e-03, -2.983727522066371e+03, -2.568309277526128e+01,  2.242801156471075e+02
Rh1Te2      ,  7.550000000000000e-01,  1.234158989919017e+00,  1.609008092825398e-04, -2.644122998314813e+03,  6.571839564305144e+01,  2.264897395270485e+02
Zr1         ,  9.966666670000000e-01,  2.360792230164642e+00,  4.579719670702744e-04, -1.421288264876172e+03, -2.140564683194643e+01,  2.481379108561602e+02
Be2Ta3      ,  1.000000000000000e+00,  1.459720797794457e+00, -3.832450768035318e-03, -2.671913634323449e+03,  6.152726805867542e+00,  2.369522199484935e+02
C1Si1       ,  1.075000000000000e+00,  6.484479121070341e-02, -1.505887847429256e-02,  1.552125376471010e+03,  8.461860737617364e+01,  2.649888764532009e+02
Nb3Sb1      ,  1.100000000000000e+00,  1.634586592079447e+00, -6.178934028029097e-03, -1.848387898701320e+02,  2.926818598780795e+01,  2.374116642352175e+02
Nb1O1       ,  1.380000000000000e+00,  1.537938640991626e+00,  2.763462328834445e-03, -4.043529477165158e+03,  2.138917618006755e+01,  2.332257909928642e+02
Sb1         ,  1.416666667000000e+00,  2.063242821474187e+00,  5.024692645106799e-03,  2.606000707749714e+02,  1.099428159793041e+02,  2.183493692863377e+02
Sb1Sn1      ,  1.430000000000000e+00,  2.126674285652205e+00,  6.505065260247102e-03, -7.843125609469961e+02,  6.216973144459919e+01,  2.402431542121846e+02
S2Ta1       ,  1.488116666500000e+00,  2.270853008013412e+00, -1.805848474485685e-03, -1.418108550797471e+02,  1.141278421691452e+01,  2.380038437787440e+02
B2C2Y1      ,  1.800000000000000e+00,  2.576487732348749e+00, -6.718837871890235e-04, -2.026754682349242e+02, -6.654686249602626e+00,  2.391063799565821e+02
Re2Y1       ,  1.830000000000000e+00,  2.265471083905888e+00, -3.699036629670571e-03, -1.355297939971299e+02, -3.661469775261473e+00,  2.399062518008345e+02
S1Y1        ,  1.900000000000000e+00,  2.201937833411229e+00, -1.830739014244493e-03, -3.579304134417586e+03, -1.692170994790198e+01,  2.097816483915974e+02
Ga2Pt1      ,  1.900000000000000e+00,  2.804118397086795e+00, -5.311077547000265e-03,  3.558906186628311e+02,  1.628160008825810e+01,  1.966875413811568e+02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.343603082808936e+00,  8.278224219508767e-04, -9.444734463050820e+02,  1.606495857220523e+01,  2.314725383905341e+02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.485254440406687e+00,  4.550299098260731e-03,  8.706579487107760e+01, -2.027252450974467e+01,  2.300136584335163e+02
Be2Nb1      ,  2.150000000000000e+00,  1.452505374766386e+00, -1.830913108883990e-03, -2.498801433334335e+03,  2.900904487387097e+01,  2.334346278380154e+02
In1Te1      ,  2.206000000000000e+00,  2.977151081034456e+00, -6.418360983806973e-03,  1.580255960191858e+01, -2.073121855232677e+01,  2.032203644617307e+02
C2Cl2Y2     ,  2.300000000000000e+00,  1.067050530447696e+00, -4.225548333901471e-03,  1.275980659583875e+02,  5.617526180967331e+01,  2.627343929108515e+02
Be2Nb3      ,  2.300000000000000e+00,  2.229883140378496e+00, -4.067104172748308e-04, -1.954765517659700e+03,  2.139562729743960e+00,  2.261829420477080e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.359254425994563e+00,  1.673488493676544e-02,  7.042276615951651e+01, -1.823486382614174e+01,  2.407602345944132e+02
As1Pt1Sr1   ,  2.425000000000000e+00,  3.156973635291131e+00, -9.429045339549684e-04,  5.509304759266632e+02,  2.220723175618211e+01,  1.977843499240687e+02
Bi1Nb3      ,  2.516666667000000e+00,  1.523230227489551e+00, -3.322740475615716e-03, -1.166893115055922e+03,  3.212909811188453e+01,  2.403269558785879e+02
Re1         ,  2.581333333000000e+00,  3.080310497275657e+00, -1.530255820682263e-03,  1.268639424931532e+03, -9.665520210571378e+00,  2.324480395788989e+02
Hf1In1Pd2   ,  2.630000000000000e+00,  3.265606945711416e+00,  6.189422944598199e-03, -1.374356835730612e+02,  2.407324882543017e+00,  2.301822576489771e+02
Nb3Rh1      ,  2.742333333000000e+00,  1.415282583061368e+00, -4.281819576021004e-03, -1.749812910314032e+03,  2.376037923381277e+01,  2.385717026090928e+02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.837207079736221e+00,  1.254610722854701e-03, -8.274374782385664e+02, -5.563020448062827e+01,  2.065822746651801e+02
N1Ni3Zn1    ,  3.000000000000000e+00,  4.069919612386544e+00, -6.617572214315531e-04, -3.447196488258577e+02, -8.792093561076180e-01,  1.533759548685649e+02
