# c0 + a0 * ((((EA_wtd_range-2.290074e+00) / (w_log-6.130040e-02))-2.851400e+01) * (((lambda+3.211445e+01) * (at_rad_wtd_std+7.627771e+01))-2.503727e+03))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.24473098066201; Max AE: 9.11315437425186
# Coefficients
# Task   a0                      c0
# all ,  5.107437137600360e-03,  3.108325336196347e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA;                                               34|1|div|0|18|mult|mult:-2.8513998771716e+01,-2.5037272726042e+03,3.2114447146435e+01,7.6277706602563e+01,-2.2900739403697e+00,-6.1300404626719e-02; ((((EA_wtd_range-2.290074e+00) / (w_log-6.130040e-02))-2.851400e+01) * (((lambda+3.211445e+01) * (at_rad_wtd_std+7.627771e+01))-2.503727e+03)); $\left(\left(\left(\frac{ EA_{wtd, range} -2.290e+00 }{ w_{log}-6.130e-02 } \right)-2.851e+01\right) * \left(\left(\left(lambda+3.211e+01\right) * \left(at_{rad, wtd, std}+7.628e+01\right)\right)-2.504e+03\right)\right)$; ((((EA_wtd_range-2.290074e+00) ./ (w_log-6.130040e-02))-2.851400e+01) .* (((lambda+3.211445e+01) .* (at_rad_wtd_std+7.627771e+01))-2.503727e+03)); ((((newdata$EA_wtd_range-2.290074e+00) / (newdata$w_log-6.130040e-02))-2.851400e+01) * (((newdata$lambda+3.211445e+01) * (newdata$at_rad_wtd_std+7.627771e+01))-2.503727e+03)); EA_wtd_range,w_log,lambda,at_rad_wtd_std
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  2.700255404884593e+00, -7.989720094792547e+01
Se2Ta1      ,  1.250000000000000e-01,  8.716180076863463e-01, -4.379314455078889e+02
Ti1         ,  1.620000000000000e-01,  8.487689151933814e-01, -4.424051359082567e+02
B1Mo1       ,  2.500000000000000e-01,  3.417034966175570e+00,  6.044315801883089e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.040034940615867e+00, -1.337077554567116e+01
Pt1Te1      ,  5.900000000000000e-01,  3.651874675606803e+00,  1.064231090401308e+02
Sb1V3       ,  6.500000000000000e-01,  1.606918343306490e+00, -2.939648501665683e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.993280104617253e+00,  1.732678728252909e+02
Rh1Te2      ,  7.550000000000000e-01,  1.553996477446822e+00, -3.043265764950361e+02
Zr1         ,  9.966666670000000e-01,  2.961566721848153e+00, -2.873429675086431e+01
Be2Ta3      ,  1.000000000000000e+00,  1.798015823727918e+00, -2.565493176258758e+02
C1Si1       ,  1.075000000000000e+00,  2.278797136063607e+00, -1.624157435097634e+02
Nb3Sb1      ,  1.100000000000000e+00,  3.120441752282368e+00,  2.372308412143010e+00
Nb1O1       ,  1.380000000000000e+00,  3.241860235760149e+00,  2.614518709995146e+01
Sb1         ,  1.416666667000000e+00,  5.484888122318583e+00,  4.653141530859492e+02
Sb1Sn1      ,  1.430000000000000e+00,  3.869761159428064e+00,  1.490837386183601e+02
S2Ta1       ,  1.488116666500000e+00,  3.645952445164924e+00,  1.052635782848171e+02
B2C2Y1      ,  1.800000000000000e+00,  2.113688189410666e+00, -1.947429052945707e+02
Re2Y1       ,  1.830000000000000e+00,  2.412124647637502e+00, -1.363111615086744e+02
S1Y1        ,  1.900000000000000e+00,  3.203477109374679e+00,  1.863004293833324e+01
Ga2Pt1      ,  1.900000000000000e+00,  3.077704459990442e+00, -5.995350580132884e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.559895223546923e+00, -1.073787298549294e+02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.680185143541011e+00,  1.119660980523282e+02
Be2Nb1      ,  2.150000000000000e+00,  2.287948614850406e+00, -1.606239488111213e+02
In1Te1      ,  2.206000000000000e+00,  2.907724787461937e+00, -3.927616597718102e+01
C2Cl2Y2     ,  2.300000000000000e+00, -3.296467053228669e-01, -6.731305640962787e+02
Be2Nb3      ,  2.300000000000000e+00,  2.380353767052929e+00, -1.425316747971649e+02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.273389683860273e+00,  2.281113435712910e+02
As1Pt1Sr1   ,  2.425000000000000e+00,  3.123056064826015e+00,  2.884172283046425e+00
Bi1Nb3      ,  2.516666667000000e+00,  3.017427380870918e+00, -1.779717554548996e+01
Re1         ,  2.581333333000000e+00,  3.574175467416251e+00,  9.121015465670051e+01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.427813864178098e+00,  6.255358986794266e+01
Nb3Rh1      ,  2.742333333000000e+00,  2.547954873688862e+00, -1.097165657472517e+02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.557142634637389e+00,  2.836681606465633e+02
N1Ni3Zn1    ,  3.000000000000000e+00,  5.526768300481582e+00,  4.735139952053327e+02
