# c0 + a0 * ((((EA_wtd_mean-1.183419e-01) / (density-1.307040e+01))+2.248919e-01) * (((PE_wtd_std-3.611363e-01) * (EA_wtd_range-4.062349e-01))-1.155830e-01)) + a1 * ((((L_avg+8.311204e+01) / (ThermalCond_mean+7.372137e+00))-3.267452e-01) * (((PE_wtd_mean-2.245864e+00) / (IP_mean-9.198865e+00))-2.292425e-01)) + a2 * ((((lambda4w_low-9.598307e-03) * (EA_wtd_range-7.324513e-01))+5.695389e-02) * (((at_mass_wtd_mean-3.357386e+01) / (density-2.715136e+00))-7.303041e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.46459056329347; Max AE: 4.94249272078702
# Coefficients
# Task   a0                      a1                      a2                      c0
# all , -3.485078694244584e+01, -4.090965143346430e+00,  1.040254373046798e+00,  6.684438058670293e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * eV^2 * g^-1;                               32|5|div|30|34|mult|mult:2.2489193246838e-01,-1.1558297515887e-01,-3.6113628274747e-01,-4.0623488986614e-01,-1.1834191820774e-01,-1.3070400620690e+01; ((((EA_wtd_mean-1.183419e-01) / (density-1.307040e+01))+2.248919e-01) * (((PE_wtd_std-3.611363e-01) * (EA_wtd_range-4.062349e-01))-1.155830e-01)); $\left(\left(\left(\frac{ EA_{wtd, mean} -1.183e-01 }{ density-1.307e+01 } \right)+2.249e-01\right) * \left(\left(\left(PE_{wtd, std}-3.611e-01\right) * \left(EA_{wtd, range}-4.062e-01\right)\right)-1.156e-01\right)\right)$; ((((EA_wtd_mean-1.183419e-01) ./ (density-1.307040e+01))+2.248919e-01) .* (((PE_wtd_std-3.611363e-01) .* (EA_wtd_range-4.062349e-01))-1.155830e-01)); ((((newdata$EA_wtd_mean-1.183419e-01) / (newdata$density-1.307040e+01))+2.248919e-01) * (((newdata$PE_wtd_std-3.611363e-01) * (newdata$EA_wtd_range-4.062349e-01))-1.155830e-01)); EA_wtd_mean,density,PE_wtd_std,EA_wtd_range
# 1;  2; AA * W^-1 * eV^-1 * mK;                           4|37|div|26|19|div|mult:-3.2674518007786e-01,-2.2924245768751e-01,-2.2458639084571e+00,-9.1988652773691e+00,8.3112038406834e+01,7.3721374479163e+00; ((((L_avg+8.311204e+01) / (ThermalCond_mean+7.372137e+00))-3.267452e-01) * (((PE_wtd_mean-2.245864e+00) / (IP_mean-9.198865e+00))-2.292425e-01)); $\left(\left(\left(\frac{ L_{avg} +8.311e+01 }{ ThermalCond_{mean}+7.372e+00 } \right)-3.267e-01\right) * \left(\left(\frac{ PE_{wtd, mean} -2.246e+00 }{ IP_{mean}-9.199e+00 } \right)-2.292e-01\right)\right)$; ((((L_avg+8.311204e+01) ./ (ThermalCond_mean+7.372137e+00))-3.267452e-01) .* (((PE_wtd_mean-2.245864e+00) ./ (IP_mean-9.198865e+00))-2.292425e-01)); ((((newdata$L_avg+8.311204e+01) / (newdata$ThermalCond_mean+7.372137e+00))-3.267452e-01) * (((newdata$PE_wtd_mean-2.245864e+00) / (newdata$IP_mean-9.198865e+00))-2.292425e-01)); L_avg,ThermalCond_mean,PE_wtd_mean,IP_mean
# 2;  2; cm^3 * eV^2 * mol^-1;                             2|34|mult|8|5|div|mult:5.6953890627246e-02,-7.3030408294598e+01,-3.3573856604494e+01,-2.7151361738368e+00,-9.5983071016727e-03,-7.3245129435359e-01; ((((lambda4w_low-9.598307e-03) * (EA_wtd_range-7.324513e-01))+5.695389e-02) * (((at_mass_wtd_mean-3.357386e+01) / (density-2.715136e+00))-7.303041e+01)); $\left(\left(\left(\left(lambda4w_{low}-9.598e-03\right) * \left(EA_{wtd, range}-7.325e-01\right)\right)+5.695e-02\right) * \left(\left(\frac{ at_{mass, wtd, mean} -3.357e+01 }{ density-2.715e+00 } \right)-7.303e+01\right)\right)$; ((((lambda4w_low-9.598307e-03) .* (EA_wtd_range-7.324513e-01))+5.695389e-02) .* (((at_mass_wtd_mean-3.357386e+01) ./ (density-2.715136e+00))-7.303041e+01)); ((((newdata$lambda4w_low-9.598307e-03) * (newdata$EA_wtd_range-7.324513e-01))+5.695389e-02) * (((newdata$at_mass_wtd_mean-3.357386e+01) / (newdata$density-2.715136e+00))-7.303041e+01)); lambda4w_low,EA_wtd_range,at_mass_wtd_mean,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  1.706967182500614e+00, -1.957854462532411e-02, -1.776977013707303e-01, -6.139607610784959e+00
Se2Ta1      ,  1.250000000000000e-01,  9.677143225505858e-01,  5.897353785305842e-03, -2.327660550623676e-01, -6.213320800284121e+00
Ti1         ,  1.620000000000000e-01,  1.344122593160135e+00,  7.147954121292014e-03,  1.812848165688244e-01, -4.181259782656973e+00
B1Mo1       ,  2.500000000000000e-01,  2.970384410088390e+00, -8.581678635262489e-03, -8.431090863775755e-02, -4.189403095691529e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.801381801905214e+00, -6.102955317766405e-03,  2.762931704696020e-03, -3.926391564212840e+00
Pt1Te1      ,  5.900000000000000e-01,  1.247844981174044e-01,  7.319939314479076e-02,  5.090481887952064e-02, -3.653286508137569e+00
Sb1V3       ,  6.500000000000000e-01,  1.801524871876571e+00, -9.538213091024169e-03,  2.428059077443284e-01, -4.058638947601021e+00
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.031570493680009e+00, -1.239999148226723e-02, -7.407302009488750e-04, -3.929853537347945e+00
Rh1Te2      ,  7.550000000000000e-01,  2.847551360839263e+00,  1.581599618803866e-02, -1.039054467009239e-01, -3.567166302015192e+00
Zr1         ,  9.966666670000000e-01,  1.372337219281794e+00,  5.485591333277431e-03,  3.278136282009450e-01, -3.633581973824668e+00
Be2Ta3      ,  1.000000000000000e+00,  1.463958202166118e+00, -1.287654680798844e-02,  3.435051386622301e-01, -4.098968682580506e+00
C1Si1       ,  1.075000000000000e+00,  2.091838564236434e+00, -9.408473107407108e-03, -6.420038876082960e-02, -4.982563758499580e+00
Nb3Sb1      ,  1.100000000000000e+00,  1.898163928305802e+00, -5.544041250015740e-04,  1.996464041046760e-01, -3.834493921458190e+00
Nb1O1       ,  1.380000000000000e+00,  2.191922727773272e+00, -7.234132306686046e-03,  1.056671575622220e-01, -4.145476325772922e+00
Sb1         ,  1.416666667000000e+00,  2.456657996170248e+00,  2.085681840120712e-03,  2.933744088171393e-01, -2.840562851934826e+00
Sb1Sn1      ,  1.430000000000000e+00,  3.509594997538692e+00, -4.223661248493038e-04, -3.953783233890452e-02, -3.221626203874269e+00
S2Ta1       ,  1.488116666500000e+00,  1.286540919459994e+00,  6.778632328328078e-04,  2.606128738328019e-01, -4.141405218736419e+00
B2C2Y1      ,  1.800000000000000e+00,  2.395573713580648e+00, -1.721291835171661e-02,  4.175642224675379e-02, -4.535356110527464e+00
Re2Y1       ,  1.830000000000000e+00,  3.421236993905752e+00, -3.137592722895077e-02,  7.088678508003232e-02, -3.909314450604226e+00
S1Y1        ,  1.900000000000000e+00, -1.207965851665068e-01,  3.440696604795608e-03,  7.659906282398022e-01, -3.414244430300151e+00
Ga2Pt1      ,  1.900000000000000e+00,  2.612618484791447e+00,  1.951391257500798e-02, -7.909462099120292e-02, -3.571547304274389e+00
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.143343743539980e+00,  1.751508016868554e-02, -5.320896887935968e-02, -3.987828489238023e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.553468779397090e+00, -1.159364908046631e-02, -6.719034281616947e-02, -3.662460377391817e+00
Be2Nb1      ,  2.150000000000000e+00,  2.518223715179033e+00, -2.263077000116696e-02,  1.214182580646675e-01, -4.285679292632462e+00
In1Te1      ,  2.206000000000000e+00,  4.390396738525312e+00, -1.201725786335976e-02, -8.476126220865414e-02, -2.941210978824091e+00
C2Cl2Y2     ,  2.300000000000000e+00,  2.673968673432459e+00,  1.383499431862982e-02, -1.876731778794999e-01, -4.129829670749327e+00
Be2Nb3      ,  2.300000000000000e+00,  2.687901582608127e+00, -1.909721187003930e-02,  1.211695542456366e-01, -4.005163566948538e+00
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.779020157848864e+00, -1.267996249630314e-02, -1.356148328333226e-01, -3.751121098228369e+00
As1Pt1Sr1   ,  2.425000000000000e+00,  2.344261562534775e+00, -9.477994760795572e-04,  2.269374497573852e-01, -3.311512016982562e+00
Bi1Nb3      ,  2.516666667000000e+00,  2.323477556819144e+00,  6.000797226717907e-03,  3.845373324594782e-02, -3.839940708134439e+00
Re1         ,  2.581333333000000e+00,  2.199991125634091e+00,  7.119636007067853e-03,  4.072581275441822e-02, -3.912229778100871e+00
Hf1In1Pd2   ,  2.630000000000000e+00,  2.692453346655101e+00,  6.381181817999237e-03, -5.932784408640204e-02, -3.857040883635825e+00
