# c0 + a0 * ((((at_mass_wtd_mean-6.965754e+01) / (density-2.714744e+00))-3.807246e+01) * (((EA_wtd_range-7.309910e-01) * (lambda4w_low-1.135331e-02))+8.403510e-03))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.28431321367408; Max AE: 6.6692186424486
# Coefficients
# Task   a0                      c0
# all ,  1.930920822195110e+00,  4.507923212670933e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * eV^2 * mol^-1;                             8|5|div|34|2|mult|mult:-3.8072459455267e+01,8.4035104386423e-03,-7.3099104653710e-01,-1.1353305434655e-02,-6.9657540505249e+01,-2.7147442329226e+00; ((((at_mass_wtd_mean-6.965754e+01) / (density-2.714744e+00))-3.807246e+01) * (((EA_wtd_range-7.309910e-01) * (lambda4w_low-1.135331e-02))+8.403510e-03)); $\left(\left(\left(\frac{ at_{mass, wtd, mean} -6.966e+01 }{ density-2.715e+00 } \right)-3.807e+01\right) * \left(\left(\left(EA_{wtd, range}-7.310e-01\right) * \left(lambda4w_{low}-1.135e-02\right)\right)+8.404e-03\right)\right)$; ((((at_mass_wtd_mean-6.965754e+01) ./ (density-2.714744e+00))-3.807246e+01) .* (((EA_wtd_range-7.309910e-01) .* (lambda4w_low-1.135331e-02))+8.403510e-03)); ((((newdata$at_mass_wtd_mean-6.965754e+01) / (newdata$density-2.714744e+00))-3.807246e+01) * (((newdata$EA_wtd_range-7.309910e-01) * (newdata$lambda4w_low-1.135331e-02))+8.403510e-03)); at_mass_wtd_mean,density,EA_wtd_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02, -4.796774287846232e-01, -2.583016654088152e+00
Se2Ta1      ,  1.250000000000000e-01,  1.037679506526830e+00, -1.797196273537027e+00
Ti1         ,  1.620000000000000e-01,  3.031174768262661e+00, -7.647897456144652e-01
B1Mo1       ,  2.500000000000000e-01,  3.532542253077012e+00, -5.051377293063156e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.729411957462093e+00, -4.031813455322381e-01
Pt1Te1      ,  5.900000000000000e-01,  3.755535413184191e+00, -3.896523310735300e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.679259063549177e+00, -4.291549086822287e-01
Rh1Te2      ,  7.550000000000000e-01,  3.787138807748224e+00, -3.732853240990517e-01
Zr1         ,  9.966666670000000e-01,  3.585614655649924e+00, -4.776521887482215e-01
Be2Ta3      ,  1.000000000000000e+00,  3.533877724779623e+00, -5.044461050370753e-01
C1Si1       ,  1.075000000000000e+00,  2.687688544080560e+00, -9.426770107129996e-01
Nb3Sb1      ,  1.100000000000000e+00,  3.630824092697665e+00, -4.542387807368322e-01
Nb1O1       ,  1.380000000000000e+00,  3.493701176035829e+00, -5.252530424743758e-01
Sb1         ,  1.416666667000000e+00,  4.171720466323754e+00, -1.741152420558483e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.835672881897302e+00, -3.481501276729737e-01
S2Ta1       ,  1.488116666500000e+00,  3.277378200005038e+00, -6.372840349129320e-01
B2C2Y1      ,  1.800000000000000e+00,  3.192220560084259e+00, -6.813861228607795e-01
Re2Y1       ,  1.830000000000000e+00,  3.608275840592535e+00, -4.659162414829940e-01
S1Y1        ,  1.900000000000000e+00,  3.922241600626529e+00, -3.033172594713591e-01
Ga2Pt1      ,  1.900000000000000e+00,  4.018712896733012e+00, -2.533559689836361e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.626267669449849e+00, -4.565984959542775e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.727021197522625e+00, -4.044194905208818e-01
Be2Nb1      ,  2.150000000000000e+00,  3.371604295292191e+00, -5.884855061467262e-01
In1Te1      ,  2.206000000000000e+00,  4.128356327068901e+00, -1.965729931745897e-01
C2Cl2Y2     ,  2.300000000000000e+00,  2.445863033747721e+00, -1.067915450090295e+00
Be2Nb3      ,  2.300000000000000e+00,  3.602798619130509e+00, -4.687528267013356e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.650475982635426e+00, -4.440613101166641e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  4.045239408779904e+00, -2.396182166418619e-01
Bi1Nb3      ,  2.516666667000000e+00,  3.624519637693924e+00, -4.575037799699823e-01
Re1         ,  2.581333333000000e+00,  3.703899134536825e+00, -4.163941208216281e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.681408457233885e+00, -4.280417642901843e-01
Nb3Rh1      ,  2.742333333000000e+00,  3.566385496561916e+00, -4.876107322923053e-01
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.001032024051488e+00, -2.625126741567790e-01
N1Ni3Zn1    ,  3.000000000000000e+00,  4.922439865268317e+00,  2.146730450221947e-01
B1Hf1       ,  3.100000000000000e+00,  3.521548123167609e+00, -5.108314531416123e-01
Pt0.25V0.75 ,  3.102500000000000e+00,  4.016582650357513e+00, -2.544591972211755e-01
C2Y1        ,  3.150000000000000e+00,  3.336457967894990e+00, -6.066873541941495e-01
