# c0 + a0 * ((((PE_wtd_range+2.298789e+01) * (at_mass_mean+2.506659e+03))-5.982478e+04) * (((at_mass_wtd_range-8.824755e+01) / (IP_mean-9.239239e+00))-7.857093e+01)) + a1 * ((((EA_wtd_range-4.424864e+00) / (w_log-6.382266e-02))-6.339535e+01) * (((lambda-5.378636e-01) * (at_mass_wtd_mean+9.138479e+02))+1.498235e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.70106757869017; Max AE: 4.81353469957096
# Coefficients
# Task   a0                      a1                      c0
# all , -1.234940359414197e-05,  3.175081709915407e-04,  1.835316416275385e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV^-1 * g^2 * mol^-2;                             28|7|mult|10|19|div|mult:-5.9824780241941e+04,-7.8570929400203e+01,-8.8247545647583e+01,-9.2392390046410e+00,2.2987891175617e+01,2.5066588735918e+03; ((((PE_wtd_range+2.298789e+01) * (at_mass_mean+2.506659e+03))-5.982478e+04) * (((at_mass_wtd_range-8.824755e+01) / (IP_mean-9.239239e+00))-7.857093e+01)); $\left(\left(\left(\left(PE_{wtd, range}+2.299e+01\right) * \left(at_{mass, mean}+2.507e+03\right)\right)-5.982e+04\right) * \left(\left(\frac{ at_{mass, wtd, range} -8.825e+01 }{ IP_{mean}-9.239e+00 } \right)-7.857e+01\right)\right)$; ((((PE_wtd_range+2.298789e+01) .* (at_mass_mean+2.506659e+03))-5.982478e+04) .* (((at_mass_wtd_range-8.824755e+01) ./ (IP_mean-9.239239e+00))-7.857093e+01)); ((((newdata$PE_wtd_range+2.298789e+01) * (newdata$at_mass_mean+2.506659e+03))-5.982478e+04) * (((newdata$at_mass_wtd_range-8.824755e+01) / (newdata$IP_mean-9.239239e+00))-7.857093e+01)); PE_wtd_range,at_mass_mean,at_mass_wtd_range,IP_mean
# 1;  2; g * mol^-1;                                       34|1|div|0|8|mult|mult:-6.3395354205716e+01,1.4982352064102e+01,-5.3786359575945e-01,9.1384787281022e+02,-4.4248638117299e+00,-6.3822660719159e-02; ((((EA_wtd_range-4.424864e+00) / (w_log-6.382266e-02))-6.339535e+01) * (((lambda-5.378636e-01) * (at_mass_wtd_mean+9.138479e+02))+1.498235e+01)); $\left(\left(\left(\frac{ EA_{wtd, range} -4.425e+00 }{ w_{log}-6.382e-02 } \right)-6.340e+01\right) * \left(\left(\left(lambda-5.379e-01\right) * \left(at_{mass, wtd, mean}+9.138e+02\right)\right)+1.498e+01\right)\right)$; ((((EA_wtd_range-4.424864e+00) ./ (w_log-6.382266e-02))-6.339535e+01) .* (((lambda-5.378636e-01) .* (at_mass_wtd_mean+9.138479e+02))+1.498235e+01)); ((((newdata$EA_wtd_range-4.424864e+00) / (newdata$w_log-6.382266e-02))-6.339535e+01) * (((newdata$lambda-5.378636e-01) * (newdata$at_mass_wtd_mean+9.138479e+02))+1.498235e+01)); EA_wtd_range,w_log,lambda,at_mass_wtd_mean
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  9.029742694338804e-01, -1.436269234235603e+04, -3.495068576692842e+03
Se2Ta1      ,  1.250000000000000e-01, -6.376361431292492e-01,  4.850642991784928e+04, -5.901980643792871e+03
Ti1         ,  1.620000000000000e-01,  9.613212728995845e-01,  4.623764538534888e+04, -9.542677226954993e+02
B1Mo1       ,  2.500000000000000e-01,  2.383899637081880e+00,  4.023513630067782e+04,  3.292712607628395e+03
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.395607553597667e+00, -2.570644389363278e+04,  7.648051574588120e+02
Pt1Te1      ,  5.900000000000000e-01,  3.054910877043652e-01,  2.363961671983826e+05,  4.376348312330818e+03
Sb1V3       ,  6.500000000000000e-01,  1.837683930118878e+00, -7.403809022223574e+03, -2.805128183874932e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.825778801466438e+00,  1.398209634128012e+04,  3.663316545112428e+03
Rh1Te2      ,  7.550000000000000e-01,  8.548664242932611e-01, -1.093010448960257e+03, -3.130464378428327e+03
Zr1         ,  9.966666670000000e-01,  3.010451245688814e+00,  4.692262393115300e+03,  3.883621223431373e+03
Be2Ta3      ,  1.000000000000000e+00,  6.399685013730632e-01, -4.785709477206316e+03, -3.950917448212931e+03
C1Si1       ,  1.075000000000000e+00,  1.786950612344649e+00,  2.303657280892157e+05,  8.807690012411886e+03
Nb3Sb1      ,  1.100000000000000e+00,  3.544057348636791e+00, -1.998683347117573e+04,  4.604339644839884e+03
Nb1O1       ,  1.380000000000000e+00,  3.979966586135411e+00, -1.842234606070830e+05, -4.106971366410325e+02
Sb1         ,  1.416666667000000e+00,  4.700251743670076e+00,  4.101281169719197e+04,  1.061836954005094e+04
Sb1Sn1      ,  1.430000000000000e+00,  3.503827585017083e+00, -6.148363358578489e+03,  5.015878940090674e+03
S2Ta1       ,  1.488116666500000e+00,  1.871156792118710e+00,  1.721152122904154e+05,  6.807259763928013e+03
B2C2Y1      ,  1.800000000000000e+00,  4.492181412666609e-01, -7.558800659984564e+03, -4.659549234359568e+03
Re2Y1       ,  1.830000000000000e+00,  3.160936587740602e+00, -1.020861893642182e+05,  2.044565260029576e+02
S1Y1        ,  1.900000000000000e+00,  2.465833897835761e+00, -1.461286886693317e+04,  1.417466721718912e+03
Ga2Pt1      ,  1.900000000000000e+00,  2.969618020448718e+00, -8.370619628157569e+04,  3.167792584599935e+02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.751544072439906e+00, -8.497589882232769e+03,  2.555170427890961e+03
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.490669461408118e+00, -9.188260379725011e+04,  1.639824530921196e+03
Be2Nb1      ,  2.150000000000000e+00,  9.234967232431389e-01,  3.591523407833760e+04, -1.474884790392527e+03
In1Te1      ,  2.206000000000000e+00,  2.023676980014366e+00, -3.427801705803083e+04, -7.399888405510823e+02
C2Cl2Y2     ,  2.300000000000000e+00,  9.882788015955725e-01, -1.003012110912893e+05, -6.568957721352443e+03
Be2Nb3      ,  2.300000000000000e+00,  7.652627201607352e-01,  3.828756324670152e+04, -1.880975607902725e+03
Pb1Pd2Sc1   ,  2.400000000000000e+00,  4.593748471141303e+00, -1.562313525445867e+05,  2.611170684663186e+03
As1Pt1Sr1   ,  2.425000000000000e+00,  3.109948177677900e+00, -8.899446529068075e+04,  5.530666859207162e+02
Bi1Nb3      ,  2.516666667000000e+00,  4.262188084102144e+00, -9.846184834847297e+04,  3.813843782869220e+03
Re1         ,  2.581333333000000e+00,  4.373963425219826e+00, -2.836503894457065e+04,  6.892281506395270e+03
Hf1In1Pd2   ,  2.630000000000000e+00,  3.671704904037238e+00, -8.829409459683645e+04,  2.349574425994992e+03
Nb3Rh1      ,  2.742333333000000e+00,  2.924024147850611e+00, -2.773288083302291e+04,  2.350248785754440e+03
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.163066022118874e+00, -4.693652197692250e+02,  4.163525055696053e+03
N1Ni3Zn1    ,  3.000000000000000e+00,  4.930643677034006e+00,  2.277883541189232e+04,  1.063478864849300e+04
B1Hf1       ,  3.100000000000000e+00,  1.531545824973013e+00, -7.110288464114528e+04, -3.722262664147567e+03
Pt0.25V0.75 ,  3.102500000000000e+00,  6.770096335426907e+00, -6.830675702834096e+04,  1.288543912311015e+04
C2Y1        ,  3.150000000000000e+00,  2.243451717440929e+00,  1.380848513743265e+04,  1.822510127359298e+03
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.126023347051983e+00, -1.011960195722570e+05,  1.291193320476721e+02
In1Sb1      ,  3.320000000000000e+00,  3.967228289766731e+00, -3.201537369399841e+04,  5.469280041215537e+03
Bi2K1       ,  3.575000000000000e+00,  4.857623972200116e+00, -1.536186071840817e+05,  3.543875336261906e+03
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.808045187332710e+00, -6.496888323817318e+04,  6.835735294970614e+03
Hg0.5In0.5  ,  3.810000000000000e+00,  5.597592345798214e+00, -6.579077646315450e+04,  9.290466664197907e+03
C1W2        ,  3.835000000000000e+00,  3.933125900707079e+00, -2.952194509939029e+04,  5.458855008683856e+03
C1Ga1Mo2    ,  3.900000000000000e+00,  4.369888446007709e+00,  8.845643335904693e+03,  8.326747752919035e+03
