# c0 + a0 * ((((EA_wtd_range-3.633419e+00) / (w_log-6.218612e-02))-5.187579e+01) * ((PE_std + 7.265256e+00*lambda)-4.436823e+00))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.28615383103993; Max AE: 8.2475780056318
# Coefficients
# Task   a0                      c0
# all ,  3.711997300240200e-02,  3.117146396912019e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         34|1|div|29|0|add|mult:-5.1875789922787e+01,-4.4368225508098e+00,7.2652555561894e+00,0.0000000000000e+00,-3.6334193135425e+00,-6.2186118479662e-02; ((((EA_wtd_range-3.633419e+00) / (w_log-6.218612e-02))-5.187579e+01) * ((PE_std + 7.265256e+00*lambda)-4.436823e+00)); $\left(\left(\left(\frac{ EA_{wtd, range} -3.633e+00 }{ w_{log}-6.219e-02 } \right)-5.188e+01\right) * \left(\left(PE_{std} + 7.27lambda\right)-4.437e+00\right)\right)$; ((((EA_wtd_range-3.633419e+00) ./ (w_log-6.218612e-02))-5.187579e+01) .* ((PE_std + (7.265256e+00.*lambda))-4.436823e+00)); ((((newdata$EA_wtd_range-3.633419e+00) / (newdata$w_log-6.218612e-02))-5.187579e+01) * ((newdata$PE_std + (7.265256e+00*newdata$lambda))-4.436823e+00)); EA_wtd_range,w_log,PE_std,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
C8Cs1       ,  6.750000000000000e-02,  2.610072872159459e+00, -1.366039583918197e+01
Se2Ta1      ,  1.250000000000000e-01,  1.061238616948118e+00, -5.538548694070616e+01
Ti1         ,  1.620000000000000e-01,  2.046880741804163e+00, -2.883260866161189e+01
B1Mo1       ,  2.500000000000000e-01,  2.834188009920136e+00, -7.622806917816788e+00
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.153219484590011e+00,  9.717972498433134e-01
Pt1Te1      ,  5.900000000000000e-01,  3.894900986846396e+00,  2.095245570044054e+01
Sb1V3       ,  6.500000000000000e-01,  2.559144733065365e+00, -1.503238334280431e+01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.895686799854696e+00,  2.097362524731088e+01
Rh1Te2      ,  7.550000000000000e-01,  2.125995293008383e+00, -2.670128838292795e+01
Zr1         ,  9.966666670000000e-01,  3.574936078843103e+00,  1.233270514236260e+01
Be2Ta3      ,  1.000000000000000e+00,  1.661727723981281e+00, -3.920850569682685e+01
C1Si1       ,  1.075000000000000e+00,  4.128176646706256e+00,  2.723682610784265e+01
Nb3Sb1      ,  1.100000000000000e+00,  3.783663028820929e+00,  1.795574128962271e+01
Nb1O1       ,  1.380000000000000e+00,  3.411503623904129e+00,  7.929887960130330e+00
Sb1         ,  1.416666667000000e+00,  5.343612636369362e+00,  5.998027636801542e+01
Sb1Sn1      ,  1.430000000000000e+00,  4.060991954246100e+00,  2.542689234372575e+01
S2Ta1       ,  1.488116666500000e+00,  4.294900146753929e+00,  3.172830297494287e+01
B2C2Y1      ,  1.800000000000000e+00,  1.700960820481156e+00, -3.815157883706497e+01
Re2Y1       ,  1.830000000000000e+00,  2.931568281812744e+00, -4.999414064424724e+00
S1Y1        ,  1.900000000000000e+00,  3.393262245207260e+00,  7.438471150756875e+00
Ga2Pt1      ,  1.900000000000000e+00,  3.122945398876915e+00,  1.562232269005377e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.181593483078378e+00,  1.736183540925230e+00
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.508924316226735e+00,  1.055436972676041e+01
Be2Nb1      ,  2.150000000000000e+00,  1.925164646509442e+00, -3.211160068261486e+01
In1Te1      ,  2.206000000000000e+00,  2.898638794133042e+00, -5.886523752720347e+00
C2Cl2Y2     ,  2.300000000000000e+00,  9.309012379215553e-01, -5.889673354150860e+01
Be2Nb3      ,  2.300000000000000e+00,  2.131067073407648e+00, -2.656465626848819e+01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.818710356857239e+00,  1.889990490833124e+01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.191891402812760e+00,  2.013606149333795e+00
Bi1Nb3      ,  2.516666667000000e+00,  3.663145305342260e+00,  1.470903301559272e+01
Re1         ,  2.581333333000000e+00,  4.128951486566037e+00,  2.725770004166074e+01
Hf1In1Pd2   ,  2.630000000000000e+00,  3.586390972723874e+00,  1.264129625798733e+01
Nb3Rh1      ,  2.742333333000000e+00,  3.390239314736307e+00,  7.357034387029781e+00
Ga1Ni2Zr1   ,  2.870000000000000e+00,  4.104387615161959e+00,  2.659595733504592e+01
N1Ni3Zn1    ,  3.000000000000000e+00,  5.594786328995833e+00,  6.674681395709767e+01
B1Hf1       ,  3.100000000000000e+00,  1.785673570262904e+00, -3.586944490942804e+01
Pt0.25V0.75 ,  3.102500000000000e+00,  5.772261293011631e+00,  7.152793176675540e+01
C2Y1        ,  3.150000000000000e+00,  3.588450597127839e+00,  1.269678186956986e+01
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.091257692385421e+00, -6.974332800544512e-01
