# c0 + a0 * ((((at_mass_wtd_std-5.070937e+00) * (at_mass_range-8.796282e+01))+8.349217e+01) * (((PE_wtd_range-2.276716e-01) / (PE_mean-2.173710e+00))+1.584304e-02)) + a1 * ((((lambda4w_low-1.724048e-02) * (EA_wtd_range-7.319783e-01))+2.111916e-02) * (((IP_std-7.000547e-01) / (density-2.680350e+00))+4.577995e+00))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.82558854630543; Max AE: 5.4004580164957
# Coefficients
# Task   a0                      a1                      c0
# all , -3.657099810079414e-04, -1.460270207680296e+01,  4.991215683626293e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; g^2 * mol^-2;                                     12|9|mult|28|25|div|mult:8.3492169774483e+01,1.5843043612390e-02,-2.2767162051232e-01,-2.1737100619375e+00,-5.0709373355539e+00,-8.7962816411326e+01; ((((at_mass_wtd_std-5.070937e+00) * (at_mass_range-8.796282e+01))+8.349217e+01) * (((PE_wtd_range-2.276716e-01) / (PE_mean-2.173710e+00))+1.584304e-02)); $\left(\left(\left(\left(at_{mass, wtd, std}-5.071e+00\right) * \left(at_{mass, range}-8.796e+01\right)\right)+8.349e+01\right) * \left(\left(\frac{ PE_{wtd, range} -2.277e-01 }{ PE_{mean}-2.174e+00 } \right)+1.584e-02\right)\right)$; ((((at_mass_wtd_std-5.070937e+00) .* (at_mass_range-8.796282e+01))+8.349217e+01) .* (((PE_wtd_range-2.276716e-01) ./ (PE_mean-2.173710e+00))+1.584304e-02)); ((((newdata$at_mass_wtd_std-5.070937e+00) * (newdata$at_mass_range-8.796282e+01))+8.349217e+01) * (((newdata$PE_wtd_range-2.276716e-01) / (newdata$PE_mean-2.173710e+00))+1.584304e-02)); at_mass_wtd_std,at_mass_range,PE_wtd_range,PE_mean
# 1;  2; cm^3 * eV^3 * g^-1;                               2|34|mult|23|5|div|mult:2.1119156709378e-02,4.5779954171884e+00,-7.0005473519725e-01,-2.6803498094210e+00,-1.7240477004120e-02,-7.3197825334048e-01; ((((lambda4w_low-1.724048e-02) * (EA_wtd_range-7.319783e-01))+2.111916e-02) * (((IP_std-7.000547e-01) / (density-2.680350e+00))+4.577995e+00)); $\left(\left(\left(\left(lambda4w_{low}-1.724e-02\right) * \left(EA_{wtd, range}-7.320e-01\right)\right)+2.112e-02\right) * \left(\left(\frac{ IP_{std} -7.001e-01 }{ density-2.680e+00 } \right)+4.578e+00\right)\right)$; ((((lambda4w_low-1.724048e-02) .* (EA_wtd_range-7.319783e-01))+2.111916e-02) .* (((IP_std-7.000547e-01) ./ (density-2.680350e+00))+4.577995e+00)); ((((newdata$lambda4w_low-1.724048e-02) * (newdata$EA_wtd_range-7.319783e-01))+2.111916e-02) * (((newdata$IP_std-7.000547e-01) / (newdata$density-2.680350e+00))+4.577995e+00)); lambda4w_low,EA_wtd_range,IP_std,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02, -7.894990036167877e-01, -2.597498769446548e+02,  4.023712720360945e-01
Se2Ta1      ,  1.250000000000000e-01,  7.615946601325161e-01, -1.091958579258542e+03,  3.169934680876074e-01
Ti1         ,  1.620000000000000e-01,  2.878948861945912e+00,  1.986384847767557e+02,  1.396743379723715e-01
B1Mo1       ,  2.500000000000000e-01,  3.142089862850153e+00, -5.130204909800412e+01,  1.279138259722946e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.279351952289365e+00,  5.556163802854164e+01,  1.158377591251302e-01
Pt1Te1      ,  5.900000000000000e-01,  1.450206711016153e+00,  4.248593565546649e+03,  1.360882314787794e-01
Sb1V3       ,  6.500000000000000e-01,  3.031092957687321e+00, -8.034181066663476e+01,  1.362422185653180e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.292747662431973e+00, -9.922153688904165e+00,  1.165603901852729e-01
Rh1Te2      ,  7.550000000000000e-01,  2.061897115364785e+00,  3.006116088532213e+03,  1.253159792613782e-01
Zr1         ,  9.966666670000000e-01,  2.900894944718924e+00,  1.512854152856392e+02,  1.393573697424915e-01
Be2Ta3      ,  1.000000000000000e+00,  2.137890892890667e+00,  2.151779792727626e+03,  1.415078820848162e-01
C1Si1       ,  1.075000000000000e+00,  2.864050419102236e+00, -2.482916815486399e+02,  1.518875067780079e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.978110591803280e+00, -6.560938005105851e+01,  1.395015173384555e-01
Nb1O1       ,  1.380000000000000e+00,  3.086528632453055e+00, -5.754756693779921e+02,  1.448460864412208e-01
Sb1         ,  1.416666667000000e+00,  3.102219644203720e+00,  9.829475257813393e+02,  1.047424175603082e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.851214614192676e+00,  4.225071930413210e+02,  1.359670259276733e-01
S2Ta1       ,  1.488116666500000e+00,  5.690224159219218e+00, -7.578894988321996e+03,  1.419373658208108e-01
B2C2Y1      ,  1.800000000000000e+00,  2.986568775198208e+00,  1.051631829722743e+02,  1.346454698890239e-01
Re2Y1       ,  1.830000000000000e+00,  2.877019638457867e+00, -4.904646727966643e+01,  1.460094725326738e-01
S1Y1        ,  1.900000000000000e+00,  3.166931093964272e+00,  1.052747324033499e+03,  9.856288091160444e-02
Ga2Pt1      ,  1.900000000000000e+00,  3.504048171625927e+00,  3.401771253225070e+02,  9.332254638846210e-02
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.355232943297276e+00, -7.665247279000088e+02,  1.312297185776040e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  2.946918976458571e+00,  1.384374721847067e+02,  1.365273859151929e-01
Be2Nb1      ,  2.150000000000000e+00,  3.150041839114494e+00, -2.157614393301059e+01,  1.266248154604952e-01
In1Te1      ,  2.206000000000000e+00,  3.612111922632775e+00, -4.810371502052314e+00,  9.456215394942123e-02
C2Cl2Y2     ,  2.300000000000000e+00,  2.683242244273282e+00, -7.962837896783614e+02,  1.779932477758437e-01
