# c0 + a0 * ((((PE_wtd_std-4.305480e-01) / (density-1.479360e+01))+5.441352e-02) * (((EA_range-6.332488e+00) / (lambda4w_low-4.673959e-02))+8.106758e+02)) + a1 * ((((at_mass_wtd_mean-6.875315e+01) / (density-2.712788e+00))-5.052225e+01) * (((lambda4w_low-8.354367e-03) * (EA_wtd_range-7.329539e-01))+1.322579e-02))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.74863304639933; Max AE: 4.80458591051216
# Coefficients
# Task   a0                      a1                      c0
# all , -6.329503720894193e-03,  1.425899803580523e+00,  4.733739871065095e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; cm^3 * g^-1;                                      30|5|div|33|2|div|mult:5.4413516309166e-02,8.1067578069299e+02,-6.3324881697521e+00,-4.6739591183405e-02,-4.3054802563291e-01,-1.4793601625295e+01; ((((PE_wtd_std-4.305480e-01) / (density-1.479360e+01))+5.441352e-02) * (((EA_range-6.332488e+00) / (lambda4w_low-4.673959e-02))+8.106758e+02)); $\left(\left(\left(\frac{ PE_{wtd, std} -4.305e-01 }{ density-1.479e+01 } \right)+5.441e-02\right) * \left(\left(\frac{ EA_{range} -6.332e+00 }{ lambda4w_{low}-4.674e-02 } \right)+8.107e+02\right)\right)$; ((((PE_wtd_std-4.305480e-01) ./ (density-1.479360e+01))+5.441352e-02) .* (((EA_range-6.332488e+00) ./ (lambda4w_low-4.673959e-02))+8.106758e+02)); ((((newdata$PE_wtd_std-4.305480e-01) / (newdata$density-1.479360e+01))+5.441352e-02) * (((newdata$EA_range-6.332488e+00) / (newdata$lambda4w_low-4.673959e-02))+8.106758e+02)); PE_wtd_std,density,EA_range,lambda4w_low
# 1;  2; cm^3 * eV^2 * mol^-1;                             8|5|div|2|34|mult|mult:-5.0522245436780e+01,1.3225788911069e-02,-8.3543668068542e-03,-7.3295389405342e-01,-6.8753151844066e+01,-2.7127877502823e+00; ((((at_mass_wtd_mean-6.875315e+01) / (density-2.712788e+00))-5.052225e+01) * (((lambda4w_low-8.354367e-03) * (EA_wtd_range-7.329539e-01))+1.322579e-02)); $\left(\left(\left(\frac{ at_{mass, wtd, mean} -6.875e+01 }{ density-2.713e+00 } \right)-5.052e+01\right) * \left(\left(\left(lambda4w_{low}-8.354e-03\right) * \left(EA_{wtd, range}-7.330e-01\right)\right)+1.323e-02\right)\right)$; ((((at_mass_wtd_mean-6.875315e+01) ./ (density-2.712788e+00))-5.052225e+01) .* (((lambda4w_low-8.354367e-03) .* (EA_wtd_range-7.329539e-01))+1.322579e-02)); ((((newdata$at_mass_wtd_mean-6.875315e+01) / (newdata$density-2.712788e+00))-5.052225e+01) * (((newdata$lambda4w_low-8.354367e-03) * (newdata$EA_wtd_range-7.329539e-01))+1.322579e-02)); at_mass_wtd_mean,density,lambda4w_low,EA_wtd_range
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02, -2.247994694524394e-01,  4.100584827619583e+01, -3.295457829137409e+00
Se2Ta1      ,  1.250000000000000e-01,  8.758949890463638e-01,  3.534252988027313e+01, -2.548667303628323e+00
Ti1         ,  1.620000000000000e-01,  2.557817952467168e+00,  9.272643504783599e+01, -1.114390786047724e+00
B1Mo1       ,  2.500000000000000e-01,  2.851836074461717e+00,  1.092307737989600e+02, -8.349304799798840e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.155327748188369e+00,  8.337070123352802e+01, -7.368799382447042e-01
Pt1Te1      ,  5.900000000000000e-01,  2.576889943015117e+00,  1.885360595945390e+02, -6.757208570365040e-01
Sb1V3       ,  6.500000000000000e-01,  2.980096003114360e+00,  8.485458322194248e+01, -8.531851008448664e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.184703244068678e+00,  7.463851358310144e+01, -7.550403435407768e-01
Rh1Te2      ,  7.550000000000000e-01,  3.093918334661764e+00,  1.046715612526185e+02, -6.853935301267384e-01
Zr1         ,  9.966666670000000e-01,  2.976576142495862e+00,  1.030567026770265e+02, -7.748552477092147e-01
Be2Ta3      ,  1.000000000000000e+00,  1.351439995267483e+00,  3.469872884229790e+02, -8.317853327724378e-01
C1Si1       ,  1.075000000000000e+00,  2.440243022360104e+00,  6.167909308547438e+01, -1.334665167033687e+00
Nb3Sb1      ,  1.100000000000000e+00,  3.076612530282172e+00,  9.253444620091238e+01, -7.514063867271292e-01
Nb1O1       ,  1.380000000000000e+00,  3.563882162214737e+00, -1.077117985163671e+01, -8.682474944529290e-01
Sb1         ,  1.416666667000000e+00,  3.528068692686857e+00,  1.102181655922100e+02, -3.562977481843259e-01
Sb1Sn1      ,  1.430000000000000e+00,  3.218757299989771e+00,  9.995537919808052e+01, -6.187774374483647e-01
S2Ta1       ,  1.488116666500000e+00,  2.981639588423630e+00,  3.440987141037651e+01, -1.076024324893843e+00
B2C2Y1      ,  1.800000000000000e+00,  2.860450100895930e+00,  4.549125975678275e+01, -1.111826138337017e+00
Re2Y1       ,  1.830000000000000e+00,  2.373560358270055e+00,  1.979185276334182e+02, -7.766698984911381e-01
S1Y1        ,  1.900000000000000e+00,  3.599773504712335e+00,  2.665107172582282e+01, -6.769608259111002e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.297719294437322e+00,  9.667788659317937e+01, -5.779491179104567e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.614427421465238e+00,  1.611582527071506e+02, -7.709242168887517e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.557068549867449e+00,  2.539432989449332e+01, -7.124889231976550e-01
Be2Nb1      ,  2.150000000000000e+00,  2.769445944203171e+00,  9.198824923373600e+01, -9.692504042626459e-01
In1Te1      ,  2.206000000000000e+00,  3.524850329199554e+00,  8.160685918779572e+01, -4.855590983653575e-01
