# c0 + a0 * ((((at_mass_wtd_std+5.991571e+01) / (lambda4w_low-4.664153e-02))-4.227000e+02) * (((PE_wtd_std+1.283618e-03) * (EA_mean-1.719293e+00))+1.290965e-01)) + a1 * ((((lambda4w_low-1.293698e-02) * (EA_std-8.182471e-01))+3.936830e-02) * (((lambda-1.881463e+00) / (density-2.716435e+00))-2.948202e+00))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.75731908412324; Max AE: 5.48281213687652
# Coefficients
# Task   a0                      a1                      c0
# all ,  9.178938819950669e-04,  2.069492972670021e+01,  5.796528607208070e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; g * mol^-1;                                       12|2|div|30|31|mult|mult:-4.2270004446968e+02,1.2909654854307e-01,1.2836177521905e-03,-1.7192934854995e+00,5.9915706249760e+01,-4.6641528227920e-02; ((((at_mass_wtd_std+5.991571e+01) / (lambda4w_low-4.664153e-02))-4.227000e+02) * (((PE_wtd_std+1.283618e-03) * (EA_mean-1.719293e+00))+1.290965e-01)); $\left(\left(\left(\frac{ at_{mass, wtd, std} +5.992e+01 }{ lambda4w_{low}-4.664e-02 } \right)-4.227e+02\right) * \left(\left(\left(PE_{wtd, std}+1.284e-03\right) * \left(EA_{mean}-1.719e+00\right)\right)+1.291e-01\right)\right)$; ((((at_mass_wtd_std+5.991571e+01) ./ (lambda4w_low-4.664153e-02))-4.227000e+02) .* (((PE_wtd_std+1.283618e-03) .* (EA_mean-1.719293e+00))+1.290965e-01)); ((((newdata$at_mass_wtd_std+5.991571e+01) / (newdata$lambda4w_low-4.664153e-02))-4.227000e+02) * (((newdata$PE_wtd_std+1.283618e-03) * (newdata$EA_mean-1.719293e+00))+1.290965e-01)); at_mass_wtd_std,lambda4w_low,PE_wtd_std,EA_mean
# 1;  2; cm^3 * eV^2 * g^-1;                               2|35|mult|0|5|div|mult:3.9368298043165e-02,-2.9482023672458e+00,-1.8814631417982e+00,-2.7164347509590e+00,-1.2936984461066e-02,-8.1824708610983e-01; ((((lambda4w_low-1.293698e-02) * (EA_std-8.182471e-01))+3.936830e-02) * (((lambda-1.881463e+00) / (density-2.716435e+00))-2.948202e+00)); $\left(\left(\left(\left(lambda4w_{low}-1.294e-02\right) * \left(EA_{std}-8.182e-01\right)\right)+3.937e-02\right) * \left(\left(\frac{ lambda -1.881e+00 }{ density-2.716e+00 } \right)-2.948e+00\right)\right)$; ((((lambda4w_low-1.293698e-02) .* (EA_std-8.182471e-01))+3.936830e-02) .* (((lambda-1.881463e+00) ./ (density-2.716435e+00))-2.948202e+00)); ((((newdata$lambda4w_low-1.293698e-02) * (newdata$EA_std-8.182471e-01))+3.936830e-02) * (((newdata$lambda-1.881463e+00) / (newdata$density-2.716435e+00))-2.948202e+00)); lambda4w_low,EA_std,lambda,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02, -3.637323431283502e-01,  8.819081046219743e+02, -3.367858260981936e-01
Se2Ta1      ,  1.250000000000000e-01,  4.790995581141629e-01,  5.274188120669724e+01, -2.592828567209647e-01
Ti1         ,  1.620000000000000e-01,  1.942735510059376e+00, -2.211934675844557e+02, -1.764084737048179e-01
B1Mo1       ,  2.500000000000000e-01,  2.710142891824193e+00, -1.536105609968249e+02, -1.423241132070614e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.466857683500642e+00,  5.204133766561278e+02, -1.356542503561384e-01
Pt1Te1      ,  5.900000000000000e-01,  2.478944887284375e+00, -4.119701907522815e+02, -1.420366650714173e-01
Sb1V3       ,  6.500000000000000e-01,  2.850599167302107e+00,  9.648530641083886e+01, -1.466297664421564e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.251219817903356e+00,  3.019379707195313e+02, -1.363839279786825e-01
Rh1Te2      ,  7.550000000000000e-01,  2.640512156430396e+00, -2.252427902823141e+02, -1.425115963456957e-01
Zr1         ,  9.966666670000000e-01,  2.391351378551930e+00, -2.283458798204038e+02, -1.544136648344030e-01
Be2Ta3      ,  1.000000000000000e+00,  2.511324189406634e+00, -2.602110173100754e+02, -1.472031244954870e-01
C1Si1       ,  1.075000000000000e+00,  2.136793672822217e+00, -2.449347763098831e-01, -1.768312412064757e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.829164830606044e+00,  3.290557130940157e+01, -1.448455075120681e-01
Nb1O1       ,  1.380000000000000e+00,  3.641503386781599e+00,  9.681372448105013e+02, -1.470733418554546e-01
Sb1         ,  1.416666667000000e+00,  3.024579620435226e+00, -2.875081959659452e+02, -1.211913742058485e-01
Sb1Sn1      ,  1.430000000000000e+00,  2.598362023679974e+00, -1.910851568572372e+02, -1.460633462895430e-01
S2Ta1       ,  1.488116666500000e+00,  2.703648592582238e+00, -5.292676058359908e+01, -1.471036096810047e-01
B2C2Y1      ,  1.800000000000000e+00,  3.341509892666072e+00,  9.993570504777318e+02, -1.629540414796981e-01
Re2Y1       ,  1.830000000000000e+00,  3.625392822393371e+00,  9.628480411663783e+02, -1.476172256410632e-01
S1Y1        ,  1.900000000000000e+00,  3.529826633724522e+00,  5.681817952568077e+02, -1.347302263903520e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.296254619185902e+00, -5.174771760842705e+01, -1.185205800171266e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  2.723062604463977e+00, -1.513400491266407e+02, -1.418005248775410e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.685605426294093e+00,  8.820031644284262e+02, -1.411219331503761e-01
Be2Nb1      ,  2.150000000000000e+00,  2.402221761002605e+00, -2.869586904695687e+02, -1.512887099007005e-01
In1Te1      ,  2.206000000000000e+00,  3.153729707809789e+00, -6.885955498674238e+01, -1.246485573628648e-01
