# c0 + a0 * ((((ThermalCond_wtd_mean-1.169072e+02) / (IP_mean-9.247351e+00))+7.695020e+01) * (((at_rad_mean-6.482448e+00) * (at_mass_wtd_range-5.514090e+02))-2.385641e+03)) + a1 * ((((EA_wtd_std-4.614402e+00) / (w_log-6.248680e-02))-6.797165e+01) * (((at_rad_wtd_mean+1.005463e+02) * (lambda-1.010720e+01))+9.694699e+02))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.6649008150447; Max AE: 4.27902045346131
# Coefficients
# Task   a0                      a1                      c0
# all , -3.793584256559791e-05,  2.718859861228122e-03,  3.855527590821724e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; AA * W * eV^-1 * g * mK^-1 * mol^-1;              38|19|div|13|10|mult|mult:7.6950200366012e+01,-2.3856405623000e+03,-6.4824476612378e+00,-5.5140895212388e+02,-1.1690719833938e+02,-9.2473512019894e+00; ((((ThermalCond_wtd_mean-1.169072e+02) / (IP_mean-9.247351e+00))+7.695020e+01) * (((at_rad_mean-6.482448e+00) * (at_mass_wtd_range-5.514090e+02))-2.385641e+03)); $\left(\left(\left(\frac{ ThermalCond_{wtd, mean} -1.169e+02 }{ IP_{mean}-9.247e+00 } \right)+7.695e+01\right) * \left(\left(\left(at_{rad, mean}-6.482e+00\right) * \left(at_{mass, wtd, range}-5.514e+02\right)\right)-2.386e+03\right)\right)$; ((((ThermalCond_wtd_mean-1.169072e+02) ./ (IP_mean-9.247351e+00))+7.695020e+01) .* (((at_rad_mean-6.482448e+00) .* (at_mass_wtd_range-5.514090e+02))-2.385641e+03)); ((((newdata$ThermalCond_wtd_mean-1.169072e+02) / (newdata$IP_mean-9.247351e+00))+7.695020e+01) * (((newdata$at_rad_mean-6.482448e+00) * (newdata$at_mass_wtd_range-5.514090e+02))-2.385641e+03)); ThermalCond_wtd_mean,IP_mean,at_rad_mean,at_mass_wtd_range
# 1;  2; AA;                                               36|1|div|14|0|mult|mult:-6.7971650818697e+01,9.6946987777044e+02,1.0054633019645e+02,-1.0107197105253e+01,-4.6144021738092e+00,-6.2486800522047e-02; ((((EA_wtd_std-4.614402e+00) / (w_log-6.248680e-02))-6.797165e+01) * (((at_rad_wtd_mean+1.005463e+02) * (lambda-1.010720e+01))+9.694699e+02)); $\left(\left(\left(\frac{ EA_{wtd, std} -4.614e+00 }{ w_{log}-6.249e-02 } \right)-6.797e+01\right) * \left(\left(\left(at_{rad, wtd, mean}+1.005e+02\right) * \left(lambda-1.011e+01\right)\right)+9.695e+02\right)\right)$; ((((EA_wtd_std-4.614402e+00) ./ (w_log-6.248680e-02))-6.797165e+01) .* (((at_rad_wtd_mean+1.005463e+02) .* (lambda-1.010720e+01))+9.694699e+02)); ((((newdata$EA_wtd_std-4.614402e+00) / (newdata$w_log-6.248680e-02))-6.797165e+01) * (((newdata$at_rad_wtd_mean+1.005463e+02) * (newdata$lambda-1.010720e+01))+9.694699e+02)); EA_wtd_std,w_log,at_rad_wtd_mean,lambda
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      
C8Cs1       ,  6.750000000000000e-02,  1.813969015853718e+00,  1.386174310725796e+04, -5.574769381757161e+02
Se2Ta1      ,  1.250000000000000e-01, -3.139596090295461e-01,  4.929427907316037e+04, -8.457468596812968e+02
Ti1         ,  1.620000000000000e-01,  1.132367195691217e+00,  3.563125363667624e+04, -5.044242207228637e+02
B1Mo1       ,  2.500000000000000e-01,  2.770778479009422e+00,  3.036547172774499e+04,  2.471280114128275e+01
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.332608125098314e+00,  1.343741713014231e+04, -4.840163030733732e+00
Pt1Te1      ,  5.900000000000000e-01,  1.004796319041876e+00,  9.886583120889950e+04,  3.309576006140620e+02
Sb1V3       ,  6.500000000000000e-01,  1.650404099435898e+00,  3.342600109844009e+04, -3.446591674256487e+02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.748728150342945e+00,  2.669407593185980e+04,  3.331774595757167e+02
Rh1Te2      ,  7.550000000000000e-01,  7.161085971034525e-01,  5.092523323336432e+04, -4.441300489152691e+02
Zr1         ,  9.966666670000000e-01,  3.303416447192491e+00,  2.529739168160708e+04,  1.499035424136864e+02
Be2Ta3      ,  1.000000000000000e+00,  2.037150201252183e+00,  2.643322709742027e+03, -6.319195556576511e+02
C1Si1       ,  1.075000000000000e+00,  2.290139837813709e+00,  8.801154154197937e+04,  6.522602566514921e+02
Nb3Sb1      ,  1.100000000000000e+00,  2.943776802493596e+00,  3.669521381299901e+04,  1.766597361791927e+02
Nb1O1       ,  1.380000000000000e+00,  3.290793313055523e+00, -6.491534135123661e+03, -2.982853608200041e+02
Sb1         ,  1.416666667000000e+00,  2.797225834251333e+00,  9.711432379422050e+04,  9.657768608072231e+02
Sb1Sn1      ,  1.430000000000000e+00,  2.856157979733410e+00,  5.555495378922014e+04,  4.075805396965367e+02
S2Ta1       ,  1.488116666500000e+00,  2.529883045253673e+00,  8.120391471604031e+04,  6.454523102993618e+02
B2C2Y1      ,  1.800000000000000e+00, -9.726548781708499e-01,  6.205847978640065e+04, -9.099188175288472e+02
Re2Y1       ,  1.830000000000000e+00,  3.063589367994400e+00,  4.753927929125688e+03, -2.249450109810193e+02
S1Y1        ,  1.900000000000000e+00,  2.431435169869271e+00,  4.426095438565510e+04,  9.378349361106498e+01
Ga2Pt1      ,  1.900000000000000e+00,  3.051209471134609e+00,  2.231409120154584e+04,  1.551596377978302e+01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.064598586315499e+00,  2.237211686252882e+04,  2.125012012341422e+01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.308338106395545e+00,  1.817354643785605e+04,  5.231579388378643e+01
Be2Nb1      ,  2.150000000000000e+00,  2.138086626975399e+00,  1.503676645508018e+04, -4.218711582996523e+02
In1Te1      ,  2.206000000000000e+00,  2.003300730119929e+00,  4.504389186043117e+04, -5.276067096663978e+01
C2Cl2Y2     ,  2.300000000000000e+00,  1.499557412752770e+00,  1.956535085721101e+03, -8.392294886623149e+02
Be2Nb3      ,  2.300000000000000e+00,  1.854267094041356e+00,  2.211899535277652e+04, -4.274430572686060e+02
