# c0 + a0 * ((((at_rad_wtd_std-7.194190e-01) / (L_avg-3.271774e+00))-3.903210e-01) * (((PE_wtd_std-3.756008e-01) * (PE_mean-1.906766e+00))+1.699719e-03)) + a1 * ((((IP_wtd_std+5.349669e-01) / (lambda4w_low-4.885803e-02))-1.044429e+02) * (((at_rad_range+5.546374e-03) / (V_molar-1.276507e+01))+3.299974e-01)) + a2 * ((((EA_wtd_range-7.268118e-01) * (lambda4w_low-7.943170e-03))+1.564605e-02) * (((at_mass_wtd_mean-3.074856e+01) / (density-2.716605e+00))-2.430786e+01))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 1.32989872996119; Max AE: 3.89869018764448
# Coefficients
# Task   a0                      a1                      a2                      c0
# all ,  1.105759833100032e+01, -1.124035894069845e-02,  4.835339746095528e+00,  3.725650362272669e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; Unitless;                                         18|4|div|30|25|mult|mult:-3.9032098785037e-01,1.6997189433496e-03,-3.7560077841545e-01,-1.9067661615600e+00,-7.1941898301105e-01,-3.2717735590196e+00; ((((at_rad_wtd_std-7.194190e-01) / (L_avg-3.271774e+00))-3.903210e-01) * (((PE_wtd_std-3.756008e-01) * (PE_mean-1.906766e+00))+1.699719e-03)); $\left(\left(\left(\frac{ at_{rad, wtd, std} -7.194e-01 }{ L_{avg}-3.272e+00 } \right)-3.903e-01\right) * \left(\left(\left(PE_{wtd, std}-3.756e-01\right) * \left(PE_{mean}-1.907e+00\right)\right)+1.700e-03\right)\right)$; ((((at_rad_wtd_std-7.194190e-01) ./ (L_avg-3.271774e+00))-3.903210e-01) .* (((PE_wtd_std-3.756008e-01) .* (PE_mean-1.906766e+00))+1.699719e-03)); ((((newdata$at_rad_wtd_std-7.194190e-01) / (newdata$L_avg-3.271774e+00))-3.903210e-01) * (((newdata$PE_wtd_std-3.756008e-01) * (newdata$PE_mean-1.906766e+00))+1.699719e-03)); at_rad_wtd_std,L_avg,PE_wtd_std,PE_mean
# 1;  2; AA * cm^-3 * mol;                                 24|2|div|15|6|div|mult:-1.0444294145348e+02,3.2999739467169e-01,5.5463739573965e-03,-1.2765074777043e+01,5.3496692086653e-01,-4.8858028611160e-02; ((((IP_wtd_std+5.349669e-01) / (lambda4w_low-4.885803e-02))-1.044429e+02) * (((at_rad_range+5.546374e-03) / (V_molar-1.276507e+01))+3.299974e-01)); $\left(\left(\left(\frac{ IP_{wtd, std} +5.350e-01 }{ lambda4w_{low}-4.886e-02 } \right)-1.044e+02\right) * \left(\left(\frac{ at_{rad, range} +5.546e-03 }{ V_{molar}-1.277e+01 } \right)+3.300e-01\right)\right)$; ((((IP_wtd_std+5.349669e-01) ./ (lambda4w_low-4.885803e-02))-1.044429e+02) .* (((at_rad_range+5.546374e-03) ./ (V_molar-1.276507e+01))+3.299974e-01)); ((((newdata$IP_wtd_std+5.349669e-01) / (newdata$lambda4w_low-4.885803e-02))-1.044429e+02) * (((newdata$at_rad_range+5.546374e-03) / (newdata$V_molar-1.276507e+01))+3.299974e-01)); IP_wtd_std,lambda4w_low,at_rad_range,V_molar
# 2;  2; cm^3 * eV^2 * mol^-1;                             34|2|mult|8|5|div|mult:1.5646045021307e-02,-2.4307860506156e+01,-3.0748561198476e+01,-2.7166054365955e+00,-7.2681179877746e-01,-7.9431697108670e-03; ((((EA_wtd_range-7.268118e-01) * (lambda4w_low-7.943170e-03))+1.564605e-02) * (((at_mass_wtd_mean-3.074856e+01) / (density-2.716605e+00))-2.430786e+01)); $\left(\left(\left(\left(EA_{wtd, range}-7.268e-01\right) * \left(lambda4w_{low}-7.943e-03\right)\right)+1.565e-02\right) * \left(\left(\frac{ at_{mass, wtd, mean} -3.075e+01 }{ density-2.717e+00 } \right)-2.431e+01\right)\right)$; ((((EA_wtd_range-7.268118e-01) .* (lambda4w_low-7.943170e-03))+1.564605e-02) .* (((at_mass_wtd_mean-3.074856e+01) ./ (density-2.716605e+00))-2.430786e+01)); ((((newdata$EA_wtd_range-7.268118e-01) * (newdata$lambda4w_low-7.943170e-03))+1.564605e-02) * (((newdata$at_mass_wtd_mean-3.074856e+01) / (newdata$density-2.716605e+00))-2.430786e+01)); EA_wtd_range,lambda4w_low,at_mass_wtd_mean,density
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      
C8Cs1       ,  6.750000000000000e-02,  6.723281240180408e-01,  1.940682792444657e-02, -5.861015702219701e+01, -8.120865451063620e-01
Se2Ta1      ,  1.250000000000000e-01,  2.001144595804160e-01, -8.428951748477506e-03, -3.626133432510779e+01, -7.941370317338659e-01
Ti1         ,  1.620000000000000e-01,  2.849262840460918e-01, -2.041932878842955e-01, -3.794706566380444e+01, -3.328360450830137e-01
B1Mo1       ,  2.500000000000000e-01,  1.072409983450348e+00,  5.202472371328191e-02,  1.288918425219158e+02, -3.680647888057598e-01
Al1Hf1Ni2   ,  3.700000000000000e-01,  2.418070587244137e+00, -3.440836020475010e-02, -4.646003788209014e+01, -2.997376662145587e-01
Pt1Te1      ,  5.900000000000000e-01,  3.970058228740201e+00,  7.098688423177971e-02, -3.875825661421187e+01, -2.018872206827683e-01
Sb1V3       ,  6.500000000000000e-01,  2.535619950598581e+00, -1.173740851150390e-02, -4.477449618027955e+01, -3.233535497944717e-01
Al1Ni2Zr1   ,  6.899999999999999e-01,  2.436954636875036e+00, -3.578553146724135e-02, -4.739522078262345e+01, -2.948568375558521e-01
Zr1         ,  9.966666670000000e-01, -7.711878026978425e-01, -3.679160176803297e-01, -3.915282586175658e+01, -1.796486873234613e-01
Be2Ta3      ,  1.000000000000000e+00,  1.827716487904499e+00, -7.175035032144984e-02, -4.625005930272772e+01, -3.359463188306387e-01
C1Si1       ,  1.075000000000000e+00,  1.187896514795999e+00, -1.264788503062789e-02, -2.974221114693635e+01, -5.650506246761972e-01
Nb3Sb1      ,  1.100000000000000e+00,  2.877697326702748e+00, -1.155861368732585e-02, -4.542165465978055e+01, -2.545215630819786e-01
Nb1O1       ,  1.380000000000000e+00,  1.376218324577073e+00, -2.146322935430087e-01, -1.541419918213825e+02, -3.533827512579586e-01
Sb1         ,  1.416666667000000e+00,  2.239098776901078e+00, -1.583383947021369e-01, -3.963386410243574e+01, -3.747576894561292e-02
Sb1Sn1      ,  1.430000000000000e+00,  4.244785426047278e+00,  3.350634578025913e-02, -4.325347610813949e+01, -6.980879607561885e-02
S2Ta1       ,  1.488116666500000e+00,  2.332456047090627e+00, -1.036857470837322e-02, -3.384157750349159e+01, -3.430853561820886e-01
B2C2Y1      ,  1.800000000000000e+00,  2.183551735749236e+00, -2.900373774248255e-03, -6.251183859643880e+01, -4.576065133730717e-01
Re2Y1       ,  1.830000000000000e+00,  2.803158590959582e+00, -1.156926666239599e-02, -4.618987801636286e+01, -2.716984420728479e-01
S1Y1        ,  1.900000000000000e+00,  3.671747667015972e+00,  3.208547958078833e-04, -6.524346997489468e+01, -1.635480940929504e-01
Ga2Pt1      ,  1.900000000000000e+00,  3.474831012463786e+00,  2.168906061670962e-02, -4.947157508531884e+01, -2.164742472234949e-01
Mo0.5Rh0.5  ,  1.940000000000000e+00,  4.173172383018771e+00,  1.311754289156803e-01, -4.302225911434584e+01, -3.074342023609667e-01
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.703671837708935e+00,  3.067141474844057e-02, -5.667532578861191e+01, -2.064346594976184e-01
Be2Nb1      ,  2.150000000000000e+00,  1.588373121846506e+00, -8.203255101103742e-02, -5.916065521787134e+01, -3.919437600273962e-01
In1Te1      ,  2.206000000000000e+00,  4.151400790748555e+00,  5.681290663850850e-03, -5.050453505584095e+01, -4.234658050920216e-02
C2Cl2Y2     ,  2.300000000000000e+00,  2.630082099971478e+00, -8.455955851509757e-02, -1.033264107844401e+02, -2.733972469117935e-01
Be2Nb3      ,  2.300000000000000e+00,  2.015032225011270e+00, -6.726360867237842e-02, -5.011557800779492e+01, -3.164537211335403e-01
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.503928126229068e+00,  1.908930324032617e-02, -5.628795614835456e+01, -2.203569905713385e-01
As1Pt1Sr1   ,  2.425000000000000e+00,  3.791887290406988e+00,  1.203389768549168e-02, -5.498259813006425e+01, -1.416349736035219e-01
Bi1Nb3      ,  2.516666667000000e+00,  2.802191729618204e+00, -1.451524872301755e-02, -4.057035762864611e+01, -2.520981541542282e-01
Re1         ,  2.581333333000000e+00,  1.963790910580314e+00, -7.408315126399222e-02, -3.832327975899075e+01, -2.840431519430022e-01
Hf1In1Pd2   ,  2.630000000000000e+00,  2.948298347549186e+00, -1.931177059845882e-03, -4.761375559623330e+01, -2.670326400432646e-01
