# c0 + a0 * (((IP_wtd_std-1.831364e+00) / (at_mass_wtd_mean-1.608501e+01)) - (1.705464e+00*((EA_range-1.659167e+00) * (lambda4w_low-5.740529e-03))))
# Property Label: $Tc_{exp}$; Unit of the Property: K
# RMSE: 2.31690553910444; Max AE: 7.25670766762407
# Coefficients
# Task   a0                      c0
# all ,  1.752578681873453e+01,  3.892657260723787e+00, 
# Feature Rung, Units, and Expressions
# 0;  2; eV * g^-1 * mol;                                  24|8|div|33|2|mult|sub:1.7054643460025e+00,0.0000000000000e+00,-1.6591672014344e+00,-5.7405287500628e-03,-1.8313642834078e+00,-1.6085014704037e+01; (((IP_wtd_std-1.831364e+00) / (at_mass_wtd_mean-1.608501e+01)) - (1.705464e+00*((EA_range-1.659167e+00) * (lambda4w_low-5.740529e-03)))); $\left(\left(\frac{ IP_{wtd, std} -1.831e+00 }{ at_{mass, wtd, mean}-1.609e+01 } \right) - \left(1.705e+00\left(\left(EA_{range}-1.659e+00\right) * \left(lambda4w_{low}-5.741e-03\right)\right)\right)\right)$; (((IP_wtd_std-1.831364e+00) ./ (at_mass_wtd_mean-1.608501e+01)) - (1.705464e+00.*((EA_range-1.659167e+00) .* (lambda4w_low-5.740529e-03)))); (((newdata$IP_wtd_std-1.831364e+00) / (newdata$at_mass_wtd_mean-1.608501e+01)) - (1.705464e+00*((newdata$EA_range-1.659167e+00) * (newdata$lambda4w_low-5.740529e-03)))); IP_wtd_std,at_mass_wtd_mean,EA_range,lambda4w_low
# Number of Samples Per Task
# Task, n_samples               
# all , 80                    

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      
Se2Ta1      ,  1.250000000000000e-01,  1.257781939785519e+00, -1.503427690973433e-01
Ti1         ,  1.620000000000000e-01,  2.658592449640893e+00, -7.041423154615332e-02
B1Mo1       ,  2.500000000000000e-01,  3.229676610977830e+00, -3.782886649273010e-02
Al1Hf1Ni2   ,  3.700000000000000e-01,  3.515403372315204e+00, -2.152564631251308e-02
Pt1Te1      ,  5.900000000000000e-01,  3.568350386408418e+00, -1.850455432726679e-02
Sb1V3       ,  6.500000000000000e-01,  3.412248507564589e+00, -2.741153696139088e-02
Al1Ni2Zr1   ,  6.899999999999999e-01,  3.423122124953321e+00, -2.679110162794788e-02
Rh1Te2      ,  7.550000000000000e-01,  3.567579905880626e+00, -1.854851700556252e-02
Zr1         ,  9.966666670000000e-01,  3.323630552791231e+00, -3.246796927395491e-02
Be2Ta3      ,  1.000000000000000e+00,  3.469226496268356e+00, -2.416044248597142e-02
C1Si1       ,  1.075000000000000e+00,  2.641245991770941e+00, -7.140399925526457e-02
Nb3Sb1      ,  1.100000000000000e+00,  3.583542721044104e+00, -1.763769826010031e-02
Nb1O1       ,  1.380000000000000e+00,  4.491856417344859e+00,  3.418957236091366e-02
Sb1         ,  1.416666667000000e+00,  3.983657507468043e+00,  5.192362984067514e-03
Sb1Sn1      ,  1.430000000000000e+00,  3.625857878751499e+00, -1.522324702061809e-02
S2Ta1       ,  1.488116666500000e+00,  3.138004136072934e+00, -4.305958599497239e-02
B2C2Y1      ,  1.800000000000000e+00,  3.993774375939508e+00,  5.769619148147435e-03
Re2Y1       ,  1.830000000000000e+00,  3.550524810071443e+00, -1.952165995118778e-02
S1Y1        ,  1.900000000000000e+00,  3.994964615067548e+00,  5.837532739722534e-03
Ga2Pt1      ,  1.900000000000000e+00,  3.827105682515416e+00, -3.740293025720182e-03
Mo0.5Rh0.5  ,  1.940000000000000e+00,  3.422923802044849e+00, -2.680241769098823e-02
Pd2Sc1Sn1   ,  2.122500000000000e+00,  3.774824882182370e+00, -6.723371667140108e-03
Be2Nb1      ,  2.150000000000000e+00,  3.270458580832315e+00, -3.550189708038449e-02
In1Te1      ,  2.206000000000000e+00,  3.856768642296815e+00, -2.047760753805861e-03
C2Cl2Y2     ,  2.300000000000000e+00,  3.385031836979784e+00, -2.896448695823271e-02
Be2Nb3      ,  2.300000000000000e+00,  3.546252855036689e+00, -1.976541249017148e-02
Pb1Pd2Sc1   ,  2.400000000000000e+00,  3.701453681005295e+00, -1.090984283308189e-02
As1Pt1Sr1   ,  2.425000000000000e+00,  3.928505437587486e+00,  2.045453207577421e-03
Bi1Nb3      ,  2.516666667000000e+00,  3.488160461840332e+00, -2.308009352544793e-02
Re1         ,  2.581333333000000e+00,  3.663796429651069e+00, -1.305851962252975e-02
Hf1In1Pd2   ,  2.630000000000000e+00,  3.650225041710450e+00, -1.383288645016411e-02
Nb3Rh1      ,  2.742333333000000e+00,  3.407769532962392e+00, -2.766710178415870e-02
Ga1Ni2Zr1   ,  2.870000000000000e+00,  3.764804076570708e+00, -7.295146601715376e-03
N1Ni3Zn1    ,  3.000000000000000e+00,  5.557652134695921e+00,  9.500257484544465e-02
B1Hf1       ,  3.100000000000000e+00,  3.454639957458094e+00, -2.499273258290841e-02
Pt0.25V0.75 ,  3.102500000000000e+00,  3.703303097748102e+00, -1.080431737154713e-02
C2Y1        ,  3.150000000000000e+00,  4.269226933689585e+00,  2.148660581465343e-02
Pb1Pd2Y1    ,  3.215000000000000e+00,  3.521251619826591e+00, -2.119195244918620e-02
In1Sb1      ,  3.320000000000000e+00,  4.165879098844220e+00,  1.558970452775151e-02
Bi2K1       ,  3.575000000000000e+00,  3.755268487497665e+00, -7.839235672960354e-03
Al1Hf1Pd2   ,  3.621666666500000e+00,  4.097676043363274e+00,  1.169812144584159e-02
Hg0.5In0.5  ,  3.810000000000000e+00,  5.056003486487763e+00,  6.637911540270448e-02
C1W2        ,  3.835000000000000e+00,  3.798529273999723e+00, -5.370828008899676e-03
C1Ga1Mo2    ,  3.900000000000000e+00,  4.012238499845056e+00,  6.823159516777880e-03
Ba1Ge3      ,  4.000000000000000e+00,  3.842957303575865e+00, -2.835818880028509e-03
Bi2Rb1      ,  4.250000000000000e+00,  3.659199611779742e+00, -1.332080843836843e-02
Ba1Sn3      ,  4.300000000000000e+00,  3.670038241237532e+00, -1.270236947355095e-02
Rh1Se2      ,  4.350000000000000e+00,  3.705885348858010e+00, -1.065697727568633e-02
Al1Au2Sc1   ,  4.400000000000000e+00,  3.965226502783718e+00,  4.140712357767353e-03
B2Nb1       ,  4.597500000000000e+00,  3.106357317587915e+00, -4.486531482257571e-02
Pb3Y1       ,  4.720000000000000e+00,  3.797364891185603e+00, -5.437266270768513e-03
Bi2Cs1      ,  4.750000000000000e+00,  3.681083818694378e+00, -1.207212230855415e-02
Al1Si1Sr1   ,  4.750000000000000e+00,  3.496796995096886e+00, -2.258730348150414e-02
Pd2Sn1Y1    ,  4.814444444333330e+00,  3.714089600895766e+00, -1.018885267034843e-02
